YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C	YFL021W	YDR146C
0.4831895	0.9536572	0.9925776	0.0646675	0.7978013	0.9810592	0.9990829	0.0164675	0.2874219	1.0000000
0.6145532	0.4380621	0.9925797	0.0646570	0.9707874	0.9753483	0.9992863	0.0150069	0.1341387	1.0000000
0.8634598	0.6363488	0.4963432	0.0646598	0.9025105	0.9452139	0.9984972	0.0197095	0.2115448	1.0000000
0.8606139	0.6324448	0.9978410	0.0323330	0.9044741	0.9458306	0.9985217	0.0195654	0.2098917	1.0000000
0.8606324	0.6324619	0.9925268	0.0649266	0.4522349	0.9458312	0.9985217	0.0195654	0.2099020	1.0000000
0.8606374	0.6324489	0.9925795	0.0646581	0.9399056	0.4633013	0.9966880	0.0261936	0.1754275	1.0000000
0.8606323	0.6324617	0.9925792	0.0646597	0.9044695	0.9458312	0.4993825	0.0195654	0.2099020	1.0000000
0.8606411	0.6324534	0.9925792	0.0646597	0.9032957	0.9747542	0.9997906	0.0095594	0.2109510	1.0000000
0.8606411	0.6324534	0.9925798	0.0646565	0.9849952	0.9583962	0.9992536	0.0152113	0.1051794	1.0000000
0.8606388	0.6324485	0.9925798	0.0646564	0.9877790	0.9588486	0.9992745	0.0150574	0.0976416	0.5000000
