YJR060W	YGL096W	YKL043W	YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W
0.0000000	0.1036025	0.2627187	0.5744894	0.0000000	0.3272364	0.8411382	0.6212096	0.4513631	0.6892228
0.0000000	0.4360376	0.8178490	0.0000000	0.2375713	0.3901741	0.6399420	0.2087719	0.6277783	0.7560777
0.0000000	0.4869871	0.5821601	0.1476662	0.6565986	0.6789091	0.0000000	0.1638046	0.7038560	0.7443482
0.0000000	0.2872132	0.3726490	0.4037481	0.1718554	0.2530661	0.8274819	0.0000000	0.7019984	0.7789164
0.0000000	0.1524460	0.3213003	0.4382009	0.2175305	0.2718409	0.7123693	0.4730350	0.0000000	0.6307260
0.0000000	0.2634732	0.3689155	0.4216297	0.2409069	0.3487964	0.6481770	0.5130618	0.6326057	0.0000000
0.5371606	0.4701314	0.7149679	0.0000000	0.0000000	0.2139780	0.7987456	0.3557790	0.4115523	0.7607167
0.5121380	0.6442133	0.7972373	0.0000000	0.4353574	0.6200792	0.0000000	0.0069925	0.4663319	0.5916523
0.5849565	0.5318575	0.6205621	0.0000000	0.1422139	0.2104791	0.9008610	0.0825377	0.0000000	0.7247629
0.0998397	0.1448817	0.2055417	0.8193493	0.0000000	0.8755219	0.0000000	0.7465077	0.3635668	0.8911907
