"Time"	YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W

0	0.1585958	0.4228090	0.6219107	0.7389592	0.2945932	0.7057578	0.0271572	0.0996931	0.0469705	0.7848253
50	0.2734109	0.1761624	0.4807615	0.6801014	0.5699765	0.5318973	0.0454958	0.0943484	0.0530229	0.2719411
100	0.2649629	0.1982638	0.4654231	0.7962208	0.5303942	0.5593486	0.0196723	0.0568339	0.2944255	0.1770656
150	0.3916243	0.2407553	0.5913958	0.7983281	0.4741449	0.4759713	0.0271758	0.1277957	0.5517420	0.0729101
200	0.4265771	0.2148980	0.4567226	0.7533308	0.2871219	0.4397636	0.0684107	0.3426837	0.6610686	0.1247132
250	0.3761820	0.1995287	0.5504326	0.7330632	0.3317535	0.3861344	0.2298941	0.4225812	0.7641084	0.1197162
300	0.5592111	0.1958242	0.4409354	0.7004427	0.3157839	0.1904858	0.3745568	0.4263813	0.7920974	0.0871637
350	0.5199549	0.1914698	0.5918712	0.7414337	0.2706386	0.0841491	0.4188953	0.4653984	0.6156756	0.0891445
400	0.4133098	0.1822367	0.4896691	0.7947693	0.1947996	0.0235905	0.3946119	0.4238907	0.7358848	0.0490995
450	0.4887642	0.2080965	0.4391137	0.6073709	0.2572921	0.0089250	0.4078804	0.4553366	0.8246456	0.0922935
500	0.4486538	0.2072242	0.3552366	0.6680263	0.1800524	0.0160375	0.4104278	0.5452303	0.5830006	0.0954729
550	0.3116015	0.3576387	0.4447293	0.7653831	0.0465796	0.0468140	0.4324916	0.4767300	0.5695982	0.5842100
600	0.2748552	0.3742734	0.5185794	0.7137202	0.0203331	0.0371863	0.5279133	0.5714601	0.2265191	0.6406741
650	0.1912558	0.4118312	0.5467931	0.7897053	0.0112799	0.0237893	0.6079295	0.3530623	0.1071751	0.6502684
700	0.1754885	0.4113633	0.5691312	0.8691426	0.0155028	0.0273717	0.4153463	0.3407204	0.0826779	0.8567642
750	0.1548812	0.4139970	0.4875705	0.8359113	0.0127433	0.0210928	0.3149531	0.1534988	0.0269209	0.7347146
800	0.1534334	0.2940411	0.5255045	0.7517287	0.0149192	0.0808443	0.1489516	0.1034884	0.0375326	0.7914236
850	0.1548353	0.2949869	0.5232206	0.7428273	0.0201852	0.2824099	0.0702540	0.1082312	0.0351471	0.6764399
900	0.1467203	0.2871580	0.4836115	0.7684503	0.0907561	0.3977439	0.0757081	0.0899426	0.0119849	0.6850594
950	0.1652516	0.3445294	0.5050156	0.7695630	0.2059544	0.6807705	0.0811816	0.1445589	0.0218305	0.7406395
1000	0.1212510	0.3964977	0.5927188	0.8052735	0.2907430	0.7026488	0.0568335	0.1128784	0.0259946	0.7367360

0	0.1501143	0.3825533	0.6731102	0.8770607	0.3827584	0.6964071	0.0539996	0.1030469	0.0161744	0.8278103
50	0.1182209	0.4289865	0.6273370	0.8339358	0.5297596	0.7028756	0.0577624	0.0692491	0.0770334	0.7094736
100	0.0918169	0.3924538	0.5761872	0.7566148	0.5543851	0.6678868	0.0708214	0.0861664	0.0384050	0.5484127
150	0.1045548	0.3080095	0.4992637	0.6540072	0.5660809	0.7784139	0.0632197	0.0937203	0.0240190	0.6555059
200	0.0849853	0.3043963	0.4178848	0.8045775	0.6112299	0.8153626	0.0447013	0.0695591	0.0482349	0.7472334
250	0.0613372	0.3871164	0.6033033	0.7766242	0.4570929	0.7072488	0.0272478	0.0914561	0.0511068	0.6446358
300	0.0713987	0.2915698	0.4803326	0.7728881	0.4860417	0.8656979	0.0417323	0.1057863	0.0069058	0.6033409
350	0.0882473	0.3609297	0.5139550	0.7471130	0.4588694	0.6977415	0.0564506	0.0786774	0.0179645	0.6724884
400	0.0603929	0.3479050	0.4775693	0.7921008	0.6870930	0.7060847	0.0379854	0.0882702	0.0220106	0.5840115
450	0.1427839	0.4096123	0.5849438	0.7235755	0.6843392	0.6549764	0.0694620	0.0756207	0.0180785	0.6219715
500	0.0954076	0.3826955	0.4962107	0.6086325	0.5092323	0.7704361	0.0377106	0.0398816	0.0239767	0.5671833
550	0.1039264	0.3325431	0.6014399	0.7245760	0.4491887	0.6587653	0.0329778	0.0617504	0.0546181	0.8167391
600	0.1306489	0.3800017	0.5786639	0.7226800	0.5044925	0.8298672	0.0268998	0.0756242	0.0440948	0.8135020
650	0.1321278	0.3642701	0.4879921	0.6262526	0.5058052	0.6567804	0.0352254	0.1037118	0.0170289	0.7703681
700	0.1378665	0.3844220	0.4763413	0.7862093	0.4291246	0.6295098	0.0394436	0.0544442	0.0619312	0.7324814
750	0.1153008	0.2859157	0.5300269	0.5965228	0.4610212	1.0000000	0.0315433	0.0784905	0.0382702	0.6648670
800	0.0985235	0.3285080	0.6219613	0.9006854	0.4925810	0.7569695	0.0549801	0.0863746	0.0716164	0.6742243
850	0.1854063	0.3068221	0.4373580	0.8862666	0.5075611	0.7715397	0.0463414	0.0970371	0.0313811	0.7932595
900	0.1438146	0.3300522	0.4362580	0.7202483	0.5480546	0.6494809	0.0346148	0.0850776	0.0352472	0.7076836
950	0.1526006	0.3292920	0.4228207	0.8138385	0.4976009	0.6220146	0.0837276	0.0959398	0.0226801	0.7879420
