YNL216W	YBR049C	YDL020C	YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W
0.1361451	0.4287551	0.6681055	0.9999973	0.5500493	0.6602099	0.1496353	0.0772303	0.0473784	0.7033185
0.1769976	0.5055720	0.6642736	0.9940885	0.0001241	0.0116470	0.6557156	0.8015853	0.9846389	0.0879521
0.1382455	0.5675214	0.5998407	0.9039186	0.6032985	0.9885693	0.0624191	0.1620181	0.0139839	0.9972518
0.2814617	0.4150562	0.5969220	0.9001843	0.5639516	0.9136623	0.0001789	0.0099531	0.0193518	1.0000000
0.1798101	0.5020684	0.6680936	0.9999786	0.8499244	0.5417805	0.2011951	0.1355462	0.0152004	1.0000000
0.1653633	0.5020557	0.6681075	1.0000000	0.7086161	0.7569353	0.0016065	0.0280306	0.0434349	1.0000000
0.5688351	0.2605346	0.7689803	0.9689172	0.0006047	0.0251023	0.5348194	0.5504341	0.0650861	1.0000000
0.2685902	0.4232964	0.6681050	0.9999965	0.4263272	0.5310859	0.1143418	0.2214902	0.1035281	0.7022039
0.3993140	0.3297040	0.8334848	0.7846723	0.7040236	0.9585623	0.0050572	0.0482839	0.0670599	1.0000000
0.0608056	0.8526664	0.3276511	0.6189865	0.0013342	0.0363133	0.7217731	0.4439515	0.0540660	0.6268177
