YER111C	YLR182W	YLR183C	YPR104C	YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C
0.0000000	0.8977111	0.5374559	1.0451334	0.6497150	0.1660897	0.1082363	0.1617545	1.0127103	0.9850442
1.0076444	0.0000000	0.5156589	1.0349918	0.5915030	0.1098985	0.1407971	0.1924693	1.0506315	0.9855864
0.4988238	0.9651429	0.0000000	0.9351285	0.4431992	0.7129715	0.0377131	0.0038251	1.0617673	1.0723313
0.8765278	0.4912278	1.0423848	0.0000000	0.2557815	0.9300854	0.3430808	0.2471703	0.9233506	0.9552567
0.5960474	0.8896209	0.5450060	0.9779624	0.0000000	0.9170350	0.1647615	0.1635848	1.0258379	1.0177896
0.6811550	0.9021615	0.5139496	1.0411944	0.4467980	0.0000000	0.1263868	0.1800393	0.9816519	1.0498235
0.5562327	0.9318993	0.6451153	1.0769692	0.6651891	1.0671793	0.0000000	0.1890063	0.9894141	0.9844605
0.5170229	0.9310815	0.4913880	0.9722556	0.5114522	0.5737111	0.0351546	0.0000000	1.0170898	0.9554200
0.6325543	0.9060294	0.5108015	0.9473284	0.4367570	0.4399312	0.8390722	0.7098704	0.0000000	1.1488068
0.5400624	1.0086236	0.5360070	1.0638079	0.4096932	0.4158874	0.1459346	0.1432108	0.9946448	0.0000000
