YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C
0.0000000	0.8402577	0.1178020	0.0957332	0.1277807	0.2536427	0.9984725	0.9108184	0.2323922	0.9990410
0.1113325	0.0000001	0.1178020	0.0957332	0.1277807	0.2536427	0.9984725	0.9108184	0.2323922	0.9990410
0.9916166	0.9999921	0.0000000	0.0957332	0.1277807	0.2536427	0.9984726	0.9108407	0.2323495	0.9999999
0.9829119	0.8402578	0.1178020	0.0000001	0.1277807	0.2536427	0.9984725	0.9108184	0.2323922	0.9990410
0.9912740	0.9901978	0.0221116	0.0747489	0.0000011	0.2536426	0.9984727	0.9108419	0.2323494	0.9999972
0.9883887	0.9240522	0.0729857	0.0837977	0.0825551	0.0000000	0.9984726	0.9108364	0.2323578	0.9998192
0.6246270	0.3513749	0.4632751	0.3505182	0.5638043	1.0000000	0.0000000	0.9077901	0.2378572	0.8964710
0.6246779	0.3513732	0.4632900	0.3505161	0.5638042	1.0000000	0.0183139	0.0000000	0.2378559	0.8964718
0.9829190	0.8403549	0.1177491	0.0957178	0.1277289	0.2535042	0.9989660	0.9999938	0.0000001	0.9990424
0.9912751	0.9902013	0.0221115	0.0961973	0.1294712	0.2582512	0.9827084	0.5077331	0.9999995	0.0000001
