YKL062W	YDR216W	YDR451C	YMR016C	YNL167C	YGL181W	YGL071W	YKL015W	YKL109W	YGL035C
0.2799760	0.0297611	0.3383363	0.1073899	0.2373389	0.5717065	0.1022194	0.0000012	0.7801160	1.0000000
0.0828151	0.3539249	0.5522375	0.1286908	0.5483862	0.9999999	0.4463872	0.0303201	0.8181442	1.0000000
0.1371414	0.0000878	0.0806260	0.1903417	0.1263274	0.4225899	0.0000000	0.0347909	0.6409756	1.0000000
0.1198352	0.3124474	0.0480220	0.1710061	0.2522780	0.5729371	0.6138762	0.1540151	0.9894361	1.0000000
0.0396927	0.1971631	0.0004973	0.0750623	0.3495142	0.1053521	0.0000000	0.0115841	0.9995008	1.0000000
0.5744334	0.2772207	0.3924805	0.2257172	0.2004884	0.5720093	0.4223376	0.0143972	0.9709360	1.0000000
0.1694545	0.0108555	0.2736355	0.1825708	0.1165766	0.4096311	0.0000000	0.0249524	0.8356007	0.9569988
0.0263691	0.1757499	0.3938618	0.0560710	0.4870361	0.0000001	0.0000000	0.0047693	0.9998312	1.0000000
0.5949353	0.2534522	0.0461948	0.1769046	0.3014779	0.6931130	0.0953872	0.4761242	0.5556594	0.9848683
0.1362620	0.0000834	0.0795196	0.1005053	0.3073263	0.5720089	0.3202541	0.0108628	0.9285042	1.0000000
