YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.0000000	0.0952543	0.0321181	0.7394226	0.5869805	0.9727937	1.0336723	0.9614098	0.0510812	0.1059523
0.0304700	0.0000000	0.0670002	0.6520048	0.4852519	0.9765195	0.9911146	1.0580500	0.0421323	0.0914747
0.0247269	0.0615866	0.0000000	0.6775303	0.6187270	1.0413088	0.9627645	0.9682010	0.0719073	0.1270448
0.5914237	0.5844754	0.9545005	0.0000000	0.5466277	0.9852448	0.9429275	0.9446492	0.0783473	0.1223440
0.0401262	0.0724027	0.0140945	1.0424643	0.0000000	0.9330061	1.0514901	1.0260598	0.0648335	0.0951767
0.0229508	0.0666149	0.0445066	0.9662698	0.0155716	0.0000000	1.1182082	0.9291633	0.0396084	0.1028029
0.0314409	0.0688977	0.0161785	1.0431446	0.0259923	0.0331375	0.0000000	0.8887417	0.0668160	0.1098561
0.0637046	0.0951658	0.0289167	0.7413734	0.5954284	0.9169276	0.9901458	0.0000000	0.1315927	0.1398230
0.0415869	0.0680908	0.0462554	0.6367742	0.4891290	0.8989714	0.9877147	1.0685825	0.0000000	0.1013590
0.0349910	0.0872819	0.0415202	0.6811879	0.5382449	0.9447091	0.9588763	1.0414453	0.0634974	0.0000000
