YGL209W	YCR065W	YER040W	YEL009C	YDR259C	YPL177C	YML099C	YKR034W	YCL067C	YJL110C
0.0150907	0.0657434	0.0247471	0.7466907	0.5599848	0.9405051	0.9631579	1.0530725	0.0410688	0.1064383
0.0255011	0.0416058	0.0361071	0.6463356	0.6748809	1.0436975	0.9713155	0.9923692	0.0385930	0.0964959
0.0413525	0.0934408	0.0300582	0.7656554	0.6815997	1.0416753	1.1049420	0.9152143	0.0633747	0.1252453
0.1212656	0.1637629	0.3051479	0.3376417	0.6018206	1.0825230	0.9552576	1.1215527	0.0938806	0.1070528
0.0504659	0.0842243	0.0381033	0.8376673	0.2967059	1.0053960	0.9495709	1.1179225	0.0445662	0.1103538
0.0337287	0.0742091	0.0163913	1.1289131	0.0473788	0.5040085	0.9700563	1.0245892	0.0620426	0.0924750
0.0498924	0.0949767	0.0249561	0.9786048	0.0723210	0.5924848	0.5187935	1.0050011	0.0541307	0.1035735
0.0274565	0.0640038	0.0447925	0.6459846	0.4510370	0.8574693	0.9899387	0.5205537	0.0642109	0.0851904
0.0335545	0.1071762	0.0716962	0.6534862	0.3947209	1.0299109	0.9183698	0.9157030	0.0391736	0.1119029
0.0322759	0.0900532	0.0301376	0.6684076	0.4760949	0.9304870	1.0021112	1.0591869	0.0486346	0.0616216
