G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	1.0179300	0.0362656	0.9972719	0.7194643	0.7430721	0.9918006	0.9511399	0.7535858	0.2745257
0.0576694	0.0000000	1.0413115	0.0310553	0.0013419	0.0559082	0.0099977	0.0552477	0.0152966	0.0740754
0.7554682	0.9955904	0.0000000	1.0230587	0.7061564	0.7306830	1.0220321	0.9002649	0.8279318	0.3023993
0.6558346	0.9643964	0.0503746	0.0000000	0.7444699	0.7385750	1.0443293	1.0353520	0.8105984	0.2969580
0.6648727	0.9575668	0.0356983	0.9673900	0.0000000	0.7035417	1.0795109	0.9537399	0.7199889	0.2638324
0.6818594	1.0101861	0.0331626	1.0469705	0.7522820	0.0000000	1.0903007	0.9020678	0.8150984	0.3190299
0.7270859	0.9866044	0.0623751	0.9665594	0.7176460	0.7155007	0.0000000	0.9580340	0.7426368	0.2787485
0.6117019	1.0705603	0.0332842	0.9608644	0.7472280	0.6684725	1.0148142	0.0000000	0.7065529	0.2954569
0.6151871	0.9687862	0.0442205	0.9038955	0.6340418	0.6726752	0.9833695	0.4747083	0.0000000	0.0687858
0.5806088	1.0403932	0.0315774	1.0673221	0.7402052	0.6518097	1.0446834	0.9101704	0.8331349	0.0000000
