"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.6036357	0.9837782	0.0399285	0.9954346	0.7089312	0.7280842	0.9501962	0.9898384	0.8227260	0.2941831
50	0.7421695	1.0157008	0.0503258	1.0060709	0.7230285	0.7381102	1.0237701	0.8141951	0.9005060	0.2782097
100	0.8191724	0.9721126	0.0436919	0.9229600	0.7451220	0.7504669	1.0289999	0.8962001	0.9558489	0.2699194
150	0.9289233	0.9396788	0.0490527	0.9561623	0.6951327	0.6547835	0.9530598	0.8582833	0.9758539	0.3143045
200	1.0081940	1.0210962	0.0532445	1.0397134	0.6770405	0.7378830	0.9896506	0.9828592	0.9128139	0.3014748
250	0.9363688	1.0254035	0.0415297	0.9585211	0.6731668	0.7759804	0.9618689	1.0028491	0.9494639	0.3275636
300	0.9446988	1.0026910	0.0339707	0.9940131	0.7028964	0.8201255	0.8835787	0.9274371	1.0738210	0.3648745
350	0.9537744	1.0296418	0.0370249	0.9257769	0.7252908	0.8737845	0.9880456	0.8565542	0.9223611	0.3890397
400	0.9443510	0.9772901	0.0398913	0.9610070	0.8046082	0.8341289	0.9829562	1.0478784	0.8800719	0.3812988
450	0.9513327	0.8872864	0.0439717	1.0881774	0.8317904	0.7916353	0.9772132	1.0557646	0.8445674	0.3726263
500	1.0364088	0.9601962	0.0372770	1.0611890	0.7601014	0.7438266	0.9709914	0.9381184	0.8359945	0.3795849
550	0.9359894	1.1045797	0.0335400	0.9202763	0.7441998	0.8380827	1.0378088	0.8596113	0.7763990	0.2726734
600	0.8035220	1.0000498	0.0526709	0.9082705	0.7985441	0.8025372	0.9813590	0.9416230	0.8377213	0.3263667
650	0.6663056	1.0257460	0.0592057	1.0364048	0.7723303	0.7885942	1.1031594	0.9206753	0.7947089	0.3099163
700	0.6600868	0.9414463	0.0355073	1.0139300	0.7197305	0.7436409	1.0166697	0.9502335	0.6471607	0.2385917
750	0.6927795	0.9536019	0.0222877	1.0652644	0.7960927	0.7136755	1.0920835	0.9856220	0.7667800	0.2849649
800	0.6862341	0.9733253	0.0365782	0.9613650	0.7126718	0.7739917	1.0423161	0.8442309	0.6737919	0.3331478
850	0.6352524	1.0175008	0.0305512	0.8632692	0.6950418	0.8930802	0.9316599	0.9292440	0.7456305	0.2827988
900	0.6487315	1.0637628	0.0563602	0.9574680	0.7849090	0.8427432	0.9864792	0.8745372	0.7318911	0.2950683
950	0.6491518	0.9963691	0.0441014	1.0164309	0.7548284	0.7970206	1.0232434	0.9335895	0.7899094	0.3031510
1000	0.6927763	1.0601361	0.0360578	0.9543544	0.7760608	0.8734167	0.9589974	0.9512066	0.8474109	0.2647516

0	0.6036357	0.9837782	0.0399285	0.9954346	0.7089312	0.7280842	0.9501962	0.9898384	0.8227260	0.2941831
50	0.6897718	1.1021865	0.0479354	0.9575959	0.7674975	0.7631347	0.9251322	0.9275164	0.7438620	0.5339253
100	0.7314959	0.9990319	0.0357752	1.0164902	0.7096780	0.8934014	0.8919759	0.9303085	0.8066686	0.7339546
150	0.7822325	0.9503791	0.0319543	1.0498722	0.7428861	0.8696898	0.9050616	0.9415743	0.8115416	0.7983169
200	0.8600147	0.9622061	0.0374458	0.9618738	0.6901230	0.7795694	1.0003876	0.9526537	0.8375303	0.8476614
250	0.8892121	0.9282884	0.0075806	0.9859899	0.7124256	0.7961646	0.9764845	0.9365725	0.8208251	0.9526503
300	0.9089570	0.9156047	0.0172734	0.9924889	0.7579735	0.8509137	0.9506148	0.9310356	0.8170308	0.8600007
350	0.8321344	0.9893317	0.0228194	1.0033586	0.6808625	0.8637641	0.9627335	0.8782510	0.6811224	0.8422830
400	0.8657228	1.1196694	0.0360870	1.0203409	0.7038853	0.9133379	0.9855551	0.8980154	0.7127090	0.9009211
450	0.9463066	1.1953236	0.0329883	1.0061821	0.7603848	1.0218587	0.8869120	0.8882953	0.7319224	0.8904657
500	0.8326607	1.0249396	0.0401330	1.0647386	0.7929677	0.9375507	0.9211537	0.8746488	0.8329871	0.8683385
550	0.7997372	0.9721600	0.0365953	1.0203036	0.7012261	0.8215392	0.9085813	0.9387838	0.8641554	0.7141610
600	0.8240195	0.8893682	0.0363011	1.0340589	0.6839713	0.8555262	0.8912507	0.8663745	0.7405951	0.3960332
650	0.7335578	0.9289454	0.0362374	1.0009967	0.7616981	0.7269188	0.9621987	0.9484699	0.7789156	0.2460532
700	0.6942868	1.0178902	0.0252203	1.0024298	0.7108957	0.8310637	1.0578766	0.9234612	0.8473406	0.2860227
750	0.6299413	1.0454154	0.0233576	1.1120859	0.7401917	0.7803892	1.0041962	0.9351840	0.7304662	0.2865494
800	0.6882597	1.1170459	0.0342878	0.9989616	0.6719629	0.7685441	0.9982832	0.9406887	0.7659151	0.2963028
850	0.7495628	1.1051975	0.0388017	0.9868527	0.7141387	0.7635857	0.9895759	0.9709494	0.7722337	0.2416560
900	0.6721759	1.1306843	0.0434187	1.0624490	0.8705437	0.6878391	1.1195637	0.9580483	0.8043673	0.2808245
950	0.6557280	1.0905901	0.0308065	1.0067977	0.7762254	0.6194666	1.0932769	0.8792612	0.7815295	0.3495957
1000	0.7289903	1.0972938	0.0476166	0.9536980	0.7631225	0.7008126	1.0266649	0.9419281	0.7867908	0.2429213

0	0.6036357	0.9837782	0.0399285	0.9954346	0.7089312	0.7280842	0.9501962	0.9898384	0.8227260	0.2941831
50	0.7340595	1.0111863	0.0341861	0.9803732	0.8119963	0.7858224	0.9201552	0.9657577	0.8956171	0.2507972
100	0.8014460	0.8883812	0.0335776	0.8627458	0.8060553	0.7922429	0.8786639	0.9158925	0.8271109	0.3299829
150	0.9101220	0.9232571	0.0491919	0.8949288	0.8666450	0.7832954	0.9305951	0.9350495	0.8414381	0.2455629
200	0.9251069	1.0087034	0.0418604	0.8602239	0.8441900	0.7783565	1.0359624	1.0150960	0.7476806	0.2392500
250	0.9997448	0.9704020	0.0350045	0.8539749	0.8813502	0.7619581	0.9256686	1.0246147	0.8327409	0.2243319
300	1.0151985	0.9629441	0.0334561	1.0044514	0.7952085	0.8782028	1.0032521	1.0675374	0.9045704	0.2602969
350	0.9291198	0.9876078	0.0326033	1.0369465	0.8170697	0.8270501	1.0294465	0.9429687	0.9143085	0.2358980
400	1.0090052	1.0749864	0.0329161	1.0469592	0.8073948	0.7084857	1.0484229	0.9189722	0.8459991	0.2402673
450	1.0045060	1.0271060	0.0281791	0.9645512	0.8239985	0.7019130	1.0254674	0.9223939	0.7526335	0.2969958
500	1.0018667	1.0269038	0.0346361	0.9867561	0.8428093	0.6987521	1.0008137	1.0036209	0.8260218	0.2451663
550	0.8886163	1.1012863	0.0439213	0.9544532	0.7523881	0.6489677	0.9512424	0.9704059	0.8566348	0.3089127
