G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.2612879	0.6449882	0.0309866	0.7202271	0.5698713	0.5660377	0.5710910	0.7001183	0.5465038	0.2326423
0.2001791	0.3357142	0.0273347	0.5164422	0.1498375	0.2931516	0.5975804	0.2324787	0.2623543	0.0804026
0.5033660	0.7348171	0.0022094	0.7545200	0.4266269	0.6262031	0.7756873	0.7574416	0.6510205	0.1990333
0.4462539	0.6258473	0.0732062	0.3721726	0.5026692	0.5661273	0.8056609	0.6470925	0.7001075	0.2504046
0.4292480	0.7993408	0.0271243	0.5991784	0.2347052	0.5731007	0.6839898	0.6173777	0.5901867	0.2169596
0.5582747	0.7975110	0.0247784	0.8437053	0.5022416	0.2499825	0.6819323	0.8339719	0.4749143	0.1930244
0.5803767	0.7203122	0.1098230	0.8210440	0.5788618	0.5174304	0.3064913	0.6583973	0.5336368	0.2007449
0.4167074	0.7146726	0.0389292	0.6672040	0.6311042	0.6125802	0.5743095	0.3830721	0.6169475	0.2093408
0.4548656	0.7958353	0.0359361	0.7610374	0.5676043	0.5376936	0.5991718	0.3907504	0.3749203	0.1307341
0.4420835	0.6602305	0.0302374	0.6999799	0.5342551	0.4038428	0.6113258	0.6955474	0.5576700	0.0485092
