"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.3901593	0.5718944	0.8335132	0.3427675	0.7378529	0.7126941	0.4102227	0.2362411	0.1719474	0.0188507
50	0.5360975	0.7517965	0.7200195	0.4195816	0.6541559	0.7922303	0.4762494	0.2637536	0.1764693	0.0022676
100	0.6980834	0.7870241	0.7218081	0.4032143	0.6828752	0.9159433	0.4842974	0.2561611	0.1429117	0.0002928
150	0.8805748	0.7423121	0.7230850	0.3756785	0.5099719	0.7631524	0.4057596	0.2332033	0.1566645	0.0090405
200	0.6914418	0.7958369	0.7909222	0.3800722	0.5747106	0.6796868	0.3767724	0.3196702	0.2202442	0.0002376
250	0.6884591	0.7585162	0.7230686	0.3995873	0.6847064	0.7164790	0.3786581	0.3395215	0.2174165	0.0013727
300	0.6575245	0.7657086	0.7692071	0.4114878	0.6560576	0.7876541	0.3496291	0.2796419	0.1784987	0.0044932
350	0.7323383	0.7703659	0.7586334	0.3606505	0.5646730	0.6872175	0.3765280	0.2474387	0.1737691	0.0001495
400	0.7403726	0.7140013	0.7168582	0.4637614	0.6957455	0.8217154	0.2703869	0.4145751	0.2842574	0.0006123
450	0.7999639	0.7048435	0.7043251	0.4019046	0.6030857	0.7293201	0.3914342	0.2780298	0.1796543	0.0000094
500	0.7965275	0.6139217	0.9739206	0.3386582	0.6304592	0.7515122	0.4052491	0.2441410	0.1690679	0.0006024
550	0.5614580	0.7985781	0.8059111	0.3917209	0.6441902	0.8661091	0.4588531	0.3118203	0.1244619	0.0033450
600	0.5674963	0.7263620	0.6918879	0.4594912	0.6365844	0.8975061	0.4428825	0.3692571	0.1577193	0.0019007
650	0.6036680	0.9727738	0.6518789	0.5036632	0.7093743	0.7307534	0.3780780	0.2735431	0.1514051	0.0227787
700	0.4817186	0.7970103	0.7680060	0.4230129	0.5997715	0.8512642	0.3242264	0.2603094	0.2299354	0.0129976
750	0.5664558	0.6937489	0.8242264	0.5100819	0.6640614	0.8292044	0.4121642	0.2647663	0.1647959	0.0171202
800	0.5160153	0.6697579	0.8551491	0.5960447	0.6111321	0.7549994	0.6940401	0.3048062	0.1778986	0.0137563
850	0.4456820	0.8105670	0.7186065	0.4883884	0.7122295	0.7270899	0.3757082	0.2205289	0.1633629	0.0127410
900	0.4350526	0.7614674	0.7842203	0.3822590	0.5083795	0.8525645	0.4168259	0.2986400	0.2069076	0.0077500
950	0.4097627	0.9264142	0.6737141	0.3829456	0.7030129	0.6662433	0.4305333	0.2667061	0.1867972	0.0059864
1000	0.4488006	0.7000136	0.7961030	0.5556559	0.6495775	0.7439383	0.3668240	0.3803764	0.2591641	0.0114653

0	0.4700270	0.5752251	0.7850937	0.4176304	0.8157060	0.6915594	0.4547678	0.3366716	0.1509660	0.0220262
50	0.6873019	0.7270511	0.8319381	0.4875503	0.6511260	0.8132246	0.4734903	0.2758327	0.1700932	0.0025388
100	0.6540336	0.7422751	0.6084608	0.5119990	0.7156331	0.9176247	0.4304981	0.2639281	0.1696617	0.0015167
150	0.6031356	0.6945907	0.7139458	0.4821148	0.6814867	0.7308413	0.3944578	0.2532866	0.2247465	0.0002747
200	0.6712696	1.0000000	0.7071001	0.4036449	0.6708590	0.7117616	0.5207096	0.2367745	0.1665493	0.0011065
250	0.5589346	0.7018508	0.8498171	0.4389945	0.7671160	0.7053908	0.4766925	0.2760921	0.1879087	0.0073790
300	0.7041123	0.7962113	0.6896089	0.3891479	0.7972238	0.7138867	0.3580824	0.3314980	0.2379578	0.0024571
350	0.5945887	0.6620881	0.7546354	0.4180025	0.8392113	0.7279675	0.3950591	0.2936667	0.1645555	0.0000579
400	0.6054860	0.6923185	0.7521320	0.4603849	0.7387855	0.7657253	0.4309324	0.3324248	0.1988416	0.0000234
450	0.6173326	0.6446674	0.7297675	0.4090495	0.8105019	0.7244545	0.4103283	0.3670295	0.2085982	0.0021589
500	0.6215282	0.7345876	0.6977425	0.4702918	0.5678619	0.7932380	0.3825507	0.2689427	0.2872597	0.0008634
550	0.3905890	0.6367033	0.6625954	0.4893625	0.6845539	0.7418572	0.3385209	0.3394418	0.2088125	0.0189595
600	0.4054280	0.7263327	0.8392196	0.4839526	0.8314299	0.8626624	0.4469137	0.3305817	0.2344164	0.0315416
650	0.3618992	0.6687329	0.5609575	0.4001505	0.7649846	0.7225158	0.4262380	0.2606852	0.1381895	0.0200011
700	0.4197203	0.6321084	0.7096555	0.4459532	0.7094455	0.8040624	0.3856901	0.3852353	0.1415055	0.0293595
750	0.4290690	0.7674640	0.6678450	0.4876728	0.5920047	0.8520885	0.4753029	0.3662019	0.1136544	0.0068585
800	0.4341783	0.9830824	0.6456515	0.4605333	0.6409394	0.7263046	0.3918143	0.3149704	0.2118687	0.0108902
850	0.4098205	0.7892310	0.8525783	0.4774918	0.6776242	0.7402966	0.3197546	0.3401860	0.1460748	0.0278797
900	0.5100283	0.7414054	0.7454996	0.4483408	0.6500053	0.7810275	0.3559021	0.2744509	0.1777838	0.0062955
950	0.4395432	0.7466406	0.5681328	0.3426930	0.8327807	0.7601982	0.3348369	0.2478014	0.1705655	0.0053281
1000	0.4792566	0.7194736	0.7317759	0.3932537	0.7103103	0.7598563	0.3082328	0.3054135	0.1957770	0.0144926

0	0.3379970	0.8322464	0.6614660	0.4050928	0.8434791	0.9751269	0.4462497	0.2200217	0.1592908	0.0142756
50	0.4106551	0.5646451	0.7283459	0.5161295	0.7243968	0.4428527	0.3151654	0.2698369	0.3825498	0.0192507
