G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.2989823	1.0000000	0.9677963	0.5800678	0.8657396	1.0000000	0.5703418	0.3940765	0.2329176	0.0125255
0.3676436	0.5000003	0.9358827	0.2882335	0.8148872	1.0000000	0.4896507	0.3940765	0.2329176	0.0125255
0.5975750	1.0000000	0.4840532	0.5800678	0.8657396	1.0000000	0.5703418	0.3940765	0.2329176	0.0125255
0.5975750	1.0000000	0.9677963	0.2901407	0.8657396	1.0000000	0.5703418	0.3940765	0.2329176	0.0125255
0.5975750	1.0000000	0.9677963	0.5800678	0.4330187	1.0000000	0.5703418	0.3940765	0.2329176	0.0125255
0.5975750	1.0000000	0.9313183	0.4036470	0.7530617	0.5000158	0.1683761	0.5763891	0.8291125	0.0170721
0.5975750	1.0000000	0.9677963	0.5800678	0.8657396	1.0000000	0.2852536	0.3940765	0.2329176	0.0125255
0.5975750	1.0000000	0.9677963	0.5800678	0.8657396	1.0000000	0.5703418	0.1970889	0.2329176	0.0125256
0.5975750	1.0000000	0.9677963	0.5800678	0.8657396	1.0000000	0.5703418	0.3940765	0.1165047	0.0125255
0.5975750	1.0000000	0.9677963	0.5800678	0.8657396	1.0000000	0.5703418	0.3940765	0.2329176	0.0062732
