G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.1485805	0.8963760	0.0067105	0.5873723	0.0254107	0.0319056	0.0597452	0.0000176	0.9496739	0.9866306
0.0039715	0.8958974	0.0027839	0.5301863	0.0242034	0.0978006	0.0292214	0.0037623	1.0145485	0.8949243
0.0065944	0.9970322	0.0477114	0.5123756	0.0760029	0.1076509	0.0751629	0.0856815	1.0349652	0.8701825
0.0162792	1.0001872	0.0031338	0.5114758	0.0681174	0.0379016	0.0715034	0.0024727	0.5668681	0.8699616
0.1574382	0.8671758	0.0267287	0.4259355	0.0922562	0.1322203	0.0385177	0.1117731	0.9031470	1.0446759
0.1184999	0.9511109	0.0007627	0.5727934	0.0574038	0.1180453	0.0381351	0.0000254	0.9801921	0.8355052
0.0068999	0.9428892	0.0345230	0.5717810	0.0609405	0.0204707	0.0280127	0.0005919	1.0202297	0.9511483
0.1893895	0.7806963	0.0268651	0.6110466	0.0133622	0.0430244	0.0946880	0.1079501	0.8436301	0.9038559
0.0280542	0.8569942	0.0060818	0.3357700	0.0989501	0.0724879	0.0178809	0.1010467	1.0014865	0.8884047
0.0056726	1.0138865	0.0047885	0.5447221	0.0994881	0.1070396	0.0492190	0.0003627	0.9827119	1.0390895
