G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.2707454	0.6245058	0.4758965	0.6471290	0.7262057	0.6597173	0.6360975	0.2207981	0.0495835	0.2264666
0.5324581	0.5856329	0.5378413	0.5389462	0.6332785	0.6254383	0.8038632	0.2997091	0.0262783	0.2681451
0.1394655	0.6440093	0.7115555	0.6359079	0.7884360	0.6312098	0.7449465	0.2558080	0.0048056	0.1620912
0.5328324	0.6369964	0.6397558	0.8121131	0.7780982	0.7282007	0.5914244	0.2156963	0.0241831	0.2018861
0.6847994	0.6936115	0.5936378	0.6360095	0.7416201	0.7704755	0.5833173	0.2878155	0.0083195	0.3215247
0.5363475	0.5036036	0.8364908	0.7136603	0.6913575	0.7341283	0.5620053	0.2563123	0.0035605	0.2159570
0.7647695	0.6270704	0.5894773	0.6742958	0.5939008	0.7036039	0.4184172	0.3034765	0.0661943	0.3136790
0.7396928	0.6938048	0.8345853	0.7168073	0.7348839	0.5987650	0.6007246	0.2772007	0.0073427	0.1108275
0.3379119	0.5630306	0.5453543	0.6117265	0.6228773	0.5280559	0.4978264	0.2496506	0.0355410	0.2659893
0.3368479	0.6449817	0.6697981	0.7278106	0.9009811	0.6255864	0.6613302	0.1414979	0.0578649	0.0391494
