G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.4967429	0.9526038	0.9957443	0.5468567	0.9611656	0.8312699	0.7900704	0.8394647	0.5194982	0.7038519
0.8871008	0.4644457	0.9696944	0.4024445	1.0354731	0.7934061	0.6638713	0.8384523	0.5361148	0.5510952
0.9916458	0.9293017	0.4907213	0.5737505	1.0496921	0.8225310	0.8853932	0.7547855	0.5814287	0.7002576
1.0010911	1.0291966	0.9696754	0.3374570	1.0320573	0.9353015	0.8521896	0.7545721	0.7326940	0.8574343
0.9058826	1.0025153	0.8915210	0.5663921	0.5365220	0.7711456	0.8242952	0.6969982	0.2194075	0.5181014
1.0382218	0.9779338	0.9652051	0.6282267	1.0007605	0.4755949	0.8304542	0.7361327	0.5767174	0.7262245
0.9713479	1.1233119	0.9660735	0.6297122	0.9060753	0.8884627	0.4605554	0.7404811	0.4986703	0.6981286
0.9582701	0.9292717	0.9838244	0.7153522	1.0065769	0.8682389	0.9083549	0.3846787	0.5974854	0.7846738
1.0641220	0.9253253	1.0654314	0.6085344	0.9955278	0.9481734	0.7153571	0.7845738	0.2662248	0.7226937
0.9574184	1.0873259	0.9130316	0.6486500	1.0113205	0.8598845	0.8100179	0.7965535	0.6137974	0.3462070
