G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	1.0000000	0.9983972	0.5964667	1.0000000	0.8527893	0.8545251	0.7662766	0.5679563	0.7242396
0.0191130	0.0000000	0.0684854	0.2314087	1.0000000	0.3237081	0.5351232	0.2715421	0.0711390	0.4384094
0.9540900	1.0000000	0.0000002	0.5964667	1.0000000	0.8527893	0.8545251	0.7662766	0.5679563	0.7242396
0.9540900	1.0000000	0.9983972	0.0000008	1.0000000	0.8527893	0.8545251	0.7662766	0.5679563	0.7242396
0.0191130	1.0000000	0.0684853	0.4222294	0.0000000	0.6936882	0.6547451	0.5066636	0.0711388	0.2986893
0.9540900	1.0000000	0.9983972	0.5964667	1.0000000	0.0000005	0.8545251	0.7662766	0.5679563	0.7242396
0.9540900	1.0000000	0.9983972	0.5964667	1.0000000	0.8527893	0.0000000	0.7662766	0.5679563	0.7242396
0.9540900	1.0000000	0.9983972	0.5964667	1.0000000	0.8527893	0.8545251	0.0000028	0.5679563	0.7242396
0.9540900	1.0000000	0.9983972	0.5964667	1.0000000	0.8527893	0.8545251	0.7662766	0.0000004	0.7242396
0.9540900	1.0000000	0.9983972	0.5964667	1.0000000	0.8527893	0.8545251	0.7662766	0.5679563	0.0000001
