G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.1622649	0.7535744	0.2349683	0.9651736	1.0894323	0.2412152	0.7331794	1.0467546	0.1842435	1.0011026
0.2535564	0.2922750	0.2381288	0.9599978	1.0137573	0.2512517	0.9528949	0.8951026	0.3283991	1.0773708
0.1509398	0.9365589	0.1281088	1.0280079	1.0043391	0.2206316	0.6217317	0.8976407	0.0680968	1.0714109
0.2359139	0.6316493	0.2658442	0.5254366	0.9914066	0.2278486	0.8683856	0.9830518	0.1561111	0.9947514
0.2854945	0.7570781	0.2648708	0.9797386	0.4387576	0.2092377	0.7634325	1.0551587	0.1417081	0.9519001
0.2622739	0.6812929	0.2886521	0.8923985	1.0101932	0.1197787	0.6370718	1.0552988	0.1299177	0.9664848
0.2732581	0.7324876	0.2258081	1.0300877	1.0117154	0.2890471	0.4383135	0.9429760	0.2009452	1.0683863
0.3618120	0.7171932	0.2369465	1.0560097	0.9585437	0.1962734	0.7991413	0.4436312	0.1421036	0.9809492
0.2857416	0.6591118	0.2703978	0.9444777	1.0190426	0.2480482	0.8114374	0.9572173	0.0728204	1.0036757
0.2679022	0.6831471	0.1997638	0.9967735	1.0167092	0.2905763	0.9340744	1.0408662	0.1506993	0.5019347
