"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.2716253	0.6516627	0.2455037	0.9973549	0.9849114	0.2662476	0.7500237	1.0000000	0.1484294	1.0000000
50	0.2782498	0.6516715	0.2455025	0.9973547	0.8998550	0.2663165	0.5925020	0.4156447	0.1055844	0.2141293
100	0.3147568	0.6516762	0.2455019	0.9973546	0.8922034	0.2942976	0.5984699	0.2315253	0.0904807	0.1197786
150	0.3924175	0.6516786	0.2455016	0.9973546	0.8915148	0.5319503	0.6169646	0.1735128	0.0868982	0.1084510
200	0.4860587	0.6516798	0.2455015	0.9973545	0.8914527	0.6476990	0.6258653	0.1552342	0.0943179	0.1070910
250	0.5606274	0.6516805	0.2455014	0.9973545	0.8914470	0.6755555	0.6296310	0.1494749	0.1116589	0.1069277
300	0.6070153	0.6516808	0.2455013	0.9973545	0.8914465	0.6821156	0.6311732	0.1476603	0.1302672	0.1069081
350	0.6321740	0.6516810	0.2455013	0.9973545	0.8914464	0.6838203	0.6317977	0.1470885	0.1438662	0.1069058
400	0.6447565	0.6516811	0.2455013	0.9973545	0.8914464	0.6843249	0.6320494	0.1469084	0.1518755	0.1069055
450	0.6507266	0.6516812	0.2455013	0.9973545	0.8914464	0.6844919	0.6321506	0.1468516	0.1560298	0.1069054
500	0.6534563	0.6516812	0.2455013	0.9973545	0.8914464	0.6845511	0.6321912	0.1468337	0.1580201	0.1069054
550	0.5688516	0.6516812	0.2455013	0.9973545	0.9765011	0.3960378	0.8272617	0.7311834	0.1585664	0.8927762
600	0.4243880	0.6516812	0.2455013	0.9973545	0.9841520	0.2881629	0.8079070	0.9153010	0.1519890	0.9871268
650	0.3417608	0.6516812	0.2455013	0.9973545	0.9848402	0.2699483	0.7776057	0.9733129	0.1496553	0.9984545
700	0.3026707	0.6516812	0.2455013	0.9973545	0.9849021	0.2668756	0.7619694	0.9915914	0.1488281	0.9998144
750	0.2851206	0.6516812	0.2455013	0.9973545	0.9849077	0.2663571	0.7550022	0.9973506	0.1485350	0.9999777
800	0.2774173	0.6516812	0.2455013	0.9973545	0.9849082	0.2662695	0.7520405	0.9991652	0.1484311	0.9999973
850	0.2740831	0.6516812	0.2455013	0.9973545	0.9849083	0.2662547	0.7508048	0.9997370	0.1483943	0.9999997
900	0.2726559	0.6516812	0.2455013	0.9973545	0.9849083	0.2662522	0.7502939	0.9999171	0.1483812	1.0000000
950	0.2720510	0.6516812	0.2455013	0.9973545	0.9849083	0.2662518	0.7500838	0.9999739	0.1483766	1.0000000
1000	0.2717969	0.6516812	0.2455013	0.9973545	0.9849083	0.2662517	0.7499978	0.9999918	0.1483750	1.0000000

0	0.2716253	0.6516627	0.2455037	0.9973549	0.9849114	0.2662476	0.7500237	1.0000000	0.1484294	1.0000000
50	0.2716257	0.6328610	0.2456000	0.3747960	0.9852014	0.1712187	0.4707148	1.0000000	0.3070830	1.0000000
100	0.2716605	0.6263648	0.2458572	0.1491517	0.9858142	0.1529135	0.3638090	1.0000000	0.3660257	1.0000000
150	0.2717412	0.6239670	0.2460897	0.0673679	0.9862514	0.1484781	0.3234699	1.0000000	0.3889646	1.0000000
200	0.2718406	0.6229588	0.2462387	0.0377259	0.9864804	0.1471869	0.3084594	1.0000000	0.3982394	1.0000000
250	0.2719299	0.6224718	0.2463212	0.0269823	0.9865884	0.1467894	0.3029643	1.0000000	0.4021119	1.0000000
300	0.2719963	0.6222151	0.2463641	0.0230883	0.9866386	0.1466697	0.3009982	1.0000000	0.4037789	1.0000000
350	0.2720401	0.6220756	0.2463862	0.0216770	0.9866628	0.1466344	0.3003201	1.0000000	0.4045197	1.0000000
400	0.2720670	0.6219997	0.2463976	0.0211655	0.9866749	0.1466234	0.3001010	1.0000000	0.4048600	1.0000000
450	0.2720826	0.6219587	0.2464035	0.0209801	0.9866812	0.1466192	0.3000392	1.0000000	0.4050215	1.0000000
500	0.2720915	0.6219367	0.2464066	0.0209129	0.9866846	0.1466173	0.3000276	1.0000000	0.4051004	1.0000000
550	0.2720915	0.6407074	0.2462979	0.6435414	0.9864026	0.2399903	0.5837712	1.0000000	0.2464070	1.0000000
600	0.2720537	0.6472054	0.2460246	0.8691683	0.9857959	0.2588348	0.6906362	1.0000000	0.1873862	1.0000000
650	0.2719686	0.6496209	0.2457941	0.9509174	0.9853557	0.2638715	0.7296715	1.0000000	0.1644402	1.0000000
700	0.2718671	0.6506431	0.2456540	0.9805337	0.9851225	0.2654751	0.7434699	1.0000000	0.1551997	1.0000000
750	0.2717789	0.6511350	0.2455791	0.9912624	0.9850115	0.2659986	0.7481365	1.0000000	0.1513648	1.0000000
800	0.2717149	0.6513906	0.2455409	0.9951486	0.9849595	0.2661645	0.7496022	1.0000000	0.1497262	1.0000000
850	0.2716734	0.6515270	0.2455216	0.9965561	0.9849344	0.2662172	0.7499960	1.0000000	0.1490044	1.0000000
900	0.2716485	0.6515999	0.2455118	0.9970657	0.9849218	0.2662356	0.7500589	1.0000000	0.1486762	1.0000000
950	0.2716342	0.6516385	0.2455068	0.9972501	0.9849154	0.2662433	0.7500366	1.0000000	0.1485223	1.0000000
1000	0.2716263	0.6516589	0.2455042	0.9973168	0.9849120	0.2662471	0.7500036	1.0000000	0.1484481	1.0000000

0	0.2716253	0.6516627	0.2455037	0.9973549	0.9849114	0.2662476	0.7500237	1.0000000	0.1484294	1.0000000
50	0.2283031	0.2330855	0.2486728	0.9977414	0.9906165	0.2377744	0.6533557	1.0000000	0.1744071	1.0000000
100	0.2129872	0.0903050	0.2734760	0.9987047	0.9978123	0.2146266	0.6825203	1.0000000	0.2512600	1.0000000
150	0.2133651	0.0409781	0.3821252	0.9993937	0.9996632	0.2941961	0.7276532	1.0000000	0.3132319	1.0000000
200	0.2287662	0.0221420	0.6270406	0.9997132	0.9999485	0.4423257	0.7534036	1.0000000	0.3572107	1.0000000
250	0.2495535	0.0131320	0.8462814	0.9998486	0.9999916	0.4941455	0.7648391	1.0000000	0.3904043	1.0000000
300	0.2647686	0.0085144	0.9485716	0.9999223	0.9999987	0.5040706	0.7694990	1.0000000	0.4105260	1.0000000
350	0.2735506	0.0062835	0.9839285	0.9999637	0.9999998	0.5058266	0.7713444	1.0000000	0.4208803	1.0000000
400	0.2782765	0.0052659	0.9947940	0.9999837	1.0000000	0.5061372	0.7720683	1.0000000	0.4257709	1.0000000
450	0.2808264	0.0048213	0.9980374	0.9999926	1.0000000	0.5061937	0.7723513	1.0000000	0.4279632	1.0000000
500	0.2822191	0.0046335	0.9990307	0.9999963	1.0000000	0.5062045	0.7724617	1.0000000	0.4289095	1.0000000
550	0.3416481	0.1211733	0.9515307	0.9999001	0.9999939	0.5062074	0.9115272	1.0000000	0.4292211	1.0000000
600	0.3623749	0.1718966	0.7015765	0.9989353	0.9998072	0.5062339	0.9644486	1.0000000	0.4271838	1.0000000
650	0.3645682	0.2288856	0.4921833	0.9976521	0.9991637	0.5062545	0.9818436	1.0000000	0.4188105	1.0000000
700	0.3552617	0.3104644	0.3729035	0.9971547	0.9980338	0.5050306	0.9811929	1.0000000	0.4011456	1.0000000
750	0.3388530	0.4044682	0.3081734	0.9972187	0.9964263	0.4934777	0.9654015	1.0000000	0.3709952	1.0000000
800	0.3200137	0.4904623	0.2754727	0.9974104	0.9944059	0.4486410	0.9343116	1.0000000	0.3280163	1.0000000
850	0.3031663	0.5553358	0.2599110	0.9975405	0.9921525	0.3754818	0.8931899	1.0000000	0.2794977	1.0000000
900	0.2906411	0.5976452	0.2526053	0.9975781	0.9899832	0.3157538	0.8516284	1.0000000	0.2358971	1.0000000
950	0.2824751	0.6225971	0.2491018	0.9975533	0.9881920	0.2842336	0.8169632	1.0000000	0.2029481	1.0000000
1000	0.2775972	0.6363919	0.2473639	0.9975041	0.9868968	0.2714814	0.7916499	1.0000000	0.1807780	1.0000000

0	0.2716253	0.6516627	0.2455037	0.9973549	0.9849114	0.2662476	0.7500237	1.0000000	0.1484294	1.0000000
50	0.2716702	0.4564615	0.2466805	0.9975376	0.9877995	0.2201739	0.7634685	1.0000000	0.1599374	1.0000000
100	0.2721689	0.3892346	0.2511255	0.9980432	0.9930199	0.1918393	0.8050063	1.0000000	0.1964398	1.0000000
150	0.2735803	0.3643978	0.2573473	0.9984993	0.9958877	0.1856187	0.8481387	1.0000000	0.2347062	1.0000000
200	0.2757864	0.3531988	0.2630720	0.9987781	0.9970446	0.1942401	0.8792214	1.0000000	0.2622058	1.0000000
250	0.2782316	0.3466792	0.2672298	0.9989176	0.9974920	0.2076410	0.8984726	1.0000000	0.2793053	1.0000000
300	0.2804129	0.3423105	0.2699486	0.9989792	0.9976803	0.2198424	0.9097484	1.0000000	0.2894782	1.0000000
350	0.2821121	0.3393105	0.2716926	0.9990046	0.9977733	0.2289480	0.9163166	1.0000000	0.2955414	1.0000000
400	0.2833342	0.3372791	0.2728291	0.9990150	0.9978271	0.2351754	0.9202166	1.0000000	0.2992303	1.0000000
450	0.2841762	0.3359223	0.2735820	0.9990195	0.9978611	0.2393029	0.9225950	1.0000000	0.3015296	1.0000000
500	0.2847447	0.3350210	0.2740848	0.9990217	0.9978832	0.2420245	0.9240815	1.0000000	0.3029927	1.0000000
550	0.2849075	0.5185887	0.2678511	0.9988510	0.9966381	0.2852511	0.9135290	1.0000000	0.2929354	1.0000000
600	0.2834331	0.5858977	0.2570804	0.9983546	0.9929168	0.2894374	0.8768376	1.0000000	0.2573219	1.0000000
650	0.2804650	0.6163071	0.2509704	0.9979168	0.9895267	0.2810200	0.8357692	1.0000000	0.2188219	1.0000000
700	0.2774231	0.6324649	0.2481294	0.9976569	0.9874754	0.2728682	0.8035599	1.0000000	0.1904148	1.0000000
750	0.2751095	0.6414018	0.2468131	0.9975193	0.9863411	0.2684045	0.7818725	1.0000000	0.1724300	1.0000000
800	0.2736069	0.6462679	0.2461755	0.9974461	0.9857053	0.2666342	0.7683603	1.0000000	0.1618036	1.0000000
850	0.2727144	0.6488568	0.2458532	0.9974057	0.9853455	0.2661299	0.7603213	1.0000000	0.1557469	1.0000000
900	0.2722106	0.6502127	0.2456860	0.9973830	0.9851442	0.2660707	0.7556867	1.0000000	0.1523711	1.0000000
950	0.2719346	0.6509177	0.2455983	0.9973701	0.9850339	0.2661197	0.7530766	1.0000000	0.1505198	1.0000000
1000	0.2717857	0.6512837	0.2455522	0.9973630	0.9849745	0.2661723	0.7516331	1.0000000	0.1495172	1.0000000

0	0.2716253	0.6516627	0.2455037	0.9973549	0.9849114	0.2662476	0.7500237	1.0000000	0.1484294	1.0000000
50	0.2548393	0.4808050	0.0582747	0.3702985	0.1550186	0.1475625	0.3548454	0.8209704	0.1505011	1.0000000
100	0.1936836	0.4805160	0.0202525	0.1430339	0.0807469	0.0585759	0.2043683	0.7645615	0.1348408	1.0000000
150	0.1273753	0.5088437	0.0130311	0.0606631	0.0740930	0.0374155	0.1471489	0.7467881	0.0918641	1.0000000
200	0.0856918	0.5267486	0.0111907	0.0308080	0.0734960	0.0354444	0.1243549	0.7411881	0.0535595	1.0000000
250	0.0650006	0.5350766	0.0103162	0.0199871	0.0734424	0.0379357	0.1146027	0.7394236	0.0312261	1.0000000
300	0.0555901	0.5386132	0.0098043	0.0160651	0.0734376	0.0404907	0.1101626	0.7388677	0.0201489	1.0000000
350	0.0514143	0.5400832	0.0095178	0.0146436	0.0734372	0.0421769	0.1080632	0.7386925	0.0149537	1.0000000
400	0.0495564	0.5406993	0.0093682	0.0141283	0.0734372	0.0431141	0.1070548	0.7386373	0.0125485	1.0000000
450	0.0487186	0.5409629	0.0092941	0.0139416	0.0734372	0.0435900	0.1065694	0.7386199	0.0114313	1.0000000
500	0.0483348	0.5410785	0.0092587	0.0138739	0.0734372	0.0438197	0.1063367	0.7386144	0.0109087	1.0000000
550	0.0848066	0.8052855	0.1959527	0.6425578	0.9163093	0.0644027	0.4930607	0.9176423	0.0447315	1.0000000
600	0.1673706	0.7941177	0.2334185	0.8699623	0.9865192	0.1269901	0.6107657	0.9740507	0.0799691	1.0000000
650	0.2220236	0.7337946	0.2410077	0.9515602	0.9850584	0.2058848	0.6553836	0.9918239	0.0949018	1.0000000
700	0.2493190	0.6923515	0.2429793	0.9807263	0.9823586	0.2541466	0.6836404	0.9974239	0.1072632	1.0000000
750	0.2617008	0.6708831	0.2439151	0.9912291	0.9825250	0.2688214	0.7058519	0.9991883	0.1196170	1.0000000
800	0.2671238	0.6607931	0.2445432	0.9950642	0.9834034	0.2700161	0.7224993	0.9997442	0.1300466	1.0000000
850	0.2695065	0.6561364	0.2449576	0.9964859	0.9840884	0.2685224	0.7337860	0.9999194	0.1375007	1.0000000
900	0.2705860	0.6539321	0.2452068	0.9970205	0.9844871	0.2673288	0.7408118	0.9999746	0.1422361	1.0000000
950	0.2710970	0.6528453	0.2453460	0.9972241	0.9846955	0.2667145	0.7449239	0.9999920	0.1450193	1.0000000
1000	0.2713491	0.6522905	0.2454204	0.9973026	0.9848005	0.2664465	0.7472329	0.9999975	0.1465762	1.0000000

0	0.2716253	0.6516627	0.2455037	0.9973549	0.9849114	0.2662476	0.7500237	1.0000000	0.1484294	1.0000000
50	0.1134320	0.7006984	0.0534235	0.9981656	0.6900297	0.1631591	0.7441008	1.0000000	0.1396500	0.8611805
100	0.0485834	0.8265937	0.0120448	0.9992483	0.6673933	0.1193289	0.7167383	1.0000000	0.1005405	0.8445140
150	0.0203531	0.9227644	0.0030076	0.9997234	0.6658199	0.1525847	0.6716373	1.0000000	0.0528237	0.8425130
200	0.0082856	0.9698893	0.0009717	0.9998996	0.6657087	0.1988745	0.6273329	1.0000000	0.0228102	0.8422728
250	0.0033540	0.9889795	0.0004880	0.9999636	0.6657001	0.2330120	0.5949054	1.0000000	0.0089988	0.8422439
300	0.0013980	0.9960778	0.0003630	0.9999868	0.6656994	0.2525243	0.5748081	1.0000000	0.0034203	0.8422405
350	0.0006341	0.9986152	0.0003268	0.9999952	0.6656993	0.2622771	0.5635577	1.0000000	0.0012894	0.8422400
400	0.0003378	0.9995062	0.0003150	0.9999983	0.6656993	0.2667789	0.5576777	1.0000000	0.0004959	0.8422400
450	0.0002232	0.9998167	0.0003108	0.9999994	0.6656993	0.2687511	0.5547543	1.0000000	0.0002039	0.8422400
500	0.0001790	0.9999246	0.0003092	0.9999998	0.6656993	0.2695836	0.5533552	1.0000000	0.0000971	0.8422400
550	0.0494664	0.9686965	0.1889430	0.9999704	0.9693025	0.2689846	0.5503333	1.0000000	0.0123927	0.9810595
600	0.1437905	0.8573921	0.2296793	0.9993922	0.9886774	0.2627147	0.5676730	1.0000000	0.0370884	0.9977260
650	0.2084179	0.7599305	0.2390056	0.9982915	0.9818957	0.2740137	0.6050498	1.0000000	0.0603626	0.9997270
700	0.2420087	0.7038317	0.2418303	0.9975321	0.9798032	0.2835189	0.6468259	1.0000000	0.0837431	0.9999672
750	0.2579078	0.6762625	0.2432493	0.9972501	0.9811186	0.2803746	0.6829219	1.0000000	0.1051238	0.9999961
800	0.2651876	0.6634686	0.2441711	0.9972138	0.9827237	0.2742575	0.7093713	1.0000000	0.1217345	0.9999995
850	0.2685253	0.6575249	0.2447581	0.9972504	0.9837707	0.2700043	0.7266259	1.0000000	0.1329585	0.9999999
900	0.2700907	0.6546682	0.2451027	0.9972910	0.9843368	0.2678346	0.7370120	1.0000000	0.1398246	1.0000000
