G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.3171221	0.9733222	0.8828006	0.0744989	0.2366320	0.7162555	0.1594674	0.6408441	0.7230741	0.0676373
0.4564601	1.0000000	0.8167995	0.4694994	1.0000000	0.9171767	0.4380484	1.0000000	0.7684761	0.5656769
0.4765289	0.9671276	0.5364516	0.4342673	0.7942113	0.6034784	0.5299614	1.0000000	0.7340675	0.2616966
0.4564600	1.0000000	0.7617686	0.5038196	1.0000000	0.2756872	0.3357338	1.0000000	0.7684761	0.5515289
0.5684937	1.0000000	0.9999999	0.1785515	1.0000000	0.6832546	0.5570232	0.7875521	0.8145488	0.6566403
0.7463911	0.6287475	0.9999996	0.5042653	0.7942819	0.7239099	0.6671141	0.8947268	0.6759004	0.5379977
0.4478066	1.0000000	0.6839704	0.1866591	0.5892349	0.2074802	0.5187595	1.0000000	0.4384810	0.2115258
0.6068909	0.7154789	0.6794004	0.6628303	1.0000000	0.7142149	0.7076320	0.6348226	0.7278790	0.6281978
0.5483952	1.0000000	0.9349383	0.6794077	0.6745589	0.3809279	0.6640997	0.7256316	0.7876854	0.4443590
0.6275329	0.6327556	0.9999997	0.7049298	0.8195044	0.8203203	0.6065565	0.5605185	0.7395392	0.6625323
