G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0015233	0.8392627	0.5875084	0.2764115	0.6924638	0.4839708	0.5009553	0.8492000	0.5209310	0.1832109
0.7131181	0.0000000	0.7495225	0.7499461	0.7076576	0.7982528	0.7404524	0.7475480	0.6053682	0.1762590
0.3407716	0.6990806	0.0000000	0.3423638	0.7269193	0.5709527	0.5765451	0.7177060	0.7452281	0.2573796
0.3883478	0.6668899	0.7656628	0.0000000	0.8332246	0.4823168	0.5111608	0.5958590	0.5736749	0.2436886
0.0409416	0.6984471	0.0880375	0.0037654	0.0000000	0.1130864	0.2931787	0.8198337	0.3062482	0.0086547
0.3590819	0.8057819	0.7989955	0.2340706	0.6283709	0.0000000	0.6428344	0.6881654	0.5316312	0.1321434
0.3785713	0.6789475	0.8736673	0.2785345	0.7886968	0.4929266	0.0000000	0.6756990	0.7186430	0.3081604
0.0240841	0.6641139	0.6848469	0.2764788	0.7764695	0.1141863	0.2738044	0.0000000	0.7571203	0.5886709
0.4306771	0.7821680	0.7886368	0.2608462	0.6531572	0.4716443	0.6188740	0.7742454	0.0000000	0.1803264
0.2700985	0.7417916	0.6657645	0.2495612	0.8421854	0.4449869	0.5967611	0.6520041	0.5863024	0.0000000
