G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
1.0345264	0.4806114	0.3400036	0.8503864	0.8502915	0.9270851	0.9742838	0.0140556	0.0751587	0.5435005
0.9393535	0.6112555	0.4083962	0.8634701	0.4562643	1.0678098	0.7831846	0.1817286	0.0773214	0.4801962
0.9268665	0.5916047	0.2011643	1.0842545	0.5991672	0.6058137	0.7479162	0.0085848	0.1354445	0.3236803
0.8276224	0.5839677	0.2657780	1.0292891	0.5768940	0.6418505	0.8636758	0.0111364	0.0304214	0.5306965
1.1000080	0.6943854	0.2388486	0.8921448	0.7173295	0.5606682	1.0750903	0.0934709	0.0260126	0.8412759
1.0042993	0.9004382	0.4622126	0.9694501	0.9723014	0.9688206	0.7771798	0.0026122	0.0858242	0.3816884
0.9052212	0.5228184	0.2856305	1.0741761	0.8822441	0.9892364	0.9925907	0.0022208	0.0984510	0.4482870
0.9971578	0.4268290	0.3585433	1.0170230	0.5911069	1.0430668	1.0105812	0.0145201	0.0218262	0.3724699
0.8233177	0.4362916	0.5138114	0.6041450	0.8047569	0.9306691	0.7560199	0.3771934	0.0979401	0.6048378
0.8279159	0.6232696	0.1821920	0.7798884	0.3247886	0.3931821	0.7767860	0.0537136	0.1907612	0.7254849
