G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.4753147	0.5761975	0.3884779	0.8334362	0.8301009	1.0000000	0.9019737	0.0117560	0.0703870	0.5121408
0.9551706	0.4036771	0.1948921	0.9486832	0.9190602	1.0000000	0.9453969	0.0259436	0.0703870	0.5121408
0.9861376	0.7337475	0.2464531	0.9176466	0.9048683	1.0000000	0.9433341	0.0151708	0.0703870	0.5121408
0.9503715	0.5761853	0.3884642	0.4167190	0.8300940	1.0000000	0.9019685	0.0117559	0.0703870	0.5121408
0.9503715	0.5761853	0.3884642	0.8334307	0.4150470	1.0000000	0.9019685	0.0117559	0.0703870	0.5121408
0.9326647	0.7194635	0.2227167	0.9322894	0.6263564	0.5000000	0.8595892	0.0180139	0.1137629	0.7295803
0.9503715	0.5761853	0.3884642	0.8334307	0.8300940	1.0000000	0.4510214	0.0117559	0.0703870	0.5121408
0.9503769	0.5761975	0.3884779	0.8334362	0.8301009	1.0000000	0.9019737	0.0058794	0.0703870	0.5121408
0.9503673	0.5761589	0.3884626	0.8334146	0.8300774	1.0000000	0.9019561	0.0117558	0.0351995	0.5121408
0.9503715	0.5761853	0.3884642	0.8334307	0.8300940	1.0000000	0.9019685	0.0117559	0.0703870	0.2560719
