G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.8283862	0.4079255	0.2584878	0.6648693	0.6362843	0.5861724	0.7383539	0.0149941	0.0716804	0.3801719
0.9161024	0.3881689	0.2992874	0.6499876	0.3317921	0.8198326	0.6482999	0.1355015	0.0454750	0.3312794
0.7239635	0.4070987	0.1550055	0.8679661	0.4695212	0.4920673	0.6793183	0.0105670	0.1051925	0.2837304
0.5861358	0.4448709	0.2094995	0.8460697	0.4795307	0.5363379	0.6298132	0.0303492	0.0187670	0.4467943
0.8034062	0.4931499	0.1501476	0.6570417	0.5971692	0.4349473	0.7929431	0.0754563	0.0291065	0.6394953
0.8417164	0.6927374	0.3561080	0.8474022	0.7420830	0.6503278	0.5589023	0.0064571	0.0651247	0.2871409
0.6369108	0.3940592	0.2426107	0.7430637	0.7089157	0.7548462	0.7615975	0.0037996	0.0595964	0.4079045
0.6704412	0.2796468	0.2574492	0.6646354	0.3831947	0.7620180	0.8042888	0.0105792	0.0249416	0.3248898
0.5960344	0.2775685	0.4113649	0.4765500	0.5452692	0.8668481	0.5464130	0.2642713	0.1158795	0.5044290
0.6131521	0.4986921	0.1487520	0.5787539	0.2756506	0.2681084	0.5625409	0.0298906	0.1669717	0.4960553
