G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000035	1.0000000	0.9670373	0.4072017	0.1985768	0.0969348	0.8294221	0.8523976	1.0000000	0.5891438
0.9989451	0.0000000	0.0167044	0.4808430	0.4821816	0.0152067	0.7332497	0.8699671	1.0000000	0.5822060
0.5833250	1.0000000	0.0000000	0.8809413	0.8494822	0.3013279	0.8998180	0.9993065	1.0000000	0.8392801
0.2869994	1.0000000	0.9670373	0.0000026	0.1985768	0.0969348	0.8294221	0.8523976	1.0000000	0.5891438
0.2869994	1.0000000	0.9670373	0.4072017	0.0000058	0.0969348	0.8294221	0.8523976	1.0000000	0.5891438
0.2869994	1.0000000	0.9670373	0.4072017	0.1985768	0.0000036	0.8294221	0.8523976	1.0000000	0.5891438
0.2869994	1.0000000	0.9670373	0.4072017	0.1985768	0.0969348	0.0000060	0.8523976	1.0000000	0.5891438
0.2869994	1.0000000	0.9670373	0.4072017	0.1985768	0.0969348	0.8294221	0.0000026	1.0000000	0.5891438
0.2869994	1.0000000	0.9670373	0.4072017	0.1985768	0.0152003	0.3043421	0.4313326	0.0000052	0.2281530
0.2869994	1.0000000	0.9670373	0.4072017	0.1985768	0.0969348	0.8294221	0.8523976	1.0000000	0.0000048
