G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.8047194	0.5462069	0.7936362	0.2775183	0.5783633	0.3993065	0.6739875	0.6275027	0.1886331
0.0175868	0.0000000	0.3959409	0.0146841	0.4015665	0.0101353	0.0538010	0.7872402	0.1909984	0.6874891
0.4456166	0.6832900	0.0000000	0.9165283	0.1853414	0.6834653	0.2763317	0.7335453	0.7504825	0.2516745
0.5102196	0.6748534	0.6548148	0.0000000	0.6563781	0.4654166	0.0302330	0.7356259	0.0397450	0.8501400
0.3989643	0.6901484	0.4957704	0.7013871	0.0000000	0.4688772	0.2846484	0.9981080	0.6756090	0.2345411
0.3414587	0.8347766	0.3934420	0.8000941	0.2339249	0.0000000	0.3162702	0.9106473	0.6316147	0.2102098
0.3703767	0.6491936	0.4808294	0.6207028	0.1614240	0.6109742	0.0000000	0.6189555	0.6890521	0.3079346
0.5272873	0.8114745	0.4186108	0.8057714	0.1759040	0.6276038	0.6464150	0.0000000	0.6254171	0.2458641
0.4041172	0.8193060	0.3750711	0.8026109	0.2577590	0.5149080	0.3572808	0.7872578	0.0000000	0.2163271
0.4446278	0.8257561	0.4266092	0.8233416	0.2617422	0.5623071	0.3314908	0.7605591	0.6072869	0.0000000
