"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.5313498	1.0000000	0.6272291	0.9646017	0.2812798	0.7491119	0.3902580	1.0000000	0.8799874	0.3070131
50	0.5313498	1.0000000	0.5584704	0.9734522	0.2811788	0.9900984	0.2605986	1.0000000	0.8802521	0.3061056
100	0.5313498	1.0000000	0.5426852	0.9753915	0.2809190	0.9984015	0.2278691	1.0000000	0.8807603	0.3036944
150	0.5313498	1.0000000	0.5387274	0.9758164	0.2806784	0.9986879	0.2198791	1.0000000	0.8810886	0.3014265
200	0.5313498	1.0000000	0.5376277	0.9759096	0.2805193	0.9986979	0.2180248	1.0000000	0.8812440	0.2999083
250	0.5313498	1.0000000	0.5372912	0.9759300	0.2804295	0.9986983	0.2176308	1.0000000	0.8813089	0.2990417
300	0.5313498	1.0000000	0.5371804	0.9759344	0.2803832	0.9986984	0.2175619	1.0000000	0.8813343	0.2985899
350	0.5313498	1.0000000	0.5371421	0.9759354	0.2803606	0.9986984	0.2175564	1.0000000	0.8813440	0.2983672
400	0.5313498	1.0000000	0.5371285	0.9759356	0.2803501	0.9986984	0.2175596	1.0000000	0.8813476	0.2982616
450	0.5313498	1.0000000	0.5371236	0.9759357	0.2803452	0.9986984	0.2175621	1.0000000	0.8813489	0.2982128
500	0.5313498	1.0000000	0.5371218	0.9759357	0.2803431	0.9986984	0.2175634	1.0000000	0.8813494	0.2981907
550	0.5313498	1.0000000	0.6058603	0.9670852	0.2804327	0.7579335	0.3481470	1.0000000	0.8810893	0.2990348
600	0.5313498	1.0000000	0.6216451	0.9651459	0.2806840	0.7495272	0.3806753	1.0000000	0.8805837	0.3014014
650	0.5313498	1.0000000	0.6256096	0.9647209	0.2809241	0.7491735	0.3883394	1.0000000	0.8802532	0.3036644
700	0.5313498	1.0000000	0.6267150	0.9646278	0.2810858	0.7491327	0.3899846	1.0000000	0.8800955	0.3051938
750	0.5313498	1.0000000	0.6270547	0.9646074	0.2811780	0.7491198	0.3902735	1.0000000	0.8800294	0.3060715
800	0.5313498	1.0000000	0.6271670	0.9646030	0.2812259	0.7491149	0.3902955	1.0000000	0.8800035	0.3065309
850	0.5313498	1.0000000	0.6272059	0.9646020	0.2812494	0.7491131	0.3902813	1.0000000	0.8799936	0.3067577
900	0.5313498	1.0000000	0.6272198	0.9646018	0.2812604	0.7491124	0.3902703	1.0000000	0.8799900	0.3068655
950	0.5313498	1.0000000	0.6272248	0.9646017	0.2812655	0.7491121	0.3902648	1.0000000	0.8799886	0.3069153
1000	0.5313498	1.0000000	0.6272266	0.9646017	0.2812677	0.7491121	0.3902624	1.0000000	0.8799881	0.3069379

0	0.5313498	1.0000000	0.6272291	0.9646017	0.2812798	0.7491119	0.3902580	1.0000000	0.8799874	0.3070131
50	0.5107415	0.6781976	0.5907580	0.9537184	0.2681455	0.9858198	0.4932241	1.0000000	0.8798762	0.3073118
100	0.4506934	0.5957719	0.5608270	0.9072159	0.2284414	0.9917977	0.5118883	1.0000000	0.8783434	0.3127925
150	0.3917200	0.5746596	0.5315952	0.8385546	0.1895679	0.9899181	0.4990582	1.0000000	0.8735867	0.3331556
200	0.3523371	0.5692519	0.5153659	0.7796088	0.1660272	0.9884646	0.4738748	1.0000000	0.8658009	0.3726833
250	0.3306435	0.5678668	0.5125741	0.7432727	0.1573760	0.9876405	0.4483219	1.0000000	0.8572072	0.4239536
300	0.3199526	0.5675121	0.5162270	0.7248093	0.1579243	0.9872127	0.4283736	1.0000000	0.8500306	0.4738699
350	0.3150420	0.5674212	0.5208784	0.7164265	0.1620918	0.9870011	0.4151562	1.0000000	0.8451442	0.5134528
400	0.3128912	0.5673979	0.5243910	0.7128679	0.1664816	0.9869009	0.4073600	1.0000000	0.8422742	0.5406146
450	0.3119801	0.5673920	0.5265375	0.7114183	0.1697996	0.9868552	0.4031401	1.0000000	0.8407562	0.5574361
500	0.3116036	0.5673904	0.5277004	0.7108428	0.1719304	0.9868349	0.4009994	1.0000000	0.8400103	0.5671066
550	0.3391344	0.8891924	0.5883912	0.7796612	0.1862381	0.7286730	0.3061309	1.0000000	0.8411519	0.5680385
600	0.4079886	0.9716180	0.6373362	0.8835468	0.2185306	0.7342747	0.3078427	1.0000000	0.8512562	0.5310384
650	0.4653465	0.9927303	0.6460679	0.9336590	0.2454108	0.7424246	0.3345606	1.0000000	0.8636625	0.4644837
700	0.4994301	0.9981380	0.6406927	0.9530288	0.2624989	0.7462680	0.3587739	1.0000000	0.8718851	0.4034775
750	0.5168512	0.9995231	0.6347559	0.9602413	0.2720427	0.7479153	0.3741928	1.0000000	0.8762242	0.3612330
800	0.5250385	0.9998778	0.6309888	0.9629429	0.2769405	0.7486113	0.3825698	1.0000000	0.8783039	0.3357972
850	0.5286853	0.9999687	0.6289918	0.9639671	0.2793086	0.7489040	0.3867347	1.0000000	0.8792529	0.3216775
900	0.5302503	0.9999920	0.6280226	0.9643585	0.2804050	0.7490263	0.3886931	1.0000000	0.8796730	0.3142463
950	0.5309040	0.9999979	0.6275760	0.9645086	0.2808963	0.7490770	0.3895797	1.0000000	0.8798550	0.3104815
1000	0.5311715	0.9999995	0.6273772	0.9645661	0.2811110	0.7490978	0.3899701	1.0000000	0.8799325	0.3086285

0	0.5313498	1.0000000	0.6272291	0.9646017	0.2812798	0.7491119	0.3902580	1.0000000	0.8799874	0.3070131
50	0.7042780	0.6728018	0.6205606	0.9534823	0.2679162	0.9858280	0.2312424	0.5591045	0.8798740	0.3073182
100	0.7346682	0.5889941	0.5950163	0.9054463	0.2275038	0.9946496	0.1868056	0.5050079	0.8783000	0.3129433
150	0.7263612	0.5675278	0.5641783	0.8337770	0.1880154	0.9945503	0.1664904	0.4983704	0.8733638	0.3340466
200	0.7144786	0.5620295	0.5462466	0.7719185	0.1643273	0.9935420	0.1495278	0.4975560	0.8651970	0.3754122
