"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.7006424	0.8888110	0.4533889	0.6197366	0.3655230	0.7115727	0.5776892	0.5680963	0.3838128	0.6102304
50	0.7725984	0.7359913	0.4597705	0.5957450	0.3495212	0.8324088	0.6244469	0.6143430	0.3245613	0.7106707
100	0.7012497	0.7007434	0.5129575	0.7259689	0.3218428	0.6911791	0.7852244	0.5871769	0.3730890	0.6438670
150	0.8854597	0.8464395	0.5902594	0.5575292	0.3522320	0.8147765	0.6492525	0.5377346	0.2385790	0.5672269
200	0.7116050	0.6736099	0.6413396	0.7678313	0.3179473	0.6834943	0.7727282	0.5704446	0.3334582	0.4753980
250	0.7104211	0.8212923	0.7352135	0.6196135	0.2974035	0.8387068	0.7560079	0.5997395	0.2282557	0.6193107
300	0.6907004	0.6619669	0.6252451	0.6299641	0.3047491	0.7027364	0.7141234	0.5117772	0.2451673	0.7001488
350	0.6521077	0.8111073	0.4875948	0.5860095	0.3385111	0.7058434	0.7607223	0.5919851	0.2334573	0.5665351
400	0.6752405	0.9615246	0.5722307	0.6508173	0.3086394	0.5552288	0.7974044	0.4711829	0.2419031	0.5873240
450	0.7323554	0.8627529	0.5431028	0.5792188	0.3912223	0.7566927	0.7326389	0.4387925	0.2936960	0.6634487
500	0.6992027	0.7609949	0.6669517	0.5687443	0.3151797	0.6487792	0.7419801	0.5992102	0.3086850	0.7092738
550	0.6242751	0.7319940	0.5213345	0.7188741	0.2856037	0.7319170	0.6885746	0.5793215	0.3147806	0.6581722
600	0.6890013	0.7070591	0.4006400	0.6350066	0.2696001	0.6799222	0.6197106	0.6711288	0.3052561	0.6325396
650	0.9385461	0.7303455	0.4751186	0.5204221	0.3053270	0.5904312	0.8343172	0.5912388	0.3959426	0.6460015
700	0.7841082	0.8140884	0.3600821	0.4622748	0.3385755	0.6624567	0.7552897	0.6372836	0.2871389	0.6694987
750	0.6682280	0.7516851	0.4284288	0.6006946	0.4252967	0.8360826	0.7837332	0.5767856	0.4148858	0.6285135
800	0.7594337	0.7529159	0.4824960	0.5416456	0.3988660	0.7776788	0.7547071	0.5730068	0.2400819	0.6999362
850	0.6034719	0.6747496	0.3883814	0.4996134	0.3704156	0.5838727	0.8414394	0.4563443	0.3956707	0.6688505
900	0.7621596	0.6610920	0.3356270	0.6263145	0.4167897	0.7436287	0.7538885	0.4475627	0.3682865	0.6387712
950	0.7249426	0.7870318	0.3165048	0.6794716	0.3550826	0.7490463	0.7455322	0.5613460	0.3562742	0.6140786
1000	0.6133975	0.7572586	0.3828827	0.6422708	0.3118952	0.7491713	0.7265812	0.5152939	0.2947590	0.6282277

0	0.6393137	0.7095304	0.5341117	0.5642786	0.4343493	0.6337459	0.7272709	0.5166931	0.3764541	0.6799623
50	0.6062912	0.7972933	0.4299881	0.6058874	0.3928492	0.8110469	0.7948479	0.6012866	0.2534369	0.5449446
100	0.8364730	0.7113343	0.3768436	0.5902373	0.3648954	0.7518746	0.6554301	0.6625518	0.2551083	0.5535920
150	0.7502272	0.7162871	0.3709428	0.6663311	0.4251485	0.6727836	0.6825837	0.6214744	0.3758993	0.7156902
200	0.6551313	0.8243783	0.3885626	0.8096048	0.2895588	0.6658396	0.6779162	0.7905645	0.3833117	0.5530137
250	0.6301573	0.6742588	0.4533208	0.7442502	0.2273264	0.7834354	0.7517957	0.8153361	0.2122547	0.6456024
300	0.6797761	0.8166757	0.4688024	0.7293199	0.2365153	0.7871554	0.7606547	0.9157787	0.2715884	0.6298936
350	0.6647302	0.7290142	0.3984998	0.6531550	0.2719024	0.8095169	0.7959856	0.7704971	0.4460647	0.7000918
400	0.5790905	0.6952611	0.4055228	0.7188051	0.2536620	0.6867120	0.9020100	0.6834784	0.2798212	0.6898087
450	0.7321444	0.8847368	0.5122624	0.8210794	0.3385487	0.5946077	0.6954035	0.7584439	0.3601026	0.5406622
500	0.7852793	0.7882221	0.3939642	0.7950104	0.3608945	0.6420379	0.7423550	0.7816605	0.3732211	0.6001342
550	0.8190955	0.9457043	0.5422898	0.6398989	0.3160567	0.5938800	0.6651966	0.7778139	0.3133414	0.6387777
600	0.6705119	0.7426632	0.3992699	0.5502419	0.3231067	0.7079730	0.7893259	0.7212073	0.3857058	0.6459023
650	0.6320499	0.6703111	0.5113112	0.6160881	0.4754401	0.7866912	0.7291674	0.6316422	0.3209937	0.6750641
700	0.6742451	0.6045698	0.5140939	0.6822599	0.3629920	0.7256468	0.9558423	0.6004741	0.3931215	0.6800548
750	0.7999415	0.6263180	0.3817822	0.5628141	0.4315491	0.7443509	0.6411103	0.6461730	0.3671021	0.6962870
800	0.6618136	0.5846504	0.3099352	0.5238461	0.3845091	0.8247143	0.8022332	0.6984133	0.3579723	0.5282608
850	0.8328810	0.7241114	0.4510760	0.5535539	0.3871514	0.7190394	0.8307947	0.6951510	0.3262494	0.5765980
900	0.7028583	0.6740439	0.4212384	0.5662477	0.4356028	0.5475333	0.8491644	0.4963865	0.3343780	0.5794899
950	0.7062317	0.8293229	0.5434294	0.5974166	0.3692414	0.7879214	0.7093151	0.4966189	0.3016152	0.7615664
