G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.2298257	0.5262531	0.1239246	0.6839374	0.7705490	0.3335129	0.6661744	0.8815152	0.0369026	0.1546040
0.2662381	0.3500848	0.0673494	0.5529753	0.4886011	0.1308507	0.7396882	0.8349088	0.0330814	0.1915168
0.6005741	0.7249679	0.0625374	0.7508232	0.6848813	0.4278677	0.7701270	0.6501069	0.0324980	0.2227425
0.6456298	0.7032104	0.0855404	0.3874753	0.7096443	0.4002955	0.7691264	0.7417372	0.0540566	0.1763310
0.5058298	0.6635451	0.1408952	0.7447239	0.3314812	0.2989731	0.7035539	0.6456943	0.0328655	0.1989916
0.5658449	0.7337787	0.1641228	0.6891454	0.7600638	0.2030833	0.8415419	0.7147709	0.0168554	0.2189120
0.5282500	0.6967340	0.0995641	0.6418041	0.7667525	0.3332534	0.2990746	0.8669704	0.0578395	0.1520082
0.4879793	0.7580321	0.1553734	0.7237134	0.6538127	0.5427687	0.6025572	0.3364188	0.2301917	0.2297538
0.5207968	0.7362780	0.1536774	0.6891171	0.8162974	0.4299155	0.6359839	0.7246976	0.0247499	0.1764334
0.4370385	0.6543278	0.1054951	0.6494020	0.6079957	0.3125793	0.8088228	0.6964614	0.0224934	0.0657332
