G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.6495428	1.0000000	0.0838978	0.1876648	0.5250704	1.0000000	0.5183586	0.3744791	0.9999808
1.0000000	0.0000007	1.0000000	0.0838978	0.1876648	0.5250704	1.0000000	0.5183586	0.3744791	0.9999808
1.0000000	0.4581536	0.0000000	0.9999966	0.9999995	0.9999963	1.0000000	0.5183586	0.3744791	0.9999808
1.0000000	0.1497300	1.0000000	0.0000000	0.1876648	0.5250704	1.0000000	0.5183586	0.3744791	0.9999808
1.0000000	0.1497300	1.0000000	0.0838978	0.0000002	0.5250704	1.0000000	0.5183586	0.3744791	0.9999808
1.0000000	0.1497300	1.0000000	0.0838978	0.1876648	0.0000001	1.0000000	0.5183586	0.3744791	0.9999808
1.0000000	0.4581563	1.0000000	0.0838978	0.1876648	1.0000000	0.0000000	1.0000000	0.9999997	0.0182001
1.0000000	0.1497300	1.0000000	0.0838978	0.1876648	0.5250704	1.0000000	0.0000013	0.3744791	0.9999808
1.0000000	0.1497300	1.0000000	0.0838978	0.1876648	0.5250704	1.0000000	0.5183586	0.0000004	0.9999808
1.0000000	0.1497300	1.0000000	0.0838978	0.1876648	0.5250704	1.0000000	0.5183586	0.3744791	0.0000001
