G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	1.0869146	0.6369307	0.9130096	1.0286881	0.8524345	0.7943496	0.7749840	0.7600948	0.6702473
0.0409316	0.0000000	0.0018478	0.0678872	0.0540664	0.0528918	0.0688609	0.0837085	0.0307200	0.0435038
0.4958089	0.9492472	0.0000000	0.4994194	0.0438676	0.6699960	0.5433247	0.4309641	0.7054759	0.0539301
0.6034852	1.0263032	0.6198139	0.0000000	1.0173833	0.7768052	0.8094569	0.6756409	0.7822069	0.6931510
0.5548374	1.0042200	0.7810847	1.0633562	0.0000000	0.7483817	0.8574599	0.6810214	0.8748687	0.6062288
0.5553021	0.9836566	0.6793091	1.0016268	0.9635471	0.0000000	0.8063173	0.6120178	0.7792452	0.6811186
0.5689440	0.9989131	0.6312383	0.9660449	0.9875278	0.7819161	0.0000000	0.6832578	0.7726627	0.7228285
0.5037739	1.0315159	0.6761962	0.8684296	1.0418769	0.8373867	0.8399319	0.0000000	0.8157737	0.6436972
0.5553484	1.0468010	0.6619932	0.9227149	1.0738662	0.7803192	0.7906085	0.5582672	0.0000000	0.6304774
0.4815252	1.0964419	0.5633948	0.9140970	0.9535227	0.8473751	0.7902834	0.7139323	0.8603138	0.0000000
