G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0992741	0.8854293	1.0545275	0.0385429	0.5379222	0.0015611	0.1394718	0.4255176	0.9989813	0.3381493
0.0449484	1.0231835	1.0576070	0.0638962	0.1672098	0.0005158	0.4717752	0.6178522	1.0165662	0.7265954
0.0934777	0.8784334	0.9237882	0.6139229	0.7738986	0.0018328	0.4311613	0.5507621	0.8261065	0.2483484
0.0804040	1.0722989	1.0614528	0.3526724	0.4432933	0.1348738	0.1957383	0.8936514	1.1000804	0.5933993
0.0628675	0.9939469	1.0111362	0.6023185	0.7452902	0.2745494	0.1497911	0.6427254	0.9312217	0.2793396
0.0943498	0.9741457	0.9027940	0.3168802	0.8235887	0.0901901	0.2334614	0.4399975	0.8917471	0.2019173
0.0904373	0.8638316	1.0609847	0.2875654	0.6341034	0.2187207	0.2573380	0.2126161	0.7952420	0.4375511
0.1190461	0.8367860	1.0409568	0.7921530	0.5891495	0.4683178	0.1567906	0.6495029	1.0360604	0.0542029
0.0448229	1.0564772	1.0414524	0.1096711	0.2958626	0.2028414	0.2137653	0.6265359	0.9972572	0.7494019
0.0824330	1.0028310	1.0327475	0.2755446	0.3108540	0.0703764	0.2213224	0.3693263	0.9920017	0.3321384
