G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.4728119	1.0452360	0.8640708	0.9396158	0.9772959	1.0472464	0.8165986	0.4359054	0.1937985	0.4765371
1.0640868	0.4724706	0.7456837	1.0170995	0.7013577	0.8566011	0.6663852	0.4846153	0.2105876	0.4847888
1.0538509	0.9831337	0.4189137	0.9900083	0.7881252	0.9845703	0.7912806	0.4369698	0.1754102	0.4831893
0.9182283	1.0571660	0.8416359	0.4950843	0.9466032	0.9914709	0.7495070	0.5694536	0.2224121	0.5185474
1.0681256	1.1256011	0.9885003	1.0475618	0.4062426	0.9811198	0.7920801	0.5428042	0.2610104	0.4882949
1.0116771	1.0662524	0.8441717	1.0055249	0.6028554	0.6186203	0.6697126	0.7444166	0.8023598	0.6955968
0.9538281	1.1239157	0.8080687	1.1282871	0.9277453	1.0088375	0.3773876	0.4634696	0.2429996	0.4963501
1.0263766	1.0469595	0.9531418	1.0768960	0.9582541	0.9465607	0.7409417	0.2059127	0.1977171	0.4544719
1.0381412	0.9662286	0.9059282	1.0762422	0.9103024	1.0618677	0.8047334	0.4426188	0.0669872	0.4579400
0.9292050	1.0274949	0.9319939	0.9625424	0.9242158	0.9266604	0.8734762	0.4922976	0.2377058	0.2490742
