"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.7603894	0.0645888	0.6627501	0.4946077	0.0854731	0.3875849	0.0213001	0.0238255	0.8176358	0.1336567
50	0.3475629	0.0640935	0.6852369	0.5544939	0.0817279	0.3029833	0.0149783	0.0224688	0.7366174	0.1164625
100	0.1992515	0.0757816	0.7462983	0.5386488	0.0606093	0.3883407	0.0130827	0.0394327	0.7441647	0.1174989
150	0.1651505	0.0592233	0.8208813	0.4195734	0.0660135	0.3816300	0.0199249	0.0251075	0.7984591	0.0893223
200	0.2038775	0.0678635	0.7198227	0.4995603	0.0667040	0.2856493	0.0178328	0.0343620	0.7971031	0.1252226
250	0.1781925	0.0554164	0.7546813	0.4960720	0.1192802	0.2594595	0.0233738	0.0116312	0.6792821	0.1540253
300	0.2498022	0.0967434	0.6999042	0.5812750	0.1022419	0.2382957	0.0219340	0.0358809	0.7333933	0.1075007
350	0.1604892	0.0367384	0.8008583	0.5296430	0.0501397	0.3101909	0.0169332	0.0474943	0.7263518	0.1395848
400	0.2071620	0.0465885	0.7405481	0.5321228	0.1227754	0.2781271	0.0288435	0.0411514	0.8259777	0.1203564
450	0.2320465	0.0569117	0.6940281	0.5092388	0.0926951	0.3507390	0.0099848	0.0337793	0.8170851	0.1152274
500	0.1647523	0.0609256	0.6617790	0.5198291	0.0608257	0.2625953	0.0323612	0.0192079	0.8506243	0.1097630
550	0.6327493	0.0601750	0.6761294	0.5667818	0.0482765	0.3615958	0.0319605	0.0365199	0.7658542	0.1511281
600	0.7436969	0.0874982	0.6915850	0.4561252	0.0648430	0.3445297	0.0342709	0.0353433	0.7476783	0.1858560
650	0.6864249	0.0435193	0.5851140	0.5582512	0.0766809	0.2851364	0.0305737	0.0258893	0.8676478	0.1161516
700	0.7168926	0.1039285	0.7499842	0.5177437	0.0860181	0.4365691	0.0765246	0.0341999	0.7037389	0.1639197
750	0.7437326	0.0716143	0.8035343	0.4449365	0.0681657	0.3410070	0.0386555	0.0297997	0.8305932	0.0784249
800	0.6179847	0.0421684	0.6864959	0.5551022	0.0528760	0.3970468	0.0314872	0.0219151	0.7096657	0.1685832
850	0.7570872	0.0326835	0.7493897	0.4380529	0.0428162	0.3960532	0.0381521	0.0204162	0.6291549	0.1448833
900	0.7064290	0.0569821	0.8069598	0.5233790	0.1116411	0.2964260	0.0397389	0.0169882	0.6135861	0.1934928
950	0.8035738	0.0377138	0.7556806	0.4831895	0.1145508	0.3565930	0.0187250	0.0386215	0.8452110	0.1419948
1000	0.6808852	0.0375424	0.6902467	0.5362243	0.1493145	0.3320456	0.0362881	0.0362421	0.8432176	0.1959317

0	0.6670966	0.0779692	0.7664525	0.6565024	0.0867988	0.3875130	0.0175417	0.0094014	0.7849352	0.0974546
50	0.8007752	0.0195644	0.7477767	0.4516111	0.0443693	0.3191701	0.0357858	0.0169127	0.7215655	0.1291841
100	0.7219253	0.0055408	0.7919044	0.4539972	0.0918512	0.3046206	0.0110593	0.0122650	0.7075339	0.1758200
150	0.7272913	0.0059929	0.7315761	0.5429076	0.0764503	0.3588843	0.0243500	0.0226384	0.7475646	0.0871655
200	0.7125481	0.0024396	0.7719839	0.5052038	0.0694700	0.3524992	0.0094502	0.0349994	0.7433467	0.1454878
250	0.6975587	0.0048260	0.7964558	0.5013580	0.0432063	0.2821824	0.0112920	0.0468772	0.6580745	0.1277960
300	0.8156328	0.0034453	0.7253525	0.5620384	0.0690583	0.3296630	0.0579545	0.0115448	0.7401489	0.1868076
350	0.7373552	0.0155861	0.7311143	0.4616740	0.0479123	0.2933617	0.0116078	0.0162765	0.7880276	0.0879918
