G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0003634	0.6425214	0.8023286	0.8550813	0.8843605	0.7953138	0.8639111	0.8128985	0.7660477	0.4947535
0.3730799	0.0000000	0.7711127	0.7320936	0.0169433	0.5347398	0.4729312	0.0353120	0.4192426	0.5945072
0.0021162	0.0244263	0.0000000	0.0602183	0.0253119	0.0082393	0.0706771	0.1134616	0.0519851	0.0849776
0.7225246	0.7836260	0.9100120	0.0000000	0.8486532	0.7973705	0.8136975	0.8860087	0.5845980	0.4431425
0.7088843	0.8653418	0.7163490	0.6467547	0.0000000	0.7363372	0.7450842	0.7331967	0.7389713	0.5414150
0.5511265	0.6986614	0.9129165	0.8714118	0.7440065	0.0000000	0.9398391	0.8410959	0.9108762	0.4702441
0.5786381	0.7719576	0.8143208	0.7064446	0.7981428	0.7636389	0.0000000	0.7799628	0.7540182	0.4987096
0.6948911	0.7851001	0.8009044	0.5979582	1.0009387	0.7996149	0.8252524	0.0000000	0.6700223	0.4497137
0.7296663	0.8651060	0.6970317	0.5862624	0.7226300	0.9110781	0.9088106	0.8697470	0.0000000	0.4691980
0.6222731	0.7193276	0.7876027	0.5918443	0.7670558	0.7575374	0.7503059	0.7443658	0.7854763	0.0000000
