"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10

0	0.9932424	0.1338298	0.1369990	0.9803187	0.6118426	0.4060182	0.1168576	0.1776282	0.0186392	1.0114253
50	0.8307432	0.1461635	0.1699219	0.8971057	0.4289625	0.4768798	0.1548508	0.1646933	0.0353309	0.7808451
100	0.7701688	0.1099570	0.1926913	1.0045035	0.2863403	0.3227234	0.1791847	0.1659223	0.0578495	0.4808869
150	0.7054787	0.1464665	0.2063832	1.0048937	0.2328351	0.2707285	0.1871092	0.2752885	0.1043703	0.4157642
200	0.6984408	0.1276679	0.2056982	1.1271824	0.2142246	0.1960218	0.2197126	0.2453587	0.1777588	0.3463854
250	0.7009670	0.1341841	0.2843295	1.0822781	0.1455111	0.1431379	0.2262305	0.3110436	0.2020946	0.2726748
300	0.7049669	0.0997512	0.1982224	0.9698334	0.1148363	0.1369601	0.2302981	0.2893804	0.2286710	0.3077369
350	0.7367630	0.0990541	0.2071474	1.0862761	0.1355935	0.2188512	0.1889727	0.2484663	0.2440997	0.2980707
400	0.7610734	0.1537573	0.2522468	0.9969379	0.1389159	0.1623987	0.2147734	0.2095180	0.2834426	0.2845175
450	0.7509620	0.1646971	0.2690687	0.9816913	0.1346338	0.1592080	0.1935174	0.1865549	0.2618089	0.2610829
500	0.7240851	0.1728798	0.2991459	0.9874272	0.1139316	0.1815031	0.2192822	0.2260232	0.2856993	0.2526793
550	0.7299182	0.1606927	0.2836433	1.0001008	0.3694418	0.1788848	0.2323953	0.2217621	0.2141750	0.4820125
600	0.8364577	0.1446197	0.2403069	0.9353780	0.5685633	0.1743145	0.2033834	0.2084525	0.1595424	0.7969672
650	0.8949310	0.1087615	0.2308502	0.9910905	0.6205285	0.3796949	0.2011507	0.1792069	0.1070270	0.9272405
700	0.9555163	0.1167049	0.1938876	1.0243963	0.6961132	0.3355510	0.1809457	0.1600619	0.0646843	0.8768793
750	1.0495248	0.0974946	0.1426972	1.0203520	0.6514782	0.3545531	0.1310326	0.1020878	0.0340133	0.9410475
800	1.0486778	0.1172755	0.1640213	0.9437999	0.6230775	0.4343571	0.1189712	0.0853429	0.0334335	0.9506722
850	1.0458044	0.1329691	0.1667889	0.9486142	0.6344642	0.3680482	0.1087270	0.0973843	0.0221332	1.0887839
900	0.9984209	0.1605927	0.1642804	1.0114554	0.6642907	0.3186694	0.1056837	0.0832653	0.0160206	1.0781777
950	1.0436654	0.1647635	0.1238276	1.0164721	0.6271607	0.3766447	0.1066103	0.1005603	0.0318026	0.9884551
1000	1.0921931	0.1548429	0.1122586	0.9766897	0.6576066	0.4112408	0.1186353	0.1129973	0.0166509	0.9965363

0	0.9932424	0.1338298	0.1369990	0.9803187	0.6118426	0.4060182	0.1168576	0.1776282	0.0186392	1.0114253
50	1.0039670	0.1409343	0.1177452	1.1227559	0.6003904	0.2152160	0.1219461	0.1008200	0.0110939	0.9545123
100	0.9502593	0.1183880	0.1297265	1.1281474	0.5066528	0.0920874	0.1431702	0.0480651	0.0209100	0.9337908
150	1.0300142	0.1208608	0.1103582	1.0741777	0.4815590	0.0133757	0.1236438	0.0231023	0.0320322	1.1233017
200	1.0122789	0.1246795	0.1300493	1.0294114	0.5134324	0.0070839	0.1285200	0.0117396	0.0183545	1.0846013
250	0.9473955	0.1169911	0.1299473	0.9205654	0.5508829	0.0000000	0.0913751	0.0068167	0.0211456	1.0754695
300	0.9852434	0.1374793	0.1606173	0.9457283	0.6573446	0.0015117	0.1067687	0.0247102	0.0322638	1.0304803
350	0.8940223	0.1223845	0.1376818	0.9525126	0.7210176	0.0003915	0.1106210	0.0296424	0.0316919	0.9539027
400	0.9867523	0.1203617	0.1527998	1.0997141	0.6750541	0.0019100	0.1123352	0.0121544	0.0373052	1.0334305
450	0.9843934	0.1192404	0.1874417	0.8780757	0.6009117	0.0000000	0.1125766	0.0148569	0.0240041	0.8899883
500	0.8354899	0.1594573	0.2224294	0.9107427	0.6479200	0.0040934	0.1109586	0.0153563	0.0243394	1.0252313
550	0.8856922	0.1287216	0.1833168	1.0052119	0.6569837	0.2383576	0.0997690	0.0804151	0.0421732	0.9430120
600	0.9277922	0.1001432	0.1967713	1.0683401	0.5686970	0.3477201	0.1364940	0.1198318	0.0536138	0.9483874
650	0.8836543	0.1126592	0.1421710	1.0693341	0.5778606	0.3511262	0.1388959	0.1029214	0.0405459	1.0185807
700	0.8483944	0.1188808	0.1680544	1.0060191	0.5985119	0.3613519	0.1307458	0.1409420	0.0275736	1.0424575
750	0.8379646	0.1376699	0.1922987	1.0157116	0.6022158	0.3642570	0.1176999	0.1203019	0.0280218	0.9883299
800	1.0401619	0.1267373	0.1802173	0.9341742	0.5771025	0.3862581	0.1353719	0.1345543	0.0271022	0.9977167
850	0.9135538	0.1116484	0.1777173	1.0731878	0.6115313	0.3882604	0.1193856	0.1218299	0.0262366	0.9842443
900	0.9624175	0.1339373	0.1392460	0.9803872	0.5338389	0.4375842	0.1220624	0.1282000	0.0294952	0.9933387
950	0.9938636	0.1541848	0.1506869	1.0108398	0.6336815	0.4003617	0.1418855	0.1094128	0.0366778	1.0334523
1000	1.0430239	0.1275416	0.1180633	1.0777642	0.6807486	0.4403775	0.1354031	0.1144727	0.0277868	0.8865440

0	0.9932424	0.1338298	0.1369990	0.9803187	0.6118426	0.4060182	0.1168576	0.1776282	0.0186392	1.0114253
50	0.7163799	0.1175222	0.1398122	0.9483103	0.6736060	0.3523441	0.1041136	0.1654333	0.0191317	0.6551867
100	0.3901347	0.1439287	0.2609325	0.9556218	0.7926587	0.3214548	0.1903680	0.2037048	0.0812530	0.5244030
150	0.2623362	0.1494658	0.3809281	0.9837632	0.8086878	0.2371199	0.2473087	0.3436545	0.2063329	0.3762101
200	0.2909887	0.1806396	0.4623345	0.9531211	0.8714470	0.2438183	0.2339170	0.4362343	0.2748650	0.3106373
250	0.3019449	0.2338813	0.4430028	0.9808441	0.7507344	0.2202457	0.2683037	0.4939333	0.2726090	0.3183721
300	0.2519429	0.2216801	0.4297679	1.0459617	0.8506662	0.1553106	0.3282379	0.5034302	0.3020104	0.3133934
350	0.2584119	0.2662075	0.4472530	1.0605127	0.9981279	0.2302681	0.3507243	0.5333446	0.3210060	0.3316800
400	0.2926363	0.2836850	0.4163355	0.9468626	0.9230129	0.2604724	0.3688876	0.4710165	0.3593108	0.3457084
450	0.2348285	0.2822442	0.4360532	0.9267251	0.8993581	0.2590009	0.4179345	0.5000935	0.3091875	0.3185594
500	0.2539318	0.2929280	0.4075891	0.9928203	0.9209449	0.2597521	0.3940010	0.4347845	0.3077530	0.3167504
550	0.4727931	0.2276479	0.5045185	1.0445182	0.9589696	0.3087358	0.3538413	0.4879954	0.3212012	0.5345426
600	0.7780643	0.1768604	0.3349466	1.0316866	0.9128854	0.2544017	0.2801896	0.4038318	0.2151963	0.6918347
650	0.8855256	0.1610108	0.2879163	1.0801072	0.8036983	0.2638001	0.2545007	0.2497720	0.1341154	0.8515634
700	0.8788349	0.1423434	0.2074189	1.0411458	0.6513150	0.3146224	0.2369649	0.1528118	0.0886849	0.9348166
750	0.9226362	0.1574695	0.1829967	0.9642625	0.6539528	0.3082022	0.2043266	0.1759451	0.0497766	0.8880943
800	0.9874942	0.1552680	0.1516697	0.9796108	0.7098748	0.3843182	0.1771363	0.1591492	0.0588793	0.9151347
850	0.9827998	0.1472783	0.1709981	1.1196314	0.6570812	0.4179654	0.1659240	0.1334948	0.0272470	1.0056028
900	0.9583131	0.1162443	0.1173624	1.1029190	0.5585965	0.4210404	0.1061244	0.1163364	0.0274702	1.0975421
950	0.9911141	0.1088021	0.1306549	1.0207973	0.5767029	0.3780513	0.1069947	0.1300979	0.0370126	1.0487410
1000	1.0068981	0.0989028	0.1488581	1.0365198	0.5945583	0.3921937	0.1248274	0.1216719	0.0101898	0.9627417

0	0.9932424	0.1338298	0.1369990	0.9803187	0.6118426	0.4060182	0.1168576	0.1776282	0.0186392	1.0114253
50	1.0700404	0.0534976	0.1370429	0.7561976	0.6976450	0.4108726	0.0938047	0.1104511	0.0117990	1.0066177
100	1.0400544	0.0269448	0.1358537	0.5982856	0.8290437	0.3865804	0.1027489	0.1093193	0.0019098	0.9565711
150	0.9981655	0.0021527	0.2710781	0.4276907	0.9688003	0.4081476	0.0671178	0.1967429	0.0015522	0.9998210
200	1.0226095	0.0024454	0.3263540	0.3691285	0.8960139	0.4486374	0.0978026	0.2621826	0.0020181	1.0334741
250	1.0313206	0.0011747	0.3500739	0.3892382	1.0091267	0.4666154	0.0898779	0.2985324	0.0004054	1.1214225
300	0.9597342	0.0023845	0.4123495	0.3874613	1.0366744	0.5793313	0.1033309	0.3251870	0.0042932	1.1058167
350	1.0219580	0.0010168	0.4230886	0.3090459	0.9866384	0.5424037	0.1363801	0.3750259	0.0013286	1.0686213
400	0.8978724	0.0022031	0.4809217	0.3598108	0.9953613	0.4500967	0.1004842	0.3751756	0.0049643	1.0578557
450	0.9948640	0.0048386	0.4674737	0.3962665	0.9542035	0.4408435	0.1210850	0.3888230	0.0000000	0.9724476
500	0.9778067	0.0079854	0.3920361	0.3609651	1.0652901	0.4392381	0.1409568	0.3364677	0.0012058	0.9192061
550	0.9963739	0.1008340	0.4107290	0.5469828	1.0505106	0.4853577	0.1318916	0.3484216	0.0085210	1.0110271
600	1.0284936	0.1226373	0.3595473	0.7679748	0.9415427	0.3815146	0.1280086	0.2978536	0.0157841	1.0090772
650	0.9564841	0.1495665	0.2144642	0.9033649	0.9478793	0.3786183	0.1322765	0.2005783	0.0113119	0.9797872
700	0.8938975	0.1552767	0.1828249	1.0100422	0.8996255	0.3971848	0.0999056	0.1788922	0.0118417	0.9229020
750	0.9681065	0.1107449	0.1774829	1.1095361	0.7667646	0.4305303	0.1398850	0.1659965	0.0228904	0.8875490
800	1.0021448	0.1254708	0.2033477	1.0520986	0.6955344	0.4528694	0.1266599	0.1222728	0.0329449	0.9799347
850	0.9594027	0.1200169	0.1378513	1.1547834	0.6317816	0.3715276	0.0996635	0.1034446	0.0212180	0.9668141
900	0.9747020	0.1345595	0.1447211	1.1057805	0.5328411	0.4218884	0.1101824	0.1285718	0.0343478	1.0015959
950	1.0434570	0.1284056	0.1382906	1.0515605	0.5900312	0.4623243	0.1659333	0.1165783	0.0217275	0.9991305
1000	0.9329432	0.0957723	0.1028388	1.0092217	0.6842677	0.4116005	0.1408704	0.0966302	0.0109237	1.0741555

0	0.9932424	0.1338298	0.1369990	0.9803187	0.6118426	0.4060182	0.1168576	0.1776282	0.0186392	1.0114253
50	0.9949645	0.1060651	0.1597955	0.9594912	0.4636389	0.4190289	0.0606966	0.1318073	0.0383344	0.8781621
100	1.0277723	0.1324316	0.1160407	0.9909558	0.5371490	0.3784553	0.0392936	0.1557020	0.0310818	0.6985307
150	1.0666386	0.1158311	0.0983669	1.0971022	0.6507937	0.3478539	0.0096267	0.1393708	0.0308073	0.5676977
200	1.0321226	0.1007865	0.1105868	1.0718329	0.5639784	0.2320336	0.0093064	0.1109575	0.0517335	0.5116159
250	1.1577485	0.1047415	0.1047227	1.0781077	0.6413036	0.2307203	0.0040626	0.0708545	0.0572387	0.4247412
300	1.0070494	0.1206848	0.0804871	1.0525377	0.5896300	0.1658023	0.0011032	0.0812227	0.1088257	0.4981090
350	0.9364473	0.0885557	0.1433795	1.0173346	0.6247464	0.2034465	0.0016491	0.0796272	0.0960808	0.5080276
400	1.0256822	0.0991567	0.1464982	1.0085106	0.6313081	0.2826564	0.0024511	0.1122141	0.0621071	0.4869941
450	0.9639352	0.1101742	0.1145522	1.0793488	0.5645058	0.2395176	0.0000000	0.1056217	0.1038979	0.4566067
500	0.8878383	0.1080359	0.1603968	0.9984851	0.5861392	0.2138480	0.0013920	0.1159947	0.0913978	0.4117226
550	0.9581158	0.1325068	0.1725738	1.0359722	0.5920004	0.1962382	0.0330154	0.1127835	0.0975136	0.5865513
600	0.9593599	0.1182385	0.1521988	0.9542339	0.5721687	0.1775468	0.0820836	0.1545868	0.0834217	0.7928017
650	0.9395103	0.1522153	0.1373833	0.9809830	0.6026927	0.2944946	0.1049253	0.1589610	0.0638681	0.8520195
700	0.9480010	0.1339636	0.1199614	0.9827813	0.7051968	0.3006966	0.1116350	0.1765674	0.0309762	0.8370565
