G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.5000000	0.1375659	0.3472666	1.0000000	0.7971703	0.4206957	0.2539367	0.3734476	0.1263941	1.0000000
1.0000000	0.0625637	0.1354394	1.0000000	0.6166216	0.4094958	0.1088103	0.1188785	0.0230208	1.0000000
1.0000000	0.1251262	0.0677302	1.0000000	0.6166216	0.4094958	0.1088103	0.1188785	0.0230208	1.0000000
1.0000000	0.2003019	0.3337701	0.5000041	0.9680944	0.4272652	0.1109639	0.2827392	0.0244643	1.0000000
1.0000000	0.1251262	0.1354394	1.0000000	0.3083116	0.4094958	0.1088103	0.1188785	0.0230208	1.0000000
1.0000000	0.1251262	0.1354394	1.0000000	0.6166216	0.2047781	0.1088103	0.1188785	0.0230208	1.0000000
1.0000000	0.1251262	0.1354394	1.0000000	0.6166216	0.4094958	0.0544059	0.1188785	0.0230208	1.0000000
1.0000000	0.1251262	0.1354394	1.0000000	0.6166216	0.4094958	0.1088103	0.0594404	0.0230208	1.0000000
1.0000000	0.1251262	0.1354394	1.0000000	0.6166216	0.4094958	0.1088103	0.1188785	0.0115104	1.0000000
1.0000000	0.1251262	0.1354394	1.0000000	0.6166216	0.1869519	0.1116680	0.1188785	0.0824156	0.5000000
