G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	0.7576831	0.0137214	0.1719655	0.0919187	0.7460371	0.4275870	0.6423609	0.4585883	0.7327905
0.6635479	0.0000000	0.7846434	0.7750698	0.5443793	0.7468152	0.4017171	0.6000688	0.6100270	0.7600542
0.1102228	0.6934993	0.0000000	0.1911942	0.1045333	0.8341626	0.4473552	0.6633734	0.6175048	0.6992190
0.0758787	0.6776899	0.0105678	0.0000000	0.0785570	0.6205121	0.3678694	0.7191039	0.5827641	0.7360731
0.1356294	0.6988852	0.0299944	0.2654536	0.0000000	0.8236137	0.4586859	0.7303142	0.5222114	0.8524523
0.0983591	0.7506777	0.0179274	0.2084783	0.7709304	0.0000000	0.0306188	0.0005926	0.0559217	0.0220033
0.1146756	0.6630799	0.0095465	0.1839703	0.0816638	0.7162532	0.0000000	0.6616711	0.4785355	0.7309820
0.0639436	0.5948669	0.0066746	0.1356134	0.1181407	0.6393611	0.3779159	0.0000000	0.5699718	0.7530560
0.0914109	0.6788941	0.0103185	0.1841232	0.0337707	0.6646457	0.4108668	0.7694745	0.0000000	0.7549947
0.0796236	0.8030975	0.0286769	0.1914476	0.0667753	0.7908724	0.4693413	0.7168069	0.5087659	0.0000000
