G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000030	1.0000000	0.0231544	0.2530083	0.0875128	1.0000000	0.5209181	0.9747295	0.7182253	0.9999998
0.9999939	0.0000036	0.9999997	0.9999997	0.9999065	1.0000000	0.5209181	0.9747295	0.7182253	0.9999998
0.1458443	1.0000000	0.0000005	0.2530083	0.0875129	1.0000000	0.5209181	0.9747295	0.7182253	0.9999998
0.1458442	1.0000000	0.0231544	0.0000039	0.0875128	1.0000000	0.5209181	0.9747295	0.7182253	0.9999998
0.1458442	1.0000000	0.0231544	0.2530083	0.0000039	1.0000000	0.5209181	0.9747295	0.7182253	0.9999998
0.1458442	1.0000000	0.0231544	0.2530083	0.9999629	0.0000000	0.0264141	0.0029270	0.0399200	0.0406243
0.1458442	1.0000000	0.0231544	0.2530083	0.0875128	1.0000000	0.0000029	0.9747295	0.7182253	0.9999998
0.1458442	1.0000000	0.0231544	0.2530083	0.0875128	1.0000000	0.5209181	0.0000052	0.7182253	0.9999998
0.1458442	1.0000000	0.0231544	0.2530083	0.0875128	1.0000000	0.5209181	0.9747295	0.0000035	0.9999998
0.1458442	1.0000000	0.0231544	0.2530083	0.0875128	1.0000000	0.5209181	0.9747295	0.7182253	0.0000033
