Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0	0.1537568	0.7476368	0.1149859	0.0542786	0.7625952	0.1691625	0.2354795	0.5358171	0.2763033	0.6579482	0.2021801	0.2136205	0.4080388	0.0801206	0.2339870	0.0946562	0.5465637	0.0983119	0.0192400	0.2905363	0.1633302	0.0409137	0.4136730	0.0129448	0.6472980	0.0809300	0.4677403	0.4497047	0.3195055	0.6597452	0.0505482	0.6600162	0.5717474	0.6055745	0.6021670	0.4086174	0.4970892	0.6295489	0.3696694	0.2827986	0.2467339	0.4833962	0.1229152	0.1593086	0.0648509	0.0142281	0.0216625	0.0077901	0.3805766	0.0886887	0.2799783	0.0366294	0.1102771	0.0049937	0.0064590	0.0636039	0.2883464	0.4364033	0.2584339	0.7278702	0.3467064	0.0749838	0.3002362	0.1291467	0.2717234	0.1406955	0.3212356	0.1371479	0.4833984	0.4879564	0.5586202	0.5894182	0.3088481	0.5420723	0.6827434	0.0979906	0.3922889	0.1724270	0.2673572	0.1640931	0.0454258	0.0000327	0.2701634	0.3877653	0.1664678	0.2913364	0.0989487	0.2720669	0.0624756	0.5310551	0.8118031	0.0818547	0.1164007	0.4248629	0.6161588	0.4550421	0.0185216	0.5340460	0.5973300	0.0332033
50	0.0331146	0.8088645	0.0765502	0.0412138	0.6018048	0.3495756	0.0300336	0.3680280	0.2733264	0.6823771	0.0237851	0.3116582	0.4164949	0.1062164	0.2767500	0.0862101	0.5202703	0.1201954	0.0231969	0.3277217	0.1587495	0.0789176	0.2534416	0.1934328	0.4184557	0.0588177	0.3052273	0.4878219	0.2805462	0.6711825	0.0261480	0.6316948	0.5949998	0.6719354	0.7838091	0.4137181	0.4510063	0.5560211	0.3941576	0.2845304	0.1489995	0.4671235	0.3413070	0.2046655	0.0716772	0.0009314	0.0088841	0.0001015	0.5635571	0.1436924	0.5135389	0.0242670	0.1213266	0.2599640	0.0226809	0.0164981	0.2248142	0.5902927	0.3292590	0.6601313	0.2575687	0.0962275	0.3421909	0.1362667	0.2675551	0.2445201	0.2476712	0.3774044	0.6955464	0.5889804	0.6511345	0.5634048	0.3833641	0.4620128	0.6195031	0.1365923	0.4388109	0.2989981	0.2791237	0.0579760	0.0441178	0.0263102	0.3552504	0.3517910	0.1841574	0.2158097	0.3885618	0.2541302	0.0189585	0.5201431	0.5249175	0.2003328	0.1101452	0.1129063	0.6294587	0.3688311	0.0267482	0.4378406	0.5921411	0.4001071
100	0.0095363	0.6551837	0.0781518	0.0242826	0.5691787	0.2706845	0.0388913	0.4312350	0.2547097	0.5936807	0.0094389	0.3136171	0.4734709	0.0819433	0.1806868	0.0787762	0.6113224	0.1123862	0.0202521	0.4204800	0.1997360	0.0423429	0.2049670	0.3012287	0.3337060	0.0635437	0.3518188	0.5875538	0.1990389	0.6797619	0.0508636	0.5503706	0.7151122	0.4906059	0.7240911	0.3518931	0.3501773	0.4144482	0.5574895	0.2563658	0.1631672	0.2808189	0.5112962	0.1723158	0.0549445	0.0000572	0.0247377	0.0022503	0.4992952	0.1906898	0.2663014	0.0251475	0.0838748	0.4069962	0.0147153	0.0247657	0.2466952	0.4137687	0.2257005	0.6577717	0.2919897	0.0551861	0.3864252	0.1546187	0.2457617	0.2964340	0.3678062	0.6230862	0.4588461	0.5898740	0.6608953	0.4986487	0.3560292	0.3222608	0.7280225	0.1231655	0.4590002	0.3839845	0.2775494	0.0203211	0.0410679	0.0516111	0.4437167	0.3227445	0.2358787	0.3098782	0.3892075	0.2550308	0.0561365	0.4960951	0.6155218	0.1450469	0.1164528	0.0361946	0.6084889	0.3583415	0.0353297	0.5969386	0.5451559	0.4633319
150	0.0180822	0.6773250	0.1169853	0.0118093	0.6704676	0.2011837	0.0211004	0.5021415	0.3006959	0.6486183	0.0105595	0.3598503	0.5294840	0.0966567	0.2136965	0.1282381	0.7420068	0.1015216	0.0178033	0.3198763	0.1713783	0.0330069	0.2845943	0.2518835	0.2550881	0.0307525	0.3697816	0.4477096	0.1489461	0.5986178	0.0651229	0.5254344	0.6982203	0.5524915	0.7853819	0.3807917	0.4448506	0.5613001	0.5106052	0.2668487	0.1786282	0.2854043	0.6082388	0.1499467	0.0604163	0.0002561	0.0074835	0.0001097	0.4922257	0.1686607	0.2000828	0.0203364	0.1148827	0.3944668	0.0098062	0.0237522	0.2300146	0.5425265	0.3064422	0.6372077	0.3295550	0.0533192	0.3965073	0.1294664	0.2532405	0.3418545	0.3163272	0.5751834	0.4844477	0.5578626	0.7619658	0.4470831	0.4013437	0.4182940	0.6869560	0.1372378	0.4031402	0.3866330	0.2088628	0.0039866	0.0622732	0.0395953	0.3575600	0.4788111	0.1304401	0.4166704	0.3783623	0.2786295	0.0593132	0.5788462	0.5690011	0.0734993	0.1278991	0.0238233	0.7207063	0.4135194	0.0280265	0.4643976	0.6279366	0.4135885
200	0.0063918	0.6042841	0.0659731	0.0177687	0.6648164	0.2607258	0.0268191	0.4609977	0.2856890	0.6855659	0.0144106	0.3492365	0.5263204	0.0974545	0.2222134	0.1000027	0.6074955	0.1124090	0.0210445	0.3650933	0.1235916	0.0490862	0.2791768	0.3704537	0.2922054	0.0888778	0.3317399	0.5097979	0.1382998	0.6525150	0.0877054	0.4605888	0.6727468	0.4598791	0.7042582	0.3755397	0.4083250	0.6166890	0.6336884	0.3274139	0.2689924	0.2462008	0.4327505	0.1293449	0.0735222	0.0011231	0.0265372	0.0001950	0.5313829	0.1880680	0.1188613	0.0356932	0.1386288	0.4069753	0.0104753	0.0636494	0.2218810	0.5287552	0.2904106	0.7343893	0.3274655	0.0277841	0.3768938	0.1614142	0.3053115	0.3317831	0.3192318	0.6087111	0.5623098	0.4834208	0.6301945	0.4583399	0.2661369	0.3727286	0.6581949	0.1042451	0.3708116	0.3748747	0.2067451	0.0010174	0.0402981	0.0498630	0.4521241	0.3351221	0.1469873	0.2963698	0.4109263	0.3863006	0.0525641	0.5534260	0.6310132	0.1308253	0.1167190	0.0156113	0.6383433	0.3508352	0.0103295	0.4417846	0.5990997	0.4532026
250	0.0124794	0.6381602	0.0965154	0.0399387	0.5541443	0.3045463	0.0308331	0.4034372	0.2862143	0.7465962	0.0037904	0.3245977	0.3721746	0.0526316	0.2007102	0.1500702	0.5976191	0.0894658	0.0108350	0.3006751	0.2088562	0.0785628	0.2418528	0.2440844	0.2685981	0.0170693	0.3200305	0.4203457	0.0396282	0.7220306	0.0864820	0.4540885	0.6858372	0.5003394	0.7061423	0.3378833	0.4062585	0.5748389	0.6486639	0.3673159	0.2363723	0.3319853	0.4515155	0.1975493	0.0790276	0.0030486	0.0272813	0.0020231	0.5661249	0.1768248	0.1009228	0.0424404	0.1598949	0.4784793	0.0030125	0.0426415	0.1888787	0.4305268	0.3051957	0.7209017	0.3979842	0.0627405	0.4592392	0.1967570	0.2202181	0.3183551	0.2498512	0.6002989	0.4310931	0.5700084	0.5501629	0.4050427	0.3512965	0.4557019	0.5303536	0.0805073	0.3549847	0.4054644	0.1956736	0.0000883	0.0286568	0.0560963	0.3221439	0.4033061	0.1367950	0.3033329	0.3710949	0.3655711	0.0248198	0.5268913	0.5825627	0.1253005	0.0821120	0.0284393	0.6648914	0.4337066	0.0293016	0.4623973	0.5323124	0.6090717
300	0.0101469	0.7917774	0.1020770	0.0187430	0.5257669	0.2903398	0.0228655	0.3915654	0.3921146	0.6392987	0.0018526	0.3752952	0.4643929	0.0866825	0.2044971	0.1439232	0.6569053	0.1541065	0.0088512	0.4140425	0.2355149	0.0932774	0.3408476	0.2637884	0.2313988	0.0634256	0.3403575	0.4867504	0.0866074	0.7153559	0.0816501	0.4860522	0.6504746	0.5467410	0.7145107	0.3634342	0.4990280	0.4551015	0.6188431	0.3622846	0.2757416	0.3683294	0.4615455	0.1680061	0.0742512	0.0007852	0.0486765	0.0015142	0.5406348	0.1704600	0.1861124	0.0426368	0.1260979	0.4869555	0.0186148	0.0420520	0.2988672	0.4388055	0.2838813	0.5082584	0.4096882	0.0290982	0.3976956	0.1512766	0.4178846	0.3200113	0.3520140	0.6106682	0.4567467	0.6008957	0.6114959	0.3971995	0.3896112	0.4104483	0.6462837	0.1102950	0.3524944	0.4919152	0.2035339	0.0001490	0.0375318	0.0602122	0.3110259	0.3783819	0.1648464	0.2926086	0.4617408	0.3115413	0.0346541	0.4565690	0.5314893	0.1246083	0.1148625	0.0214808	0.6715016	0.3518556	0.0352235	0.5032888	0.4373880	0.4641504
350	0.0115459	0.7643023	0.1298105	0.0376851	0.6455873	0.2654633	0.0105143	0.3317474	0.2447322	0.8737790	0.0011060	0.3558429	0.5058272	0.0997447	0.1491492	0.1177613	0.6924888	0.1195248	0.0213179	0.2787407	0.2062717	0.0333068	0.2767384	0.2938993	0.3528192	0.0420920	0.2919567	0.4306899	0.0686593	0.7764474	0.1484524	0.3890410	0.5260725	0.5552309	0.5666862	0.3817042	0.3181583	0.5627077	0.4997379	0.3062038	0.2659068	0.3455138	0.4993946	0.1732281	0.0702353	0.0001951	0.0076687	0.0013491	0.6382462	0.2316192	0.2280919	0.0411647	0.1170260	0.4644741	0.0217589	0.0192569	0.2676435	0.4990217	0.3271466	0.7116238	0.3604859	0.0594792	0.3194371	0.1462592	0.2756874	0.3173655	0.3630026	0.4752475	0.3363834	0.5614460	0.7165049	0.4036111	0.3105015	0.4759256	0.6617603	0.1312413	0.3736226	0.3490922	0.1977645	0.0000020	0.0473919	0.0429752	0.3176898	0.3163978	0.1380637	0.2818115	0.3917664	0.3266425	0.0412428	0.4701614	0.7894374	0.1167824	0.1383233	0.0143352	0.6412118	0.3556630	0.0518627	0.5109933	0.6142724	0.6774459
400	0.0126236	0.8654842	0.1560207	0.0421735	0.5931004	0.2984679	0.0097673	0.3705698	0.2618597	0.7870724	0.0061130	0.2668662	0.3822879	0.0628152	0.2147526	0.1026965	0.7036190	0.1166609	0.0186471	0.3424091	0.2274845	0.0424762	0.2106870	0.2943997	0.3220636	0.0856358	0.2567636	0.4090615	0.0761411	0.6864916	0.1055648	0.4817186	0.6276993	0.5427392	0.6520965	0.2380924	0.3240283	0.4447412	0.5606957	0.3527091	0.2251390	0.3406300	0.4538300	0.1529456	0.0341230	0.0000354	0.0087037	0.0000995	0.6624702	0.1526933	0.0603337	0.0373556	0.1046314	0.3780203	0.0107133	0.0269509	0.2640988	0.5713100	0.2209766	0.5811620	0.3555130	0.0693186	0.3437869	0.0987617	0.3117969	0.3523215	0.3698528	0.6319236	0.4031661	0.5480831	0.6353855	0.4474271	0.2744930	0.3779703	0.7285812	0.1269758	0.3736007	0.3155408	0.2876743	0.0000008	0.0486675	0.0311459	0.3989428	0.3080233	0.1782032	0.4053758	0.3865984	0.2927424	0.0309339	0.3702358	0.5959245	0.1031808	0.1240636	0.0128300	0.6008178	0.2805663	0.0175185	0.5496743	0.5442176	0.5697732
450	0.0067609	0.6717275	0.0507518	0.0189905	0.6826226	0.2902008	0.0132278	0.5275935	0.2689073	0.6013591	0.0007194	0.2260242	0.5520538	0.0826478	0.2925664	0.1198559	0.6430144	0.0856015	0.0118386	0.4496185	0.2211484	0.0431012	0.2698884	0.3275216	0.2575838	0.0344143	0.3411393	0.4035493	0.0806707	0.5393412	0.1232720	0.4068605	0.6609356	0.4764069	0.7600616	0.2597264	0.3473510	0.5022433	0.4758862	0.2645268	0.2657482	0.3339560	0.6072274	0.1552717	0.0437854	0.0000293	0.0046361	0.0004838	0.6009327	0.1964799	0.0218110	0.0273213	0.0876137	0.4386705	0.0058052	0.0341422	0.2367750	0.4879860	0.2085920	0.5852971	0.2260763	0.0581435	0.4367931	0.1261273	0.2731018	0.3396975	0.3243068	0.6543403	0.3975794	0.5599104	0.5520824	0.4540507	0.2917961	0.4973681	0.7021368	0.1277738	0.4754118	0.3983356	0.2244931	0.0000095	0.0363809	0.0308781	0.3647939	0.3999020	0.2023007	0.3077200	0.3760132	0.3114113	0.0252961	0.4699469	0.6587539	0.1168633	0.1405329	0.0064438	0.5905554	0.2800846	0.0155939	0.4866415	0.6820357	0.7075815
