G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2092455	0.6720980	0.4350280	0.6843310	0.0000000	0.6235727	0.6975786	0.0402547	0.5979322	0.0415048	0.6865196	0.6198347	0.0119987	0.7061088	0.8011726	0.6760637	0.0346641	0.7811860	0.5817241	0.0091287	0.6759022	0.5679225	0.6449531	0.3225003	0.5779069	0.3112364	0.5221242	0.7424168	0.3780094	0.5250417	0.0232451	0.6794332	0.7251837	0.6734643	0.6752113	0.4247311	0.3554776	0.6494463	0.3543307	0.2647227	0.2989201	0.3448607	0.1320870	0.7568527	0.7129648	0.6688338	0.6629040	0.3614826	0.6043385	0.0527684	0.6725420	0.4459460	0.4639788	0.4136848	0.7102825	0.5234415	0.0102260	0.3653886	0.7866465	0.0177451	0.6339744	0.5260302	0.7250367	0.5404177	0.3742382	0.4298306	0.5123420	0.4282114	0.0106482	0.0783872	0.6530509	0.6307584	0.6671498	0.5354261	0.0000000	0.6401156	0.6207310	0.5882006	0.5174691	0.6677335	0.4283953	0.6372358	0.5776290	0.7475560	0.5312994	0.4693781	0.6033280	0.5900086	0.6247641	0.6149709	0.6595454	0.5267917	0.6460731	0.6370277	0.7019972	0.7007298	0.5376519	0.5931333	0.7138072	0.6810952
0.2114205	0.6913241	0.4543363	0.7319293	0.0000000	0.6847743	0.6153591	0.0261436	0.5807786	0.1127133	0.7711074	0.5530116	0.0147563	0.7436127	0.5606744	0.6419050	0.0134793	0.8277885	0.7245446	0.0186031	0.6406153	0.5967647	0.7172292	0.3606658	0.7109526	0.4664252	0.7060651	0.6788849	0.3872694	0.6016630	0.0297871	0.6124405	0.6092574	0.6351952	0.7235217	0.4936498	0.5212892	0.6211744	0.2275576	0.3070442	0.3378551	0.3629231	0.1522317	0.5686106	0.5503859	0.6945499	0.6570250	0.6020815	0.5796937	0.2858710	0.5990680	0.3439658	0.5780678	0.3885915	0.5406103	0.5917696	0.4424465	0.5219590	0.7598767	0.0052344	0.6437700	0.5163815	0.6755838	0.4245305	0.4699834	0.3730598	0.5375334	0.4769786	0.0214937	0.0522596	0.6289707	0.7304131	0.5394276	0.6399665	0.6776730	0.0004139	0.6531624	0.0045214	0.2666278	0.4670858	0.0018697	0.0002360	0.3261982	0.3389375	0.1946191	0.4654277	0.0480783	0.2938957	0.0199269	0.6705364	0.0000000	0.0895600	0.3609525	0.3801931	0.5984900	0.7934641	0.0118250	0.3746915	0.1825971	0.0352838
0.2354147	0.6243125	0.4942079	0.5990703	0.0012549	0.7029892	0.6480567	0.0134659	0.5159675	0.0562742	0.5900027	0.6960733	0.0048239	0.6953888	0.6754512	0.5044668	0.0255063	0.6595125	0.7145007	0.0115895	0.7235372	0.6028314	0.5950536	0.3845548	0.6992680	0.3081291	0.5416863	0.6365328	0.4585757	0.6723524	0.0290870	0.5921458	0.6823363	0.5711231	0.7515968	0.6054192	0.4013176	0.5291888	0.3642022	0.3158890	0.3353588	0.3929449	0.1300178	0.6952902	0.6903707	0.7508442	0.7936580	0.6098209	0.6700412	0.0083465	0.6795045	0.4710415	0.5070547	0.4339544	0.6129930	0.6028179	0.0137264	0.2602715	0.5757111	0.0148694	0.6337506	0.6610762	0.6281533	0.5695313	0.3217067	0.4014522	0.6426130	0.5074061	0.0372756	0.0949334	0.7226567	0.6344568	0.6819025	0.6432974	0.0000000	0.3796126	0.6954555	0.3476353	0.2821761	0.8229324	0.3404863	0.2290943	0.2787920	0.4464055	0.5703392	0.2263943	0.3324293	0.3187883	0.2315768	0.7237177	0.0000000	0.3650701	0.3597312	0.6867838	0.6988527	0.6444808	0.3053176	0.4455926	0.5974985	0.0240796
0.1055381	0.7537194	0.0940912	0.0390400	0.6719143	0.2343423	0.2930519	0.4310025	0.2390859	0.5689781	0.1458644	0.2790397	0.5228264	0.0967277	0.2605118	0.1143835	0.6059220	0.1570237	0.0251283	0.3792314	0.1851003	0.0681027	0.1388530	0.0019384	0.0000000	0.0379636	0.1011307	0.4888870	0.0012745	0.0041966	0.7257914	0.0509154	0.0178424	0.0021829	0.0000000	0.0274933	0.0091227	0.0324656	0.0483165	0.3149759	0.3213533	0.3045503	0.0304593	0.1778290	0.0382998	0.0500189	0.0333952	0.0002230	0.6091997	0.1374287	0.2875154	0.0192060	0.1629710	0.0220397	0.0032619	0.0258323	0.3633590	0.4942642	0.2667497	0.5897254	0.2347794	0.0706590	0.4741321	0.1118974	0.2618032	0.1363949	0.2835201	0.0805997	0.5366585	0.4910421	0.6088077	0.3975925	0.3380237	0.5987714	0.6941927	0.1476238	0.5616797	0.1715165	0.3045544	0.0925760	0.0356988	0.0018253	0.3133047	0.3554710	0.2598308	0.2249605	0.1269866	0.3324926	0.0377113	0.5277532	0.6956574	0.1432683	0.1315769	0.3697536	0.5850233	0.3898100	0.0200065	0.5218843	0.5626373	0.0198078
0.1788828	0.6704170	0.4068841	0.6715836	0.0000000	0.6484969	0.6757728	0.0183489	0.7458808	0.0572213	0.6111923	0.6029121	0.0283016	0.6568916	0.6396519	0.7937157	0.0158229	0.7492348	0.6767424	0.0052262	0.7051702	0.6260476	0.3581524	0.0007966	0.0000000	0.0345615	0.4281627	0.6367345	0.0048816	0.0062371	0.5922325	0.0361097	0.0041029	0.1543219	0.0546887	0.0073780	0.0023677	0.0498975	0.2714725	0.3303149	0.5252384	0.3190998	0.0506057	0.6174118	0.5891127	0.6464986	0.5577347	0.2307073	0.5053248	0.3877841	0.7661670	0.3959625	0.4125266	0.3251739	0.6550026	0.5374157	0.5057104	0.7398902	0.6992442	0.0070695	0.6944455	0.6740066	0.6782639	0.3096377	0.4651727	0.5287475	0.5660122	0.5676385	0.0279580	0.0730292	0.6522882	0.7211431	0.6228803	0.6331273	0.5901801	0.2808655	0.6226192	0.5698951	0.5857058	0.6204890	0.1991006	0.1460723	0.5801043	0.5635736	0.4213990	0.5402899	0.3903084	0.7430338	0.0989807	0.7415747	0.9152431	0.4719923	0.3981598	0.4604114	0.6431523	0.6512443	0.0372291	0.6059974	0.7881592	0.0383944
0.2411050	0.6496110	0.4055730	0.6311524	0.0000000	0.5769528	0.7257054	0.0301730	0.6410074	0.0637275	0.6053265	0.6127570	0.0272830	0.6960371	0.6001457	0.7421737	0.0327159	0.5482517	0.6191877	0.0327742	0.5935452	0.6683097	0.5131596	0.4221520	0.6678736	0.4719894	0.5787723	0.6761694	0.2751827	0.8483792	0.0451797	0.6479366	0.6512821	0.5299713	0.6773212	0.4947312	0.4403443	0.6851984	0.3207153	0.2589187	0.2207935	0.3560832	0.1669544	0.8210751	0.6147154	0.0000000	0.2320752	0.0340543	0.4027679	0.3984160	0.6049288	0.0233291	0.0529927	0.0395539	0.0042357	0.0459734	0.4600798	0.7042000	0.5875110	0.0198257	0.5727314	0.6284592	0.7690921	0.4179954	0.4531228	0.5366471	0.5311941	0.5400455	0.0149234	0.0334945	0.7461905	0.7432196	0.5416715	0.6269384	0.6686778	0.3201685	0.6915804	0.5445936	0.5461534	0.7033170	0.2043268	0.1486656	0.5433078	0.5028364	0.5617479	0.5801167	0.4475961	0.6970731	0.0622656	0.6239435	0.5993624	0.3840243	0.4593362	0.6680992	0.6226832	0.7172337	0.0549430	0.7058473	0.5854325	0.0142616
0.6871456	0.0000000	0.6221960	0.8069605	0.0000000	0.7145562	0.7257766	0.0181512	0.6632018	0.0357794	0.6920985	0.5643860	0.0164216	0.6724413	0.7114564	0.6252013	0.0155172	0.6924923	0.6722445	0.0139620	0.6180684	0.6017712	0.6949174	0.4584708	0.6401415	0.3678375	0.6081796	0.5606780	0.3741434	0.8049521	0.0443226	0.5976783	0.6992207	0.5515180	0.6252191	0.4230565	0.4318475	0.5396680	0.3279996	0.3136722	0.3754555	0.3632111	0.1401146	0.6924117	0.7046246	0.6628064	0.6286432	0.2184041	0.6704883	0.3948556	0.6478522	0.4539388	0.4334392	0.3952982	0.6077208	0.4974949	0.5713410	0.6562308	0.6843902	0.0088601	0.6197776	0.8375289	0.6950355	0.3461347	0.4243843	0.5124856	0.5600602	0.4201947	0.0259445	0.0728627	0.7009310	0.6477658	0.5504122	0.5530306	0.7260469	0.3002728	0.6745189	0.4100380	0.4670007	0.8101589	0.2104441	0.2019746	0.4136712	0.6549178	0.4804401	0.5193500	0.3741308	0.7267110	0.1072611	0.7372706	0.7307444	0.3771296	0.4588583	0.5768123	0.6492585	0.5353571	0.0597299	0.7753386	0.7517067	0.0169039
0.2452898	0.6928427	0.5813990	0.6749642	0.0000000	0.5884329	0.6723493	0.0275354	0.6977031	0.0309971	0.6362864	0.6158503	0.0094337	0.7160591	0.8053363	0.7088901	0.0303844	0.7684966	0.5846289	0.0144198	0.7569651	0.7274901	0.7927415	0.3559799	0.5852712	0.3598216	0.6591012	0.6906726	0.3609924	0.7596807	0.0211259	0.6864570	0.7785181	0.7224819	0.5797412	0.4899806	0.4753982	0.5828498	0.2635711	0.3369232	0.2508709	0.4037711	0.1223536	0.6503743	0.7120023	0.7049311	0.0000000	0.0170956	0.6223385	0.4277263	0.3726329	0.3581055	0.3760340	0.3613317	0.6136436	0.4977632	0.4432018	0.6594886	0.6092643	0.0208180	0.6231875	0.7153589	0.7547898	0.3708057	0.3943555	0.4575681	0.5532555	0.4991823	0.0346390	0.0642921	0.7224434	0.6782882	0.6692694	0.7353812	0.5941752	0.2482701	0.5702355	0.3700353	0.5552289	0.5472617	0.2568766	0.2741888	0.5229020	0.6435605	0.4708359	0.5810672	0.3582740	0.5706923	0.1279921	0.5175233	0.7160999	0.3929180	0.3955220	0.5656014	0.6542426	0.7768182	0.0780894	0.7246541	0.6472170	0.0213546
0.2232556	0.7441226	0.4259618	0.6434513	0.0000000	0.7787581	0.7696521	0.0333281	0.7819754	0.0377307	0.6585833	0.5845971	0.0234579	0.6350325	0.8368980	0.5724457	0.0235151	0.6671959	0.6169768	0.0038948	0.7302521	0.7479199	0.7730687	0.2780323	0.7071971	0.4982510	0.6237744	0.7717604	0.2680252	0.6811973	0.0345476	0.5409676	0.7201191	0.5116241	0.5618431	0.4859119	0.4265766	0.6301677	0.3276441	0.2899795	0.4050883	0.3571860	0.1123759	0.6824103	0.5746526	0.7392690	0.6358479	0.4039107	0.5793227	0.0000000	0.6337939	0.3651866	0.5616619	0.3607282	0.7361225	0.5830351	0.4453966	0.6230546	0.6115257	0.0027837	0.7628863	0.5735170	0.7310511	0.3288706	0.4042796	0.4262916	0.6899171	0.4574734	0.0151658	0.0906717	0.7775112	0.7095018	0.7007672	0.6170231	0.6002210	0.3542949	0.6182335	0.4213669	0.4085335	0.7335904	0.1969307	0.2271722	0.4713083	0.6573737	0.5223658	0.5243585	0.3474817	0.5525017	0.1091800	0.6869088	0.6869029	0.3781068	0.4401052	0.5602758	0.6048236	0.8050923	0.0358974	0.6815799	0.6688010	0.0233728
0.0836648	0.7278444	0.1246514	0.0185808	0.7537684	0.2624923	0.2129634	0.5187085	0.1942937	0.6189864	0.2077878	0.1692061	0.4860639	0.1047604	0.1538089	0.1240443	0.6892656	0.0968532	0.0137984	0.3435236	0.2265025	0.0432953	0.3978741	0.0087361	0.6375247	0.0747656	0.4653799	0.4562795	0.3598228	0.6487972	0.0404221	0.7040073	0.6356048	0.5602443	0.6222895	0.4254264	0.4357177	0.5930492	0.3167294	0.3215112	0.2945680	0.3414373	0.1158749	0.1772619	0.0610867	0.0000000	0.0000000	0.0038710	0.2519584	0.1521498	0.0006797	0.0437185	0.0801939	0.0175900	0.0075584	0.0750245	0.2642454	0.5242616	0.2082159	0.6369101	0.2630200	0.0788646	0.2946571	0.0904610	0.1949866	0.1720481	0.2941431	0.0445055	0.5883994	0.5487954	0.6820773	0.5296226	0.3234047	0.4123347	0.6288420	0.1455977	0.5401917	0.1952997	0.2633397	0.1800097	0.0230156	0.0006851	0.2648970	0.2221672	0.1857682	0.2763962	0.1260365	0.2160278	0.0735028	0.5994816	0.6231892	0.1365620	0.1788122	0.3292504	0.7599854	0.3319012	0.0408097	0.5451898	0.6139464	0.0186637
