G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2640002	1.0261240	0.1016194	0.0588534	0.4055921	0.9631556	0.2341748	0.0192571	0.7605435	0.1705771	0.9944004	0.5390901	0.9332730	0.6159506	0.5104415	0.5968281	0.9788010	0.0316742	0.1296947	0.4085766	0.8793981	0.5373193	0.5488670	0.3293695	0.0983141	0.2403714	0.0151116	0.0023455	0.2174116	0.0749492	0.0915330	0.0974276	0.3398371	0.0158618	0.7809834	0.0630589	0.0757070	0.9551441	0.1605576	0.4516581	0.1596539	0.2128559	0.8738241	0.4448477	0.3432150	0.2701061	0.3613444	0.2850555	0.5869665	0.1063849	0.5089244	0.3588926	0.5680232	0.4064619	0.5214352	0.0033920	0.0330342	0.0662545	0.4858328	0.5417593	0.0463237	0.0688855	0.5167222	0.3139225	0.2633346	0.2544117	0.9756513	0.8316741	0.3957528	0.5021196	0.5748416	1.0493733	0.6237828	0.1172653	0.0934202	0.0359811	0.0399772	0.0294265	0.4958224	0.2885455	0.0636885	0.0202933	0.0383871	0.3325349	0.0614154	0.0886571	0.5098109	0.8646932	0.5072592	0.2604644	1.0515644	1.0762405	0.6880786	0.4812606	1.0950060	0.9514269	0.6862809	0.8455867	0.6211682	0.9977937
0.7379288	0.5360749	0.4257436	0.0774099	0.5042818	0.8758673	0.3186800	0.0135575	0.3590145	0.0131372	0.9789254	0.4612249	0.9581758	0.5555486	0.3915976	0.6514880	1.0741798	0.0392244	0.1115225	0.3644406	0.8254464	0.5591992	0.4836643	0.3723141	0.0933465	0.2617712	0.0125681	0.0056751	0.2044052	0.0768340	0.0853477	0.1008104	0.3668620	0.0094181	0.8240932	0.0690070	0.0813966	0.8862464	0.1543452	0.5068489	0.2047956	0.2369529	0.7965565	0.4754258	0.3216867	0.2340446	0.3802552	0.2778868	0.5449434	0.0817347	0.5407912	0.3144792	0.5318840	0.3887509	0.4777292	0.0039002	0.0490721	0.0519287	0.5205678	0.5893376	0.0604720	0.0592841	0.4416093	0.2599473	0.2667558	0.2858869	1.0100713	0.8251407	0.3638369	0.4746786	0.5911806	1.0608115	0.5738629	0.0991885	0.1011992	0.0292980	0.0298860	0.0129334	0.5215829	0.2820914	0.0486801	0.0204531	0.0494852	0.3412683	0.0798413	0.0878979	0.5137601	0.8769643	0.4807993	0.2393984	0.9397586	1.0071225	0.6993368	0.5391485	0.9153835	0.9062623	0.6331912	0.8305833	0.6532772	1.0101899
0.5026655	0.9011421	0.0603357	0.0585450	0.3627192	0.9571352	0.1949903	0.0087381	0.6704457	0.1529308	1.0047199	0.5315218	0.8513752	0.7116917	0.5025313	0.5491460	1.1161940	0.0620540	0.1638238	0.3790626	0.8102164	0.5473000	0.5202062	0.3439178	0.1406517	0.2238097	0.0091984	0.0038895	0.2468546	0.0694226	0.0648663	0.0932408	0.2991644	0.0166455	0.6857654	0.1038150	0.0933493	0.8490975	0.1883349	0.5437115	0.2710654	0.2558968	0.8540903	0.4329654	0.3422742	0.2593749	0.3893272	0.3499163	0.5848519	0.0880164	0.5469183	0.3778876	0.5101861	0.3981269	0.5598351	0.0022761	0.0458980	0.0587943	0.5051719	0.5235999	0.0536061	0.0622594	0.4827852	0.2982964	0.2602156	0.3144087	1.0312895	0.8262950	0.3114103	0.5172852	0.6230569	0.9922258	0.6815840	0.1281963	0.1175385	0.0344665	0.0442408	0.0261069	0.5544850	0.2640730	0.0618104	0.0119254	0.0491831	0.3783262	0.0881027	0.0707797	0.5054980	0.9139628	0.5218478	0.2677108	0.9498705	1.0472746	0.6985708	0.4325476	0.9411993	0.9573607	0.6051957	0.9213941	0.7168748	1.0921761
0.5522803	1.0605256	0.1199812	0.0341742	0.4426630	0.9940198	0.1867761	0.0142754	0.7534243	0.1982981	1.0347611	0.5611370	0.9007515	0.5622762	0.5295227	0.6456078	0.9738096	0.0446103	0.1276792	0.4432146	0.8027753	0.5419228	0.4502542	0.3416357	0.0915849	0.2444074	0.0218461	0.0054824	0.2436546	0.0690478	0.0775283	0.1002448	0.2579370	0.0097754	0.8204499	0.0946864	0.0832932	0.9060492	0.1651506	0.5318904	0.2255850	0.2899251	0.9349752	0.3975389	0.3659252	0.2914948	0.4397771	0.3256581	0.5926079	0.0758492	0.5748797	0.3432703	0.5563078	0.4391510	0.5491074	0.0036965	0.0541569	0.0492529	0.4182714	0.6160369	0.0584807	0.0955335	0.5538939	0.2848683	0.2908246	0.3145409	1.0813283	0.7899278	0.3278272	0.5273029	0.6132554	1.0527815	0.6104227	0.1376284	0.1055447	0.0371229	0.0305248	0.0428593	0.6015023	0.2727663	0.0434591	0.0339820	0.0388122	0.3292814	0.0717974	0.0936438	0.5687141	0.8482336	0.4877966	0.2482157	1.0300800	0.9277377	0.7065295	0.4323621	0.9742057	0.9770404	0.5767738	0.8327587	0.6454086	1.0166365
0.5624200	1.0448265	0.1221499	0.0750049	0.2125504	0.9929762	0.1995226	0.0146627	0.7156054	0.1648622	0.9872459	0.5523314	0.9423882	0.6867430	0.5027348	0.6432875	1.0007668	0.0407589	0.0871680	0.3417937	0.8589317	0.5520306	0.4923967	0.2924059	0.1261751	0.2811274	0.0086262	0.0042351	0.1755106	0.0721173	0.1121918	0.0873808	0.2838047	0.0230254	0.8303029	0.0511349	0.0678851	0.9192733	0.1712700	0.5516589	0.1903502	0.2973439	0.8841914	0.5034478	0.3488610	0.2789711	0.3348962	0.3251882	0.5537814	0.0742944	0.4559769	0.4060897	0.5726482	0.4457398	0.5522136	0.0012417	0.0291331	0.0665465	0.5077526	0.5785221	0.0498729	0.0770789	0.4550381	0.2686691	0.2417860	0.3194116	1.0444462	0.7767550	0.3252291	0.5626640	0.6629080	1.0698732	0.6307808	0.1168712	0.1012222	0.0511769	0.0585794	0.0408726	0.5099972	0.2355045	0.0561046	0.0311750	0.0280462	0.3911667	0.0468306	0.0867932	0.5412699	0.7700604	0.4484217	0.2254306	0.9922496	1.0475633	0.6924591	0.5318340	0.9575829	0.9725031	0.6681621	0.9450395	0.8119681	1.0083106
0.5181529	1.0141030	0.0830669	0.0778113	0.3187561	0.4455993	0.1662946	0.0214978	0.7341303	0.1776684	1.0022751	0.4925051	1.0025881	0.6306850	0.5101978	0.6420516	0.9989009	0.0325108	0.0853725	0.4117884	0.8101917	0.5519822	0.5223687	0.2887669	0.1083553	0.1925930	0.0117083	0.0021375	0.2592649	0.0627440	0.0396728	0.1099340	0.2782161	0.0177642	0.8273768	0.0618036	0.0811624	0.8378890	0.1563542	0.4566715	0.1878436	0.2644203	0.8759486	0.4901203	0.3326713	0.2027835	0.3468034	0.2458387	0.5591393	0.1075125	0.4644397	0.2944040	0.5319207	0.4138280	0.4787518	0.0068969	0.0336290	0.0789620	0.5112305	0.5465637	0.0666098	0.0541701	0.5107429	0.2604388	0.2687212	0.2591693	1.0774907	0.7364677	0.3465311	0.5336673	0.5691494	1.1172127	0.5393136	0.1369810	0.0987357	0.0523218	0.0428554	0.0153914	0.4604087	0.2618927	0.0480302	0.0261626	0.0307645	0.3230520	0.0946894	0.0674369	0.5614832	0.8821816	0.5705661	0.2319693	0.9669012	0.9897775	0.6981111	0.5285707	1.0064330	0.8634396	0.6688858	0.8143309	0.7497987	1.0322561
0.4698761	1.0153470	0.0842383	0.0728560	0.4008582	1.0870010	0.1062079	0.0078254	0.7838406	0.1869552	1.0112090	0.6403785	0.9760956	0.6838347	0.5579765	0.5985419	0.9838883	0.0504102	0.1431450	0.3506136	0.8454408	0.5133916	0.3947409	0.3256066	0.1049196	0.2098113	0.0214036	0.0055601	0.2087663	0.0756799	0.0612623	0.1274592	0.3181743	0.0197348	0.8131098	0.0859830	0.0832776	0.8903667	0.1523414	0.5550653	0.2546831	0.2456246	0.9058302	0.4774025	0.2954267	0.2355547	0.3564800	0.2781749	0.5927989	0.0944171	0.4932150	0.3186296	0.5334443	0.4118059	0.5230419	0.0061290	0.0539993	0.0515173	0.5336497	0.5306760	0.0420350	0.0840579	0.5508049	0.2699923	0.2402674	0.2422070	0.9949704	0.8661545	0.3461825	0.5019051	0.6390282	0.9511979	0.6117184	0.1134340	0.0854803	0.0366587	0.0496256	0.0239875	0.5191633	0.2570344	0.0487175	0.0393854	0.0285571	0.3480746	0.0645599	0.0898369	0.5215048	0.8286883	0.4869168	0.1855394	1.0062559	1.1120178	0.6283238	0.5454741	1.0248916	1.0259177	0.6552103	0.8080149	0.7161880	0.9670744
0.4635592	1.0361015	0.0923127	0.0776691	0.3899256	1.0767928	0.1742771	0.0103286	0.7138911	0.1869829	1.0350003	0.5510717	0.8554692	0.6114753	0.4904119	0.5690157	1.0788985	0.0373609	0.1290071	0.3606462	0.8798357	0.5916590	0.5215130	0.3861218	0.1397973	0.3132078	0.0181971	0.0047907	0.2573956	0.0841850	0.0883555	0.1174130	0.2802038	0.0164363	0.8067541	0.0797629	0.0922971	0.9336105	0.1367662	0.5546454	0.2558369	0.2844626	0.8655716	0.4572534	0.4009917	0.2991944	0.4046452	0.3699884	0.5572628	0.1051021	0.5240338	0.4053104	0.5062158	0.4604242	0.5456638	0.0008929	0.0397372	0.0575233	0.4874433	0.5943771	0.0581533	0.0698241	0.5560693	0.3099256	0.2503047	0.3360222	0.9626984	0.7430227	0.3656659	0.5098907	0.6534231	1.0036690	0.6158328	0.1215411	0.1294851	0.0583415	0.0381926	0.0312035	0.5769292	0.3130550	0.0483994	0.0197002	0.0334967	0.3652915	0.1143704	0.0684817	0.5614860	0.8233131	0.4924134	0.2236557	1.0072239	0.9955935	0.7896293	0.5095908	0.9083010	0.9224840	0.5948744	0.8138402	0.6602302	1.0208141
0.5190536	0.9726954	0.0661491	0.0862439	0.3337395	1.0327408	0.1613878	0.0190403	0.4003740	0.2065744	1.0224526	0.6351066	0.9436280	0.6340068	0.6101297	0.6246585	1.0689865	0.0344136	0.1411452	0.3981078	0.8836280	0.5585903	0.4500655	0.3057950	0.1292582	0.2634370	0.0166015	0.0109271	0.2600780	0.0681231	0.0984132	0.1019118	0.2961729	0.0176165	0.8237475	0.1053482	0.0579956	0.9065267	0.1395057	0.5395822	0.2238855	0.2550032	0.9417362	0.4653590	0.2981142	0.2483918	0.3902624	0.2448327	0.5965397	0.1178259	0.5776986	0.3126763	0.4981919	0.5179233	0.5239839	0.0063219	0.0451875	0.0422282	0.4845184	0.5779703	0.0401919	0.0711079	0.5419505	0.3002016	0.2336270	0.3110255	0.9671668	0.8920406	0.3609099	0.4402345	0.5502206	1.0127545	0.5372227	0.1723160	0.0988342	0.0523717	0.0422392	0.0453659	0.4630594	0.2314952	0.0452876	0.0228954	0.0488258	0.3610582	0.0339083	0.0884285	0.5326647	0.8225108	0.5203849	0.2435413	0.9997896	1.0354584	0.5992147	0.5143531	1.0928772	0.9068158	0.5319662	0.8857862	0.6103878	0.9136343
0.5070345	0.9379860	0.0990288	0.0731044	0.3306348	0.9973442	0.1734993	0.0071121	0.7547370	0.0628928	0.9602224	0.5540960	0.9404191	0.5552860	0.4910093	0.5960089	0.9773269	0.0478503	0.1135669	0.3818128	0.7716538	0.5519010	0.4213075	0.2998478	0.0967064	0.2214750	0.0207307	0.0107355	0.2073258	0.0694544	0.0655550	0.0830099	0.2790586	0.0149608	0.7744906	0.0769715	0.0855206	0.9537672	0.1327730	0.4223400	0.1545073	0.2627971	0.9048258	0.4398271	0.2981914	0.2753405	0.3913593	0.2697435	0.5254989	0.1180126	0.4515251	0.3093615	0.5106534	0.4910172	0.4853134	0.0019027	0.0324893	0.0625632	0.5200855	0.6051592	0.0475805	0.0765385	0.4309463	0.2746225	0.2571379	0.3057365	1.0423318	0.7481392	0.3015639	0.4394364	0.6579248	1.0428846	0.5726834	0.1240516	0.0855936	0.0286022	0.0424505	0.0335220	0.4688967	0.2972092	0.0448918	0.0327391	0.0324654	0.3056864	0.0537020	0.0889641	0.4942767	0.8463484	0.4874839	0.1838752	1.0328493	1.0865340	0.6421984	0.4749822	0.9924740	0.9319774	0.7157966	0.8877071	0.8051053	1.1103041
