G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4705775	0.9493379	0.0898229	0.0715408	0.3601989	0.9937425	0.2385391	0.0207588	0.8230788	0.1076934	0.0000000	0.6105014	0.0000000	0.7160343	0.5488608	0.5543000	1.0846125	1.0261921	0.1205347	0.5490353	1.0066299	0.1085428	1.0204642	0.9395202	0.1205879	1.0339579	0.0193822	0.0076107	0.2240039	0.0720637	0.1148047	0.1310092	0.3512091	0.9947545	0.0510079	0.0475413	0.9182979	0.0283880	0.1520737	0.3733328	0.2161220	0.2516485	0.0403413	0.3694830	1.0319054	1.0310271	0.3885699	1.0767502	1.0110060	0.0919285	0.4474525	1.0043174	0.0568154	0.4260182	0.5214927	0.0036786	0.0429103	0.0550850	0.5475696	0.0503390	1.0434726	1.0359789	0.4801652	1.0481794	0.9330797	0.3030736	0.0048174	0.0141273	0.3176214	1.0463758	0.8856319	0.9978787	0.9864284	0.0836975	1.0485079	0.0709196	0.0420968	0.0143961	0.9603053	0.9750082	1.0583072	1.0033521	0.9478284	1.0773704	1.0321844	0.0683614	0.4486070	0.0029925	0.0380907	1.0052127	0.2694159	0.2890597	0.8972504	0.0681659	0.3144889	0.1598144	0.0994039	0.4606677	0.1375139	0.5294247
0.4503138	1.0661653	0.0866848	0.0618193	0.3184860	1.0330819	0.1792251	0.0264933	0.9411627	0.9567299	1.1193393	0.9991308	0.0000000	1.0259465	0.8850434	1.1158224	0.0000000	0.5278885	0.5379618	0.8774808	1.0445532	0.3682620	1.0264832	1.0278622	0.9865214	0.9445993	0.9647133	0.9558941	0.9230742	1.0108789	0.9735234	0.9508071	1.0539569	1.0406826	0.7796981	0.9184305	1.0271826	0.0385071	1.0264897	1.0598805	1.0889784	1.0073093	0.9097597	0.9923621	1.0454948	1.1096827	1.0686452	0.9950913	1.0206695	0.9763322	1.0425465	1.0287280	0.0622023	1.1128967	1.0621083	0.9846055	1.0461234	1.0747995	1.0746297	0.6097203	1.0597661	1.0699842	0.9869935	1.0768016	1.0909449	1.0278989	1.0210936	0.8420192	1.0053690	1.0197629	0.5398553	1.0776752	1.0425240	1.0443923	1.0354186	1.0288667	1.0005469	0.9638522	0.9667304	1.0798776	0.9550004	1.0834955	0.9784246	1.0169766	0.9864485	0.9827635	0.9972642	0.8555688	0.2276232	0.9853391	0.8845339	0.3170496	1.0259384	0.0992798	0.4177176	0.2030230	0.0784985	0.4177220	0.1334283	0.5587022
1.0773775	0.0000000	1.0120965	1.0711230	0.9157927	0.0937612	1.0506973	1.0904067	0.4936986	0.1331401	0.0000000	0.2460849	0.0634473	0.0780948	0.0319905	0.6687135	0.9667699	1.0212750	0.1166375	0.4003663	0.9813348	0.4108691	0.8512440	0.9118187	0.0957316	0.9422549	0.0149410	0.0038788	0.2686144	0.0648221	0.0927079	0.0923216	0.2740412	1.1222553	0.0351360	0.0956152	0.9572641	0.0738095	0.1401216	0.5821045	0.2775959	0.2671409	0.0460614	0.5197321	0.9674747	0.9701214	0.3844594	1.1299853	0.9304593	0.1000913	0.4980024	1.0971929	0.1093480	0.3769620	0.5514279	0.0024216	0.0429455	0.0838510	0.4559932	0.0235635	1.0876379	0.1304051	0.5774423	0.8424529	0.9367327	0.3294408	0.0255710	0.0087814	0.3787514	0.8903229	0.9669663	0.8556541	1.0625217	0.1512657	0.9862224	0.0341681	0.0668861	0.0554804	1.0900337	0.9895647	1.0765914	1.1012565	0.6769201	0.9037479	1.0007850	0.0981057	0.5770659	0.0025422	0.0324442	0.9274952	0.3022399	0.3804082	1.0333146	0.0623877	0.4250896	0.2038196	0.0797130	0.4641303	0.1644950	0.5583355
0.9167563	0.0000000	1.0847693	1.0713656	0.9534263	0.0994412	1.0420518	1.0090190	0.7937777	0.0775016	1.0118121	0.6610385	0.0000000	0.8720702	0.4865228	0.5520645	0.9819315	0.4636497	0.4775099	0.7027272	1.1078903	0.1523306	0.9858732	1.0764768	0.1211561	0.9840433	0.0145230	0.0016440	0.2821117	0.0856549	0.0738875	0.1023485	0.2819443	0.9938580	0.8623652	0.0706100	1.0540602	0.0372189	0.1489758	0.4412219	0.1494406	0.2992778	0.9593848	0.4292355	0.9121481	1.0131755	0.3978243	1.1111842	0.9637945	0.0972546	0.5600553	1.1259293	0.0644045	0.4470344	0.5609765	0.0018362	0.0567202	0.0589944	0.5120881	0.5777253	1.0887280	1.0108179	0.5229986	0.9707127	1.0133742	0.3402595	0.9995881	0.8762496	0.3385391	0.9566468	0.6229932	0.9771885	0.9760794	0.1161697	1.0203982	0.0433952	0.0452488	0.0221610	0.9807683	1.0825618	1.0254994	1.0044031	1.0666129	1.0307519	0.9849370	0.0875489	0.4378358	0.8620983	0.2033372	0.9550410	0.8222625	0.4006267	0.9404707	0.0826610	0.4944510	0.2466752	0.1113378	0.4282919	0.1826245	0.6341559
1.0589214	0.0000000	1.0084311	1.0314607	0.9777678	0.1456708	1.0897639	0.9319459	0.8128389	0.0530332	1.0131277	0.5906584	0.8750073	0.6588893	0.5243954	0.5517603	0.0000000	0.0748864	0.1322048	0.4040889	0.9642390	1.0681838	0.4474118	0.3045948	1.0385366	0.2330928	0.9301719	1.0104722	1.0455984	1.0303592	0.9594039	0.9807620	1.0099599	0.0106380	0.8106925	1.0851060	0.0540584	1.0184551	1.0482197	0.9617446	1.0766012	1.1181481	0.7641005	0.9833983	0.3870560	0.2710443	1.0816215	0.3286418	0.5348392	1.0165727	0.9787086	0.3743423	0.5702966	0.9605072	1.1044384	0.9652797	1.0903493	1.0761043	1.0518649	0.5575659	0.0387653	0.0718557	0.9303715	0.2822743	0.2493363	0.9566231	1.0802173	0.7582649	1.0232518	0.4233931	0.5890161	0.9396574	0.5286833	1.0198777	0.0825791	0.9781284	0.9447256	0.9445730	0.4863662	0.2621102	0.0268022	0.0241677	0.0296804	0.3304452	0.0526344	0.9235862	1.0608902	0.8552532	0.5010461	0.2304842	1.0125825	0.9157350	0.7565722	0.4776181	0.9501776	1.0341175	0.6047380	0.8150304	0.7189515	0.9150839
0.4527059	1.0213079	0.0816007	0.0532967	0.3794235	1.0486571	0.2526905	0.0191814	0.7860923	0.3634790	0.0000000	0.5363879	0.0878759	0.1561469	0.9871063	0.5893662	0.0000000	1.0312808	0.0818786	0.3556120	0.9424530	0.7757137	1.0395174	0.9517351	0.9933234	1.0279685	1.0103183	1.0638902	1.0351211	1.0651256	0.9556823	1.0131368	1.1167619	1.0225797	0.0364090	0.9224556	0.9433664	0.0898781	1.0568997	1.0053844	1.0180568	1.1076534	0.0425187	0.9933491	1.0229619	0.9344902	1.0908919	1.0424489	0.9980735	1.1265517	1.0473679	1.0899218	0.0948484	0.9878105	1.0175256	0.9563183	1.0972150	1.1003549	1.1029504	0.0344279	0.9664646	0.1191166	1.0805418	0.9577537	0.9464243	1.0565312	0.0193594	0.0087240	1.0542596	1.0190940	0.9768890	0.9702085	0.9565583	1.0893131	1.0342516	0.9218252	1.0646146	0.9875076	0.9543455	0.9762246	0.9470272	0.9793520	0.6540025	0.9454212	1.0757506	0.9348705	0.9889763	0.0041940	0.0667238	0.9925414	0.2117678	0.3057424	1.1035923	0.0906254	0.4210504	0.1373741	0.1083910	0.4384513	0.1592968	0.5144567
0.4714564	1.0244602	0.1120997	0.0924684	0.3403181	1.0405425	0.1971548	0.0090296	0.8537032	0.1348476	0.0000000	0.2482081	0.0413798	0.2047834	0.5532440	0.5540640	0.9585840	1.1058658	0.0773471	0.4474273	1.0928953	0.3283248	0.9503505	1.0322455	0.1173226	0.9225758	0.0216255	0.0022879	0.2446710	0.0665151	0.0870975	0.1007752	0.2783902	0.9610458	0.0530311	0.1089951	0.8539662	0.0758502	0.1401753	0.5482210	0.2137506	0.2328367	0.0501215	0.4454565	1.1268985	1.0183136	0.3589726	0.9434095	1.0693955	0.1047782	0.4911542	0.9099006	0.1048818	0.4521057	0.5146505	0.0021173	0.0429812	0.0252057	0.5528122	0.0271901	1.0517665	0.2029091	0.5375570	0.9387142	0.9081008	0.2799874	0.0138517	0.0196603	0.4193430	0.9054895	1.0606207	1.0732345	1.0636624	0.1700271	0.9906710	0.0302936	0.0600604	0.0314997	1.0955339	1.1435746	0.9949592	0.9070783	0.7106376	0.9599046	1.0105284	0.0765410	0.5934747	0.0079736	0.0430215	0.0000000	0.9820697	1.0073835	0.9857818	0.5337496	1.0026966	1.0072432	1.0413406	0.9998168	0.9440366	0.9553611
0.5010058	0.9583433	0.1037301	0.0720451	0.4134779	1.0111278	0.1156713	0.0159230	0.9716704	0.3976000	0.9911298	0.9072742	0.0000000	1.0113873	0.8554693	1.0253038	0.9684112	0.4465538	0.5740976	0.7305422	0.9538620	0.0971269	0.9966282	1.0349626	0.0851011	1.0047964	0.0164746	0.0064057	0.2663640	0.0799661	0.0768267	0.0809473	0.2866047	1.0723233	0.8164261	0.0915803	0.9454698	0.0382809	0.1559966	0.4246974	0.2043277	0.2477971	0.9066039	0.4223278	1.0595585	1.1218182	0.3559507	0.9650313	1.0995286	0.0873539	0.5360736	1.0184970	0.0941525	0.4314880	0.4829677	0.0041960	0.0254822	0.0827404	0.5674572	0.4347731	1.0086169	0.9566167	0.4652244	1.0078253	0.9662600	0.2903342	1.1330184	0.8849209	0.3627831	1.0386862	0.5393505	1.0190350	0.9797571	0.0934404	1.0033317	0.0299916	0.0624528	0.0374377	1.0190112	0.9117542	1.0896764	0.9808031	1.0343104	1.0059004	1.0642688	0.0479895	0.5338761	0.8270660	0.2002542	0.9157817	0.8391408	0.0000000	0.5256584	0.0780625	0.0547172	0.1983928	0.1011116	0.4782824	0.1574590	0.5484216
0.5432729	1.0395617	0.0906607	0.0930644	0.3132860	0.9715153	0.1779132	0.0092772	0.7899526	0.1593831	1.0451094	0.5524216	0.9983276	0.6716182	0.5258969	0.5699211	1.0664690	0.0382676	0.0969134	0.4237094	0.0610406	0.5622922	0.4505501	0.3175897	0.0840782	0.2258314	0.0226778	0.0097103	0.2276507	0.0663678	0.0609086	0.1177642	0.2806465	0.0091459	0.7646352	0.0870517	0.1075633	0.9347917	0.1272042	0.4174012	0.2198291	0.2400811	0.7950512	0.4745766	0.3626050	0.2286680	0.3271932	0.3436189	0.5562374	0.0647182	0.4129903	0.3206467	0.5290547	0.3681653	0.5536769	0.0030779	0.0297893	0.0502170	0.4919196	0.5040341	0.0310175	0.1028773	0.5015078	0.2792989	0.2496522	0.2474703	1.0032429	0.7869223	0.3289386	0.5420353	0.6198019	1.0837142	0.6474318	0.1264065	0.0936392	0.0394509	0.0444857	0.0237539	0.5234665	0.3138555	0.0418427	0.0203840	0.0278227	0.3045832	0.0618395	0.0774280	0.5234234	0.7591614	0.5395339	0.0000000	0.9126452	0.0000000	0.1372650	0.0603591	0.0407611	1.0040423	1.0457949	1.0157768	0.9733272	1.1066065
0.5082422	0.9797296	0.0813930	0.0949423	0.3161886	1.0194886	0.2167163	0.0158629	0.8693926	0.1332352	0.0000000	0.2160426	0.0703734	0.1432200	0.5818633	0.5855826	0.9732928	0.9517835	0.6354316	0.4985212	1.0320129	0.3387883	0.9709644	0.8774161	0.1053332	1.0264006	0.0137601	0.0009153	0.2177127	0.0693511	0.0830054	0.1253873	0.3277774	0.9823357	0.0233818	0.0833337	0.8669504	0.0866154	0.1635761	0.4778951	0.1987325	0.2262823	0.0216238	0.4497568	1.0377120	1.0238028	0.3860164	0.9668582	1.0410445	0.1016330	0.5254598	0.9761043	0.1111746	0.3641731	0.5377746	0.0017920	0.0407200	0.0589059	0.5149227	0.0221142	1.0161362	0.1024140	0.4921117	0.8345714	0.9096515	0.2760673	0.0254124	0.0206580	0.3486927	0.9852797	0.9556318	0.0000000	1.0316797	0.1287230	1.0494329	0.0425771	0.0366380	0.0296225	0.8902823	0.9832141	1.0586447	0.9812389	0.6467007	1.0890604	0.9911144	0.0713430	0.4986224	0.0206247	0.0427635	1.1281979	0.1999083	0.2280629	0.9821821	0.1083340	0.2280845	0.1754731	0.0711289	0.4414451	0.1417791	0.4453945
