G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.6860709	0.5144479	0.2644082	0.0011505	0.3585309	0.8352695	0.2461768	0.0129898	0.1450736	0.0177733	0.9613693	0.6120558	0.8840301	0.2258851	0.2273454	0.4929247	0.9575573	0.0344613	0.0566764	0.3019600	0.4986247	0.8463635	0.4590861	0.3828880	0.0391316	0.2681945	0.0017442	0.0047451	0.1733951	0.0675878	0.0021962	0.0866458	0.2444034	0.0026725	0.8316230	0.0475175	0.0675286	0.8940554	0.0269432	0.4991865	0.2311511	0.3300042	1.0529929	0.4907280	0.2738765	0.2368244	0.3679403	0.2840935	0.2654375	0.1275800	0.5944027	0.3604119	0.8233872	0.4281168	0.6620170	0.0042287	0.0271287	0.0757291	0.4911667	0.5087161	0.0109503	0.0827365	0.7787608	0.2797833	0.1793855	0.3025735	1.0794201	0.9225479	0.2207204	0.4216743	0.5974359	0.9259209	0.4675940	0.1397656	0.0870744	0.0387959	0.0079933	0.0350580	0.3272789	0.3072763	0.0334364	0.0170872	0.0255208	0.1834454	0.1089259	0.0709883	0.5965480	0.8149394	0.4386005	0.2466156	0.7985223	0.6399872	0.5485674	0.1501716	0.9688995	0.6250215	0.5981332	0.8363178	0.6277607	1.0316277
0.6507886	0.8332601	0.1147684	0.0000327	0.2980848	0.9168952	0.1640264	0.0010988	0.6650701	0.0397211	0.6357465	0.4872156	0.6610269	0.4907659	0.3254775	0.9952656	0.7734866	0.1171659	0.3003312	0.6035443	0.6136555	0.4630944	0.5877145	0.3131914	0.1991478	0.3131195	0.0111250	0.0008760	0.3513329	0.1326575	0.1062848	0.0732867	0.1705992	0.0169946	0.7083349	0.0368053	0.1012828	0.9701324	0.1934785	0.7495254	0.3113665	0.3127525	0.5826504	0.4617207	0.4729397	0.3454136	0.4352905	0.1899820	0.6684249	0.0642615	0.6115523	0.5407493	0.6495227	0.5314778	0.6662091	0.0035507	0.0788877	0.0883689	0.5462963	0.3971388	0.0275755	0.0973425	0.6624979	0.3158125	0.2154560	0.3717336	0.9729057	0.7527467	0.2708333	0.6801773	0.6943708	1.0643965	0.6311436	0.2002050	0.1499641	0.0579187	0.0343128	0.0337152	0.6624971	0.2010521	0.0586435	0.0214954	0.0031936	0.4176823	0.2009148	0.0205637	0.6220900	0.4781678	0.5988175	0.0363410	0.9957699	0.7753652	0.6101450	0.3115613	1.0789804	0.9622083	0.4507693	0.9556631	0.7060795	0.9811304
0.4935221	1.0252211	0.0720760	0.0275272	0.3344127	0.9480728	0.0109342	0.0019918	0.8546722	0.1919306	0.9085395	0.4489646	0.8118729	0.4141127	0.4610803	0.6349030	1.0374724	0.0588631	0.1752422	0.5840266	0.4182382	0.6866907	0.5146635	0.3521162	0.0419624	0.2125599	0.0009295	0.0037054	0.2180411	0.0749704	0.0009169	0.1059365	0.3037365	0.0016871	0.8297697	0.0452185	0.0742049	0.8073271	0.1277363	0.3318307	0.1377467	0.2742452	0.8532458	0.3183353	0.2661524	0.3671325	0.3531785	0.0900790	0.4176527	0.1084110	0.3783665	0.4134191	0.7070968	0.4465883	0.4003202	0.0041226	0.0391100	0.0070253	0.3885268	0.6276850	0.0420575	0.0636923	0.4435537	0.2233945	0.2957304	0.2943710	1.0804891	0.8808541	0.3912782	0.4229203	0.3446378	1.1009249	0.6474166	0.1266220	0.0882022	0.0192873	0.0199187	0.0041494	0.6014787	0.2808726	0.0335766	0.0027934	0.0694581	0.2638211	0.0929964	0.0130441	0.5104039	0.8006557	0.4725760	0.2354046	1.0239557	0.6801881	0.5074879	0.2277093	0.8897503	0.6703574	0.4509394	0.7310942	0.4579846	1.0612761
0.5414648	1.0110170	0.1103652	0.0739521	0.3092235	0.8335106	0.1773464	0.0064730	0.6682153	0.1877179	0.9033850	0.3445743	0.8962946	0.4468979	0.5429544	0.5625456	1.0911059	0.0410328	0.2207928	0.0997052	0.5646353	0.6150580	0.5083431	0.3573185	0.0720359	0.2764926	0.0004505	0.0006306	0.2642929	0.0758169	0.0635303	0.1036746	0.1981896	0.0325904	0.6393566	0.0340611	0.0408660	0.9457044	0.1155165	0.5294539	0.2068117	0.1489578	0.8045421	0.4067337	0.3425916	0.1286378	0.3376271	0.0826670	0.5267203	0.0374847	0.4737474	0.2721034	0.4814475	0.3887484	0.2761420	0.0052676	0.0660069	0.0118249	0.5251605	0.6230032	0.0096323	0.1098893	0.2868966	0.3299551	0.2579998	0.2922222	0.9625145	0.8979603	0.2304522	0.5619704	0.6761148	1.0711098	0.3568979	0.1510950	0.0849979	0.0459103	0.0560939	0.0187128	0.5694323	0.3250408	0.0282091	0.0015145	0.0020887	0.4329910	0.0904085	0.0340713	0.5359276	0.7580186	0.4393944	0.2347856	1.1027674	1.0531403	0.9325090	0.4385727	0.9701241	0.9024200	0.6514349	0.4471494	0.7120054	0.8984141
0.6045694	0.8063759	0.1556428	0.0008161	0.3642250	0.8545203	0.1673099	0.0016777	0.5468382	0.0837174	0.9871976	0.6942300	0.8586112	0.5603199	0.5817255	0.4160512	1.0267639	0.0101377	0.3341706	0.4648292	0.4963367	0.7005452	0.6734817	0.3698192	0.0707144	0.3243864	0.0023762	0.0027326	0.2245369	0.0288078	0.0029322	0.0570063	0.3004490	0.0146870	0.7023657	0.0792738	0.0466039	0.7508939	0.1508528	0.4453675	0.1107312	0.2579161	0.9556753	0.4800488	0.3950341	0.1349723	0.0797423	0.3447068	0.5488054	0.1360731	0.4347055	0.3652844	0.4802281	0.3408901	0.5106711	0.0029241	0.0264117	0.0010898	0.4728850	0.5517153	0.0130263	0.0691604	0.5491042	0.2691488	0.0804168	0.2843288	1.0930339	0.7788433	0.2269407	0.5022695	0.6228003	1.0260970	0.4684564	0.1260910	0.0819583	0.0190709	0.0442499	0.0351550	0.5745342	0.1028978	0.0453423	0.0018392	0.0005910	0.2393520	0.0438177	0.0753413	0.5056509	0.8516814	0.4176853	0.2614242	0.5285766	0.9848024	0.6597065	0.5307449	0.9227360	0.9679781	0.6489095	0.8940977	0.5390263	1.1332086
0.3516708	1.0547631	0.0937140	0.0662183	0.3907339	0.8239815	0.0525082	0.0159584	0.6949143	0.3800666	0.7702876	0.4797692	0.6899965	0.4394703	0.7208234	0.1732943	1.0003417	0.0366912	0.0749981	0.6363195	0.7872880	0.8735003	0.3229150	0.2908775	0.1376860	0.1090719	0.0134938	0.0019507	0.1293002	0.0408713	0.0848886	0.0610217	0.1502954	0.0209174	0.6281411	0.0672337	0.1045502	0.9473093	0.0574128	0.5249011	0.1118049	0.2483470	0.8522571	0.4971157	0.3852658	0.2482502	0.3629675	0.2023775	0.5953356	0.0159144	0.2947153	0.4317217	0.4686640	0.3341624	0.2672767	0.0101894	0.0164886	0.0099415	0.3820731	0.4485265	0.0313096	0.0025850	0.5288220	0.2986876	0.2690090	0.3401244	1.0022522	0.8013975	0.2058926	0.4123391	0.6950241	0.9368024	0.5164545	0.1084281	0.1389786	0.0564095	0.0484042	0.0345748	0.4196161	0.1930380	0.0236554	0.0411388	0.0543986	0.2235732	0.0646182	0.0899201	0.2927519	0.7714831	0.3955401	0.2712765	1.0653488	0.9186852	0.7706887	0.4703132	1.0096829	0.9750811	0.6200224	0.8067013	0.7004495	0.9043565
0.5338008	0.8719883	0.1236490	0.0722109	0.4252783	0.9561562	0.0212906	0.0011504	0.4189460	0.2946704	0.9957099	0.8677783	0.8569057	0.4614559	0.7873484	0.9416655	0.8959137	0.0634109	0.0674465	0.6833746	0.3145368	0.5382711	0.4638509	0.3509158	0.1364640	0.2422659	0.0113325	0.0017909	0.2714007	0.0608246	0.0815376	0.0882778	0.3926789	0.0312619	0.7433197	0.1011683	0.0450864	0.8265246	0.1833992	0.6067651	0.2517560	0.3071782	0.8552034	0.3427944	0.4027492	0.2988071	0.3932404	0.3681497	0.5193326	0.1254742	0.3076640	0.3847752	0.4787702	0.5265413	0.6579669	0.0077178	0.0357119	0.0075380	0.5340139	0.6885290	0.0091345	0.0796417	0.6470323	0.2334384	0.2355168	0.2504876	0.9879822	0.8265015	0.3449797	0.3031830	0.2068986	0.9108185	0.6599925	0.1719593	0.0969227	0.0213218	0.0347676	0.0206175	0.5972030	0.3217742	0.0415756	0.0291372	0.0366528	0.3747817	0.0884037	0.0113624	0.5226598	0.7410407	0.4459595	0.0679343	0.9922283	0.5274097	0.8343641	0.1544240	1.0251297	1.0430000	0.9405335	0.9165249	0.8178466	0.9807745
0.5128417	0.9543668	0.0750718	0.0825401	0.4461322	0.9685963	0.1897936	0.0114071	0.4531987	0.3030266	0.4904163	0.6508900	0.6584109	0.4103606	0.6218247	0.4290963	1.0652330	0.2429881	0.0458356	0.3334594	0.4985898	0.7191314	0.6227038	0.4590911	0.0874795	0.2608994	0.0043102	0.0011289	0.2231460	0.0161689	0.0615079	0.0896778	0.3321465	0.0040411	0.7021809	0.0760708	0.1039936	0.8612998	0.1197720	0.3958246	0.1353237	0.3043665	0.1237995	0.3378892	0.5681747	0.3512369	0.3507831	0.5017211	0.6014748	0.0956304	0.3689104	0.5602935	0.4392158	0.2391440	0.4973570	0.0046026	0.0499910	0.0469258	0.3912810	0.2992284	0.0291837	0.0010483	0.3925228	0.3585402	0.3760544	0.3567118	0.9684808	0.5705350	0.3051487	0.5954099	0.5689662	0.9775099	0.4911101	0.1362127	0.2084596	0.0198333	0.0172804	0.0132079	0.3915244	0.4282654	0.1245596	0.0005013	0.0035960	0.4079979	0.2581711	0.0636905	0.4961052	0.4486928	0.3449450	0.2912813	1.0300206	0.9345359	0.8016920	0.3110944	0.9854645	0.8885386	0.3988702	0.6659689	0.5280798	0.6994829
0.4197812	1.0161897	0.0580696	0.0014392	0.3185987	0.9815354	0.0097168	0.0018419	0.5521321	0.4893907	1.0446931	0.7158324	0.9833196	0.4677781	0.5017873	0.4537812	0.7059430	0.0414848	0.0852839	0.6571999	0.0942965	0.2631288	0.4960857	0.3110160	0.2190635	0.1948600	0.0029181	0.0112935	0.1421701	0.0405494	0.1055325	0.1049301	0.1824826	0.0075338	0.6818882	0.1109318	0.0235128	0.8613584	0.0555387	0.8061445	0.2759357	0.2665130	0.9003258	0.4554483	0.2304258	0.1884294	0.2840688	0.1260502	0.5357161	0.0975175	0.7793473	0.1326368	0.5887009	0.5002454	0.6148641	0.0017314	0.0582659	0.0715975	0.1927230	0.6079987	0.0267469	0.0166605	0.8111164	0.2097364	0.3039739	0.4084808	1.1562883	0.7883500	0.4150909	0.2312767	0.3458867	0.8382377	0.2860654	0.1707024	0.0230815	0.0351947	0.0539216	0.0088277	0.5257545	0.1462219	0.0309012	0.0021086	0.0327910	0.3283978	0.0130606	0.0919949	0.6809096	0.6931875	0.4497742	0.2633104	1.0303681	0.2463798	0.9057596	0.0204270	0.4424025	0.9448991	0.5724279	0.6810283	0.6144910	1.1021278
0.5255751	0.9894303	0.0873202	0.0894255	0.3188531	0.8951859	0.0069068	0.0172971	0.7008307	0.6607116	0.8412100	0.7650514	0.8590123	0.6374236	0.5167687	0.6392050	1.0565112	0.0613213	0.2840525	0.3313038	0.6195614	0.7254114	0.6181212	0.2528807	0.0649824	0.2650285	0.0024529	0.0001377	0.1856448	0.0613574	0.0104708	0.0690673	0.2895686	0.0130192	0.7147333	0.0560118	0.0477131	0.8184813	0.0144791	0.3750713	0.1785036	0.2453589	0.6916936	0.3826912	0.5066111	0.2030455	0.3863274	0.1423108	0.5994720	0.1065179	0.4815237	0.3621199	0.6318937	0.4481348	0.5466442	0.0005272	0.0315764	0.0464780	0.3793701	0.4514512	0.0085902	0.0295684	0.3104648	0.2833902	0.1924706	0.3362693	1.0467076	0.9539982	0.3017908	0.4764048	0.6855141	1.0379417	0.4780723	0.0693254	0.1366922	0.0089847	0.0385300	0.0248002	0.4307268	0.3508179	0.0504373	0.0171526	0.0256625	0.3077552	0.0777696	0.0444882	0.4759358	0.7054980	0.3674693	0.1954904	1.0540096	1.0288033	0.9445943	0.4770230	1.0383557	0.8589463	0.2872891	0.8123870	0.4897846	0.9644799
