G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.4993076	0.0518198	1.0007403	0.9721469	0.9013014	0.9039425	0.5482719	0.9486550	0.5921370	1.0427028	1.0760222	1.0161679	1.0469032	1.0701699	1.1120447	0.9653393	1.0424172	0.9972446	0.9368735	0.0598226	0.0129848	0.0114840	0.0406631	0.0296161	1.2177728	0.9323631	0.8799988	0.5244351	0.5409710	0.9409096	0.3819580	0.0282135	0.6389889	0.5158651	0.4680162	1.0368414	1.0068156	0.0292935	1.0104256	0.9240182	0.8941293	0.3352008	0.1690788	0.5168028	0.3556766	0.4998668	0.5483981	0.5058548	0.5578159	1.0678750	0.6391381	1.0568109	0.9261422	0.9169863	0.5241555	0.0889414	0.4870048	0.0448424	0.0061266	0.0210340	0.9744381	1.0483091	1.0712868	1.0649029	0.9591503	0.9583605	0.9751694	0.5880041	0.4929233	0.3698271	1.0770101	0.3447237	0.0181458	0.8805523	0.0126019	0.9733628	1.0687764	0.5209212	0.4998713	0.8966109	1.1377797	0.1109918	0.9863459	1.1406947	0.9314236	0.0046295	1.0924289	0.0182843	1.0097245	0.0118624	0.0470188	0.0714685	0.0452695	1.0264060	0.0177004	0.0983567	0.0274992	0.1150925	0.0072975	0.0089589
0.9600309	0.0275039	1.0945092	0.9692309	1.0296023	1.0516359	0.4775474	1.1365676	0.5196125	0.9540714	1.0740920	0.9558260	0.9522490	0.9720799	1.0578861	0.9775790	1.0016508	1.0399931	1.0017126	0.0438283	0.0078212	0.0134329	0.0822306	0.0601735	1.0395162	1.0690527	1.0703358	0.4875414	0.5970122	1.0037801	0.4142191	0.0308657	0.6824006	0.5115903	0.4862970	1.0087234	0.9789872	0.0052049	1.0225207	0.9830474	0.9882628	0.3629433	0.1728033	0.4650912	0.4761237	0.5614478	0.4548679	0.5325575	0.4547741	1.0670856	0.5860488	0.9412577	1.0626225	1.0546949	0.5291164	0.0767107	0.5126583	0.0323866	0.0238391	0.0189552	0.9430323	0.9686163	0.9876339	1.0938169	1.0108365	1.1236544	0.8990848	0.4912647	0.5019209	0.4166630	1.1191013	0.3344413	0.0313171	1.0409231	0.0291866	0.9381747	0.9706403	0.5121860	0.5263222	0.9544237	0.9512887	0.0989975	1.0995557	0.9839457	0.9471017	0.0055661	1.0606096	0.0221914	0.9905008	0.0088353	0.0637884	0.1120969	0.0568880	1.0091146	0.0219931	0.0628527	0.0223956	0.0673880	0.0063023	0.0072631
1.0029464	0.0703047	0.5162112	1.0194005	0.9487834	1.0028979	0.5416498	1.0033279	0.5673316	1.0274556	1.0554325	1.1422895	0.9975909	1.0219666	0.9857806	0.9557099	0.9505898	1.0053383	0.9661328	0.0609741	0.0068018	0.0165474	0.0535965	0.0299512	1.0062667	0.9938684	1.0308223	0.4668487	0.5857931	1.0003747	0.4151717	0.0576608	0.6237260	0.4853280	0.5467709	0.9517968	0.9664582	0.0134840	1.0914220	0.9056664	0.9621420	0.3876746	0.1081393	0.5547998	0.3987768	0.5726785	0.5354465	0.5089630	0.4569955	1.0559292	0.4913413	0.9721458	1.0613669	0.9874540	0.5224767	0.1282376	0.4590316	0.0510554	0.0456998	0.0307071	1.0767390	0.9781174	0.9973459	1.0537207	0.9431765	0.9834150	0.9601488	0.5228254	0.4099344	0.3283641	1.0042098	0.3640338	0.0265557	0.9868013	0.0302116	1.1010852	1.0141550	0.5065895	0.5929059	0.8910532	0.9962900	0.1110759	0.9205004	0.9378380	0.9658272	0.0075776	0.9476740	0.0162547	1.1276161	0.0113971	0.0716213	0.0635231	0.0512522	0.9684826	0.0323419	0.0800910	0.0360825	0.0917800	0.0081168	0.0133908
1.0364658	0.0474810	0.9577684	0.5358553	0.9691335	1.0632603	0.5105251	1.0470772	0.5562167	0.9766965	1.0095892	0.9356043	1.1177057	0.9559989	1.0452192	1.0537284	1.0380738	0.9938951	0.9547398	0.0527592	0.0056570	0.0125236	0.0988817	0.0312046	1.0252339	0.9682102	0.9685518	0.4304218	0.5673851	0.9938339	0.4492326	0.0470025	0.6483802	0.5453827	0.5296391	1.0256895	0.9073014	0.0202996	1.1023951	1.0019657	1.0802669	0.3902064	0.2031595	0.5787888	0.4062123	0.4891806	0.5986832	0.4452478	0.4364894	0.9174481	0.5302033	1.1768166	0.9514654	0.9969867	0.6333885	0.0845587	0.4183579	0.0289115	0.0163452	0.0182398	1.0488751	0.9828055	0.9354159	1.0596495	1.0451346	1.0568840	1.0601574	0.5157808	0.5659086	0.3735390	1.0237506	0.4694814	0.0319820	0.8975742	0.0205801	0.9266576	0.9930164	0.5655432	0.4603103	0.9354931	1.0875493	0.1195152	1.0017999	1.0383509	1.0362396	0.0052215	0.9733811	0.0158183	0.9936167	0.0031174	0.0389682	0.1010062	0.0342156	1.0230450	0.0251019	0.0585090	0.0164611	0.0816999	0.0071779	0.0075348
0.9629441	0.0356143	0.9879356	0.9541003	0.5402475	1.0213322	0.5107384	0.9857431	0.5756709	0.9985665	1.0669079	1.0601863	1.0584012	0.9426452	0.9309979	0.9657277	0.9794096	1.0125487	0.9766794	0.0472215	0.0011732	0.0210434	0.0812394	0.0320777	1.0611117	1.0389282	1.0609648	0.4295868	0.5927926	1.0151260	0.4230210	0.0770238	0.6476717	0.5796176	0.4086837	1.0098811	0.9541760	0.0044510	1.0597464	1.0384579	0.9516254	0.3619967	0.1662363	0.5957540	0.4612553	0.5765636	0.5665802	0.4441747	0.5263877	0.9582081	0.4969645	0.8823285	0.9547153	0.9630513	0.6039811	0.0733145	0.5627976	0.0316522	0.0206964	0.0234452	1.0931730	1.0454606	1.1060050	0.9671974	0.9747319	1.0164797	0.9581492	0.5102252	0.5146651	0.4335446	1.0465932	0.3948262	0.0303292	1.0181211	0.0259807	1.0142199	1.0317499	0.5477676	0.4890381	0.9737496	1.1039849	0.1404813	0.9749304	1.0423463	1.0329007	0.0047592	1.0428410	0.0428574	1.1203636	0.0149800	0.0565790	0.1158259	0.0311860	1.0455335	0.0078173	0.0869751	0.0365264	0.0790485	0.0060465	0.0109863
1.0618315	0.0302413	0.9706049	0.9341892	1.0046264	0.4230679	0.5212099	1.0370899	0.5277546	1.0605008	0.9465462	1.0356093	1.0266533	1.0654370	0.9579413	1.0137236	1.0178543	1.0495967	1.0647945	0.0372969	0.0056745	0.0068385	0.0825971	0.0421030	0.9020002	0.9532893	1.0315738	0.4324126	0.6530370	0.9847450	0.3803707	0.0570395	0.5797467	0.6203759	0.4819572	0.9302260	1.0341059	0.0088579	1.0130020	1.1165640	1.0208162	0.4036709	0.1832274	0.5569334	0.4269073	0.5482109	0.4497253	0.5673510	0.4485230	0.9146104	0.6105349	1.0179145	1.0903060	0.9936246	0.5591782	0.1102503	0.4931641	0.0497154	0.0140437	0.0182950	0.9326701	0.9371859	1.0359111	0.9839858	1.0232646	1.1331355	1.0369554	0.4826765	0.5644513	0.3641826	1.0442539	0.4135849	0.0360397	1.0483192	0.0172891	1.0913683	0.9693723	0.5646283	0.4479939	1.1047743	0.9711863	0.0977387	1.0088047	1.0311603	1.0024192	0.0026809	1.1298719	0.0142925	0.9494986	0.0086999	0.0639621	0.1185927	0.0411312	1.0399512	0.0253841	0.1012423	0.0262175	0.0795585	0.0163264	0.0060862
1.1584195	0.0571244	0.9730870	0.9566500	1.0536564	1.0015638	0.3107641	1.0374636	0.6060641	0.9892203	0.9758728	1.0824737	1.0015277	1.0237158	0.9873128	0.9297765	0.9865169	0.9036740	1.0227372	0.0520224	0.0123734	0.0076911	0.0805414	0.0416084	0.9860925	1.0893944	1.0234593	0.3925672	0.5927441	0.9665570	0.4826476	0.0777060	0.6706831	0.4788452	0.4349161	1.0961712	0.9770346	0.0282091	0.9745702	1.0778787	1.0312347	0.4195937	0.1312034	0.5641827	0.3932505	0.6419268	0.5000258	0.5158478	0.4561205	1.1366956	0.5208181	1.0461502	0.9328257	0.9626309	0.5655460	0.1211854	0.4615338	0.0189219	0.0184119	0.0333394	1.0088218	1.0122188	0.9270126	0.9609901	1.0313396	1.0448838	1.0757728	0.5478412	0.4945907	0.3536938	0.9612248	0.4079552	0.0295242	1.0154995	0.0301066	1.0095500	1.0108496	0.5180371	0.4565554	1.0061321	1.0063415	0.0903684	1.0469378	0.9861989	1.0146234	0.0035427	1.0875976	0.0243797	1.0136385	0.0112575	0.0327034	0.1043466	0.0566798	1.0889474	0.0170818	0.1024737	0.0381308	0.0810970	0.0035235	0.0154781
1.0285118	0.0456435	1.0665135	0.9797290	0.9672935	1.0907598	0.5490413	0.5933498	0.4514124	1.0810897	1.0235614	1.0924193	1.0932148	0.9361358	0.9774891	0.8892143	1.0505026	0.9989142	1.0061626	0.0299102	0.0034584	0.0142051	0.0583831	0.0343308	1.0912271	1.0927573	1.0085830	0.4318024	0.4820070	1.0187416	0.4372084	0.0395770	0.6049869	0.5114543	0.5059105	1.0126459	0.9975715	0.0093808	0.9729890	0.9906959	0.9934946	0.3907145	0.1713281	0.4905702	0.4983125	0.5570163	0.5020446	0.5467508	0.5066861	1.0475426	0.5171757	0.9458352	1.0720289	1.0558235	0.6300089	0.1079669	0.4607592	0.0384188	0.0112934	0.0140696	0.9372394	1.0654169	1.0397198	0.9810025	0.9764586	0.9976336	0.9459356	0.5255401	0.4752080	0.4062250	0.9693244	0.3194368	0.0483267	1.0354251	0.0111917	0.9323698	0.9579659	0.4267330	0.4629348	0.9629584	1.0223693	0.1025198	1.0969474	0.9320399	1.0111915	0.0066484	1.0107967	0.0312853	1.0038129	0.0093539	0.0530618	0.1122737	0.0385867	1.0615157	0.0163380	0.1014164	0.0310983	0.0558654	0.0095150	0.0091920
0.9458869	0.0690650	0.9310644	0.9944627	1.0177345	1.0463875	0.4646613	1.1842767	0.2725233	0.9912843	1.0432354	1.0360246	1.0029068	0.9083418	1.0987251	1.0177301	1.0124740	1.1204006	1.0400269	0.0510626	0.0055628	0.0131596	0.0732957	0.0412682	0.9189674	0.9843511	1.1487408	0.4717094	0.6063029	1.0342828	0.3857401	0.0491519	0.6236412	0.4959515	0.4414376	1.0116142	0.9118901	0.0120694	0.9413467	1.0015639	1.2009263	0.3774769	0.1295728	0.5663671	0.4426937	0.6084195	0.5309593	0.5019622	0.4670533	1.0614915	0.5801630	1.0376137	0.9804237	0.9500057	0.6203586	0.0790168	0.4871025	0.0391045	0.0149954	0.0260154	1.0583106	1.0102559	1.0718623	1.0493970	1.0285318	1.0277207	1.0038256	0.6357550	0.4533011	0.3433787	0.9496616	0.4091378	0.0260855	0.9879291	0.0083845	0.9078113	0.9922406	0.4543482	0.5038134	1.1294227	1.0434814	0.0881464	0.9619102	0.9629859	0.9176187	0.0127741	1.0082548	0.0216880	0.9991492	0.0129161	0.0454702	0.0720791	0.0392849	0.9560042	0.0241351	0.0876550	0.0327182	0.0520137	0.0200415	0.0053351
1.0829403	0.0579245	0.9867650	0.9798370	1.0926910	1.0239102	0.4646551	1.1092057	0.4848062	0.4704648	0.9036152	1.1162154	0.8936973	1.0348751	1.0272990	1.0924037	0.9737853	1.0704845	1.0195128	0.0638403	0.0044157	0.0126033	0.0802026	0.0242679	1.0929195	0.9743195	0.9418496	0.4444678	0.5015426	0.9133486	0.4013847	0.0616199	0.6257213	0.5216657	0.4628531	0.9692591	1.0321411	0.0093598	0.9108235	1.0423798	1.0065490	0.3106958	0.1971741	0.6209497	0.3921537	0.6144280	0.5677749	0.5269609	0.5292615	1.0725420	0.5644838	0.9091161	1.0624051	0.9479827	0.5680269	0.0933391	0.5359122	0.0306097	0.0269313	0.0125509	1.0172025	1.0744808	1.0010934	1.1479668	0.9043122	0.9632891	1.0371962	0.4546666	0.4304542	0.3022192	0.9590506	0.3657956	0.0332143	0.9136259	0.0245599	0.9734895	0.9298407	0.5397657	0.4675717	1.1347635	0.9588443	0.1336577	0.9634126	1.0473313	1.0917458	0.0068653	1.1435266	0.0154299	0.9797293	0.0102053	0.0485769	0.0942250	0.0370207	0.9521979	0.0270177	0.0986940	0.0079450	0.0537989	0.0179176	0.0093091
