G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	1.0000000	0.6899580	0.9998213	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690760	0.0178147	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881606	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891538	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.0065647	0.0000000	0.0378496	0.0182505	0.0698869	0.0043896	0.0317068	0.0294884	0.1151853	0.0509626	0.0268035	0.0035766	0.0776076	0.0614705	0.0001234	0.0542311	0.0789150	0.0181964	1.0000000	0.0169455	0.0018264	1.0000000	0.0004876	0.0312755	0.0662944	0.0036438	0.0043969	0.0469890	0.0237606	0.0471220	0.0568460	0.1228373	0.0337739	0.0612058	0.0780408	0.1071791	0.0191597	0.0575136	0.0016824	0.0118882	0.0236178	0.0044971	0.0003150	0.0089834	0.0291249	0.0256619	1.0000000	0.0242560	0.0482416	0.0180666	0.0108588	1.0000000	0.0224655	0.0144516	0.0250742	0.0637063	0.0230182	0.0003768	0.2290810	0.9999999	0.4511187	0.9999996	0.1828596	0.0130350	1.0000000	0.0078939	0.9999989	0.0749522	1.0000000	0.1313549	0.0080225	0.0198879	0.0063521	0.6349640	0.5725435	0.9991864	0.0352833	0.1285485	0.0163084	0.9977418	0.4560846	0.4271459	0.5361117	0.0575623	0.4612833	0.0170629	0.9999496	0.1094847	0.3040790	0.0791149	0.4469863	0.8744166	0.9981222	0.0000012	0.9336983	0.9899461	0.5621318	0.7005525	0.9999882	0.0196534
0.9430350	1.0000000	0.0000001	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690760	0.0178147	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881606	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891538	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.0000010	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690760	0.0178147	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881606	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891538	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998213	0.0000000	0.9999999	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690760	0.0178147	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881606	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891538	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998213	0.8840488	0.0000002	0.8489921	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690760	0.0178147	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881606	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891538	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998213	0.8840488	0.9999999	0.0000004	0.9530307	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690760	0.0178147	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881606	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891538	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998213	0.8840488	0.9999999	0.8489921	0.0000005	0.9999993	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690760	0.0178147	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881606	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891538	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.0000001	0.9085963	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690760	0.0178147	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881606	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891538	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
0.9430350	1.0000000	0.6899580	0.9998212	0.8840488	0.9999999	0.8489921	0.9530307	0.9999993	0.0000000	0.7940932	0.7287749	0.8007454	0.7732682	0.7719149	0.5873930	0.6083920	0.9065270	0.4871151	0.9999995	0.9563508	0.1549944	0.5584435	0.9853239	0.6191626	0.6586132	0.8869385	0.6968677	0.6975556	0.8354729	0.9989581	0.9998439	0.5200711	0.9683768	0.6532805	0.6217961	0.7068733	0.8909607	0.6337681	0.9985440	0.5430865	0.9673618	0.8786179	0.9196853	0.8378511	0.9690760	0.0178147	0.9548148	0.5766663	0.9907885	0.5884080	0.1982061	0.9759625	0.9225628	0.5214020	0.9689801	0.9995454	0.2943391	0.8880063	0.2705060	1.0000000	0.1696795	0.4778177	0.0724909	0.1296247	0.5840961	0.4400260	0.4192913	1.0000000	0.6200083	0.1370631	0.0361829	0.0063556	0.7800844	0.4881606	0.8888862	0.1821985	0.4197742	0.1311620	0.9074976	0.2173632	0.2140781	0.3886284	0.6528288	0.4328385	0.1537264	0.9425511	0.3891538	0.9972210	0.2342823	0.6042854	0.6851984	0.9984098	0.2714154	0.9999771	0.9014978	0.7332878	0.0678995	0.9958681	0.6193130
