G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.9396971	0.8039134	0.1318383	0.5526091	0.4947147	0.3883733	0.0259434	0.0066609	0.5807088	0.2347304	0.2116748	1.0000000	0.0023735	0.1908315	0.6853169	0.0010992	0.0261759	0.0143694	0.0000010	0.0000000	0.0403327	0.0076093	0.2433534	0.5869939	1.0000000	0.4800215	0.5164868	0.0000000	0.0179382	1.0000000	0.3336891	0.0122285	0.3183573	1.0000000	0.6719782	1.0000000	0.0124920	1.0000000	0.7704170	0.4837206	0.6295935	0.9464047	0.0300816	1.0000000	0.9313399	0.4081241	0.0320910	0.9966096	0.4209924	0.6741164	0.8048224	0.9825336	0.9304298	0.7520874	1.0000000	0.9743120	0.6631222
1.0000000	0.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.9999999	1.0000000	0.9999999	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.9999991	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.5981641	1.0000000	1.0000000	0.6049558	0.9967292	1.0000000	1.0000000	0.9789401	0.9999906	0.6485516	0.6667561	0.8848262	0.8687878	0.4271257	0.4914199	0.7478324	0.7266595	0.9151379	1.0000000	0.6685286	0.9848261	0.7857187	0.6333183	0.2539441	0.0143698	0.9164487	1.0000000	0.5543030	0.1509331	0.4987457	0.3667780	0.6587526	0.9429270	0.0775356	0.0000000	0.9994564	0.2803513	0.3336891	0.4481603	0.8357250	1.0000000	0.9985814	1.0000000	0.5244801	1.0000000	0.9307397	0.5203364	0.9685953	0.9986742	0.4978097	1.0000000	0.4841100	0.6991343	0.0197570	0.9909914	0.4209924	0.6615133	0.6418197	0.9825336	0.8879022	0.7233590	0.4873108	0.9259794	0.6631206
1.0000000	0.0000000	1.0000000	0.9999999	1.0000000	0.9999998	1.0000000	1.0000000	1.0000000	0.9999996	1.0000000	0.9999992	1.0000000	0.9999999	1.0000000	1.0000000	0.9999998	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.9999999	0.9999999	1.0000000	1.0000000	1.0000000	0.9999944	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.5981641	1.0000000	1.0000000	0.6049557	0.9967292	1.0000000	1.0000000	0.9789401	0.9999905	0.7931032	0.8102209	0.8977547	0.9845929	0.5543208	0.6748324	0.7748588	0.7644851	0.9076251	1.0000000	0.3895363	0.9729578	0.8151528	0.5929133	0.3346958	0.0143695	0.9933642	0.0000000	0.4038330	0.3715836	0.5976450	0.9402592	0.5467533	0.9429270	0.9363579	0.9999999	0.9886081	0.5843074	0.3336891	0.7662736	0.9482054	1.0000000	0.9985814	1.0000000	0.4573941	1.0000000	0.8442018	0.9313840	0.9999995	0.9380819	0.4978093	1.0000000	0.7423511	0.7536930	0.0220775	0.9934520	0.4209924	0.6685018	0.6891890	0.9825336	0.9058776	0.7396096	0.6164933	0.9469294	0.6631215
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.0210402	0.2851234	0.1093313	0.1535475	0.8469708	0.7107001	0.5006285	0.0268012	0.7045625	0.6298869	0.9102656	1.0000000	0.4654905	0.7065307	0.7423451	0.4153248	0.1014199	0.3948356	0.4194654	0.9019336	0.0483403	0.0520684	0.0819601	0.4690863	0.9277505	0.9412102	0.5691010	0.0923151	0.3259786	0.9990264	0.3336891	0.6569188	0.5844457	1.0000000	0.7320602	1.0000000	0.4988218	0.0591095	0.4381704	0.4547456	0.7338666	0.4929625	0.0173258	0.0000001	0.4849121	0.1125605	0.3656064	0.9999899	0.9883282	0.6861112	0.4902706	0.0000014	0.9353526	0.7550412	0.4939368	0.9273473	0.9987906
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.2543173	0.7002301	0.0628979	0.0094702	0.8469708	0.7107001	0.5006285	0.0268012	0.7045625	0.6298869	0.9102656	1.0000000	0.4654905	0.7065307	0.7423451	0.4153248	0.1014199	0.3948356	0.4194654	0.9019336	0.0483403	0.0520684	0.0819601	0.4690863	0.6558285	0.9412102	0.5691010	0.0923151	0.3259786	0.2799014	0.3049403	0.6569188	0.5844457	1.0000000	0.7320602	1.0000000	0.4988218	0.0591095	0.7772948	0.4750702	0.7562266	0.7887509	0.0173258	0.0000001	0.0020483	0.0061068	0.0182444	0.2481482	0.8023018	0.0000843	0.0006880	0.9825336	0.2462537	0.7550412	0.0000001	0.5258546	0.6577371
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.9208321	0.3839596	0.0628979	0.0094702	0.8469708	0.7107001	0.5006285	0.0268012	0.7045625	0.6298869	0.9102656	1.0000000	0.4654905	0.7065307	0.7423451	0.4153248	0.1014199	0.3948356	0.4194654	0.9019336	0.0483403	0.0520684	0.0819601	0.4690863	0.9277505	0.9412102	0.5691010	0.0923151	0.3259786	0.9990264	0.3336891	0.6569188	0.5844457	1.0000000	0.7320602	1.0000000	0.4988218	0.0591095	0.4381704	0.4547456	0.7545452	0.5173718	0.0300816	1.0000000	0.4815096	0.1965694	0.3588066	0.9999901	0.6226678	0.6037499	0.9998567	0.0000014	0.7161849	0.7550412	0.0000001	0.5258659	0.9772216
1.0000000	0.0000000	1.0000000	0.9999999	1.0000000	0.9999998	1.0000000	1.0000000	1.0000000	0.9999996	1.0000000	0.9999992	1.0000000	0.9999999	1.0000000	1.0000000	0.9999998	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.9999999	0.9999999	1.0000000	1.0000000	1.0000000	0.9999944	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.5981641	1.0000000	1.0000000	0.6049557	0.9967292	1.0000000	1.0000000	0.9789401	0.9999905	0.6442881	0.6638496	0.0794548	0.0000000	0.4271276	0.0067494	0.5223729	0.1080310	0.8718289	1.0000000	0.6685282	0.9848573	0.6821686	0.6333179	0.0375683	0.0143696	0.4381688	1.0000000	0.0482321	0.1515940	0.4925824	0.3670041	0.5936841	0.9999499	0.1004299	0.0923110	0.9994591	0.2797972	0.3049414	0.8862393	0.8357477	1.0000000	0.9989423	1.0000000	0.5247882	1.0000000	0.9304799	0.5373346	0.9856817	0.9985483	0.4978134	1.0000000	0.4840669	0.6958001	0.0197192	0.9909170	0.4209924	0.6612672	0.6407302	0.9825336	0.8873810	0.7228080	0.4843563	0.9253582	0.6631205
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.9396971	0.8039134	0.1198658	0.3298045	0.0793785	0.0000000	0.0259493	0.6748495	0.5137733	0.1069582	0.0598795	1.0000000	0.0023735	0.5261388	0.6775195	0.0010992	0.3348196	0.0143694	0.4793664	0.0000000	0.4038835	0.3716013	0.0920707	0.8081938	0.5467383	0.4800215	0.5238563	1.0000000	0.2986286	0.5842503	0.3336891	0.7662739	0.7658529	1.0000000	0.6719782	1.0000000	0.4574398	1.0000000	0.6006884	0.6869055	0.9050781	0.5960768	0.0300816	1.0000000	0.7361219	0.1991881	0.0220711	0.9934507	0.4209924	0.6684996	0.6891571	0.9825336	0.9058643	0.7396014	0.6164874	0.9469168	0.6631215
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.9396971	0.8039134	0.1085978	0.1449550	0.0793787	0.0000000	0.4271255	0.0066609	0.5137733	0.1069582	0.8364077	1.0000000	0.0924566	0.4525758	0.6775195	0.2934880	0.0261763	0.0143695	0.0000010	1.0000000	0.0403327	0.0540765	0.0732710	0.1969169	0.6587551	0.4800216	0.0775357	0.0000000	0.3200817	0.2803513	0.3336891	0.0851323	0.6192463	1.0000000	0.6719782	1.0000000	0.5244799	1.0000000	0.8083065	0.5199925	0.8871010	0.9525430	0.0300816	1.0000000	0.4839603	0.1306558	0.0197571	0.9909914	0.4209924	0.6615133	0.6418202	0.9825336	0.8879025	0.7233592	0.4873109	0.9259797	0.6631206
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.9208404	0.6176784	0.1198660	0.3298083	0.8856785	0.8746410	0.0259434	0.6748493	0.3419141	0.7290811	0.3593881	0.0000000	0.0023735	0.8050694	0.3028278	0.0010992	0.3348171	0.0143694	0.4793663	0.0000000	0.4038827	0.3716011	0.0920710	0.9999904	1.0000000	0.4800215	0.9998856	1.0000000	0.2986291	1.0000000	1.0000000	0.7662739	0.7658524	1.0000000	0.6719782	1.0000000	0.4574392	1.0000000	0.1991609	0.3340057	0.7808721	0.1296874	0.0300816	1.0000000	0.7421578	0.1991909	0.0216258	0.9050501	0.4828275	0.6509530	0.3928306	0.0414465	0.3769244	0.3053426	0.6164875	0.9360465	0.3211405
