G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.9396971	0.8039134	0.1318383	0.5526091	0.4947155	0.3883734	0.0259434	0.0066609	0.5807089	0.2347305	0.2116748	1.0000000	0.0023735	0.1908316	0.6853169	0.0010993	0.0261759	0.0143694	0.0000010	0.0000000	0.0403327	0.0076093	0.2433534	0.5869939	1.0000000	0.4800215	0.5164868	0.0000000	0.0179568	0.9999999	0.3336891	0.0122285	0.3183573	1.0000000	0.6719782	1.0000000	0.0124920	1.0000000	0.7704169	0.4837206	0.6295935	0.9464047	0.0300816	1.0000000	0.9313373	0.4081237	0.0320910	0.9966096	0.4209924	0.6741164	0.8048224	0.9825336	0.9304298	0.7520874	1.0000000	0.9743120	0.6631222
1.0000000	0.0000000	1.0000000	1.0000000	1.0000000	0.9999999	1.0000000	0.9999986	1.0000000	0.9999998	1.0000000	0.9999981	1.0000000	1.0000000	0.9999999	1.0000000	0.9999999	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	1.0000000	0.9999999	1.0000000	1.0000000	0.9999999	0.9999532	0.9999998	1.0000000	0.9999999	1.0000000	1.0000000	0.9999980	1.0000000	0.5981641	1.0000000	1.0000000	0.6049557	0.9967292	1.0000000	0.9999999	0.9789401	0.9999904	0.6485521	0.6667564	0.8848253	0.8687868	0.4271257	0.4914191	0.7478312	0.7266588	0.9151378	1.0000000	0.6685285	0.9848261	0.7857160	0.6333182	0.2539430	0.0143784	0.9164483	1.0000000	0.5543020	0.1509331	0.4987458	0.3667780	0.6587535	0.9429270	0.0775356	0.0000000	0.9994152	0.2803513	0.3336891	0.4481597	0.8357246	1.0000000	0.9985808	1.0000000	0.5244801	1.0000000	0.9307397	0.5203365	0.9685952	0.9986742	0.4978095	1.0000000	0.4841100	0.6991340	0.0197570	0.9909914	0.4209924	0.6615133	0.6418199	0.9825336	0.8879023	0.7233590	0.4873108	0.9259795	0.6631206
0.9999999	0.0000001	1.0000000	0.9999998	0.9999998	0.9999996	1.0000000	0.9999917	1.0000000	0.9999988	0.9999998	0.9999899	0.9999998	0.9999998	0.9999995	1.0000000	0.9999995	0.9999999	1.0000000	1.0000000	1.0000000	0.9999999	1.0000000	0.9999998	0.9999995	1.0000000	0.9999998	0.9999991	0.9997961	0.9999988	1.0000000	0.9999994	1.0000000	0.9999999	0.9999890	1.0000000	0.5981639	1.0000000	1.0000000	0.6049554	0.9967292	1.0000000	0.9999993	0.9789401	0.9999896	0.7933856	0.8104504	0.8976483	0.9843905	0.5543206	0.6748178	0.7746681	0.7644024	0.9076046	1.0000000	0.3895365	0.9728973	0.8147544	0.5926344	0.3345524	0.0143717	0.9933610	0.0000007	0.4036497	0.3715424	0.5977239	0.9402538	0.5467966	0.9429271	0.9363492	0.9999665	0.9883141	0.5844737	0.3336891	0.7662730	0.9480114	1.0000000	0.9985781	1.0000000	0.4573400	1.0000000	0.8442072	0.9313827	0.9999991	0.9381233	0.4978085	1.0000000	0.7426147	0.7541217	0.0220815	0.9934541	0.4209924	0.6685084	0.6892740	0.9825336	0.9059085	0.7396225	0.6165128	0.9469791	0.6631215
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.0210428	0.2853201	0.1093313	0.1535475	0.8469708	0.7107001	0.5006285	0.0268012	0.7045625	0.6298869	0.9102656	1.0000000	0.4654905	0.7065307	0.7423451	0.4153247	0.1014199	0.3948356	0.4194654	0.9019336	0.0483403	0.0520684	0.0819601	0.4690863	0.9277438	0.9412102	0.5691010	0.0923151	0.3259786	0.9987655	0.3336891	0.6569188	0.5844457	1.0000000	0.7320602	1.0000000	0.4988218	0.0591095	0.4381728	0.4547456	0.7338670	0.4929632	0.0173258	0.0000002	0.4849114	0.1125623	0.3655994	0.9999704	0.9883280	0.6861086	0.4902652	0.0000030	0.9353488	0.7550412	0.4939368	0.9273473	0.9987819
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.2543189	0.7002316	0.0628981	0.0094704	0.8469708	0.7107001	0.5006285	0.0268012	0.7045625	0.6298869	0.9102656	1.0000000	0.4654905	0.7065307	0.7423451	0.4153247	0.1014199	0.3948356	0.4194654	0.9019336	0.0483403	0.0520684	0.0819601	0.4690863	0.6558285	0.9412102	0.5691010	0.0923151	0.3259786	0.2799014	0.3049403	0.6569188	0.5844457	1.0000000	0.7320602	1.0000000	0.4988218	0.0591095	0.7772948	0.4750702	0.7562299	0.7887510	0.0173258	0.0000002	0.0020513	0.0061086	0.0182444	0.2481483	0.8023016	0.0000846	0.0006893	0.9825336	0.2462572	0.7550411	0.0000004	0.5258622	0.6577395
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.9208322	0.3841571	0.0628981	0.0094704	0.8469708	0.7107001	0.5006285	0.0268012	0.7045625	0.6298869	0.9102656	1.0000000	0.4654905	0.7065307	0.7423451	0.4153247	0.1014199	0.3948356	0.4194654	0.9019336	0.0483403	0.0520684	0.0819601	0.4690863	0.9277438	0.9412102	0.5691010	0.0923151	0.3259786	0.9987655	0.3336891	0.6569188	0.5844457	1.0000000	0.7320602	1.0000000	0.4988218	0.0591095	0.4381726	0.4547456	0.7545484	0.5173726	0.0300816	1.0000000	0.4815095	0.1965544	0.3587996	0.9999711	0.6226677	0.6037484	0.9998494	0.0000030	0.7161837	0.7550412	0.0000004	0.5258734	0.9771795
0.9999999	0.0000001	1.0000000	0.9999998	0.9999998	0.9999996	1.0000000	0.9999917	1.0000000	0.9999988	0.9999998	0.9999899	0.9999998	0.9999998	0.9999995	1.0000000	0.9999995	0.9999999	1.0000000	1.0000000	1.0000000	0.9999999	1.0000000	0.9999998	0.9999995	1.0000000	0.9999998	0.9999991	0.9997961	0.9999988	1.0000000	0.9999994	1.0000000	0.9999999	0.9999890	1.0000000	0.5981639	1.0000000	1.0000000	0.6049554	0.9967292	1.0000000	0.9999993	0.9789401	0.9999896	0.6442942	0.6638531	0.0794556	0.0000019	0.4271320	0.0067494	0.5223728	0.1080310	0.8718291	1.0000000	0.6685266	0.9848572	0.6821686	0.6333162	0.0375693	0.0143799	0.4381688	0.9999994	0.0482371	0.1515939	0.4925833	0.3670043	0.5936946	0.9999499	0.1004299	0.0923110	0.9992795	0.2797972	0.3049414	0.8862367	0.8357432	1.0000000	0.9989394	1.0000000	0.5247878	1.0000000	0.9304799	0.5373355	0.9856816	0.9985483	0.4978126	1.0000000	0.4840669	0.6957996	0.0197193	0.9909171	0.4209924	0.6612675	0.6407319	0.9825336	0.8873819	0.7228086	0.4843569	0.9253597	0.6631205
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.9396971	0.8039134	0.1198661	0.3298082	0.0793785	0.0000000	0.0259611	0.6748494	0.5137733	0.1069582	0.0598795	1.0000000	0.0023735	0.5261384	0.6775195	0.0010993	0.3348173	0.0143694	0.4793663	0.0000000	0.4038808	0.3716010	0.0920710	0.8081937	0.5467390	0.4800215	0.5238563	0.9999997	0.2986521	0.5842525	0.3336891	0.7662739	0.7658500	1.0000000	0.6719783	1.0000000	0.4574394	1.0000000	0.6006885	0.6869057	0.9050781	0.5960784	0.0300816	1.0000000	0.7361254	0.1991983	0.0220712	0.9934507	0.4209924	0.6684997	0.6891580	0.9825336	0.9058646	0.7396016	0.6164876	0.9469174	0.6631215
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.9396971	0.8039134	0.1085982	0.1449581	0.0793795	0.0000019	0.4271252	0.0066609	0.5137733	0.1069582	0.8364080	1.0000000	0.0924569	0.4525759	0.6775196	0.2934881	0.0261767	0.0143720	0.0000010	0.9999997	0.0403327	0.0540765	0.0732712	0.1969170	0.6587615	0.4800246	0.0775357	0.0000000	0.3200818	0.2803513	0.3336891	0.0851325	0.6192442	1.0000000	0.6719785	1.0000000	0.5244797	0.9999998	0.8083067	0.5199931	0.8871007	0.9525430	0.0300816	1.0000000	0.4837634	0.1306602	0.0197571	0.9909915	0.4209924	0.6615135	0.6418211	0.9825336	0.8879030	0.7233596	0.4873113	0.9259806	0.6631206
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.9208404	0.6178100	0.1198668	0.3298175	0.8856656	0.8746292	0.0259436	0.6748490	0.3418942	0.7290727	0.3593830	0.0000000	0.0023735	0.8050442	0.3027434	0.0010993	0.3348117	0.0143695	0.4793663	0.0000000	0.4038762	0.3716002	0.0920717	0.9999904	1.0000000	0.4800215	0.9998856	0.9999993	0.2986783	0.9999997	1.0000000	0.7662739	0.7658454	1.0000000	0.6719783	1.0000000	0.4574380	1.0000000	0.1991627	0.3340073	0.7808721	0.1296894	0.0300816	1.0000000	0.7421663	0.1992142	0.0216260	0.9050452	0.4828275	0.6509447	0.3928208	0.0414468	0.3769241	0.3053426	0.6164879	0.9360444	0.3210203
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.9208404	0.6178100	0.1085975	0.1449522	0.8613409	0.7554149	0.4271257	0.0066609	0.2978360	0.6642799	0.9088056	0.0000000	0.0924566	0.3076863	0.2213752	0.2934879	0.0261759	0.0143706	0.4255864	1.0000000	0.0404433	0.0540765	0.0732709	0.4435950	0.9999983	0.4800215	0.5609344	0.0000000	0.3200817	0.4548118	1.0000000	0.0851322	0.6192466	1.0000000	0.6719783	1.0000000	0.5244801	1.0000000	0.5098865	0.5199922	0.7728879	0.7014193	0.0300816	1.0000000	0.4841100	0.3476248	0.0193116	0.9050452	0.4828275	0.6420574	0.3887615	0.0414468	0.3603482	0.3053402	0.4873107	0.9152565	0.3210189
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.9208321	0.3839621	0.1093313	0.1535475	0.8469708	0.7107001	0.4095959	0.0067494	0.2879050	0.6298870	0.9060683	0.0000002	0.0921049	0.2952202	0.1914855	0.2933025	0.0375685	0.3948356	0.4194654	0.9019336	0.0483403	0.0520684	0.0819601	0.4690863	0.9999992	0.9412102	0.5691010	0.0923151	0.3259786	0.9999807	1.0000000	0.6569188	0.5844457	1.0000000	0.7320602	1.0000000	0.4988218	0.0591095	0.4978580	0.5219937	0.8656034	0.6634372	0.0300816	1.0000000	0.4849123	0.3118550	0.0193990	0.9999985	0.4828309	0.6861113	0.4903864	0.0000002	0.3714160	0.3053450	0.4939368	0.9273473	0.5169674
0.0061792	1.0000000	0.4407663	0.1526237	0.4326906	0.0462345	0.4964683	0.1117059	0.4029927	0.2286483	0.0774201	0.1925263	0.0534483	0.4779762	0.1947038	0.5044997	0.0997686	0.0416811	0.2822274	0.4792217	0.0674715	0.2664337	0.0949194	0.3283891	0.0762364	0.0781612	0.2901489	0.0962927	0.1158685	0.3987477	0.5083786	0.0334554	0.0069297	0.1513265	0.0502115	0.0645494	0.1361848	0.1662619	0.1186556	0.0980585	0.7165183	0.0885610	0.0658898	0.9208321	0.3839532	0.1198719	0.3298954	0.8855885	0.8745835	0.1176213	0.6748449	0.7492421	0.7289838	0.3883671	1.0000000	0.3895363	0.8049117	0.7871095	0.5788099	0.3347695	0.0143697	0.4793658	0.0000001	0.4038374	0.3715926	0.0920783	1.0000000	0.5467488	0.4800217	1.0000000	0.9999951	0.2988477	0.5842919	0.3336891	0.7662736	0.7658069	1.0000000	0.6719784	1.0000000	0.4574251	1.0000000	0.1938733	0.3338763	0.7808720	0.1296914	0.0300816	1.0000000	0.7422831	0.1993319	0.3626444	0.9999995	0.6235139	0.8867739	0.9998570	0.0000001	0.9519483	0.7550412	0.6164911	0.9469304	0.9776063
