Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.7892231	0.6388931	0.4045585	0.0065473	0.1937685	0.2245252	0.1068820	0.1708208	0.0246358	0.5591202	0.7083177	0.4847265	0.7756114	0.3286251	1.0000000	0.1564731	0.9724955	0.9085677	0.4114138	0.5280653	0.0714098	0.9719414	0.5577704	0.5254197	0.8975517	0.8261951	0.8859412	0.9999875	0.7031455	0.8493336	0.7548822	0.8162618	0.4349957	0.2117182	0.2144307	0.1525483	0.5780388	0.9949631	0.7508178	0.9566601	0.9551689	0.8408783	0.2871705	0.5597162	0.6539630	0.3978287	0.8688319	0.9512220	0.7223034	0.1900952	0.1072813	0.1689463	0.8857318	0.1543702	1.0000000	0.2088501	0.0119036	0.3396781	0.9980631	0.7971005	0.1353557	0.0814948	0.1538241	0.2506676	0.0629262	0.3581860	0.7569824	0.1130669	1.0000000	0.3637256	0.6979707	0.9983655	0.3193726	0.4936774	0.6534747	0.3068259	1.0000000	0.0873267	0.0922686	0.5912426	0.9973634	0.9965290	0.9938958	0.3000932	1.0000000	0.9872113	0.9806004	0.9281718	0.9998992	0.9999948	0.9802576	0.0836010	0.9992372	0.9640790	0.9941072	0.9547747	0.4822303	0.9819777	1.0000000	0.9527594
50	0.7889276	0.6266100	0.6205903	0.0065656	0.1960735	0.3582199	0.1094743	0.1710256	0.0186316	0.7613682	0.5502067	0.4855682	0.7788557	0.3284323	0.8464666	0.1576048	0.9750783	0.9037469	0.4040620	0.4196868	0.0713320	0.9697662	0.5473519	0.5150119	0.8909357	0.8519974	0.8799238	0.9999864	0.7772303	0.8451213	0.7478683	0.8118797	0.4437354	0.2117198	0.1093356	0.1549302	0.5670897	0.9947882	0.8064125	0.9535336	0.9528990	0.8352828	0.2990021	0.5314856	0.6404569	0.4013902	0.8648932	0.9557834	0.7172987	0.1180888	0.1101157	0.0972653	0.8776611	0.1543973	1.0000000	0.2091132	0.0121698	0.5404645	0.9980566	0.7970379	0.1364170	0.0531742	0.1573389	0.2506677	0.0629262	0.3577470	0.8566394	0.1129428	1.0000000	0.7210469	0.8521763	0.9216868	0.3245450	0.4272520	0.7172508	0.3062093	1.0000000	0.0873256	0.0922686	0.5912419	0.9973182	0.9963656	0.9937925	0.2937927	1.0000000	0.9922080	0.9710859	0.8289174	0.9998997	0.9999947	0.9849607	0.0857277	0.9992371	0.9636312	0.9940338	0.9112637	0.3385370	0.9815153	1.0000000	0.9524497
100	0.7838322	0.5663771	0.7671338	0.0067771	0.2068729	0.5299708	0.1194598	0.1740920	0.0124137	0.8966023	0.4663353	0.4865710	0.7924526	0.3244986	0.7294663	0.1592853	0.9690564	0.8766444	0.3683069	0.3323393	0.0707082	0.9554229	0.4945981	0.4669038	0.8504517	0.8346348	0.8487507	0.9999740	0.8460175	0.7947423	0.7085861	0.7885453	0.4849658	0.2117318	0.0700445	0.1691249	0.5196135	0.9937630	0.8335982	0.9316238	0.9389386	0.8021815	0.4223119	0.4169096	0.5682782	0.4214576	0.8425505	0.9496286	0.6911531	0.0519490	0.1321138	0.0630838	0.8298412	0.1546041	1.0000000	0.2106919	0.0140574	0.7265307	0.9978978	0.7966398	0.1428507	0.0256105	0.1782141	0.2506644	0.0629245	0.3486450	0.9436350	0.1105184	1.0000000	0.9198207	0.9386157	0.8487325	0.3501468	0.3388066	0.7392826	0.3031585	1.0000000	0.0873200	0.0922686	0.5912373	0.9969065	0.9955365	0.9912048	0.2602158	1.0000000	0.9965277	0.9586333	0.7160738	0.9998941	0.9999937	0.9910092	0.0993800	0.9992368	0.9613483	0.9934309	0.8557275	0.2292082	0.9776241	1.0000000	0.9501369
150	0.7716700	0.4939797	0.8082952	0.0070489	0.2129479	0.6437351	0.1268732	0.1768334	0.0091137	0.9467218	0.4429464	0.4744727	0.8026130	0.3116600	0.6860813	0.1505912	0.9594495	0.8393966	0.3256922	0.2985589	0.0691683	0.9319792	0.4288460	0.4123661	0.7900687	0.7898702	0.8091202	0.9999492	0.8728132	0.7212927	0.6539620	0.7576681	0.5323933	0.2117539	0.0753314	0.1903125	0.4701083	0.9922592	0.8230735	0.8936644	0.9176176	0.7534912	0.5728787	0.3060855	0.4745579	0.4501738	0.8110107	0.9305422	0.6572718	0.0227483	0.1736693	0.0621024	0.7611516	0.1549935	1.0000000	0.2130438	0.0173288	0.8083362	0.9971791	0.7960709	0.1530372	0.0126909	0.2089085	0.2506473	0.0629185	0.3194487	0.9800125	0.1038073	1.0000000	0.9750811	0.9635634	0.8146812	0.3818574	0.2767635	0.7366566	0.2994153	1.0000000	0.0873134	0.0922686	0.5912294	0.9956370	0.9945296	0.9770133	0.2147862	1.0000000	0.9982594	0.9473052	0.6516608	0.9998674	0.9999900	0.9949481	0.1208971	0.9992357	0.9584270	0.9917468	0.8156631	0.1799767	0.9690387	1.0000000	0.9456525
200	0.7597820	0.4428019	0.8092064	0.0066903	0.2043868	0.7060483	0.1293960	0.1694346	0.0069851	0.9641740	0.4359475	0.4421975	0.7969456	0.2921622	0.6723782	0.1274460	0.9497348	0.8103201	0.2955040	0.2873343	0.0667911	0.9110563	0.3805074	0.3757510	0.7401641	0.7555139	0.7805436	0.9999239	0.8794289	0.6647655	0.6098461	0.7339978	0.5641549	0.2117746	0.0829129	0.2082273	0.4401581	0.9910054	0.8072687	0.8577575	0.8994332	0.7124829	0.6708631	0.2408070	0.4030360	0.4745950	0.7854429	0.9107523	0.6317303	0.0121550	0.2149433	0.0667274	0.7066171	0.1553786	1.0000000	0.2149830	0.0202128	0.8384429	0.9955401	0.7957096	0.1628711	0.0077422	0.2346630	0.2506015	0.0629079	0.2777802	0.9921499	0.0958346	1.0000000	0.9885669	0.9683421	0.8008805	0.4051873	0.2447568	0.7327853	0.2967925	1.0000000	0.0873089	0.0922686	0.5912220	0.9933208	0.9938215	0.9390559	0.1760834	1.0000000	0.9987168	0.9368915	0.6208678	0.9998098	0.9999820	0.9970884	0.1393110	0.9992344	0.9561501	0.9892138	0.7954859	0.1531165	0.9584372	1.0000000	0.9406004
250	0.7523973	0.4147712	0.8018062	0.0056010	0.1866752	0.7340139	0.1297440	0.1516331	0.0050784	0.9700841	0.4318020	0.4000580	0.7701690	0.2724107	0.6683053	0.1026001	0.9420529	0.7932474	0.2787890	0.2835549	0.0641111	0.8975199	0.3530633	0.3566625	0.7098565	0.7374827	0.7651448	0.9999063	0.8799086	0.6329199	0.5827174	0.7202496	0.5803682	0.2117880	0.0865799	0.2195620	0.4263505	0.9902278	0.7970311	0.8330440	0.8880489	0.6865210	0.7191012	0.2095878	0.3606582	0.4906378	0.7698610	0.8968543	0.6171113	0.0086512	0.2439532	0.0698162	0.6748324	0.1556449	1.0000000	0.2161459	0.0219383	0.8494188	0.9931151	0.7956139	0.1704131	0.0060236	0.2508823	0.2505229	0.0628958	0.2394247	0.9953092	0.0895936	1.0000000	0.9915695	0.9676013	0.7950219	0.4185390	0.2308867	0.7309204	0.2954141	1.0000000	0.0873066	0.0922686	0.5912170	0.9904830	0.9934353	0.8844326	0.1489190	1.0000000	0.9986766	0.9284349	0.6072610	0.9997323	0.9999720	0.9981659	0.1506380	0.9992335	0.9546832	0.9868285	0.7872372	0.1370688	0.9488880	1.0000000	0.9362866
300	0.7487406	0.4014400	0.7957250	0.0043195	0.1683592	0.7413516	0.1295207	0.1295043	0.0034859	0.9719441	0.4282012	0.3621615	0.7233787	0.2568477	0.6671268	0.0861332	0.9371616	0.7847181	0.2707150	0.2821347	0.0617396	0.8902303	0.3396424	0.3480295	0.6944847	0.7297021	0.7581216	0.9998963	0.8792764	0.6179127	0.5684699	0.7134527	0.5874297	0.2117951	0.0879461	0.2256733	0.4209107	0.9898224	0.7919604	0.8188393	0.8821112	0.6726035	0.7395515	0.1961375	0.3388873	0.4997184	0.7618275	0.8889118	0.6099964	0.0075514	0.2606630	0.0712420	0.6593603	0.1557944	1.0000000	0.2167239	0.0227578	0.8537948	0.9905409	0.7956552	0.1754702	0.0054601	0.2595236	0.2504289	0.0628856	0.2122025	0.9956339	0.0856753	1.0000000	0.9921355	0.9660509	0.7921575	0.4251997	0.2254532	0.7302330	0.2947983	1.0000000	0.0873056	0.0922686	0.5912141	0.9879004	0.9932510	0.8360419	0.1319376	1.0000000	0.9984993	0.9225520	0.6014967	0.9996562	0.9999635	0.9986896	0.1563692	0.9992329	0.9538040	0.9851493	0.7842211	0.1280552	0.9418403	1.0000000	0.9331611
350	0.7471177	0.3956180	0.7921374	0.0032751	0.1539280	0.7381761	0.1292522	0.1087110	0.0023762	0.9724090	0.4254217	0.3349910	0.6669607	0.2464963	0.6667901	0.0777636	0.9345237	0.7808595	0.2671274	0.2815368	0.0599920	0.8867148	0.3336789	0.3444526	0.6875324	0.7267180	0.7552301	0.9998914	0.8787593	0.6115957	0.5617011	0.7104168	0.5902073	0.2117984	0.0883987	0.2286772	0.4189698	0.9896327	0.7897760	0.8115129	0.8793542	0.6658913	0.7474645	0.1906805	0.3286663	0.5043957	0.7581051	0.8849057	0.6068778	0.0072173	0.2691763	0.0718053	0.6526399	0.1558683	1.0000000	0.2169794	0.0230948	0.8557325	0.9884150	0.7957263	0.1785461	0.0052821	0.2636618	0.2503437	0.0628788	0.1957794	0.9953082	0.0835060	1.0000000	0.9921956	0.9649117	0.7906213	0.4282652	0.2234555	0.7300086	0.2945489	1.0000000	0.0873052	0.0922686	0.5912127	0.9860037	0.9931696	0.8051625	0.1222204	1.0000000	0.9983374	0.9189495	0.5991146	0.9995962	0.9999580	0.9989400	0.1589306	0.9992326	0.9533042	0.9841547	0.7831852	0.1234334	0.9373203	1.0000000	0.9311325
400	0.7464344	0.3932107	0.7902893	0.0025736	0.1441656	0.7312104	0.1290573	0.0924782	0.0017046	0.9724294	0.4235923	0.3181472	0.6151818	0.2403765	0.6666945	0.0740256	0.9332582	0.7792232	0.2656181	0.2812715	0.0588670	0.8851332	0.3311987	0.3430534	0.6846239	0.7256588	0.7541163	0.9998891	0.8784785	0.6091333	0.5586968	0.7091498	0.5912261	0.2117998	0.0885395	0.2300739	0.4183214	0.9895503	0.7889125	0.8079836	0.8781710	0.6628781	0.7503451	0.1885488	0.3241531	0.5066562	0.7565012	0.8830447	0.6056060	0.0071180	0.2731785	0.0720095	0.6499370	0.1559019	1.0000000	0.2170838	0.0232208	0.8566396	0.9869517	0.7957830	0.1802754	0.0052274	0.2655046	0.2502805	0.0628750	0.1868811	0.9949846	0.0823953	1.0000000	0.9921765	0.9642669	0.7897986	0.4296077	0.2227518	0.7299399	0.2944540	1.0000000	0.0873050	0.0922686	0.5912120	0.9848100	0.9931354	0.7891964	0.1170474	1.0000000	0.9982310	0.9169482	0.5981452	0.9995557	0.9999550	0.9990590	0.1599831	0.9992324	0.9530369	0.9836256	0.7828424	0.1212468	0.9347099	1.0000000	0.9299171
