"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.2478852	0.0658662	0.6688890	0.7045611	0.1913623	0.6001552	0.3167662	0.6702526	0.7016261	0.5849824	0.4105154	0.5955874	0.0598962	0.5753574	0.7109954	0.5033280	0.6064780	0.6698289	0.4195785	0.0323053	0.5526569	0.6514692	0.4253227	0.0898715	0.5503159	0.0568534	0.0026825	0.5608098	0.5650227	0.7098957	0.7635307	0.4631306	0.5469330	0.5917732	0.6436625	0.5684709	0.6238365	0.5225057	0.4909988	0.6287545	0.3341583	0.6684042	0.4233357	0.6707048	0.6339981	0.1836154	0.4988078	0.7476878	0.6259281	0.1240538	0.5922387	0.4330890	0.4310399	0.6594701	0.4461987	0.5626882	0.2212857	0.4595624	0.2376914	0.0514697	0.1198034	0.0615670	0.2717385	0.1907612	0.0925396	0.4310486	0.0095517	0.3941649	0.7674732	0.1800661	0.6364682	0.0503082	0.0289742	0.6262843	0.1211559	0.2217594	0.3214456	0.4837174	0.1307754	0.1724916	0.2364707	0.1876119	0.0661912	0.7167957	0.1264961	0.1076675	0.1801241	0.2071072	0.3193715	0.0669855	0.2351797	0.5640094	0.0120737	0.0137072	0.3739262	0.0295462	0.0162694	0.0788261	0.7443185	0.3828871
50	0.2496477	0.1578797	0.4514748	0.4205349	0.1777661	0.6308497	0.4850046	0.6653250	0.7416777	0.6654558	0.2939759	0.4998766	0.0248371	0.4170899	0.5892721	0.5488310	0.6009034	0.6437613	0.4609278	0.0717825	0.5950070	0.7325019	0.4464893	0.1086508	0.5724703	0.2338097	0.0012830	0.5774418	0.7737647	0.6851352	0.6907820	0.5323060	0.4075609	0.6356937	0.6634443	0.5937392	0.6882919	0.2958304	0.5110198	0.4229585	0.3864469	0.6960760	0.4523771	0.6952654	0.6291509	0.1233868	0.7428339	0.8007643	0.6886931	0.1345401	0.3386801	0.6840234	0.4585501	0.5378042	0.3335546	0.7403391	0.2606093	0.5936599	0.1657485	0.0665846	0.1410409	0.0401170	0.2625731	0.2887118	0.0855676	0.4946536	0.0032420	0.3141922	0.6384308	0.1766181	0.7496896	0.0674854	0.0344704	0.5541187	0.1136881	0.2487171	0.4059985	0.3638992	0.0461869	0.2304594	0.2098687	0.1687221	0.0280968	0.5699753	0.0883728	0.1211182	0.0801929	0.2243564	0.3157330	0.0832126	0.3501665	0.6022815	0.0475427	0.0030556	0.3395222	0.0514481	0.3242777	0.0583787	0.8858907	0.4939312
100	0.0974688	0.2128048	0.2917626	0.2181949	0.0961886	0.6322097	0.4846610	0.6340188	0.6249062	0.6634762	0.4660319	0.2697905	0.1004857	0.2724599	0.6470960	0.5135917	0.5019500	0.6441321	0.2562710	0.0991910	0.6847899	0.5728954	0.3465277	0.1395950	0.3133988	0.4292479	0.0379785	0.5800118	0.5806804	0.7055676	0.6505007	0.5358539	0.2544386	0.5279156	0.5553762	0.6258443	0.6062266	0.2056202	0.5971967	0.3137656	0.2669922	0.6441280	0.2945627	0.4838523	0.6565189	0.0912768	0.6206902	0.6953781	0.7006605	0.1904346	0.1960877	0.3359933	0.5306521	0.5475479	0.3071722	0.6980664	0.4729731	0.6856016	0.2207372	0.0832667	0.2307772	0.1744858	0.3465573	0.3801476	0.1081309	0.5605234	0.0774062	0.4381531	0.5342731	0.2222467	0.7102220	0.0515900	0.0273366	0.6793001	0.1594287	0.3601918	0.3156544	0.2109145	0.0623394	0.2834415	0.2165186	0.1234577	0.0392779	0.3585468	0.0682999	0.1164271	0.0576937	0.1985876	0.3579543	0.0730197	0.3322758	0.7106483	0.0472496	0.0000007	0.3236458	0.0157996	0.4932780	0.1077086	0.6584304	0.4282294
150	0.0689067	0.2326959	0.1758353	0.1923079	0.0530347	0.7059113	0.5710441	0.5545770	0.4818019	0.5645898	0.4923610	0.1196062	0.1169614	0.1248929	0.7310807	0.3835351	0.4292602	0.5994028	0.2063777	0.1656675	0.3814475	0.4096154	0.3198586	0.2560996	0.3466803	0.5522442	0.0769305	0.5458657	0.6141714	0.6642390	0.7403042	0.3896037	0.1823368	0.4675157	0.5259743	0.6332673	0.6400244	0.2075485	0.4878876	0.2264520	0.1429026	0.6186402	0.3253020	0.6012816	0.5442566	0.0892000	0.5719714	0.6933228	0.6443644	0.1061960	0.2123086	0.3008933	0.4604695	0.7404119	0.1381243	0.6244020	0.5714390	0.5053170	0.2212725	0.0834132	0.2644880	0.2432445	0.3958480	0.5196247	0.1826470	0.3589690	0.2266041	0.4229495	0.4037870	0.1880633	0.7047563	0.0811984	0.0212606	0.6434177	0.2134126	0.3060501	0.4140803	0.1140985	0.1038629	0.2351033	0.1707678	0.1587942	0.0186748	0.1902435	0.1555855	0.0328955	0.0569062	0.2310613	0.3454387	0.0768109	0.2888355	0.6417997	0.0301637	0.0011322	0.3550830	0.0363355	0.5421981	0.0896521	0.6854873	0.4744486
200	0.0098241	0.3163658	0.1316399	0.1372686	0.0182487	0.7458112	0.7031967	0.5755466	0.6147610	0.5766787	0.5572523	0.0691002	0.2139055	0.0844947	0.6828348	0.3895949	0.4773604	0.4947705	0.0603383	0.3686425	0.3533704	0.4613970	0.3900518	0.2837658	0.2442374	0.5875471	0.1664184	0.5339359	0.6442753	0.7680138	0.7021867	0.4994367	0.1855138	0.3806660	0.4276063	0.5845602	0.5994211	0.2837481	0.5345640	0.2551043	0.1465481	0.5524386	0.3088821	0.4679694	0.5445054	0.0424902	0.5879675	0.6197846	0.6148245	0.1106029	0.1956354	0.2272848	0.3711013	0.5463389	0.1455604	0.6794146	0.6603619	0.5328470	0.1966453	0.0704694	0.2289495	0.3041120	0.2794943	0.5034591	0.1679334	0.3926712	0.3001144	0.4462958	0.3802067	0.1790181	0.6424735	0.0522851	0.0194825	0.7167321	0.2806283	0.2623569	0.3578557	0.1375936	0.0842098	0.1974102	0.2200030	0.1447019	0.0185995	0.1760287	0.1348629	0.0338617	0.0941896	0.3176325	0.3502969	0.1006722	0.3013751	0.5948212	0.0344863	0.0071734	0.3288219	0.0315604	0.5326101	0.0843380	0.5418175	0.2719939
250	0.0067316	0.3138971	0.1073156	0.0724197	0.0069985	0.6707677	0.7267303	0.5894237	0.5734481	0.6189879	0.6291036	0.0460864	0.1606133	0.0817505	0.6473159	0.3931580	0.5377442	0.4278709	0.0383037	0.3152752	0.3634660	0.3787944	0.5112298	0.2738436	0.2617464	0.6916449	0.1943507	0.5724550	0.5951862	0.6447115	0.7200243	0.4947710	0.1956357	0.4540380	0.4549727	0.6504767	0.5196542	0.2396504	0.4954096	0.1891135	0.1426143	0.5184583	0.2761480	0.5265425	0.5570165	0.0262091	0.5147835	0.5384175	0.6122644	0.1621844	0.2168233	0.2108967	0.4036045	0.6257898	0.1380735	0.7155727	0.6456812	0.6138094	0.1613896	0.0484108	0.2746952	0.3906156	0.2881780	0.5396361	0.2676497	0.5767168	0.3937993	0.3840671	0.4329983	0.2216798	0.6454939	0.0765981	0.0141413	0.7307687	0.2644850	0.4021241	0.3267297	0.1425840	0.0806474	0.2803602	0.2035153	0.1616989	0.0295787	0.1265892	0.0754416	0.0186128	0.0580817	0.2341832	0.2879905	0.0767561	0.3259275	0.8018876	0.0831206	0.0025748	0.3958235	0.0316011	0.6490398	0.0800486	0.6623011	0.4634371
300	0.0011172	0.4264874	0.1111433	0.1163287	0.0205172	0.6187213	0.7089967	0.5425699	0.6073165	0.5221976	0.7405898	0.0342749	0.3498883	0.0742180	0.7111887	0.2193580	0.5221050	0.6363650	0.0543652	0.3747998	0.2702059	0.4606734	0.4185206	0.2769497	0.1873306	0.6357899	0.3411833	0.4767187	0.6351658	0.6447238	0.5291149	0.4864846	0.2305911	0.4128934	0.4770116	0.5968199	0.5466108	0.1727756	0.4840589	0.2218866	0.1230168	0.5173042	0.2333818	0.5055088	0.7047058	0.0561285	0.5127665	0.6012103	0.4429269	0.1148220	0.1636477	0.3322482	0.3497692	0.6923924	0.2045192	0.5683238	0.5418211	0.5138048	0.2382019	0.0846664	0.2650103	0.3676270	0.3136897	0.5258083	0.2745549	0.4587017	0.5434448	0.5864731	0.4595064	0.1934081	0.8070931	0.0765060	0.0290144	0.7457024	0.2343389	0.2950098	0.2797495	0.1492731	0.0653206	0.3160362	0.2208315	0.1717744	0.0212895	0.0865550	0.1377824	0.0269932	0.0794713	0.2226248	0.3579866	0.0809004	0.2681191	0.7147401	0.0438290	0.0000674	0.4825668	0.0228915	0.4899252	0.0997885	0.5521824	0.3581146
350	0.0000204	0.3933322	0.0996646	0.0280307	0.0008147	0.5144538	0.7063813	0.4295451	0.5147223	0.4451590	0.6074732	0.0182626	0.4059980	0.1130369	0.5440166	0.2408591	0.3582195	0.5024131	0.0402719	0.4518203	0.2352181	0.4753938	0.4202955	0.2585228	0.2047231	0.5054724	0.4056924	0.3987314	0.4837557	0.5761238	0.6371478	0.4929795	0.1810958	0.3767087	0.4830972	0.7052335	0.6579271	0.1971798	0.5392223	0.1979873	0.1269691	0.6078959	0.3066574	0.3781033	0.6108727	0.0684154	0.4475569	0.6297182	0.4991838	0.1317674	0.1866238	0.2309660	0.3706908	0.6739646	0.1781076	0.5949210	0.6152288	0.6180804	0.1799605	0.0965674	0.2640997	0.3657611	0.2677032	0.5543233	0.3570180	0.3968888	0.6160247	0.4751768	0.4520833	0.1895979	0.7367909	0.1026356	0.0398137	0.6060509	0.2735555	0.4549558	0.2567828	0.1651558	0.0747480	0.1910567	0.2578039	0.1957987	0.0883954	0.0572130	0.0880506	0.0116721	0.0872033	0.2399851	0.4261244	0.0935790	0.3509002	0.7176945	0.0413388	0.0004123	0.3608710	0.0187927	0.6140911	0.1167258	0.6249364	0.3691680
400	0.0003438	0.2996008	0.0271565	0.0461491	0.0079283	0.5643506	0.6753552	0.5030058	0.5247255	0.4445085	0.5885713	0.0023904	0.4069748	0.0387312	0.6036723	0.2694519	0.4949058	0.5298505	0.0267944	0.5203623	0.2162815	0.4427966	0.3286083	0.2506522	0.1263620	0.5422022	0.3776800	0.4165920	0.3913314	0.7359594	0.7197141	0.3858087	0.2724306	0.3520153	0.4684741	0.7386919	0.6230596	0.2319941	0.3425037	0.2740981	0.1572467	0.6647267	0.3539857	0.4415293	0.4989038	0.0191430	0.6389612	0.6118120	0.4602853	0.0730989	0.2239323	0.2981838	0.4655627	0.6451008	0.1771336	0.6925987	0.6773248	0.4493062	0.1977660	0.1288523	0.2563249	0.5280085	0.3180604	0.4498750	0.3579328	0.4523663	0.5274589	0.3404715	0.4164557	0.2403783	0.7042747	0.0937219	0.0494257	0.6103626	0.1674726	0.4680668	0.3100263	0.0886679	0.0648681	0.2747991	0.2264983	0.1811028	0.0383433	0.0388604	0.1054712	0.0121442	0.0800462	0.2197234	0.3777034	0.0689491	0.4170181	0.5808884	0.0682582	0.0001928	0.3342385	0.0179260	0.6012610	0.0659099	0.7457728	0.4113365
