G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.3278207	0.9889287	0.9679885	0.6363974	0.8240298	0.8292261	1.0065223	0.2306183	0.6913509	0.8721072	0.4157104	0.9067576	0.9712267	1.0724727	0.8673985	0.5522682	0.0345796	1.0295394	0.5862520	1.0050562	1.0890473	1.0338298	0.9825712	0.1119783	0.0767905	0.9973261	0.0042986	0.4734638	0.5924628	0.6011417	0.3435519	0.4826015	0.1179769	0.5712025	0.9580794	0.4728649	0.4452295	0.0715879	0.5396671	0.5168842	0.1027851	0.0297887	0.0000000	0.0000000	0.0417912	0.0543381	0.0194400	0.0253361	0.0231343	0.0062863	0.0135484	0.0767899	0.0491287	0.0182569	0.0895524	0.1688697	0.0110798	0.0440389	1.0156721	0.0233126	0.3980707	1.0740896	0.8733977	0.9815084	0.7757716	1.0510005	0.5789200	0.1647074	1.0313307	0.2112964	0.7354906	0.2789528	0.3196122	0.9703691	1.0945332	1.0135676	0.9658852	1.0806367	0.3908369	1.0159528	0.5203550	0.4839516	0.7023676	1.0922176	0.0049363	0.0381719	0.7518374	0.0410549	0.1051903	0.9639873	0.0149053	0.2195381	0.0308847	0.9572841	0.9360240	0.0746066	0.4061232	0.9849148	0.6149494	0.0552522
0.4419471	0.0000000	0.0000000	0.0578868	0.0540834	0.0280806	0.0079662	0.1351621	0.3547698	1.0220832	0.5538828	0.0671664	0.0063757	0.0184116	0.0564161	1.0453002	0.0151343	0.3270180	0.0017932	0.4406871	0.3137122	1.0061556	1.0165051	0.1023301	0.0708656	0.9894631	0.0115003	0.5354342	0.4889128	0.5438479	0.3999213	0.3916561	0.0946794	0.5675687	0.9751465	0.6473606	0.4285443	0.0698551	0.5237822	0.4548412	0.0763861	0.5518390	0.9922256	0.9618560	0.9110726	0.7838831	0.7130943	0.9495024	0.9940675	0.4848934	0.8896310	0.9879689	0.6262447	0.9299084	1.0621440	0.7578765	0.5629423	0.9247518	1.0455704	0.5671647	0.0037022	0.0102230	0.5412340	1.0470190	0.0872712	1.0271532	0.4981450	0.1585792	1.0368251	0.1957653	0.1860866	0.0067124	0.0491492	1.0205996	1.0299131	0.9713385	0.8556073	0.9927439	0.3490486	1.0044477	0.5235933	0.4847869	0.7593963	0.9783930	0.0091242	0.0394993	0.8043205	0.0602710	0.1326335	0.9134003	0.0134431	0.2773066	0.0409219	1.0901408	0.9533916	0.0397795	0.9211909	1.0009284	0.0372893	0.0693779
0.3138535	1.0491364	1.0436601	0.6840114	0.7224587	0.8479702	0.9894251	0.1895707	0.6025928	0.8205062	0.5006929	0.8729957	0.9353177	0.9854454	1.0507296	0.5111071	0.0436621	0.9864566	0.5988716	1.0676605	1.0032116	1.0535427	0.9671001	0.1038300	0.0804089	0.9614403	0.0082769	0.5155833	0.5485717	0.6302022	0.3412117	0.4361884	0.1057931	0.5432575	0.9470411	0.6171466	0.4244281	0.0598126	0.0008802	0.5055428	0.0700087	0.5327945	0.9406293	0.9048235	0.8291643	0.6899190	0.5704867	0.9877547	0.9491755	0.3570350	0.8339917	0.9541832	0.4626571	0.8831437	1.0004614	0.8090972	0.5902163	0.8290651	1.0198719	0.5716410	0.0630100	0.0000000	0.7486325	0.9737872	0.2915854	1.0143969	0.4987146	0.1847125	0.0000000	0.4912952	0.4572084	0.0064387	0.0450789	0.0203573	1.0495418	1.1011404	0.0210347	0.0204079	1.0264889	1.0426924	0.0404017	1.0107687	0.6280885	0.0140298	1.0807449	0.0278089	0.0199154	0.9397664	0.1680829	0.8546243	0.9734898	0.9560551	1.0866431	1.1035463	0.9681648	1.0471053	0.9486262	0.0828777	0.0275104	0.9947609
0.3203640	1.0141361	0.9773295	0.6524557	0.7866028	0.9224170	0.9374577	0.2444223	0.6066371	0.8061841	0.4359987	0.9401444	0.9553119	0.9855096	1.0192936	0.3780262	0.0276188	0.9052311	0.6104700	1.0031963	0.9802561	1.0075250	0.9809893	0.1056037	0.0836603	0.9932146	0.0091154	0.5364077	0.5426327	0.6122786	0.3673289	0.4422408	0.1042284	0.5850821	1.1176848	0.4916707	0.4337004	0.0641046	0.0017594	0.5076513	0.1156947	0.5170512	1.0027487	1.0272036	0.8149501	0.6877577	0.5743561	0.9516034	0.9766797	0.4097401	0.8720258	0.9517751	0.5400176	0.8217155	0.9967072	0.7725167	0.4665277	0.9368547	0.9306797	0.8113265	0.0360414	0.0296204	0.7717193	0.0000000	0.0004251	0.9851648	0.5821049	0.7208128	0.0000000	0.8724304	0.5181037	0.0155524	0.0504250	0.0178336	1.0262301	0.0294787	0.0226490	0.0270699	0.9060013	0.0400943	0.0525012	1.0027435	0.1302129	0.0114080	0.9881675	0.0419079	0.0464060	1.0212086	0.1408471	0.6174543	1.0637615	1.0181651	0.9577202	0.9738048	0.0808071	0.9377933	0.9983348	0.0788755	0.0231382	1.0474519
0.4210370	0.0550887	0.0000000	0.0473965	0.0481535	0.0271027	0.0190632	0.1110706	0.4381450	1.0328596	0.4725617	0.0488124	0.0059248	0.0193560	0.0661747	1.0409541	0.0069074	1.0139198	0.4018837	1.0100021	1.0184904	0.0000000	0.0369487	1.0525451	0.9311791	0.0217789	1.0457008	1.0914543	0.9850975	0.9815873	0.9256451	0.9914557	0.9973091	0.0328162	0.0268306	0.0031454	1.0721678	0.9339317	1.0390302	1.0421174	1.0118358	0.7697543	0.9030875	1.0319127	0.8741115	0.6310566	0.5424131	0.9128701	0.9126394	0.4194123	0.9343544	1.0008836	0.5277081	0.8546869	0.9809876	0.7763744	0.5714226	0.8416395	1.0585325	0.6065339	0.0045806	0.0247382	0.6823073	1.0264108	0.0959641	0.8982653	0.9118909	0.3882558	1.0048094	0.2475811	0.1930440	0.0042684	0.0525740	0.9294936	1.0143734	0.9708211	0.8622686	0.9834086	0.2957871	0.9955809	0.5230859	0.4285398	0.6568205	1.0611014	0.0075045	0.5408672	0.7958731	0.0418215	0.9220429	0.8139454	0.0135517	0.2637224	0.0211924	0.9638042	1.0093708	0.0842607	1.0126094	0.9725161	0.0235436	0.0718015
0.3538886	1.0732755	0.9641088	0.6098002	0.7609703	0.9217385	1.0269689	0.2316026	0.6023820	0.8326795	0.3805493	0.8835586	0.9026846	0.9533272	0.8568688	0.5430470	0.0162013	1.0367144	0.6318209	1.0164710	0.9501937	0.9780839	1.1008643	0.0829352	0.0749172	0.9690777	0.0045294	0.5127039	0.5212800	0.5779646	0.3787729	0.4223116	0.1224706	0.5376350	1.0073905	0.6012550	0.4395466	0.0645791	0.5289797	0.4979707	0.0851555	0.4481993	0.0000000	1.0057129	0.0601701	0.4636469	0.0097079	0.0504207	0.6156773	0.0106904	0.7747199	0.7086348	0.0417659	0.2999620	0.6697102	0.5513689	0.0483287	0.6381234	1.0236035	0.8581980	0.0345053	0.1203029	0.4877419	0.0000000	0.0000468	0.9664673	0.5025156	0.8008381	1.0159404	0.4313483	0.1825623	0.0178104	0.1558474	0.0173596	1.0169219	0.0323507	0.9769098	0.9842855	0.3027097	0.0330031	0.5636919	0.3874418	0.1532225	1.0079389	0.0129760	0.0511163	0.7750743	0.0307523	0.1006148	0.5634299	0.0159672	0.1763398	0.0352462	1.0180317	0.0472201	0.0389580	1.0068980	0.9835458	0.0142578	0.0743290
0.2904315	1.0473525	0.9985962	0.6251067	0.8748940	0.8954292	0.9719389	0.2088277	0.6902826	0.8979881	0.4324697	0.9677132	0.9289611	1.0196088	0.9595504	0.4372888	0.0287715	0.9183872	0.5860112	0.9480018	1.0971172	0.9452352	1.0471916	0.0879232	0.0652536	1.0375837	0.0050170	0.4508622	0.5155617	0.5162320	0.3114569	0.4782322	0.0832358	0.5694524	1.0132785	0.6778881	0.4151914	0.0793127	0.4819737	0.4304203	0.0790361	0.0480671	0.0690294	0.0000000	0.0502353	0.0501214	0.0173126	0.0541249	0.0199281	0.0152358	0.0064208	0.3033549	0.0865524	0.0594706	0.3436621	0.1692884	0.0819116	0.0518058	1.0572465	0.6638141	0.0305340	0.5818364	0.4765333	0.0000000	0.4712202	0.9836324	0.5236592	0.7208429	1.0381107	0.4417464	0.6815266	0.2364909	0.2923587	0.0196505	0.9803437	0.0345559	0.9515969	0.9629007	0.3320741	0.0530827	0.5248420	0.4050721	0.1374911	1.0826534	0.0111471	0.0453689	0.8325408	0.0402207	0.1137113	0.6526530	0.0087393	0.1961852	0.0308008	0.9600864	0.0579805	0.0466692	0.8070849	1.0592291	0.1644930	0.0590400
0.3082785	0.9554276	1.0529058	0.5681591	0.6974251	0.9084964	0.9823184	0.2460384	0.7248920	0.8752043	0.4650165	0.8785949	0.9294783	0.9380927	0.9820931	0.5601612	0.0275368	1.0050297	0.6084214	0.9801408	1.0538464	0.9877163	0.9876460	0.1256037	0.0869390	0.9673369	0.0071717	0.5529358	0.5415183	0.6472637	0.3341355	0.4342035	0.0943462	0.5594936	0.9420562	0.5544302	0.4520078	0.0559326	0.6250874	0.4868315	0.0648260	0.5303224	1.0082365	1.0574363	0.9697905	0.6903271	0.6586518	1.0587377	1.0237914	0.4840389	0.9161537	1.0633656	0.6309546	0.9136078	1.0050857	0.7565861	0.5611983	0.9460646	0.9799418	0.7623380	0.0295274	0.0198428	0.4685312	0.0000000	0.0012026	0.0000000	0.1654212	0.6699267	1.0411993	0.7325988	0.1573914	0.0013637	0.0577393	0.0239849	0.9725033	0.0286875	1.0143370	1.0388726	0.3091510	0.0443841	0.6035145	0.3586326	0.1211320	0.9589427	0.0036646	0.0289831	0.8308401	0.0368404	0.1444478	0.5449172	0.0136024	0.1724771	0.0294291	0.9781266	0.0836361	0.0634184	0.9562908	1.0471303	0.0266408	0.0618898
0.3280369	1.0692362	0.9791932	0.6221649	0.7737750	0.8277430	1.0334851	0.2466488	0.5966443	0.8063347	0.4468468	0.9234500	0.9046438	0.9957242	0.9018513	0.3652140	0.0662377	1.0351404	0.6760693	0.9834656	1.0405353	0.9134698	1.0519828	0.1478365	0.0642395	0.9577259	0.0083231	0.6233324	0.6012494	0.7766412	0.3561195	0.5015682	0.1540830	0.5175524	1.0500302	0.3338900	0.5009197	0.0727185	0.0027970	0.5752188	0.0899359	0.4978351	0.8805539	0.9803281	0.9435600	0.6725111	0.6790252	0.9912631	0.9399886	0.4397759	0.7580872	1.0222928	0.6521744	0.8817440	0.9953246	0.7845556	0.5871860	0.8448036	1.0037991	0.5732327	0.7116688	0.1504625	1.0162890	1.0044655	0.2513782	0.0000000	0.1938634	0.2145884	0.0000000	0.7942899	0.4786214	0.1194576	0.3340328	0.0133306	0.9580381	0.9489288	0.0144346	0.0224006	1.0065589	1.0703642	0.0589838	1.0189314	0.6094886	0.0074188	1.0400144	0.0333103	0.0295153	1.0049455	0.1059122	0.9597674	1.0958158	0.9590884	0.9654593	0.9850638	0.9728370	0.9711181	1.0684455	0.1019509	0.0381443	1.0557553
0.3871000	0.9606560	1.0151479	0.6466876	0.7819299	0.9576136	1.0174652	0.2405741	0.6329432	0.7903892	0.4155169	0.8802898	0.8954996	0.9134877	0.8654399	0.3931756	0.0318230	1.0728756	0.6227089	1.0071151	1.0677134	1.0828853	1.0315754	0.1174846	0.0920540	1.0468701	0.0017286	0.4895657	0.5005180	0.6831451	0.3376223	0.3855214	0.1403191	0.6304629	1.0116002	0.6578014	0.4231459	0.0784798	0.6098883	0.4774840	0.1124181	0.4819991	0.0000000	0.9487700	0.0332311	0.4933922	0.0099730	0.0497992	0.5890426	0.0187456	0.7268117	0.7435879	0.0490439	0.3632449	0.7141724	0.5982078	0.0843140	0.7347622	0.9994835	0.3101460	0.1429795	0.4079969	0.8732930	0.9557848	0.2744472	0.0000000	0.1839312	0.2138348	1.0151576	0.5236100	0.5113911	0.2339668	0.3186486	0.9828361	1.0381770	0.9225153	0.9040611	1.0410220	0.2601953	1.0044576	0.5427819	0.3845093	0.6483806	0.8957537	0.0153111	0.0459295	0.8177430	0.0695123	0.1486250	0.9562141	0.0060703	0.1868684	0.0294305	0.9924403	1.0021064	0.0749326	0.9522438	1.0065333	0.0507580	0.0751035
