"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.3301819	1.1257083	1.0595759	0.6714325	0.8464754	1.0203893	1.0070977	0.2476517	0.5713544	0.8199997	0.4341474	0.9181530	1.0268498	1.0420941	0.9655817	0.3560325	0.0337613	0.9916489	0.5784876	0.9327619	1.0918939	0.9597141	0.9288638	0.0834934	0.0985492	0.9996864	0.0068534	0.5423465	0.5736859	0.7092382	0.3413985	0.4282729	0.0858200	0.6593208	1.0477739	0.5597017	0.5504859	0.0395538	0.5357186	0.5463518	0.0692878	0.5027498	0.9305767	0.9765667	0.8658698	0.6665123	0.5677078	0.9395243	0.9864229	0.4517329	0.9294986	0.9775675	0.6483899	0.9706770	0.9488993	0.7213455	0.5758554	0.9053494	1.0277721	0.5993343	0.0017649	0.0156710	0.6278242	1.0141389	0.0570345	1.0082929	0.4647576	0.2093025	1.0667875	0.1819927	0.2032161	0.0075476	0.0532985	1.1400713	1.0455939	0.9017137	0.9399247	0.9773058	0.2849242	1.0250398	0.5637644	0.3859572	0.6170418	0.9414671	0.0162038	0.0524498	0.8777630	0.0383461	0.1308407	0.8553513	0.0339363	0.2000230	0.0275264	1.0098202	0.9194495	0.0627723	0.9071313	0.9555848	0.0268107	0.0675242
50	0.3316922	1.0808056	0.9529392	0.7061479	0.7612147	0.9248293	1.0549483	0.2213413	0.6363733	0.8657191	0.5245805	0.8595707	0.9569653	1.0549511	0.8896684	0.5091938	0.2618298	0.9495920	0.5082827	0.7347374	0.9792065	0.9388724	1.0627245	0.0866822	0.0323372	0.9635026	0.0103513	0.4463174	0.4347414	0.4566476	0.3257573	0.4407726	0.1449103	0.6509582	0.9417658	0.7680584	0.4910519	0.0405126	0.5654582	0.4706016	0.0693219	0.5394372	0.8360861	0.8886888	0.9245976	0.6993108	0.6124683	1.0438095	0.9747196	0.3952991	0.9124865	1.0378800	0.5719274	0.9650704	0.9493347	0.8439525	0.5214669	0.7791801	0.9432744	0.5179301	0.0020741	0.0148008	0.5938208	0.5141714	0.0849452	0.8728566	0.5471432	0.2942497	0.9767227	0.2666708	0.1051669	0.0054220	0.0207371	1.0857916	1.0801606	1.0357400	0.8951584	0.9843822	0.3317683	1.0875610	0.5348625	0.3756590	0.6053387	0.9429185	0.0180352	0.0223328	0.7497699	0.0370485	0.1301048	0.8504254	0.0104867	0.1151526	0.0204325	0.9635167	0.9898881	0.0551822	0.9114437	1.0201114	0.0504349	0.0410786
100	0.4098764	0.9817167	1.0587946	0.7176202	0.7474671	0.8995032	1.0800775	0.2159940	0.6272442	0.8481071	0.4362179	0.8096594	0.9823543	1.0726930	0.8593935	0.5136069	0.5807220	1.0540109	0.4530715	0.4037068	1.0390022	0.9364079	0.9281568	0.0979220	0.0336385	0.9863574	0.0103475	0.4071654	0.4916392	0.3980613	0.3378723	0.3954476	0.1148924	0.6048492	0.9309893	0.9208845	0.4123593	0.0128186	0.5407018	0.4669318	0.0625994	0.6156818	0.8915657	0.7849586	0.7925045	0.5906159	0.5187329	1.0330211	0.9145757	0.3995958	0.8227444	1.0277297	0.6724797	1.0249399	0.9403497	0.7756536	0.5887597	0.9006099	1.1076889	0.6024632	0.0026705	0.0005574	0.5137913	0.3397474	0.0619794	0.7137645	0.5283520	0.6656054	0.9854170	0.2861810	0.1013693	0.0054162	0.0468295	1.0006895	0.9097006	0.7843815	0.8434575	0.9144888	0.3312049	1.0342794	0.4920118	0.4241342	0.4697321	0.9876715	0.0092442	0.0305076	0.7672671	0.0395492	0.1161467	0.7408179	0.0018927	0.1024563	0.0222048	1.0516592	1.0143634	0.0755966	0.9982839	1.0428315	0.0512668	0.0213897
150	0.3622421	1.0679011	1.0156748	0.6512234	0.7988923	0.8577991	1.1506258	0.1881952	0.6072951	0.8328928	0.4294736	0.9007880	0.9741337	1.0493237	0.9647154	0.4703927	0.8882936	1.0834051	0.4529950	0.2159929	0.9373784	1.0208455	1.0641804	0.1209165	0.0212719	1.0781208	0.0126032	0.3226111	0.5155788	0.4480963	0.3561451	0.3968208	0.0715243	0.5776617	0.9917620	0.9739492	0.4142388	0.0027742	0.5422878	0.4881032	0.1166887	0.6992101	0.9476691	0.6946224	0.7747954	0.5642130	0.5026766	1.0071939	0.9082279	0.3082912	0.8651818	0.9363810	0.7915574	0.9275626	0.9213618	0.7905005	0.5188968	0.9846017	1.1408996	0.7116136	0.0153608	0.0052365	0.4563784	0.3297273	0.0473620	0.7529209	0.5454628	0.6744886	1.0064791	0.3682397	0.0619657	0.0036417	0.0654503	1.0681932	0.9589409	0.3301154	0.9013102	0.9697831	0.2666484	0.9569388	0.5000094	0.5119237	0.3363581	1.0790422	0.0152627	0.0447814	0.6956750	0.0239074	0.1037736	0.5448251	0.0008924	0.1078815	0.0082053	1.0198929	0.9761051	0.0701084	1.0446956	0.9108345	0.0357709	0.0088232
200	0.3264784	1.0110594	0.9826674	0.7098642	0.7135843	0.9195743	1.0450616	0.2055257	0.6135831	0.8372419	0.4683043	0.9901180	0.9456304	1.0532557	0.9059729	0.4090578	1.0245176	0.9684135	0.4659099	0.1444981	1.0360569	1.0308641	1.0429721	0.0953953	0.0161779	1.0431402	0.0033218	0.2414314	0.5244111	0.3268065	0.3385196	0.4538303	0.0932177	0.6420240	1.0206667	1.0063701	0.4173570	0.0033083	0.4587122	0.4627192	0.0918418	0.6525901	0.9182466	0.6774411	0.8732839	0.6196596	0.4327733	0.9628625	0.9944336	0.2601867	0.7479119	0.9062068	0.8248088	0.9793500	1.0283534	0.7203633	0.5123741	1.0094666	1.0798832	0.7738251	0.0085032	0.0018482	0.4115240	0.3419245	0.0401331	0.6911119	0.4858055	0.7170992	1.0731006	0.3581947	0.0672251	0.0055556	0.0706023	0.9892611	1.0273771	0.2304329	1.0232041	1.0215171	0.2911155	0.9466913	0.5438604	0.4207788	0.2308865	1.0337142	0.0203479	0.0209554	0.8373048	0.0326211	0.1044610	0.6183275	0.0015551	0.0833692	0.0192861	0.9453455	0.9792967	0.0766407	1.0170455	0.9649530	0.0222380	0.0066783
250	0.3167360	1.0029076	1.0547358	0.7357890	0.7277462	0.9452336	1.0481882	0.2083119	0.6352899	0.7808727	0.3943113	0.9688037	0.8470882	0.9921476	0.8174167	0.4246133	0.9900518	1.0901592	0.4232251	0.0748792	1.1018586	1.0692441	0.8870418	0.0964976	0.0154092	1.0683142	0.0047470	0.1776331	0.4657444	0.2847037	0.3151880	0.4167139	0.0970326	0.7474071	0.9580501	0.9452365	0.4136996	0.0010865	0.4327117	0.4785414	0.0948706	0.7125499	0.9438259	0.5484550	0.7669573	0.4959232	0.4282920	0.8881472	0.9399665	0.2122350	0.7895180	0.9923553	0.7688807	0.8575087	0.9259161	0.6173765	0.5818017	1.0593417	0.9484135	0.8230711	0.0069738	0.0038988	0.5335050	0.4278774	0.0570842	0.6599657	0.4403909	0.6872516	1.0630500	0.3276124	0.0372215	0.0170165	0.0519537	1.0495610	1.0091581	0.2327227	0.9587621	0.8963221	0.2666226	0.9562095	0.5940757	0.3792338	0.2369357	0.9970670	0.0157407	0.0374809	0.8190297	0.0521938	0.1044079	0.5756272	0.0025820	0.0789787	0.0230669	0.9826803	0.9338799	0.0752587	1.0270284	0.9440446	0.0250153	0.0083954
300	0.3009127	1.0966236	1.0914035	0.7140323	0.7267592	0.9280672	1.1135620	0.2395157	0.6023434	0.8049944	0.4603823	0.9580513	0.8136925	0.9788263	0.8503823	0.3815633	0.8941136	1.1580128	0.3961949	0.0354442	0.9583949	1.0671406	0.9791894	0.1135065	0.0037120	0.8957289	0.0166969	0.2577429	0.4840122	0.3064849	0.2962465	0.3593467	0.0996658	0.7718408	0.9247916	0.9646314	0.4268481	0.0008669	0.4519688	0.5251658	0.0876134	0.6078267	0.9411770	0.5742755	0.7611818	0.4905359	0.4007427	0.9065387	0.9763879	0.1559210	0.7272653	0.9753126	0.8092945	0.8923209	0.9427576	0.5596167	0.5316261	1.0102542	1.1545739	0.7270191	0.0137344	0.0014388	0.5200216	0.2540439	0.0902983	0.6833218	0.3328669	0.6193828	1.0583118	0.3762915	0.0605009	0.0062920	0.0644345	1.0868708	0.9181879	0.2372010	0.8366534	0.9920315	0.2917591	0.8958727	0.5686258	0.3484583	0.2293866	1.0069581	0.0140411	0.0208492	0.7143667	0.0198126	0.1344275	0.6198319	0.0015790	0.0705049	0.0308344	1.0067282	0.9425364	0.0624366	1.1409093	0.9704347	0.0251556	0.0044720
350	0.2742704	1.1356641	1.0411106	0.6320260	0.8960061	0.9658206	1.0582715	0.2057653	0.5704135	0.9045390	0.5339246	0.9455567	0.8619523	1.0276300	0.8888465	0.3540041	0.9667499	0.9994639	0.4103202	0.0557624	0.9943770	1.0337166	1.0231347	0.1075734	0.0012439	1.0350851	0.0098940	0.2950595	0.4765565	0.2532284	0.3079527	0.3680448	0.0875748	0.6557747	1.1134261	0.8669581	0.3802418	0.0000000	0.4942565	0.4483209	0.0678155	0.5861234	0.8530705	0.5873406	0.7546073	0.4302902	0.3910894	1.0533285	0.9495114	0.1585536	0.7504628	0.8649444	0.9192746	0.8065649	0.9516683	0.5608738	0.5381842	1.0052015	0.9332236	0.7221429	0.0135876	0.0015264	0.4999450	0.2682314	0.0511687	0.7508050	0.3376821	0.6461633	1.0221200	0.3888120	0.0507912	0.0150847	0.0565136	1.0832400	0.9219198	0.1874318	0.8251738	1.0168756	0.2946791	0.9110628	0.6467977	0.3255048	0.1772143	0.9815979	0.0138369	0.0558625	0.8462468	0.0255189	0.1246615	0.6552201	0.0041313	0.0872147	0.0239982	1.0280868	0.9635733	0.0423257	1.0745478	1.0537958	0.0219088	0.0020107
400	0.2827219	1.0804565	1.0444204	0.5933152	0.7749752	0.9403986	0.9387888	0.2264283	0.6561750	0.8823641	0.4775655	0.9375484	0.9126968	0.8498006	0.9695889	0.3938144	1.0210378	1.0799601	0.4852941	0.0527778	1.0020844	1.0094712	0.9592610	0.0689413	0.0153550	0.9078591	0.0204158	0.2869913	0.4360272	0.2784208	0.3115187	0.3988720	0.0914481	0.6363116	1.0238132	0.9541060	0.4399874	0.0098926	0.5530654	0.4302027	0.0891830	0.6521468	0.8384976	0.6498765	0.7192412	0.4345257	0.3453587	0.9820716	0.9731810	0.1862910	0.7203546	1.0430237	0.8789398	0.8272358	1.0036121	0.5338351	0.5165465	1.0176643	0.9042909	0.9359464	0.0062562	0.0003788	0.4345147	0.2923588	0.0575703	0.7411848	0.3627303	0.7350742	1.0285984	0.3511426	0.0535057	0.0106675	0.0615910	1.0686020	1.0968913	0.1047906	0.8547308	1.0162071	0.3529090	0.8847236	0.6109711	0.3469570	0.1353623	0.9826257	0.0070465	0.0681959	0.7564054	0.0440621	0.1072796	0.5663455	0.0001884	0.0911468	0.0309792	1.0841258	0.8028304	0.0149251	0.9523336	1.0208190	0.0210766	0.0002242
