G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.6191319	0.6516959	0.3595017	0.5228647	0.6654172	0.5754715	0.1431109	0.4668301	0.5831172	0.2435189	0.6043544	0.6166879	0.6108532	0.4787396	0.3580637	0.0107758	0.5704289	0.3892796	0.6453866	0.7280906	0.5925010	0.6404833	0.0945967	0.0603176	0.5832603	0.0167864	0.3830191	0.3826371	0.3142003	0.2046568	0.3218814	0.0409876	0.3610341	0.7039731	0.3877202	0.3190013	0.0247706	0.3797912	0.2903316	0.0574526	0.2442027	0.6105951	0.7497856	0.5550968	0.3819627	0.3542770	0.5344611	0.6070413	0.2819367	0.6575385	0.6960500	0.2760476	0.5717930	0.6887284	0.6051383	0.4617950	0.5631416	0.6698835	0.4685580	0.0007388	0.0081020	0.4628174	0.6865329	0.0594722	0.7075813	0.5107754	0.1067199	0.6893276	0.1421881	0.1103462	0.0077078	0.0316671	0.5786044	0.5752288	0.6566822	0.6104529	0.6427922	0.2051289	0.7178609	0.4312005	0.3892270	0.3808466	0.6670693	0.0119288	0.0169307	0.5159093	0.0305014	0.1050960	0.5638054	0.0321461	0.1243362	0.0107776	0.5788846	0.7100741	0.0337836	0.5725977	0.6932187	0.0197802	0.0403793
0.0002172	0.0000000	0.7411385	0.0707048	0.0336095	0.0268079	0.6022465	0.0454328	0.0928770	0.0551845	0.0323354	0.5506040	0.5759298	0.6246773	0.6662483	0.2730449	0.0103246	0.6047302	0.4165005	0.6241494	0.5706737	0.7493520	0.8151095	0.1066079	0.0376447	0.5983871	0.0016537	0.2956388	0.3035624	0.3696720	0.2414882	0.3099854	0.1166010	0.3767338	0.7021788	0.3957032	0.3649757	0.0320065	0.3422421	0.2681632	0.0706525	0.3095087	0.7131470	0.4976948	0.4764481	0.4584037	0.4152120	0.7391485	0.6866442	0.2936916	0.5607444	0.5193555	0.3764469	0.5852900	0.6937053	0.5007248	0.3965256	0.6058770	0.5958152	0.3123212	0.0003319	0.0100387	0.3949084	0.6222588	0.0632966	0.7038400	0.4381257	0.0911398	0.6393823	0.1145273	0.0914058	0.0038532	0.0655553	0.5698833	0.6040045	0.7081174	0.5950392	0.6141695	0.1870276	0.6371221	0.3462655	0.2496994	0.3890715	0.7380330	0.0109256	0.0157971	0.5709039	0.0317186	0.0882952	0.5573511	0.0023642	0.1772878	0.0291381	0.7943375	0.6819541	0.0466925	0.5523214	0.5866462	0.0302431	0.0476936
0.2649581	0.0301181	0.0000000	0.0379768	0.0304468	0.0102166	0.0224575	0.1177101	0.3274855	0.5650767	0.3959592	0.0257048	0.0004909	0.0230597	0.0412214	0.5707793	0.0264316	0.1690363	0.0071522	0.2557954	0.1951667	0.7820855	0.5539925	0.0588416	0.0610878	0.6380553	0.0083738	0.3312447	0.2822667	0.2276127	0.2709428	0.3478023	0.0755992	0.3506110	0.6211346	0.4289816	0.2517762	0.0373921	0.3852556	0.2876290	0.0373134	0.3628696	0.6975349	0.6099797	0.5657951	0.4779092	0.5041728	0.6383570	0.6557020	0.3676904	0.5534087	0.5631430	0.3827020	0.4875731	0.5899428	0.3979900	0.3255658	0.6457264	0.6791139	0.3547292	0.0031137	0.0115890	0.3545699	0.6900263	0.0402304	0.7158176	0.4687703	0.0983527	0.7660698	0.1124945	0.1148149	0.0003457	0.0294161	0.8084832	0.6988228	0.6288859	0.6175631	0.7244227	0.1932849	0.5722866	0.3977033	0.2390807	0.4062280	0.5776160	0.0069177	0.0292806	0.6431238	0.0522167	0.1002812	0.5289148	0.0041986	0.1602056	0.0130049	0.5819012	0.6349446	0.0246818	0.7843095	0.5903377	0.0185052	0.0603641
0.2197508	0.7192948	0.5798881	0.0000000	0.5800254	0.6263628	0.7695944	0.2056590	0.5030004	0.5343259	0.3238269	0.5233329	0.5770625	0.5885030	0.5237973	0.3494115	0.0288138	0.6392047	0.4070177	0.6683575	0.7421410	0.5645181	0.7154321	0.1039195	0.0681912	0.6014559	0.0081362	0.3869890	0.4174733	0.5014398	0.1802352	0.2829500	0.0581600	0.3445371	0.6617433	0.4114800	0.3734053	0.0348846	0.3301872	0.3099130	0.0665935	0.3933725	0.5511359	0.7746454	0.6539806	0.4174948	0.4391932	0.6787133	0.5303181	0.3677337	0.6555797	0.6652998	0.4225827	0.6095612	0.6414507	0.6358158	0.3413420	0.5555409	0.6699893	0.4146564	0.0010658	0.0150368	0.3548114	0.6996683	0.0324338	0.6255589	0.4328331	0.1805686	0.5764611	0.1366107	0.0731647	0.0039339	0.0434094	0.5917736	0.6164376	0.7528525	0.5052558	0.7816795	0.2307493	0.6801737	0.4769692	0.2142157	0.4703906	0.6797711	0.0206143	0.0159170	0.4779526	0.0666071	0.0749256	0.5170891	0.0105444	0.1381928	0.0108022	0.6735549	0.8001657	0.0357404	0.5961204	0.6020493	0.0108229	0.0344820
0.2198102	0.5593329	0.7331718	0.4881633	0.0000000	0.6165850	0.6944727	0.1411783	0.4064276	0.5314248	0.3566490	0.5130529	0.5463481	0.6997637	0.5589446	0.2686643	0.0173734	0.6111307	0.4729310	0.6641899	0.5087738	0.7121952	0.6448705	0.0782402	0.0564794	0.7402932	0.0002557	0.4018321	0.4018321	0.4614446	0.3142144	0.2420882	0.0511881	0.4001206	0.6970931	0.4247238	0.2366290	0.0287343	0.2417643	0.3144435	0.0675812	0.3526106	0.6961024	0.6975763	0.5948123	0.4548152	0.4047775	0.5241047	0.6541879	0.2255011	0.5148601	0.6234019	0.4181565	0.5971593	0.5988806	0.4930269	0.3751578	0.5937551	0.6087368	0.4501255	0.0160902	0.0099694	0.3864324	0.6690636	0.0398260	0.8157132	0.3350966	0.1375253	0.6613710	0.1343372	0.1537663	0.0350895	0.0128583	0.7705041	0.7750144	0.6669174	0.5463051	0.6805963	0.1997428	0.5871487	0.4221588	0.2118979	0.3809404	0.6200791	0.0015114	0.0446513	0.5918503	0.0147575	0.0410957	0.6523031	0.0013452	0.0780765	0.0233203	0.7003518	0.6399606	0.0307400	0.7112565	0.6451761	0.0197855	0.0501178
0.2317992	0.6880679	0.6083351	0.4026668	0.5629023	0.0000000	0.6478098	0.1892010	0.3295213	0.4406982	0.3090088	0.6001083	0.4853669	0.6369050	0.5143909	0.2971034	0.0158549	0.5717372	0.3937759	0.7139102	0.6070046	0.6956180	0.6513658	0.0564851	0.0222352	0.7533603	0.0063843	0.4127217	0.2834674	0.3913029	0.2986704	0.2729522	0.0980770	0.4209818	0.6989928	0.3778522	0.3245982	0.0491615	0.3866849	0.2919111	0.0692631	0.2887125	0.6682159	0.6457449	0.5605380	0.4743160	0.4867070	0.5571174	0.6840925	0.2745644	0.6004178	0.6077877	0.3084100	0.6340072	0.6567807	0.4561040	0.4145107	0.6796110	0.6498722	0.3478837	0.0013883	0.0124939	0.3469975	0.5808024	0.0357569	0.7734111	0.3780053	0.1688896	0.6403491	0.2099414	0.1416120	0.0098432	0.0508420	0.7922707	0.5773589	0.5942189	0.6006026	0.6627984	0.1858265	0.7122687	0.4931048	0.2254773	0.3880987	0.7346844	0.0047879	0.0345404	0.5420038	0.0298161	0.1077856	0.5135320	0.0182292	0.1606624	0.0238428	0.6598052	0.6146797	0.0491510	0.6394736	0.7506635	0.0194590	0.0412866
0.2343929	0.6517754	0.6101326	0.3848172	0.6756897	0.5647735	0.0000000	0.1198830	0.4135897	0.4909044	0.2167614	0.5652027	0.6136006	0.6082564	0.6222562	0.3380816	0.0185485	0.5934971	0.3816741	0.6575384	0.6752888	0.6942647	0.6571131	0.1060325	0.0590379	0.5921180	0.0209886	0.3226337	0.2797325	0.4671972	0.2607490	0.2296297	0.1309471	0.3977747	0.7572384	0.4002124	0.3060524	0.0338770	0.2440089	0.3669445	0.0693050	0.3009885	0.6155878	0.6190654	0.5137368	0.3743770	0.4097596	0.5894560	0.5938029	0.2686803	0.6143214	0.6606325	0.4512130	0.7209516	0.7743861	0.4734455	0.3987460	0.6919018	0.8002426	0.5035221	0.0053276	0.0042307	0.3974882	0.6641980	0.0692547	0.6408227	0.3377291	0.1393312	0.5215857	0.1620161	0.1473684	0.0334074	0.0271930	0.7111499	0.7860011	0.7714969	0.5385249	0.6115375	0.2710614	0.6106706	0.3395738	0.2162693	0.3863170	0.6826954	0.0106916	0.0232799	0.4399952	0.0301980	0.0808331	0.6567071	0.0497428	0.1465986	0.0100471	0.6436495	0.6317872	0.0895420	0.6691436	0.6032424	0.0254231	0.0210431
0.2382887	0.5272833	0.6599420	0.4351493	0.4412755	0.6903935	0.7381359	0.0000000	0.4391231	0.6397146	0.2375564	0.7206097	0.5980024	0.7013598	0.4991745	0.2763443	0.0132617	0.7412979	0.3461261	0.5856227	0.6662486	0.7045645	0.6236944	0.0607884	0.0522973	0.5544238	0.0107817	0.3308570	0.2990170	0.3230592	0.2118863	0.2331685	0.0771130	0.3723704	0.6669556	0.4588162	0.3371876	0.0387170	0.4116955	0.2761524	0.0855376	0.3648132	0.6406266	0.7239935	0.5764749	0.4192620	0.4957297	0.6497912	0.5705030	0.3587996	0.6423533	0.6244924	0.3424384	0.7698497	0.5860275	0.5645360	0.3911459	0.5773561	0.7300119	0.3591616	0.0038606	0.0132404	0.3734741	0.6659621	0.0423799	0.6379351	0.4996985	0.1687203	0.5570457	0.1315641	0.0858203	0.0066012	0.0659268	0.7438750	0.6787088	0.6778738	0.6760778	0.5882105	0.2055584	0.6769211	0.3550177	0.2963764	0.4931019	0.6058074	0.0110087	0.0278525	0.4623683	0.0205014	0.0485527	0.5599351	0.0056692	0.1257643	0.0145573	0.6719223	0.5283985	0.0321664	0.6525772	0.7573400	0.0263251	0.0631885
0.1888905	0.8087569	0.6969262	0.3736983	0.4156676	0.6169580	0.5942938	0.1169112	0.0000000	0.5204999	0.3911285	0.5814603	0.6529588	0.7077837	0.6127919	0.2967515	0.0131935	0.7200078	0.4589143	0.5217897	0.6098909	0.6801325	0.6338863	0.0721752	0.0260964	0.5927570	0.0008273	0.3541691	0.2723737	0.2667185	0.2369095	0.2358829	0.0657987	0.3280821	0.7033337	0.4451205	0.3480335	0.0364163	0.2776749	0.2503301	0.0605675	0.3470640	0.6274929	0.6366693	0.7240002	0.4826276	0.4951937	0.6911331	0.6772778	0.2426633	0.6924899	0.6913992	0.2929359	0.5844254	0.6890809	0.4716254	0.3843596	0.5924042	0.6456384	0.4136252	0.0067855	0.0090411	0.3786166	0.6234359	0.0658371	0.7079171	0.3900017	0.1363746	0.6681719	0.1244482	0.0912496	0.0050695	0.0330631	0.7144207	0.6436809	0.6951089	0.6129190	0.5925255	0.1995790	0.5370964	0.3967645	0.2408322	0.4581143	0.6630932	0.0166062	0.0402141	0.5428286	0.0128722	0.0769077	0.5992007	0.0133909	0.1840228	0.0395665	0.6241283	0.6427956	0.0466171	0.6110577	0.5984506	0.0102741	0.0560926
0.2053835	0.6723700	0.7421145	0.4326619	0.5460707	0.6188897	0.7049983	0.1577088	0.4119747	0.0000000	0.2832807	0.5331423	0.5526817	0.5781852	0.5736208	0.3920998	0.0491140	0.5707166	0.3289641	0.5700735	0.7203412	0.5983223	0.6326378	0.0546344	0.0336920	0.7370617	0.0055847	0.2931488	0.2352037	0.2338292	0.3155570	0.2563411	0.0824644	0.4295277	0.5570887	0.4278832	0.2563737	0.0253238	0.4234713	0.2590916	0.0547344	0.4263045	0.6227121	0.6042924	0.5702934	0.4532552	0.4919108	0.7025823	0.5358258	0.3541050	0.5562942	0.6864924	0.3750759	0.5803837	0.7307434	0.5707018	0.3847367	0.6006854	0.7260133	0.3674732	0.0114262	0.0183262	0.3508678	0.6253863	0.0589143	0.6281236	0.3678443	0.0843068	0.5817850	0.1071665	0.1313929	0.0135172	0.0194622	0.7893015	0.7550235	0.6498893	0.6249411	0.8835635	0.1778943	0.7542348	0.2585243	0.3336500	0.4350787	0.6090726	0.0197494	0.0380832	0.4556635	0.0141064	0.0531060	0.5397390	0.0023776	0.1985522	0.0235632	0.6893841	0.6085645	0.0500743	0.6573115	0.6875027	0.0173238	0.0299723
