G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.2501230	0.7186635	0.1655636	0.1300250	0.3184472	0.2979728	0.0065301	0.1386279	0.8621934	0.6494304	1.0012425	0.5784078	0.0760076	0.0483853	0.4813262	0.1976522	0.0012351	0.0502593	0.9349300	0.0905878	0.7715612	0.9994232	0.6773383	0.2078218	0.1449034	0.5291920	0.5044411	0.3357922	0.8576974	0.2800757	0.0548484	0.2946695	0.4255997	0.5796680	0.6562785	0.9865872	0.0061677	0.9729118	0.1294401	0.0747044	0.7357059	0.9413910	1.0840863	0.0027151	0.9003114	0.5657399	0.4920955	0.9679146	0.7776470	0.8001469	0.4994631	0.8000182	1.0231886	1.0055347	0.0004484	0.1172032	0.6715853	1.0603168	0.7606461	0.4091265	1.0586073	0.7157327	0.9781350	1.0560128	0.2480930	0.7767536	0.8994387	0.9954104	1.0347750	0.8017876	1.1005406	0.1915872	0.6276216	0.9494802	1.0098739	0.9757905	0.7423411	0.4423874	0.6466684	0.3546844	0.8947887	0.9913954	0.4153943	0.6089915	1.0137677	0.5180060	0.0860137	0.8577578	0.5790401	0.8062719	0.3700331	0.8366587	1.0155052	0.0241521	0.1853637	0.0962235	0.0525206	0.4137771	0.1826886	0.3842360
0.2130597	0.9295379	0.1681256	0.0894130	0.1934403	0.2548161	0.0167300	0.1749386	0.9843440	0.4331391	0.9063176	0.2723378	0.0003481	0.0345546	0.3922842	0.2222399	0.0163244	0.0137587	1.0343580	0.0423452	1.0353939	0.9507338	0.7780144	0.2606877	0.1175575	0.5228517	0.4508667	0.3665218	0.9395854	0.1592818	0.2214203	0.3011539	0.5186463	0.5780401	0.9822418	0.6066535	0.0209703	0.7559815	0.4342751	0.7189741	0.7071100	1.0238345	0.6566274	0.3672705	0.9926258	0.4908644	0.8515077	1.0096236	0.7650461	0.7523088	0.5641818	0.7667454	0.9930462	1.0152632	0.0233002	1.0667364	0.7987202	1.0335645	0.9131756	0.4049866	0.7287315	0.9363780	0.9805652	1.0169213	0.2115687	0.7823361	0.8165262	0.9614945	1.1109089	0.8427174	1.0182592	0.7409384	0.6136671	0.7896948	0.9694394	0.9908670	0.4586893	0.7525202	0.7931928	0.4899370	0.9365130	0.9599052	0.1351438	0.6570697	0.9083483	0.2844476	0.7075849	0.9040939	0.5952950	0.9024618	0.5656388	0.3595823	1.0109068	0.0203342	0.1109926	0.0781835	0.0510182	0.4394963	0.2493480	0.4677923
0.2022905	0.9450193	0.1961556	0.0794766	0.2240917	0.1721091	0.0154801	0.1225795	1.0438561	0.4371275	0.9652853	0.2643976	0.0475121	0.0249787	0.1697745	0.3350351	0.0020091	0.0220764	0.8966751	0.0467075	0.8514904	0.7490554	0.6104473	0.3637149	0.1269855	0.6420321	0.3591491	0.4614107	0.9537705	0.3535939	0.1661923	0.0550667	0.1442582	0.2319787	0.5904956	0.9786278	0.0865522	0.8485042	0.0670923	0.0682859	0.4915688	0.7390925	0.6638977	0.4451786	0.9072956	0.4681439	0.4100246	0.7142171	0.9326569	0.5533429	0.4463715	0.6646623	0.9247593	1.0258894	0.0019432	0.0409506	0.7531593	0.9675373	0.8358850	0.5459942	1.0907136	1.0457517	0.9076299	0.9360663	0.3796965	0.8511429	0.6950524	0.8699462	1.0124179	0.5079880	0.9583097	0.1613728	0.4502951	0.6412414	0.9232424	1.0368683	0.3748565	0.3777151	0.5821310	0.6217562	0.7072664	0.9832433	0.3629606	0.4584734	0.9107300	0.1784168	0.0296499	0.7458508	0.3043788	0.9734885	0.6789836	0.1487040	0.6526323	0.0203344	0.2412356	0.0030736	0.1196917	0.5013366	0.4245700	0.5279656
0.0614076	1.0146232	0.1726866	0.0861318	0.1663554	0.1959415	0.0095615	0.1141044	1.0053433	0.2790848	1.0784249	0.4154982	0.0031610	0.0385105	0.1917462	0.2302300	0.0012293	0.0284527	0.9493348	0.0347339	0.9957769	0.8076182	0.7390826	0.2966843	0.0767536	0.1721155	0.3173637	0.5232619	0.5356357	0.4611445	0.2413010	0.1997563	0.1552138	0.6241214	0.5766893	1.0111839	0.1671612	0.7931177	0.2675339	0.3567273	0.7210566	0.7788177	0.7204443	0.0548223	0.8814193	0.2972053	0.6773918	0.9659416	0.6770266	0.8472449	0.5251217	0.4681018	0.9791863	0.9626115	0.0003202	0.2191066	0.8791390	0.9807553	0.7548248	0.2833963	0.9433569	0.9637330	1.0278960	0.8897708	0.2714324	1.0362883	0.8350339	0.8716523	0.9591983	0.7868942	1.0569775	0.4161069	0.7674178	0.7118631	0.8044332	0.9448039	0.6597146	0.4358665	0.7583716	0.5466826	0.8686003	0.9364550	0.3806879	0.5185218	0.8646484	0.0933234	0.1743404	0.8359964	0.4782144	0.8868537	0.5413907	0.5982917	1.0334281	0.0233528	0.1145902	0.0559768	0.0692873	0.2542551	0.2319953	0.3687832
0.1893968	1.0304908	0.0003470	0.1139855	0.1925115	0.3985913	0.0034041	0.5516553	0.3771708	0.8294781	1.0186392	0.9000467	0.2693369	0.0201389	0.7090447	0.6517835	0.0599407	0.2721572	0.9803570	0.0133837	1.0548300	1.0308567	0.7138980	0.2760009	0.1905131	0.5524878	0.4352700	0.4812941	0.7223362	0.4429212	0.1500448	0.0335628	0.3681945	0.3105758	0.8518898	0.7366303	0.1465772	1.0227744	0.3019122	0.3106534	0.6942916	0.7511273	0.6455181	0.3911746	0.7161118	0.8910349	0.9893314	0.7579905	0.7407487	0.7097628	0.8537835	0.7296370	0.9243789	1.0169338	0.0116757	0.6583704	1.0115903	1.0321107	0.8796461	0.3022743	0.9075318	0.4350813	0.9170706	0.9384055	0.3156107	0.6514736	0.8377089	0.8853494	0.9245151	0.6241087	1.0654049	0.4207389	0.2595199	0.5901393	0.8851699	0.9319429	0.9288196	0.4162389	0.6509169	0.4992669	1.0014337	0.8769300	0.5449431	0.7060131	0.9152523	0.1656076	0.4127504	0.9240757	0.2661656	0.7873267	0.7250038	0.4273622	1.0091298	0.0041402	0.1325909	0.0899940	0.0069914	0.4287400	0.3053705	0.3738714
0.0790431	0.9670196	0.1899673	0.0655870	0.1639259	0.2284784	0.0016034	0.2219289	0.9490146	0.5627588	1.0650066	0.5325733	0.0602863	0.0051746	0.3472178	0.2185885	0.0071213	0.0854062	0.9385094	0.0165822	1.0353967	1.0387913	0.7385683	0.2016669	0.0161113	0.8636773	0.4395018	0.3488536	1.0158334	0.3453405	0.2615777	0.0784382	0.5539566	0.3103820	0.6821949	0.9341356	0.0115253	0.9680131	0.0833725	0.0675205	0.4933705	0.9238979	0.5737319	0.0009825	0.8646654	0.5290349	0.2958416	0.9678649	0.6536884	0.9342835	0.5004843	0.5482883	1.0004417	1.0294111	0.0413200	0.3555526	0.6405540	0.9951507	0.5311105	0.5861355	0.9050646	0.5848853	0.9867429	1.0131997	0.3230247	0.7747802	0.6074566	0.7690737	0.9807974	0.4800872	1.0714170	0.2847905	0.6545896	0.7005176	0.7685022	0.9643269	0.4675668	0.3679155	0.8444825	0.1745887	0.7554620	1.0289593	0.6691995	0.6250751	0.9729022	0.0157881	0.3828248	0.5128435	0.7605665	0.7915011	0.3478017	0.5632803	0.5617576	0.0324200	0.3608858	0.0959952	0.2320825	0.8696281	0.6764606	0.4462444
0.2203059	0.9932703	0.1571443	0.0568865	0.1523604	0.0776219	0.0176762	0.1577279	0.9034910	0.4814024	0.4878991	0.4890116	0.0035084	0.0025506	0.3666226	0.1771346	0.0009110	0.0349915	0.9669606	0.0210784	0.9517477	1.0689383	0.6496600	0.3680395	0.2108552	0.3159971	0.3359490	0.5622234	0.7150493	0.5606028	0.1170232	0.1249819	0.2206565	0.3550156	0.8160070	1.0766862	0.1228521	1.1017432	0.2860084	0.3901636	0.6319551	0.9486195	0.5880077	0.3370402	0.9278713	0.5576926	0.7654560	1.0655197	1.0465842	0.7023633	0.5039460	0.7877402	0.8274867	1.0797909	0.0692312	0.4625306	0.7074045	0.7045311	0.7864203	0.4129349	0.9846987	0.9539160	0.9917405	0.9831414	0.2663917	0.7873694	0.8078623	0.8128949	1.0541773	0.8577258	1.0779068	0.4765500	0.7009718	0.7006392	1.0661621	1.0468085	0.6174822	0.5513857	0.7987136	0.3006197	0.8814142	0.9608546	0.4080732	0.7619275	0.9410608	0.2841354	0.4351528	0.8011159	0.5545662	0.8215872	0.3764966	0.2495592	0.6409600	0.0436199	0.1759149	0.0922923	0.1256500	0.8499119	0.3028256	0.7434290
0.3849503	0.7538144	0.0370973	0.1541783	0.2896674	0.2594217	0.0112581	0.1746502	0.9485604	0.3183569	1.0515330	0.4151588	0.0002797	0.0390736	0.1771447	0.3768613	0.0001340	0.0681857	0.9810610	0.0687039	1.0246362	0.9580401	0.7889513	0.3174673	0.0540182	0.4017687	0.2726877	0.4735559	0.9417433	0.3148261	0.1846995	0.2180115	0.2961776	0.2411690	0.5482044	1.0227103	0.0074656	0.9834964	0.0732839	0.0167879	0.0713828	0.6559286	0.6258985	0.0000098	0.4550869	0.2500955	0.1038728	1.0129258	0.9417876	0.2381639	0.0009771	0.4383008	0.7259537	1.0016759	0.0304585	0.0775100	0.1806849	0.5669351	0.0441522	0.0005111	0.9942451	1.1134172	0.9434075	0.9516422	0.3670754	0.9412116	0.1820581	0.2281943	0.9963557	0.0043643	0.9804324	0.1256105	0.7527808	0.7626502	0.0022148	0.9603280	0.5302823	0.1813298	0.7076711	0.1737109	0.3973992	1.0768176	0.3570513	0.5429652	0.9199801	0.0220700	0.0155558	0.1201347	0.1516476	0.7968537	0.5450165	0.5278803	1.0399186	0.0014412	0.1936382	0.0061219	0.0085386	0.3686722	0.2539212	0.4004675
0.1678814	1.0648703	0.1619016	0.0525647	0.1394297	0.1638840	0.0135512	0.1880946	0.9906647	0.2812195	1.0658072	0.5248816	0.0554062	0.0138912	0.3737329	0.4068297	0.0001613	0.0638241	1.0557176	0.0087584	1.0596577	0.8066684	0.7564490	0.2324176	0.0764728	0.7032782	0.3895220	0.4071437	1.0066628	0.3813699	0.1473034	0.2382123	0.2679807	0.2483364	0.8398519	0.9650542	0.0781858	1.0495914	0.1534261	0.1255964	0.6093025	1.0556651	0.7150710	0.4233279	0.9489244	0.2621854	0.9662571	0.9930062	0.8658120	0.9064254	0.7028370	0.7338544	0.9263712	1.0218194	0.0000800	0.1725415	0.6462494	0.9485275	0.7258205	0.2466794	0.9448639	0.9338352	0.9620345	0.9427002	0.2583731	0.9277106	0.8774433	0.9993960	0.9916864	0.6315581	1.0222227	0.6099629	0.6863888	0.8235967	0.9717449	0.9529956	0.4765015	0.6021937	0.7335452	0.3351563	0.9329454	1.0260904	0.3975703	0.5970413	0.9508936	0.3200690	0.2621043	0.8655099	0.5229692	0.8743002	0.5246077	0.3233821	0.6500024	0.0450323	0.2680024	0.0295150	0.2156743	0.7298102	0.4997773	0.5768223
0.1731687	0.9926754	0.1532274	0.0961234	0.1949503	0.2047420	0.0017514	0.1043164	1.0580505	0.3932476	0.7102261	0.3179929	0.0170438	0.0116617	0.3838707	0.1487680	0.0001498	0.0554802	1.0112656	0.0395301	0.9513396	1.0750667	0.6273402	0.2730269	0.1150365	0.3751058	0.4308290	0.5317973	1.0498001	0.5023318	0.1605304	0.2056444	0.0820026	0.0952036	0.8913724	0.6246384	0.0158688	0.6773995	0.4452117	0.2555370	0.4874486	0.7705837	1.0150653	0.3075838	0.8587713	0.3093491	0.9805566	0.8181332	0.9556459	0.7883324	0.6088350	0.9087935	0.8164886	1.0410441	0.0057740	0.9960653	1.0153849	0.7573549	0.9118435	0.1494408	0.8555332	1.0433826	0.8327220	0.9426447	0.2884792	0.8295273	0.9034669	0.9084711	1.0142612	0.3945306	0.9831691	0.7940379	0.4191895	0.6354232	0.8673675	0.9589420	0.5028656	0.2479906	0.5631790	0.4776782	0.8254147	1.0035133	0.3348899	0.3770514	0.8959042	0.2895651	0.7271580	0.6298399	0.4876576	0.7611852	0.6710396	0.7778105	0.9068132	0.0051753	0.2036240	0.1175632	0.0260910	0.5998570	0.3578532	0.4889210
