G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	0.9678411	0.1968365	0.1074305	0.2479784	0.2921049	0.0142643	0.1882717	0.9874116	0.5163341	1.0480712	0.4850691	0.0449148	0.0378232	0.3720796	0.3951610	0.0039049	0.0757458	0.9876141	0.0201195	1.0160655	1.0398038	0.6559552	0.2732919	0.1480315	0.4444541	0.4757659	0.5731977	0.8957469	0.5632444	0.1623513	0.2459921	0.4196331	0.2209967	0.6681874	1.0518310	0.0323053	1.1040070	0.1425097	0.1529090	0.7187983	0.8914066	0.6905218	0.0553469	0.9414978	0.2853388	0.4679657	1.0052671	0.9434706	0.9100956	0.4747225	0.7395700	0.9865713	0.9157247	0.0412457	0.2033875	0.6344661	0.9368062	0.7022048	0.2633742	1.0407217	0.9448132	1.0731326	0.9651300	0.3307366	0.9563779	0.7960021	0.8763342	1.0031527	0.5759236	1.0759465	0.2719027	0.7493748	0.7551497	0.9907986	1.0692068	0.5683019	0.4010300	0.7342248	0.3370822	0.8820002	1.0831554	0.4465693	0.5983803	1.0600874	0.0839061	0.2220458	0.8223847	0.4098995	0.8185323	0.6486611	0.6306174	0.9330013	0.0193971	0.2054929	0.0681946	0.0517554	0.3588888	0.2996863	0.4361399
0.9891794	0.0000000	0.9684299	0.9757518	0.9932471	0.5598856	1.0270788	1.0487933	0.9917039	1.0310697	0.0067614	0.4624416	0.0789778	0.0499813	0.3432788	0.3819397	0.0055093	0.0825475	0.0644350	0.9085683	0.8752674	1.0096287	0.7288599	0.3261038	0.1222029	0.4008183	0.4905844	0.5946848	0.8195682	0.5350172	0.1509053	0.3061160	0.3785058	0.2224684	0.7267708	0.9478374	0.0614453	1.0612280	0.1627773	0.1542484	0.6404666	0.8581661	0.6276958	0.0343573	0.9054039	0.3495268	0.5880268	0.8889058	0.8946827	0.8103048	0.5689831	0.6612327	0.9954100	1.0513715	0.0427007	0.1394761	0.6703863	0.9071758	0.6947874	0.2495483	1.0654393	0.9610795	0.9866937	1.0097503	0.2815853	0.9013009	0.8783858	0.8989992	0.9986977	0.6831849	0.9239143	0.2733586	0.7107243	0.8408895	1.0177724	1.0193642	0.6526544	0.4804907	0.7331854	0.4459879	0.9762589	1.0404966	0.4348014	0.4850803	0.9486783	0.0671005	0.1511883	0.9190997	0.4188283	0.7813320	0.6330564	0.5393198	1.1317648	0.0183355	0.1961915	0.0890152	0.0488115	0.5358591	0.3005561	0.4481331
0.2759046	0.9979895	0.0000000	0.1249963	0.2563576	0.2002067	0.0134383	0.1919970	0.9634975	0.3701077	0.9735439	0.3849136	0.0808875	0.0186185	0.3901007	0.3028366	0.0074275	0.0720971	0.9739803	0.0219602	0.9367144	0.9710368	0.6677899	0.3154237	0.1208963	0.4767422	0.3858135	0.4819984	0.8706458	0.5308360	0.1964879	0.2050781	0.3740662	0.1407126	0.6472177	1.0498746	0.0658022	0.9840060	0.1433552	0.1219690	0.6687427	0.8738435	0.6177645	0.1039666	0.8988816	0.3462863	0.4891919	0.8754755	0.9370337	0.7731523	0.5497608	0.6730175	0.9630672	0.8883437	0.0676570	0.1624927	0.6652906	1.0090504	0.7114281	0.2589339	1.1655696	1.0281635	1.1268903	0.9596297	0.2782001	0.8390503	0.8338273	0.9067432	1.1597912	0.6116755	1.0208696	0.2442084	0.8329753	0.6874477	0.8497941	1.0820542	0.5851476	0.5303602	0.7256060	0.4249563	0.8813816	1.0916027	0.4986142	0.5365572	1.0485289	0.0629453	0.1362068	0.9189739	0.4327787	0.7948401	0.5649678	0.4933628	0.9588999	0.0149711	0.1591110	0.1026731	0.0362750	0.4021920	0.2498430	0.4545342
0.1809922	0.9531573	0.1639142	0.0000000	0.2512678	0.2155734	0.0154349	0.1532374	0.9798614	0.5734590	0.9916141	0.4539582	0.0842776	0.0235261	0.3816596	0.3482222	0.0253322	0.0887774	1.0604867	0.0343228	0.9719163	0.9576666	0.7031889	0.2878209	0.1398927	0.3893799	0.4142890	0.5913203	0.8939880	0.5645977	0.1523185	0.1944008	0.3213476	0.1346120	0.8306012	0.9092200	0.0640795	1.0440966	0.1421347	0.1203012	0.5871838	0.8321512	0.6485312	0.0970159	0.8354678	0.2970588	0.6314839	0.9197870	0.8336298	0.7384172	0.5473121	0.7396142	1.0080699	1.0130104	0.0531807	0.1424005	0.6044159	0.9447668	0.8792062	0.2956500	0.9712495	1.0584929	0.9707688	1.0553842	0.3099698	0.8402012	0.7738063	0.8670692	1.0257722	0.6744567	0.9963717	0.2498705	0.6982931	0.8845371	0.9577488	1.1221901	0.7146663	0.5375238	0.7426032	0.3403122	0.9348725	0.9640909	0.4600260	0.5354258	0.9439349	0.1128963	0.2037856	0.8349522	0.4698794	0.7505699	0.5283521	0.5206202	0.9752870	0.0326216	0.2053385	0.0721505	0.0539674	0.4004675	0.2895743	0.3657820
0.1896376	0.9509674	0.1714533	0.0952327	0.0000000	0.1945837	0.0199537	0.1739130	1.0059124	0.3808776	0.9260980	0.3695384	0.0672902	0.0469858	0.4131862	0.2964730	0.0050773	0.0531559	1.0774583	0.0387905	0.9507542	0.9970822	0.6930036	0.4001818	0.1341184	0.3714198	0.4194680	0.5499046	0.9054880	0.5481685	0.2148901	0.1959437	0.4051740	0.2529335	0.6513775	1.0483846	0.0545797	1.0049865	0.1369617	0.1149414	0.6220431	0.7783480	0.6791037	0.0704254	0.8579886	0.3242899	0.5456498	0.9272771	0.7979657	0.8057301	0.4371744	0.6188324	0.9444863	1.0358264	0.0671738	0.1498578	0.6735967	1.1794064	0.7412746	0.2350198	1.0530838	1.0691181	0.9864668	1.0512204	0.3918509	0.8646997	0.7638997	0.8972542	0.9865378	0.5897117	1.0345808	0.3441810	0.5884078	0.8466319	0.9123149	1.0619513	0.6126977	0.3429985	0.7657608	0.3936198	0.8794950	1.0480464	0.4087652	0.5786986	0.9261817	0.0649132	0.1534309	0.7884039	0.3581896	0.7936675	0.5578806	0.5745523	1.0002889	0.0199321	0.2149211	0.0671304	0.0637080	0.4489974	0.3395749	0.5040232
0.1929181	1.0694017	0.1064921	0.1124375	0.2825934	0.0000000	0.0192633	0.1175093	0.9528971	0.4364759	0.9716157	0.3617601	0.0666516	0.0167439	0.4128057	0.3733172	0.0132734	0.0896896	0.9110140	0.0207751	1.0540596	1.1351542	0.5818753	0.3274667	0.0853001	0.3851317	0.4046646	0.4811448	1.0617002	0.5069634	0.1698879	0.1981669	0.4003634	0.2368771	0.8207385	0.9718266	0.0752211	1.0132252	0.1606709	0.2054936	0.5587811	0.9076047	0.6554725	0.0801082	0.9138864	0.3886199	0.6302577	0.9787812	0.9177583	0.8729287	0.4982769	0.8077781	0.9784393	0.9956214	0.0417671	0.2227454	0.6172182	0.9466966	0.8673451	0.2882071	1.0100034	1.0176754	0.9017797	1.0505545	0.3080996	0.9120230	0.8629009	0.9278350	1.0494400	0.6918146	1.0399428	0.3478776	0.6997977	0.7062429	1.0145821	1.0178351	0.5877868	0.4980004	0.6984790	0.4066396	0.8654990	1.1609823	0.4676636	0.5958447	0.8845528	0.0779546	0.2294712	0.8794266	0.3835168	0.8876169	0.5243927	0.5433616	1.0636934	0.0071537	0.2103654	0.0911956	0.0352343	0.4375117	0.3181516	0.4420269
0.2478261	1.0799045	0.1618679	0.1018778	0.2035305	0.2513168	0.0000000	0.1373601	0.9991278	0.4828551	1.0828895	0.4405727	0.0542845	0.0193980	0.4298311	0.2887887	0.0106013	0.0649083	1.1272167	0.0258467	1.0209303	0.9713022	0.7008050	0.3195794	0.1192231	0.3367549	0.4986368	0.4608467	0.8598982	0.4898831	0.1672305	0.2381781	0.4115268	0.4074841	0.7671622	1.0220993	0.0504999	1.0170239	0.2029756	0.2395794	0.7024246	0.8691188	0.5890539	0.0581948	0.8909434	0.3508156	0.7541994	0.9779677	0.8536357	0.7874155	0.4942146	0.6560780	0.9248331	0.9720939	0.0425232	0.2537728	0.7219335	1.1264069	0.7701103	0.3704688	0.9353347	1.0581787	0.9020681	1.0200487	0.3582032	0.9129459	0.9147122	0.9242312	1.0019671	0.6515180	1.0578786	0.3164209	0.6225561	0.7482350	0.9502489	1.0547460	0.5035235	0.4052902	0.7026111	0.3843658	0.9649459	1.0316232	0.3659826	0.6154847	0.9035743	0.0785515	0.2492113	0.9494203	0.4878359	0.8427364	0.6083036	0.4714375	1.0048343	0.0174577	0.1720528	0.0889649	0.0505442	0.4416798	0.3369651	0.5460234
0.1531544	1.0176695	0.1695437	0.0916257	0.2713382	0.3241200	0.0203755	0.0000000	1.0594249	0.5275449	0.9530843	0.4513458	0.0579105	0.0437297	0.3842001	0.3380826	0.0056192	0.1004763	0.9588565	0.0231436	1.0225737	1.0055957	0.7164521	0.3150704	0.1568480	0.4817832	0.3377723	0.5504507	0.9571717	0.6055484	0.1955741	0.2301607	0.3854972	0.1916391	0.6239616	0.9831015	0.0830251	1.0998882	0.1449647	0.1300112	0.5398974	0.7108158	0.6490208	0.0594247	0.8198191	0.2770303	0.5195692	1.0723015	0.8969102	0.7116738	0.6115487	0.6651080	0.9909889	1.0637571	0.0363307	0.1575625	0.6227724	1.0522581	0.7400514	0.2633673	1.0193266	1.1098877	0.9516126	0.9415254	0.3193980	0.8365900	0.8615612	0.8676851	0.9676195	0.5793014	1.0618400	0.2388157	0.7370986	0.7313399	1.0471598	1.1575629	0.6830377	0.4223500	0.7565135	0.4460245	0.8744503	0.9406862	0.4580796	0.5526629	0.9555383	0.0589956	0.1488004	0.8935883	0.4473218	0.9018491	0.5184328	0.5782084	0.9524125	0.0146379	0.1520771	0.0649398	0.0444302	0.3862552	0.3048810	0.4086581
0.1762764	0.9178775	0.1550497	0.1096330	0.2384980	0.4867616	0.0159732	1.0482676	0.0000000	1.0080222	0.9860327	1.0732307	1.0330995	1.1268840	1.0831661	0.9955240	1.0518045	1.0044703	1.0135064	0.0412799	0.9957529	0.9767307	0.7658540	0.2901479	0.1305950	0.4334419	0.3180118	0.4752689	0.9531593	0.4859194	0.1476903	0.2218675	0.3588063	0.2127447	0.6803175	1.0185053	0.0791642	0.9562397	0.1433831	0.1554852	0.6381411	0.8001174	0.7310159	0.0633258	0.9289783	0.3587950	0.6134429	1.0076586	0.8403004	0.8528911	0.5093183	0.7583254	0.9447309	1.0034942	0.0557693	0.1655671	0.6518439	1.0224485	0.8137391	0.3570179	0.8548334	1.0562497	0.9875662	0.9713185	0.2973963	0.9218618	0.7496693	0.9181967	0.9026152	0.6823813	0.9482444	0.3585072	0.6190760	0.6899194	0.8750153	1.1261191	0.5431203	0.4715680	0.7769942	0.3913830	0.8514807	1.0109477	0.4638262	0.6483731	1.0098807	0.1226192	0.2056791	0.8929049	0.4401204	0.9348573	0.4847444	0.5149564	0.8667395	0.0296396	0.1841909	0.1068745	0.0916332	0.5277133	0.3288007	0.4727876
0.2313187	0.9345723	0.1744071	0.1193338	0.2169404	0.2375804	0.0114247	0.1911662	1.0664755	0.0000000	0.9135676	0.3848396	0.0530738	0.0358754	0.4599677	0.3823251	0.0209727	0.0650947	0.9721921	0.0291411	1.1079410	1.1067089	0.7247128	0.2527071	0.1134364	0.4705140	0.3793637	0.5800565	0.9698032	0.5180908	0.2250538	0.2380660	0.3981311	0.1482016	0.7234609	0.9983584	0.0577783	0.9740409	0.1815472	0.1847872	0.6400385	0.7703950	0.6397935	0.0660252	0.8911658	0.3393190	0.7060889	1.0334607	0.8829583	0.7702548	0.4785005	0.8361996	0.9336352	0.9385108	0.0486801	0.1642114	0.6817950	1.1222685	0.7508762	0.2500438	0.8604532	1.0614302	0.9797801	1.0473286	0.2814863	0.8747822	0.8634553	0.9075562	1.1086165	0.5882774	1.0394567	0.3125676	0.7692260	0.7709733	0.9763481	0.9959905	0.6543922	0.4503492	0.7216573	0.3969314	0.8862233	1.0047300	0.4046751	0.6476504	0.9379836	0.0921968	0.2249089	0.7550937	0.4347300	0.8694699	0.5420573	0.4341151	0.9707404	0.0245856	0.2276085	0.0875740	0.0883690	0.4232235	0.3056645	0.5462870
