G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0000000	1.0585666	0.0382847	0.0324033	0.4662562	0.6668833	0.0426800	0.3995228	0.0345093	0.0502045	1.0485472	0.0121416	0.1214847	0.5456227	0.4840907	0.4079661	0.4396939	0.0724042	0.0855441	0.9917839	0.4207838	0.1402136	0.1072252	0.2618276	0.5500864	1.0633438	1.0029825	0.9406310	1.0472084	0.3501527	0.2105095	0.8753827	0.9959622	0.3839698	0.2952044	1.0065889	0.5866060	0.0951674	1.0416511	0.5498276	0.1030208	0.8478285	0.3911531	1.0452619	0.7101225	0.5982567	0.7289973	0.6782282	0.5974525	0.4159764	0.9975904	0.3906229	0.4298169	0.9667625	0.8974368	0.8191701	1.0269168	1.0133464	1.0596152	0.0587844	0.5589399	1.0153477	0.9080339	0.0006184	0.3893323	0.3327893	0.4375661	0.9914445	0.8414138	1.0654937	0.6715779	0.9942026	0.8468174	0.9189696	1.0402507	0.9821523	0.9188100	0.9373322	0.9064373	0.8989185	0.8277795	0.9497876	0.2680423	0.9746290	0.9024841	0.4873196	1.0098826	0.0545469	0.8535088	0.9959127	0.7309994	0.7790164	1.0484059	0.7214872	0.8520365	0.6396049	0.6705979	0.6533558	1.0515590	0.4635337
0.0320531	0.0000000	0.9860034	0.9981748	1.0425839	0.1367242	1.0043991	1.0190418	0.9538352	0.9658219	0.9855879	0.9824342	0.3855770	1.1018954	1.0028169	1.0130471	0.9862389	0.9005712	1.0481765	0.9591640	1.0422770	1.1172722	1.0421431	0.5738992	0.0144208	0.0104091	1.0047863	0.6653162	0.0504218	0.1437575	0.0214282	0.8005590	1.0418232	0.0786128	0.1119222	0.9701290	0.4311911	0.1129457	1.0057111	0.4971207	0.1280624	0.8455641	0.3549271	0.9949056	0.5769429	0.5815190	0.7058362	0.6870854	0.6474797	0.3635096	0.9328831	0.3563136	0.3595722	0.9481167	0.8964339	0.8352194	1.0110668	0.9500156	1.0562907	0.1296046	0.5806245	1.0123024	1.0718515	0.1425739	0.8503538	0.8770221	0.6577014	0.9515361	0.7962157	1.0830938	0.7565296	1.0288076	0.8720836	1.0371991	1.0367014	0.8829718	0.8474340	0.8844579	0.8817882	0.8827578	0.7549670	1.1331297	0.8259405	0.9820629	0.9323541	0.5202013	1.0132686	0.4961292	0.8588935	0.9073379	0.8171665	0.8260742	1.0369567	0.8196453	0.8465712	0.6592727	0.6714065	0.7149059	1.0384426	0.5545140
0.9219395	0.9654597	0.0000000	0.0442162	0.3962033	0.6836890	0.0652983	0.4390591	0.0283490	0.0596518	1.0264603	0.0165153	0.1104338	0.3811029	0.6138567	0.3129410	0.3868106	0.0637525	0.0742829	1.0149836	0.4781594	0.2006652	0.1400768	0.2827149	0.5143952	0.9922061	1.0157313	1.0208867	1.0147158	0.2561651	0.2306137	0.9616668	0.9535119	0.4046242	0.3438133	1.0185549	0.5009352	0.1146295	0.9958431	0.4915710	0.1544942	0.9499523	0.3710909	0.9669444	0.6721572	0.5701341	0.7117916	0.6997480	0.6529890	0.3770774	1.1027153	0.3384872	0.4634849	0.9309713	0.8825201	0.7766892	0.9869876	1.1282164	0.9215785	0.0697852	0.5146627	1.0057878	1.0957135	0.0003102	0.3714946	0.2757749	0.4500238	1.0418738	0.8366454	1.0286339	0.7520361	0.9545839	0.8455047	1.0064894	1.0269858	0.9913495	0.8689529	1.0176248	0.8673946	0.9930039	0.6117798	1.0570775	0.3101537	0.9386029	0.9656912	0.4577763	0.9896733	0.0588294	0.7983744	1.0031675	0.6927059	0.7787407	1.0563198	0.6818548	0.8555790	0.6302653	0.6566641	0.6824709	0.9472902	0.5771802
0.8683612	0.9464559	0.0378368	0.0000000	0.4325973	0.7170342	0.0518322	0.4757887	0.0414644	0.0400308	0.9984407	0.0357301	0.1104028	0.4693612	0.5858888	0.3190387	0.4149816	0.0932985	0.0639959	0.9640543	0.5574022	0.2251812	0.1188326	0.2833455	0.4400756	1.0582029	1.0044910	0.9920801	0.9680106	0.2514630	0.1731239	0.8147479	1.0291734	0.3909083	0.2985165	1.0807649	0.5202958	0.1130604	1.0418145	0.4974267	0.1307345	0.8294525	0.4266869	1.0080289	0.7223542	0.6360553	0.7318193	0.6669207	0.6125153	0.3350492	1.0188165	0.2893262	0.4389252	1.0041212	0.9082852	0.7789075	1.1097447	0.9936785	1.0640651	0.1033398	0.5042714	0.9615687	1.0676623	0.0012270	0.3789802	0.2761764	0.3933497	0.9934297	0.8310517	0.9541204	0.7472530	1.0894360	0.8988859	1.0064908	0.9375719	0.8796577	0.8804097	1.0197058	0.8558248	0.9916418	0.6329314	1.0004676	0.3417839	0.9246429	0.8385567	0.4877218	0.9880810	0.0522147	0.8308581	1.0261231	0.8014696	0.7246272	1.0149029	0.7666608	0.8107942	0.5841615	0.6193576	0.7200126	0.9611445	0.5743166
0.8590526	1.0768634	0.0337665	0.0455357	0.0000000	0.7219651	0.0545147	0.4188090	0.0143527	0.0516487	1.0335694	0.0320248	0.0775199	0.3379052	0.5499569	0.2658274	0.4371606	0.0575879	0.1095925	1.0235943	0.5341754	0.1690430	0.1213832	0.2931338	0.4971963	1.0038570	1.0141637	0.9278569	1.0407975	0.2945598	0.2032735	0.8983639	0.9733254	0.3869694	0.2995753	1.0071207	0.5597507	0.0799318	1.0000773	0.4871460	0.1182846	0.9137031	0.3868992	1.0631259	0.6546887	0.5686628	0.7655146	0.6741543	0.6045676	0.4281803	1.0540506	0.4121850	0.3930856	0.9172560	0.9338635	0.7728273	1.0041127	1.1391900	1.0114888	0.0755606	0.5402419	1.0307946	1.0094348	0.0001660	0.3428253	0.3743091	0.4552719	0.8948156	0.9414947	1.0409710	0.7525319	0.9848377	0.9778931	1.0167515	0.9581830	0.9567272	0.9396783	0.8878425	0.8453419	0.9176023	0.6196599	0.9535811	0.3550863	0.9394215	0.8818610	0.5107081	0.9923733	0.0375252	0.7899354	1.0615494	0.7496872	0.8182566	0.9754373	0.7281474	0.8722027	0.6511790	0.7035365	0.7134037	0.9899984	0.5847531
0.8690267	0.9753604	0.0418984	0.0245695	0.4327252	0.0000000	0.0554010	0.3821554	0.0384576	0.0306998	1.0663750	0.0361434	0.1027288	0.3695666	0.5374531	0.2431069	0.4673155	0.0541992	0.0988644	0.9477004	0.5684078	0.1670686	0.1049390	0.2734991	0.4748593	0.9669962	1.1015207	0.9905796	1.0298196	0.2576437	0.2424887	0.8777993	1.0425562	0.3923423	0.3331171	0.9749522	0.5474734	0.1059007	0.9842869	0.5318982	0.1039793	0.9150590	0.3191163	0.9789666	0.6499316	0.5830567	0.7618059	0.6686182	0.5556577	0.4304314	0.9967719	0.3160250	0.3225541	0.9728085	0.8531605	0.7524190	0.9476159	1.1016487	0.8959736	0.0339271	0.5035472	0.9983896	1.0062066	0.0000955	0.3390846	0.3275717	0.4103103	1.0359158	0.8090183	1.0385755	0.6846434	0.9834381	0.9375591	0.8485461	0.9941611	0.8622595	0.9080907	0.8793963	0.8540829	0.9629263	0.6172855	1.0220786	0.3426947	0.8622109	0.8088359	0.4690057	1.0117944	0.0749634	0.7874249	0.9925717	0.6227485	0.6729720	0.9952497	0.6670896	0.8136719	0.5706903	0.6513999	0.6766265	1.0587886	0.5829316
0.9304444	1.0629777	0.0465099	0.0312804	0.4296456	0.6849509	0.0000000	0.4427281	0.0370299	0.0398704	1.0028501	0.0169025	0.1022566	0.5300541	0.5059373	0.3526858	0.4372326	0.0683575	0.0974398	0.9864874	0.4976761	0.1723344	0.1058573	0.2806920	0.5449658	1.0233778	0.9665211	0.9549748	1.0097532	0.3205457	0.1980123	0.8864303	1.0672860	0.3552838	0.3099280	1.0146628	0.6135682	0.0929629	0.9504304	0.5590569	0.1341686	0.8970390	0.3900500	1.1117328	0.7336412	0.5720467	0.7417874	0.6766110	0.7356530	0.4132096	1.1082683	0.3706251	0.4229068	0.9779941	0.9974508	0.7690491	1.0294781	0.9753028	1.1036275	0.1438453	0.5482080	1.1049539	1.0163393	0.0012796	0.3293715	0.3293526	0.6045673	1.0139896	0.8835220	0.9004290	0.8245345	0.9747707	0.9188118	0.9150886	1.0508534	0.8985652	1.0196986	0.9545837	0.9245543	0.9775215	0.7403385	0.8686340	0.3916456	0.9307691	0.8552424	0.5076066	0.9239748	0.0457461	0.7744808	1.0435984	0.8135413	0.7857357	1.0372029	0.8950282	0.8395564	0.6873471	0.6405687	0.7865779	1.0191254	0.5665977
0.7741681	1.0686063	0.0317611	0.0410485	0.3809948	0.7656641	0.0698147	0.0000000	0.0350272	0.0483877	0.9672295	0.0248759	0.0784647	0.4694799	0.5238688	0.2863313	0.3952819	0.0663754	0.0953702	0.7993472	0.4740305	0.1351865	0.1046486	0.2412545	0.6285028	1.0452939	0.9942262	0.9849527	1.0035993	0.3193993	0.1614895	0.8611273	1.0384583	0.3738919	0.3052107	1.0394645	0.6645509	0.1137383	1.0021298	0.5344899	0.1043976	0.9025170	0.3565832	1.0335147	0.6499465	0.5644113	0.6424698	0.6929005	0.6154583	0.4032909	1.0335434	0.4450141	0.3495548	1.0166300	0.8924087	0.8144838	0.9872024	1.1017237	0.9570483	0.1163282	0.5368678	1.0614110	1.0154628	0.0000350	0.3822140	0.3268608	0.4632074	0.9334033	0.8701744	0.9662492	0.7408985	0.9745123	0.9135568	1.0111990	0.9685819	0.9145603	0.9974562	1.0171670	0.8784300	1.0743112	0.6532572	0.8938325	0.3090157	1.0290923	0.8570246	0.4724108	1.0162895	0.0592679	0.8358355	1.0289139	0.7802710	0.8070188	1.0732015	0.7901859	0.8311547	0.6131058	0.7112357	0.7250647	1.0525757	0.5168729
0.8431066	0.9696720	0.0392529	0.0313605	0.4268461	0.7398931	0.0477132	0.5107895	0.0000000	0.0447855	1.0408147	0.0288887	0.1384254	0.5803944	0.5504770	0.3938999	0.4807094	0.0786222	0.0716186	0.9113787	0.4753900	0.1990003	0.0953487	0.3018434	0.3884791	1.0363951	1.0089464	1.0391733	0.9671309	0.2651146	0.2098530	0.9793877	1.0376658	0.4252834	0.3379343	1.1122585	0.5903151	0.1189089	0.9463927	0.5627658	0.1277834	0.8043560	0.4152261	1.0575815	0.7167301	0.6576686	0.7329953	0.6652752	0.6710234	0.4234414	0.9944260	0.4834534	0.3925832	1.0479764	0.9507847	0.7342235	1.0561611	0.9745855	1.0123874	0.1598892	0.6190922	1.0194951	1.0635870	0.0036766	0.3911953	0.2870036	0.5530766	1.1336023	0.9597112	0.9840460	0.7912970	1.0591250	0.8737354	1.0048345	1.0241016	1.0167999	1.0425906	0.9685397	0.9544138	0.9306681	0.7171461	1.0412049	0.3917834	0.9636418	0.9025362	0.5027044	0.9800878	0.0539316	0.8115373	1.0533468	0.7079677	0.7426706	1.0576523	0.7943791	0.8947610	0.6796618	0.7524938	0.7348035	0.9788390	0.5458564
0.8807373	1.0074010	0.0345501	0.0307694	0.3815549	0.7197947	0.0443410	0.4013970	0.0366822	0.0000000	0.9993485	0.0301161	0.1109907	0.5896796	0.5839170	0.3716261	0.4516760	0.0651170	0.0912299	1.0287554	0.4885898	0.1482812	0.1153899	0.2892061	0.5196339	1.1092117	1.0305123	0.9938841	0.9957237	0.2280494	0.2037364	0.8394970	1.0618269	0.3298169	0.2577357	1.0390227	0.5814661	0.0887768	0.9815129	0.4770130	0.1305771	0.8296171	0.3763529	1.0298183	0.7057596	0.5981744	0.6920543	0.6578018	0.7168747	0.3847701	1.0597935	0.3766098	0.3830865	1.0405072	0.9133924	0.7918349	1.0172663	0.9829310	1.0391100	0.0832002	0.6142300	1.0629745	1.0096350	0.0000480	0.3909410	0.3041810	0.4779994	0.9752851	0.8797775	1.0306761	0.7939367	0.9234584	0.8396079	0.9612651	0.9049278	0.9252746	0.9449496	0.9715621	0.8407521	1.0140180	0.7052159	0.9731232	0.3009217	0.9469879	0.8307429	0.5139461	0.9419587	0.0496932	0.8312770	1.0377765	0.7991122	0.8820252	0.9977029	0.8726785	0.8379786	0.6950968	0.6493879	0.6899904	1.0417443	0.5179180
