Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.8626925	1.0000000	0.0302329	0.0304568	0.4067411	0.7220960	0.0470312	0.3806668	0.0330995	0.0378189	1.0000000	0.0293886	0.0918619	0.4211094	0.5372969	0.2856357	0.4117710	0.0624287	0.0807724	0.9542718	0.4605940	0.1613149	0.1124297	0.2593500	0.5497819	0.9999982	1.0000000	0.9580852	0.9999997	0.2868148	0.2071340	0.9064437	1.0000000	0.3712075	0.2906907	1.0000000	0.5840145	0.1076771	0.9960072	0.5015016	0.1216009	0.8559765	0.3641227	1.0000000	0.6686649	0.5793671	0.6981414	0.6763596	0.6602688	0.3810989	1.0000000	0.3921769	0.3856301	1.0000000	0.9233545	0.7695941	0.9990998	0.9999970	0.9994217	0.0811052	0.5558688	0.9996332	0.9947642	0.0000267	0.3558698	0.2961758	0.4424682	1.0000000	0.8850195	0.9999980	0.7486838	0.9573798	0.9008782	0.9617983	0.9786004	0.9299010	0.9280293	0.9484112	0.8707831	0.9813445	0.6956542	0.9999987	0.3368665	0.9616409	0.8645136	0.5042582	0.9712511	0.0499707	0.7973890	0.9980024	0.7647988	0.7699158	0.9986697	0.7855195	0.8499357	0.6238501	0.6665826	0.6931360	0.9999467	0.5571572
50	0.8971392	0.7788857	0.0323210	0.0316751	0.4182125	0.7204386	0.0242737	0.4096699	0.0350480	0.0161905	0.3537494	0.0222371	0.0293734	0.6778915	0.5747964	0.4438695	0.4238726	0.0656454	0.0826992	0.9555483	0.4703552	0.1809275	0.1153460	0.0778437	0.5065511	0.9999980	1.0000000	0.9570266	0.9999997	0.2722467	0.2057066	0.9006986	1.0000000	0.3710437	0.3594377	1.0000000	0.5734637	0.1076665	0.9991760	0.5829770	0.1461412	0.7675103	0.3641225	1.0000000	0.6686647	0.5793646	0.6835533	0.6763504	0.5085699	0.3810605	1.0000000	0.4910904	0.2270847	1.0000000	0.9631752	0.7695941	0.9990996	0.9999975	0.9994220	0.0809230	0.5558688	0.9996338	0.9947767	0.0000312	0.3605289	0.2961782	0.4572376	1.0000000	0.8850195	0.9999989	0.9244449	0.9573798	0.9008783	0.9617983	0.9786005	0.9761895	0.9346146	0.9907198	0.9583762	0.9813445	0.6956542	0.9999998	0.3457742	0.9932810	0.9310477	0.5042582	0.9712513	0.0500241	0.8963105	0.9980024	0.7647988	0.7699158	0.9986697	0.8860796	0.8499357	0.8392562	0.8655796	0.8290233	0.9999705	0.7207433
100	0.9012450	0.7014913	0.0423822	0.0370362	0.4571886	0.7123913	0.0156132	0.5213134	0.0416028	0.0581377	0.1996150	0.0409335	0.0838750	0.9316677	0.6836816	0.7885325	0.4598328	0.0752934	0.0898949	0.9582117	0.5044402	0.2433099	0.1248607	0.0241499	0.3896752	0.9999972	1.0000000	0.9533511	0.9999996	0.2305473	0.2010079	0.8833193	1.0000000	0.3705334	0.3711327	1.0000000	0.5424277	0.1076405	0.9997810	0.6031845	0.1566660	0.7386571	0.3641218	1.0000000	0.6686644	0.5793595	0.6798154	0.6763289	0.4767746	0.3809769	1.0000000	0.5134943	0.1688704	1.0000000	0.9765314	0.7695941	0.9990990	0.9999978	0.9994225	0.0804802	0.5558688	0.9996353	0.9948008	0.0000499	0.3764793	0.2961862	0.4985416	1.0000000	0.8850195	0.9999992	0.9729804	0.9573798	0.9008784	0.9617983	0.9786006	0.9908584	0.9366739	0.9966023	0.9861429	0.9813445	0.6956542	0.9999998	0.3783994	0.9988231	0.9464348	0.5042582	0.9712513	0.0502703	0.9251012	0.9980024	0.7647988	0.7699158	0.9986697	0.9036907	0.8499357	0.9026622	0.9129897	0.8772213	0.9999758	0.7806381
150	0.8960025	0.6744017	0.0602561	0.0456703	0.5032554	0.6979799	0.0135688	0.6637319	0.0496152	0.1555321	0.1628530	0.0822300	0.1277265	0.9871998	0.7847949	0.9385848	0.4970424	0.0857538	0.0997299	0.9579125	0.5458596	0.3136663	0.1358038	0.0083448	0.2880074	0.9999960	1.0000000	0.9488553	0.9999996	0.1931185	0.1955235	0.8658265	1.0000000	0.3698768	0.3723411	1.0000000	0.5123627	0.1076187	0.9998964	0.6081059	0.1611796	0.7292451	0.3641213	1.0000000	0.6686641	0.5793561	0.6788507	0.6763122	0.4701095	0.3809171	1.0000000	0.5185676	0.1474953	1.0000000	0.9810042	0.7695941	0.9990985	0.9999978	0.9994230	0.0801175	0.5558688	0.9996365	0.9948160	0.0000793	0.3956258	0.2961961	0.5356061	1.0000000	0.8850195	0.9999992	0.9863832	0.9573798	0.9008784	0.9617983	0.9786006	0.9955070	0.9373179	0.9974201	0.9949448	0.9813445	0.6956542	0.9999998	0.4196165	0.9997939	0.9499934	0.5042582	0.9712514	0.0506638	0.9334806	0.9980024	0.7647988	0.7699158	0.9986697	0.9067749	0.8499357	0.9213261	0.9242849	0.8943167	0.9999770	0.8025678
200	0.8900594	0.6649198	0.0799727	0.0545790	0.5405377	0.6821658	0.0140829	0.7644431	0.0561039	0.2049197	0.1540851	0.1249927	0.1514601	0.9976144	0.8440934	0.9820230	0.5231970	0.0937761	0.1084309	0.9529384	0.5799339	0.3653870	0.1443242	0.0037298	0.2282672	0.9999948	1.0000000	0.9451072	0.9999995	0.1708471	0.1912329	0.8538962	1.0000000	0.3693134	0.3718547	1.0000000	0.4929408	0.1076059	0.9999185	0.6092773	0.1631153	0.7261745	0.3641209	1.0000000	0.6686640	0.5793546	0.6785999	0.6763032	0.4687121	0.3808869	1.0000000	0.5197161	0.1396469	1.0000000	0.9825007	0.7695941	0.9990983	0.9999979	0.9994232	0.0799077	0.5558688	0.9996371	0.9948230	0.0001084	0.4113083	0.2962041	0.5578282	1.0000000	0.8850195	0.9999992	0.9900843	0.9573798	0.9008784	0.9617983	0.9786006	0.9969801	0.9375193	0.9975338	0.9977350	0.9813445	0.6956542	0.9999998	0.4539061	0.9999639	0.9508164	0.5042582	0.9712514	0.0510598	0.9359194	0.9980024	0.7647988	0.7699158	0.9986697	0.9073150	0.8499357	0.9268199	0.9269760	0.9003802	0.9999772	0.8105971
250	0.8858617	0.6616010	0.0959072	0.0615164	0.5653626	0.6696077	0.0151661	0.8156296	0.0601866	0.2241657	0.1519939	0.1529959	0.1635512	0.9995457	0.8716026	0.9937114	0.5381378	0.0989657	0.1142680	0.9445079	0.6027584	0.3951987	0.1496534	0.0023982	0.1985351	0.9999939	1.0000000	0.9425685	0.9999995	0.1596793	0.1885658	0.8471343	1.0000000	0.3689525	0.3713393	1.0000000	0.4825718	0.1075995	0.9999227	0.6095474	0.1639455	0.7251727	0.3641208	1.0000000	0.6686639	0.5793539	0.6785341	0.6762990	0.4684190	0.3808739	1.0000000	0.5199760	0.1367651	1.0000000	0.9830012	0.7695941	0.9990982	0.9999979	0.9994233	0.0798048	0.5558688	0.9996374	0.9948257	0.0001300	0.4217808	0.2962091	0.5690237	1.0000000	0.8850195	0.9999993	0.9911063	0.9573798	0.9008784	0.9617983	0.9786006	0.9974469	0.9375823	0.9975497	0.9986195	0.9813445	0.6956542	0.9999998	0.4766756	0.9999937	0.9510067	0.5042582	0.9712514	0.0513615	0.9366292	0.9980024	0.7647988	0.7699158	0.9986697	0.9074096	0.8499357	0.9284370	0.9276171	0.9025309	0.9999773	0.8135369
300	0.8834117	0.6604393	0.1064268	0.0660120	0.5800698	0.6615229	0.0160832	0.8378276	0.0623707	0.2313477	0.1514951	0.1672018	0.1692848	0.9999037	0.8828448	0.9968104	0.5456778	0.1020135	0.1175369	0.9351619	0.6162662	0.4101245	0.1525559	0.0020207	0.1848238	0.9999934	1.0000000	0.9410573	0.9999995	0.1544940	0.1871317	0.8436727	1.0000000	0.3687616	0.3710274	1.0000000	0.4775573	0.1075965	0.9999235	0.6096066	0.1643015	0.7248459	0.3641207	1.0000000	0.6686639	0.5793537	0.6785166	0.6762973	0.4683575	0.3808688	1.0000000	0.5200347	0.1357070	1.0000000	0.9831685	0.7695941	0.9990981	0.9999979	0.9994234	0.0797587	0.5558688	0.9996376	0.9948267	0.0001430	0.4279477	0.2962119	0.5742253	1.0000000	0.8850195	0.9999993	0.9913886	0.9573798	0.9008784	0.9617983	0.9786006	0.9975949	0.9376020	0.9975518	0.9988999	0.9813445	0.6956542	0.9999998	0.4898888	0.9999989	0.9510507	0.5042582	0.9712514	0.0515538	0.9368358	0.9980024	0.7647988	0.7699158	0.9986697	0.9074262	0.8499357	0.9289130	0.9277698	0.9032938	0.9999773	0.8146133
350	0.8821278	0.6600327	0.1125203	0.0685947	0.5881427	0.6569751	0.0166928	0.8467348	0.0634246	0.2339911	0.1513762	0.1735173	0.1718605	0.9999703	0.8871168	0.9976293	0.5491994	0.1036889	0.1191669	0.9270175	0.6236400	0.4170060	0.1539990	0.0019165	0.1787507	0.9999931	1.0000000	0.9402315	0.9999995	0.1521806	0.1864296	0.8420093	1.0000000	0.3686715	0.3708701	1.0000000	0.4752671	0.1075953	0.9999236	0.6096185	0.1644542	0.7247392	0.3641206	1.0000000	0.6686638	0.5793536	0.6785119	0.6762966	0.4683446	0.3808670	1.0000000	0.5200480	0.1353185	1.0000000	0.9832245	0.7695941	0.9990981	0.9999979	0.9994234	0.0797393	0.5558688	0.9996376	0.9948271	0.0001500	0.4312895	0.2962132	0.5765402	1.0000000	0.8850195	0.9999993	0.9914665	0.9573798	0.9008784	0.9617983	0.9786006	0.9976418	0.9376081	0.9975522	0.9989888	0.9813445	0.6956542	0.9999998	0.4969200	0.9999998	0.9510609	0.5042582	0.9712514	0.0516628	0.9368959	0.9980024	0.7647988	0.7699158	0.9986697	0.9074291	0.8499357	0.9290532	0.9278062	0.9035643	0.9999773	0.8150074
400	0.8815001	0.6598904	0.1157574	0.0699633	0.5923452	0.6546343	0.0170526	0.8501709	0.0639009	0.2349576	0.1513478	0.1761410	0.1729759	0.9999827	0.8886712	0.9978453	0.5507640	0.1045619	0.1199213	0.9209856	0.6274465	0.4200243	0.1546735	0.0018889	0.1761296	0.9999929	1.0000000	0.9398063	0.9999995	0.1511740	0.1861067	0.8412439	1.0000000	0.3686318	0.3707977	1.0000000	0.4742591	0.1075948	0.9999237	0.6096205	0.1645197	0.7247044	0.3641206	1.0000000	0.6686638	0.5793536	0.6785107	0.6762963	0.4683419	0.3808663	1.0000000	0.5200510	0.1351758	1.0000000	0.9832432	0.7695941	0.9990981	0.9999979	0.9994234	0.0797314	0.5558688	0.9996376	0.9948272	0.0001534	0.4329985	0.2962138	0.5775426	1.0000000	0.8850195	0.9999993	0.9914880	0.9573798	0.9008784	0.9617983	0.9786006	0.9976566	0.9376101	0.9975522	0.9990169	0.9813445	0.6956542	0.9999998	0.5004461	1.0000000	0.9510632	0.5042582	0.9712514	0.0517200	0.9369134	0.9980024	0.7647988	0.7699158	0.9986697	0.9074296	0.8499357	0.9290944	0.9278149	0.9036603	0.9999773	0.8151517
