G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.1916892	1.0000000	0.6850706	0.5240069	1.0000000	0.4616801	0.0352000	0.9455319	0.0482045	0.9989790	0.5810046	0.0576760	0.5205065	0.9998472	0.1124807	0.0263257	0.0131192	0.9999988	0.0998008	0.7390382	0.1050415	0.0458171	0.0506561	0.2411757	0.9248899	0.6970361	0.6560072	0.9772358	0.8983208	0.2728286	0.9968832	0.8118441	0.9527224	0.9128215	0.9508561	0.8265771	1.0000000	0.9975733	0.9996443	0.6676491	0.3291116	0.9647301	0.5048389	0.4570545	0.7294871	0.9546154	0.1631436	0.6534288	0.9136141	0.2104852	1.0000000	0.5432962	0.2117783	0.1799624	0.7394181	0.5906961	0.7610544	0.7969147	0.6835783	0.9213549	0.5458119	0.4659957	0.2106760	0.4733146	0.0281216	0.6113225	0.7412168	0.5857877	0.7786929	0.0771107	0.9101978	0.0505995	0.8838639	1.0000000	0.3771720	0.3149609	0.1897332	0.9180859	0.8690492	1.0000000	0.5735020	0.0094760	0.9743362	0.4180034	0.0235097	0.0001729	0.3689434	0.6785115	0.3517858	0.1415769	0.2386294	0.3995215	0.0002566	0.3307575	0.6216905	0.6348911	0.1270431	0.8708355	0.8550865	0.1788755
0.1430679	0.7666516	0.0158777	0.4107608	0.8089056	0.4412096	0.0537151	0.9999931	0.0175417	0.9242273	0.4150226	0.0654990	0.4884338	0.9997028	0.0524606	0.0088163	0.0659164	0.9629348	0.1545861	0.5996088	0.2642259	0.0465665	0.0150738	0.2948748	0.8604909	0.7506681	0.5583699	0.9999996	0.8719335	0.1580142	0.9870481	0.7239126	0.9489877	0.7601896	0.8765925	0.7382012	0.9942117	0.9674894	0.9940213	0.6850063	0.5537307	0.8677854	0.4956846	0.4734107	0.6481341	0.9959500	0.2730866	0.6750469	0.7683621	0.1129825	0.9027271	0.3496669	0.1195947	0.2152084	0.1596990	0.0224270	0.4193837	1.0000000	0.8161607	0.9006232	0.5590622	0.9993848	0.0863750	0.3907392	0.0027008	0.9105423	0.0951812	0.6598149	0.6212461	0.0001274	0.6673667	0.0213281	0.9043797	1.0000000	0.1662513	0.6009924	0.0001175	0.4061050	0.9326155	0.7624209	0.9035188	0.0001347	0.9740853	0.2764278	0.0329147	0.0000007	0.4184221	0.7629762	0.5363542	0.1754497	0.2461493	0.3405865	0.0017939	0.0000486	0.6513428	0.0002542	0.2118263	0.8752278	0.9043286	0.1955943
0.7958102	0.3396878	0.4192605	0.5050538	1.0000000	0.6260032	0.0378262	0.9999981	0.0062809	0.9987917	0.5128456	0.0576760	0.6153062	0.9997814	0.1124807	0.0056220	0.0091590	0.9999983	0.0839832	0.8008146	0.2401044	0.0002740	0.0097238	0.2839736	0.9055971	0.7870450	0.7982123	0.9772359	0.9326479	0.2728286	0.9883182	0.8285244	0.9526997	0.9062327	0.9293876	0.8255647	0.9942115	0.9867787	0.9970071	0.7605702	0.3291116	0.8825312	0.9986832	0.9116874	0.7821516	0.9999595	0.6750013	0.9804261	0.9872246	0.4816286	0.9850061	0.2818654	0.3772699	0.1771491	0.4640574	0.0229013	0.7470840	1.0000000	0.7553291	0.9981001	0.8413834	0.9996956	0.1349606	0.5416295	0.3955431	0.6907218	0.1762439	0.6517205	0.9735708	0.0011572	0.7179968	0.0287349	0.5267231	0.8665106	0.2412171	0.6676362	0.0561888	0.8322068	0.9691260	1.0000000	0.6220704	0.0094858	0.9995477	0.4502327	0.1098884	0.0000107	0.9254445	0.5298741	0.5121241	0.1550749	0.4464351	0.3924694	0.0002230	0.0002976	0.5730864	0.0024994	0.1711541	0.8752277	0.8755154	0.1694133
0.1287332	1.0000000	0.2639597	0.4756171	1.0000000	0.4616801	0.0494652	0.9455319	0.0083837	0.9986427	0.6650128	0.0028724	0.7115087	0.9998053	0.1124807	0.0263257	0.0119886	0.9999986	0.1058462	0.7665907	0.2805347	0.0458171	0.0103510	0.2530762	0.9343277	0.6249133	0.6560072	0.9772358	0.9632323	0.2078699	0.9456911	0.8057746	0.9973779	0.8450506	0.9133810	0.8958618	0.9942113	0.9957682	0.9997809	0.7655354	0.2688357	0.9327828	0.5355583	0.5569550	0.7346656	0.9202773	0.5636090	0.8059762	0.9161723	0.3311810	1.0000000	0.2876446	0.7352635	0.5356334	0.7521251	0.3584470	0.7610544	1.0000000	0.7536143	0.9320709	0.7762489	0.6068968	0.2398386	0.6881766	0.0794192	0.6393596	0.1740627	0.8039265	0.9960769	0.2436564	0.7686535	0.0878393	0.8637983	0.8525490	0.4477493	0.7134068	0.1217307	0.5479278	0.8379419	1.0000000	0.3715719	0.0000992	0.9997240	0.1378565	0.0222796	0.4919901	0.4766311	0.4969304	0.5079320	0.1517559	0.1955715	0.3995215	0.0015824	0.3903678	0.5730864	0.1938826	0.0136003	0.8998637	0.9667800	0.1554226
0.0781325	1.0000000	0.0094961	0.4941241	1.0000000	0.4889438	0.0494652	0.9455327	0.0347140	0.9989660	0.5128456	0.0576760	0.5205065	0.9999409	0.0739621	0.0263257	0.0555801	0.9999988	0.0725012	0.7390384	0.3266941	0.0458171	0.0068617	0.1934516	0.9055971	0.7641721	0.7224982	0.9999998	0.8983208	0.2728286	0.9875074	0.8359566	0.9524701	0.8450518	0.9133832	0.8612731	1.0000000	0.9963584	0.9988568	0.9042010	0.2647969	0.9932856	0.5123470	0.4584060	0.7773004	0.9192998	0.0508039	0.7955714	0.3625385	0.3214618	1.0000000	0.2807138	0.5229916	0.5130999	0.4312929	0.4754264	0.7610544	1.0000000	0.8454222	0.9904588	0.5677251	0.9989686	0.1410069	0.2910609	0.1637425	0.6508787	0.1322545	0.6597148	1.0000000	0.0006135	0.7441128	0.0116210	0.9287043	1.0000000	0.6544574	0.6170002	0.3829994	0.3697575	0.9724545	0.6473014	0.4617166	0.0001266	0.9994868	0.4410893	0.1082953	0.0763416	0.3869171	0.7094216	0.3475781	0.0801083	0.4363891	0.2511395	0.0015824	0.0003564	0.5730864	0.0031306	0.1820582	0.8752277	0.9589750	0.1788755
0.6044817	0.7254960	0.2504258	0.5556534	1.0000000	0.4616801	0.0494652	0.9999986	0.0482045	0.9994256	0.5128456	0.0576760	0.5797549	0.9998935	0.1124807	0.0263257	0.0130248	0.9629372	0.1130453	0.7920470	0.3266941	0.0458171	0.0111128	0.2839736	0.9055968	0.7906645	0.6999336	0.9999999	0.9706731	0.2728286	0.9461500	0.7604845	0.9527093	0.9090110	0.9982848	0.8259940	0.9942113	0.9868332	0.9983471	0.8223531	0.2835709	0.8640188	0.6128101	0.4850444	0.7452808	0.9996332	0.1212015	0.8625204	0.7101098	0.0908544	0.9494278	0.3668008	0.0388581	0.3688556	0.5294950	0.3878164	0.6450360	1.0000000	0.7574003	0.9472483	0.7655242	0.9986653	0.2383566	0.3220057	0.5572934	0.8177207	0.1015536	0.2381648	0.3188896	0.0065972	0.7797875	0.1048312	0.7772975	1.0000000	0.5471707	0.4622649	0.1333491	0.7056212	0.9076023	0.7065216	0.7220211	0.0095129	0.9998183	0.4733498	0.1141222	0.1026371	0.6069928	0.8690033	0.5223430	0.1634144	0.1846436	0.3913880	0.0016783	0.0030184	0.5730864	0.0441540	0.1966747	0.8949374	0.9593225	0.2179216
0.1860232	1.0000000	0.0092796	0.4315220	0.9230147	0.4056056	0.0419703	0.9999969	0.0499508	0.9251928	0.5301643	0.0598071	0.4884235	0.9997487	0.1218335	0.0071416	0.0464343	0.9629366	0.1274504	0.8646007	0.3530116	0.0005463	0.0102015	0.2924588	0.9058402	0.7200240	0.7613354	0.9772361	0.9707832	0.2882918	0.9948934	0.7471837	0.9980517	0.9184140	0.9302493	0.8082657	0.9942117	0.9856257	0.9978407	0.9319526	0.3287537	0.9974032	0.7330653	0.6165262	0.7999600	0.9182962	0.1132258	0.9533747	0.5959466	0.2503931	1.0000000	0.2807138	0.3284942	0.4425418	0.3735903	0.7137365	0.7088715	0.9934723	0.9005721	0.9994192	0.6602181	0.9985422	0.3608336	0.3815596	0.1510266	0.9473649	0.1124438	0.5409106	1.0000000	0.0165996	0.8796414	0.4695700	0.9998935	1.0000000	0.1899624	0.3586972	0.0380465	0.6167023	0.8434647	0.4013885	0.4459676	0.0094760	0.9743377	0.4410893	0.1082953	0.2988869	0.8400199	0.8263180	0.5079320	0.1340865	0.4363891	0.3817978	0.0015824	0.0161482	0.6546397	0.2764028	0.1525010	0.8878644	0.8750297	0.1474022
0.5727766	1.0000000	0.0094961	0.1799266	1.0000000	0.7585805	0.0382755	0.9999979	0.0482045	0.9987212	0.5572959	0.0576760	0.5815514	0.9998572	0.1018065	0.0263257	0.0128685	0.9999992	0.1130453	0.8719846	0.1939184	0.0002872	0.0506561	0.2581907	0.9177666	0.8005231	0.7531326	0.9772359	0.8983208	0.1401880	0.9593913	0.8786006	0.9978509	0.9226259	0.9985806	0.8751181	0.9942115	0.9870854	0.9976495	0.8339057	0.3291116	0.8570795	0.5564690	0.4679510	0.7378535	0.9680807	0.1225433	0.9020765	0.5512690	0.1952443	1.0000000	0.2807138	0.7352633	0.1799626	0.9981258	0.4017532	0.6592521	0.9250736	0.7217148	0.9963323	0.6023053	0.9979510	0.3096576	0.3112888	0.0567513	0.6508658	0.1958212	0.2962211	1.0000000	0.0070858	0.8577543	0.3001191	0.9343524	1.0000000	0.2243334	0.5118734	0.0113776	0.7012096	0.9615034	1.0000000	0.7936056	0.0094760	0.9743368	0.4410893	0.1082953	0.0019257	0.4886861	0.7661830	0.5077921	0.1071432	0.4363891	0.3995215	0.0002765	0.0087278	0.6959064	0.1495709	0.1820582	0.8558775	0.9590489	0.1788755
0.4118136	0.7889979	0.1732610	0.7137447	1.0000000	0.6803715	0.0494652	0.9455369	0.0145041	0.9997441	0.5751129	0.0576760	0.6961949	0.9998691	0.1124807	0.0054223	0.0555801	0.9629377	0.1130453	0.8264032	0.3266941	0.0458171	0.0117149	0.2839736	0.9055982	0.6119276	0.8421503	0.9772367	0.8983209	0.1231458	0.9968944	0.8075118	0.9524702	0.8450583	0.9640295	0.8633493	0.9942121	0.9852559	0.9825521	0.7264852	0.3291116	0.9814237	0.9999443	0.9040888	0.7717554	0.9239559	0.1538290	0.9804922	0.4810341	0.4438656	1.0000000	0.2806835	0.2125812	0.2925792	0.2784411	0.0626332	0.6659305	0.8017794	0.7824961	0.9997127	0.7674772	0.9988851	0.5006171	0.8037172	0.5925613	0.6496845	0.2483112	0.8146271	0.9785697	0.1831610	0.7607047	0.8847057	0.9708823	0.9899309	0.4991682	0.4193033	0.0316235	0.8492944	0.9329813	1.0000000	0.7061104	0.0001263	0.9743398	0.4410893	0.0288705	0.2992231	0.9606715	0.6622474	0.5079320	0.1334093	0.4055525	0.3995215	0.0003430	0.3755917	0.4880117	0.6622794	0.1637237	0.8133567	0.9415606	0.1693336
0.1490264	0.5622495	0.0331721	0.3619706	1.0000000	0.6871089	0.0362745	0.9455321	0.0482045	0.9256045	0.6645788	0.0576760	0.6503670	0.9624094	0.0864251	0.0263257	0.0555801	0.9999987	0.1130453	0.8678173	0.3266941	0.0002508	0.0506561	0.2839736	0.9168574	0.7473425	0.6560072	0.9999999	0.9688593	0.0969802	0.9649538	0.8508787	0.9980426	0.9339902	0.9475227	0.8297008	0.9942114	0.9980275	0.9828364	0.7605981	0.2724356	0.8689390	0.6661113	0.5069530	0.7706305	0.9730220	0.1178264	0.7984334	0.9456613	0.0847596	1.0000000	0.2805235	0.0011277	0.1787722	0.6661272	0.1622440	0.7610544	1.0000000	0.8791626	0.9504942	0.6303377	0.4551217	0.9573946	0.7796187	0.3963247	0.9092172	0.3315478	0.6445166	1.0000000	0.1560831	0.8806693	0.9154786	0.9939169	0.7682738	0.6706576	0.5485763	0.2525182	0.8963726	0.9444472	1.0000000	0.4977517	0.0000915	0.9743364	0.4209837	0.0197484	0.6662692	0.7026433	0.4847279	0.5079320	0.1517559	0.2542883	0.3650149	0.0002157	0.6694802	0.7388026	0.9940685	0.1740237	0.8752277	0.8755152	0.1374588
