G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0757065	0.5978299	0.5273403	0.3632074	0.6583353	0.3080232	0.0217492	0.6697327	0.0465409	0.6985373	0.4873228	0.0415697	0.4064686	0.6122751	0.0636105	0.0120433	0.0113139	0.8303765	0.0776287	0.5486806	0.1032951	0.0298874	0.0398180	0.1773401	0.5639460	0.5987972	0.4949432	0.6198739	0.6938602	0.2032567	0.7421206	0.5616259	0.7697530	0.5880744	0.6498764	0.5191085	0.7403982	0.7537841	0.7798361	0.4481356	0.1743610	0.5425505	0.2624081	0.2778412	0.4889238	0.5527771	0.0991896	0.4836155	0.7133579	0.1192954	0.6497812	0.3607316	0.1379821	0.1597618	0.4743121	0.4649490	0.4927618	0.5948531	0.5582857	0.6792499	0.4133487	0.4355790	0.1546346	0.3519671	0.0267762	0.4160023	0.5157665	0.3716179	0.6215823	0.0756613	0.6029354	0.0263185	0.6915833	0.7647005	0.2689065	0.2547109	0.1609532	0.6000124	0.5618166	0.7129500	0.4308915	0.0040895	0.6694638	0.2114535	0.0104032	0.0046500	0.2559121	0.4979266	0.1733819	0.0710328	0.1607384	0.2196293	0.0001417	0.1500505	0.3226616	0.4401745	0.0992231	0.6609376	0.5034639	0.1322315
0.1104871	0.4791795	0.0063700	0.3121802	0.6634431	0.2370795	0.0379655	0.6674068	0.0193937	0.6270779	0.2561867	0.0478070	0.3499078	0.7143733	0.0499977	0.0064657	0.0271621	0.5901998	0.0992545	0.4405382	0.2450601	0.0389368	0.0067031	0.2599010	0.6578892	0.5230022	0.4734469	0.5628929	0.5288409	0.1174312	0.6081675	0.4949951	0.7394371	0.4941894	0.6404383	0.4840916	0.6708878	0.6853331	0.6248637	0.4289102	0.3634094	0.4522917	0.4117735	0.3447369	0.3414703	0.6423263	0.1589637	0.5662191	0.5532802	0.0505257	0.6349018	0.1985127	0.0683954	0.1626612	0.0867529	0.0244301	0.2935558	0.8840689	0.7089865	0.5230038	0.4312745	0.6810822	0.0373395	0.2436383	0.0026322	0.4989926	0.0697983	0.3703610	0.4141459	0.0012190	0.5001831	0.0113675	0.7038933	0.6426627	0.1262683	0.4326469	0.0034670	0.2882004	0.6268813	0.6405460	0.6669695	0.0003187	0.7235889	0.1464930	0.0184573	0.0007898	0.3801899	0.5156561	0.3991938	0.0998417	0.1701587	0.3102694	0.0036859	0.0004160	0.5195314	0.0007001	0.1309648	0.6212495	0.5590631	0.1227584
0.5880645	0.1960452	0.2903793	0.2916745	0.6517503	0.4662576	0.0428062	0.7176056	0.0143227	0.6397746	0.4381258	0.0482776	0.3769757	0.6179752	0.0564875	0.0055540	0.0095270	0.6856566	0.0829787	0.6270769	0.1881779	0.0014124	0.0024949	0.1870711	0.7384223	0.5468489	0.6925941	0.7484020	0.6862503	0.1305538	0.6941351	0.5363986	0.7089245	0.6615465	0.6728824	0.5771752	0.6965002	0.7175885	0.5122676	0.4916051	0.1871468	0.6288156	0.7567859	0.5784838	0.5609953	0.5968803	0.5491030	0.7424289	0.6380780	0.3819873	0.7447727	0.2326591	0.2852248	0.1153268	0.3751541	0.0075039	0.5079552	0.5765819	0.4596304	0.6503131	0.5807206	0.7444644	0.0839363	0.3635245	0.3580555	0.4790941	0.1318899	0.4400126	0.6285394	0.0008416	0.4795639	0.0287838	0.4403591	0.6124704	0.1222313	0.4810371	0.0426218	0.5296378	0.6245446	0.6087106	0.4093196	0.0067251	0.6999848	0.3419053	0.0786883	0.0009859	0.5896416	0.4140994	0.2636393	0.0915905	0.3703915	0.2942189	0.0011544	0.0041675	0.3466183	0.0185449	0.1278418	0.5661333	0.5539159	0.1619873
0.0907316	0.7103297	0.1903082	0.2947662	0.8398008	0.2463701	0.0683323	0.5233445	0.0074517	0.7106832	0.5103069	0.0258081	0.5447936	0.6959238	0.0559151	0.0220081	0.0015154	0.5657628	0.0974780	0.5449551	0.2466792	0.0417277	0.0066323	0.2454151	0.6823835	0.4350931	0.3944365	0.5750464	0.6569991	0.1358792	0.6726840	0.4598086	0.6221774	0.5673132	0.6933554	0.5731695	0.5633689	0.5971584	0.5700735	0.4733743	0.1909991	0.6234151	0.3131938	0.3493126	0.5728230	0.5881499	0.4475476	0.6249696	0.6930046	0.2799699	0.6457821	0.2619322	0.4238916	0.5025018	0.4621907	0.2567423	0.4720486	0.7630476	0.4786575	0.5812928	0.4284367	0.4311830	0.1088559	0.5141394	0.0846962	0.4150015	0.1587556	0.4628967	0.7401163	0.2052148	0.5988359	0.0570877	0.6249045	0.5305531	0.3835719	0.5152977	0.0687987	0.4359680	0.4917260	0.5900157	0.2592798	0.0002392	0.6566753	0.0700520	0.0150574	0.3722223	0.3837663	0.1937030	0.2546639	0.0809359	0.0800637	0.2891061	0.0016638	0.2333895	0.4424063	0.1253259	0.0136326	0.6846086	0.5757090	0.1140043
0.0534722	0.8047156	0.0078609	0.3587813	0.8224596	0.3317762	0.0319296	0.6890016	0.0364061	0.6726247	0.2926107	0.0388508	0.4168005	0.6390167	0.0608524	0.0291211	0.0411902	0.6449782	0.0400051	0.6961844	0.2276485	0.0369419	0.0020656	0.1060921	0.7481136	0.4591614	0.5144208	0.6538697	0.4911233	0.1420178	0.7323415	0.5060030	0.8129546	0.5684072	0.5466994	0.5339557	0.5734914	0.8070347	0.6771055	0.6988131	0.2066035	0.6238102	0.3771492	0.2677107	0.5328953	0.5481901	0.0293001	0.5337189	0.2375987	0.1800311	0.5945361	0.1788872	0.3161663	0.3967610	0.3437213	0.3280974	0.4694604	0.8221106	0.6305576	0.7319849	0.3422903	0.6674371	0.1542646	0.1921515	0.1209705	0.3999888	0.0697401	0.4592614	0.7611505	0.0002587	0.6241069	0.0108205	0.5846421	0.7134597	0.4508872	0.4155243	0.3329428	0.2513757	0.7776216	0.5306405	0.3004034	0.0009793	0.7884316	0.3225358	0.1182176	0.0660190	0.2646317	0.5609424	0.2636498	0.0476268	0.3583067	0.1568355	0.0005566	0.0019235	0.3990092	0.0166313	0.1359336	0.6685070	0.7008295	0.1668821
0.3493114	0.5028329	0.1652776	0.4990461	0.5924489	0.3398553	0.0352301	0.7106072	0.0305232	0.8371173	0.2818966	0.0462077	0.4795778	0.6880279	0.0854576	0.0219569	0.0018709	0.6379579	0.0671329	0.5260704	0.2223089	0.0231162	0.0115246	0.1890388	0.6994488	0.5271652	0.4323971	0.6477205	0.7242716	0.2092065	0.6760326	0.5130516	0.6249770	0.7201663	0.6694224	0.4959538	0.7451234	0.6682267	0.7728276	0.5633447	0.2010023	0.7380810	0.5018343	0.4148818	0.5510966	0.5558882	0.0798581	0.7664989	0.5258351	0.0485768	0.7009488	0.2526716	0.0383833	0.2243828	0.2848244	0.2441435	0.4236435	0.7587426	0.6057884	0.7912042	0.6380908	0.5742556	0.1727994	0.2245147	0.4237353	0.4684135	0.0790212	0.1822562	0.2547660	0.0054134	0.5330713	0.1076733	0.6317706	0.6909762	0.4454233	0.2837398	0.0769613	0.4318011	0.5887150	0.4199026	0.5921240	0.0465676	0.7012980	0.2534190	0.0605978	0.0621746	0.5907391	0.6102942	0.3258949	0.1711148	0.1527715	0.2038956	0.0014408	0.0020688	0.4292009	0.0353801	0.1527878	0.6659330	0.6293350	0.1316901
0.1467256	0.8444550	0.0144503	0.3146584	0.5860187	0.2672926	0.0232293	0.6233763	0.0366462	0.6056414	0.2198466	0.0584897	0.3391377	0.6889685	0.1185898	0.0080945	0.0647722	0.6850258	0.0709168	0.6243902	0.3374923	0.0001904	0.0044474	0.1979274	0.5940922	0.4555606	0.5102752	0.7782910	0.6654363	0.1657287	0.5933962	0.5935149	0.6726844	0.5907927	0.6846596	0.6567867	0.6367003	0.6440424	0.7836720	0.6390258	0.2147056	0.5836971	0.4464727	0.4255559	0.5599940	0.7032065	0.0818607	0.6790920	0.4612779	0.2520432	0.7304918	0.2043944	0.2209515	0.3205177	0.2241633	0.4355192	0.3921812	0.7440107	0.5401976	0.7697703	0.4565732	0.7523940	0.2335952	0.2015640	0.1233420	0.6694243	0.1254827	0.3843684	0.7788762	0.0196695	0.6229353	0.2690686	0.6341563	0.5550713	0.0877463	0.3020067	0.0271770	0.4440727	0.5591468	0.2653176	0.2777775	0.0044003	0.6073692	0.2522249	0.0827850	0.1330711	0.6209825	0.5354208	0.3804225	0.0842163	0.3265038	0.2763238	0.0035249	0.0252431	0.5428150	0.0805570	0.1227423	0.7050021	0.7229796	0.1180919
0.3481985	0.5695349	0.0146295	0.0950946	0.6869666	0.4557831	0.0366463	0.7200434	0.0293873	0.6621508	0.3127696	0.0414261	0.3436935	0.6971333	0.0850599	0.0147701	0.0059404	0.6922658	0.1201722	0.6305615	0.1968545	0.0032092	0.0414840	0.1962352	0.6140463	0.4595469	0.5809781	0.7487945	0.5872685	0.1272352	0.6411473	0.5595133	0.6357094	0.6284573	0.7445031	0.5285286	0.6266127	0.6351599	0.6249447	0.6709834	0.2980675	0.5854394	0.2991626	0.2637908	0.4402394	0.7266089	0.1213817	0.6243042	0.3293958	0.1503092	0.7049482	0.2572762	0.4557956	0.0950582	0.5602539	0.2645934	0.4017175	0.5861307	0.4482261	0.6792784	0.4280792	0.8060315	0.1966656	0.2064799	0.0214553	0.4603897	0.1718893	0.2457460	0.7079453	0.0005708	0.6083864	0.1743948	0.5891844	0.7690375	0.1213277	0.3430760	0.0091779	0.4408385	0.6503550	0.6745109	0.5591542	0.0127849	0.6005992	0.3390822	0.0982276	0.0018530	0.3537169	0.4662542	0.3482823	0.0846838	0.2741573	0.3025991	0.0007196	0.0105004	0.3736639	0.0817980	0.1637275	0.6025162	0.6814288	0.1376924
0.3245994	0.4799213	0.1531020	0.4204494	0.6533937	0.3763235	0.0280957	0.6055369	0.0224847	0.7378711	0.3494383	0.0873772	0.5632538	0.6765220	0.0781130	0.0047428	0.0448192	0.5710470	0.0548787	0.5702500	0.2256188	0.0423381	0.0036768	0.2146653	0.7265520	0.3846534	0.6502297	0.5411033	0.5997336	0.0775915	0.6586412	0.4939639	0.6197776	0.6586187	0.6067169	0.5256457	0.6910429	0.6617238	0.6685544	0.5197851	0.2530480	0.7127699	0.5546290	0.6225683	0.5488052	0.6096335	0.1253363	0.6229054	0.3529777	0.3071791	0.7398862	0.1640255	0.2172365	0.2307238	0.2017574	0.0301322	0.3975716	0.4850640	0.5773594	0.8154349	0.5323695	0.6629103	0.3375558	0.4805760	0.3863459	0.4099078	0.1722103	0.5963353	0.5958655	0.1142869	0.4407955	0.4911684	0.6280359	0.6476296	0.3242843	0.2810083	0.0321861	0.4974727	0.6812021	0.6629013	0.5214034	0.0043424	0.6592650	0.3667589	0.0196392	0.2552907	0.8991954	0.4562934	0.2777734	0.0746136	0.2920554	0.2584377	0.0000000	0.2630378	0.3379944	0.4538143	0.0893066	0.5463354	0.7357180	0.1917762
0.0993323	0.4494663	0.0263108	0.3199767	0.7869821	0.4008363	0.0258947	0.6066284	0.0567437	0.7078480	0.5043635	0.0297413	0.4203026	0.5780308	0.0872095	0.0548858	0.0727762	0.6454950	0.0650411	0.6423355	0.2129475	0.0025350	0.0513309	0.1338077	0.6947763	0.4290506	0.4805796	0.5660043	0.7053736	0.1050792	0.5923286	0.4834642	0.6203850	0.5340848	0.6205834	0.5165245	0.7478974	0.7911255	0.7858773	0.4691123	0.1848647	0.5589792	0.3932046	0.2969511	0.5169346	0.6759415	0.1314331	0.5089074	0.5908932	0.0430346	0.7625265	0.2066889	0.0040458	0.1637756	0.4241782	0.0696585	0.4815649	0.6193842	0.6000813	0.4964119	0.5138215	0.3138088	0.5474698	0.4691352	0.2861564	0.6358116	0.2716752	0.4959949	0.7170065	0.1004550	0.4556244	0.6724986	0.6076280	0.4839858	0.3732602	0.3541150	0.2133306	0.4880572	0.6531205	0.7299357	0.3483049	0.0006547	0.5541316	0.2780423	0.0279355	0.3118566	0.5194756	0.3911500	0.3455814	0.1222063	0.1382780	0.2199437	0.0002137	0.3644114	0.5013284	0.6565158	0.1534858	0.5668501	0.5976186	0.0734348
