Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.0362898	0.8197975	0.0158476	0.0316044	0.2082150	0.0036302	0.1388106	0.1831758	0.2028137	0.0029116	0.1645206	0.2320862	0.2567995	0.2622085	0.3657797	0.0191473	0.0253316	0.0832934	0.3036976	0.2339940	0.2872833	0.4007053	0.1407380	0.0387344	0.0173945	0.2761467	0.2285857	0.1791193	0.3832560	0.1557368	0.0882005	0.3014524	0.0501663	0.0319872	0.1783298	0.1266545	0.0426293	0.3878474	0.0387293	0.4073944	0.1030828	0.0539484	0.0277469	0.1788898	0.0793477	0.1133075	0.1841483	0.2572588	0.1671695	0.4361801	0.3292119	0.0483933	0.0702602	0.0653829	0.6666720	0.0404263	0.7225862	0.5054970	0.6163277	0.4205658	0.6843499	0.5921958	0.5615083	0.4997566	0.7506119	0.5207130	0.6361701	0.5013845	0.5911862	0.5991547	0.7276203	0.3124505	0.4020126	0.3480497	0.2498646	0.6683082	0.0913534	0.5559736	0.3122370	0.6322209	0.2909704	0.2158980	0.2435886	0.6294674	0.7316664	0.4077083	0.2580380	0.3343166	0.0207901	0.0359759	0.7356931	0.6117219	0.2543349	0.1747477	0.3878474	0.5592799	0.3128758	0.7298444	0.5605411	0.3725755
50	0.0511501	0.6815040	0.0554970	0.0177901	0.2547696	0.0046504	0.0848674	0.2617455	0.2611871	0.0022025	0.1939439	0.2589319	0.2621165	0.2567876	0.2992252	0.0040606	0.0137967	0.1471594	0.2394952	0.2236672	0.3162965	0.2620950	0.0688013	0.0852093	0.0187773	0.2187580	0.1082438	0.1553622	0.2444115	0.1042658	0.1531405	0.3326576	0.0817799	0.0172282	0.1196742	0.1179384	0.0092881	0.2602620	0.0293836	0.2597508	0.0511364	0.1020654	0.0266417	0.0753578	0.0972122	0.1211319	0.2271560	0.2962051	0.1368391	0.3410549	0.2872521	0.0162804	0.0355716	0.0702546	0.5961411	0.0399839	0.7173165	0.6159207	0.5322765	0.2320106	0.6108111	0.7261116	0.6015272	0.4254539	0.5442391	0.5878376	0.5515418	0.4477434	0.5204828	0.7058744	0.6703122	0.2554333	0.2727162	0.3368974	0.1893124	0.5781086	0.2192775	0.5798201	0.2684150	0.5695560	0.2787749	0.1886536	0.2820995	0.5809303	0.6684691	0.3687479	0.1887676	0.3322900	0.0150137	0.0211215	0.6139144	0.6876827	0.2224451	0.1847367	0.3502249	0.5157643	0.3580419	0.7519628	0.5424341	0.3135809
100	0.0236809	0.6516001	0.0178858	0.0197712	0.2352973	0.0048273	0.0808167	0.1153793	0.1714385	0.0005810	0.1656579	0.2512501	0.2302402	0.2049522	0.2133104	0.0067202	0.0012524	0.0443904	0.2842193	0.2157952	0.2630890	0.2522415	0.1159915	0.0630059	0.0107886	0.2226321	0.1606403	0.1709438	0.3205702	0.0694359	0.1054143	0.3054736	0.1233600	0.0150247	0.1010466	0.1278067	0.0081430	0.2834120	0.0351291	0.2290607	0.0466818	0.0494198	0.0325663	0.0818994	0.0680374	0.1404162	0.2634133	0.2911339	0.1249396	0.1793311	0.3011563	0.0130817	0.0322095	0.1316261	0.8097197	0.0253453	0.6319217	0.5731630	0.5831243	0.3941357	0.5987333	0.7568675	0.4677579	0.5909205	0.6016594	0.7230419	0.7078442	0.3575455	0.5988160	0.5951990	0.6295294	0.3080882	0.3209848	0.2496053	0.1138418	0.6622354	0.2902445	0.5769169	0.1535216	0.6590889	0.3052044	0.2182156	0.2128992	0.7380012	0.6478192	0.4310751	0.3045764	0.3589282	0.0140566	0.0121727	0.6439088	0.5505069	0.2884467	0.1610065	0.4344953	0.5088264	0.2391441	0.6411071	0.4857528	0.3549447
150	0.0715893	0.6167777	0.0088984	0.0115253	0.2049679	0.0046642	0.0843119	0.1736353	0.2093858	0.0006998	0.1553452	0.3002291	0.2146573	0.3291603	0.3009111	0.0025654	0.0027667	0.0952190	0.2439717	0.2329299	0.3515849	0.3342213	0.0992487	0.0376126	0.0037532	0.1674211	0.1074507	0.2902578	0.3074776	0.1259056	0.0891163	0.3201750	0.0302653	0.0118175	0.1004392	0.1401040	0.0076463	0.2186031	0.0770617	0.2435318	0.0623113	0.0707247	0.0313799	0.1369007	0.1176600	0.0959962	0.2317414	0.3406283	0.2268874	0.2494938	0.4504698	0.0189055	0.0403214	0.1207526	0.5951078	0.0163571	0.6241599	0.6630840	0.7173451	0.4132637	0.6566427	0.8188241	0.4967643	0.4762344	0.6971645	0.6600721	0.6518459	0.2986406	0.4922241	0.6779303	0.6743614	0.3792084	0.3443552	0.3156452	0.0752071	0.6325312	0.3044328	0.6361236	0.0597514	0.7405413	0.2431411	0.1960261	0.2412625	0.7456590	0.6538015	0.4928873	0.2010985	0.2814144	0.0169945	0.0014554	0.7672651	0.5786176	0.1584642	0.1567784	0.3524512	0.5342642	0.3600628	0.5805467	0.4178846	0.3237614
200	0.0331247	0.6157845	0.0276243	0.0014826	0.2131881	0.0021791	0.1007813	0.1512656	0.2018313	0.0073410	0.2357541	0.2701946	0.3082128	0.3101862	0.2909607	0.0069071	0.0026114	0.0733838	0.3125519	0.2272665	0.3173612	0.3183119	0.1048507	0.0474127	0.0015160	0.1633998	0.1014356	0.1831429	0.2942322	0.1330577	0.0851465	0.2679404	0.0278561	0.0054362	0.0748956	0.1560441	0.0058397	0.2730978	0.0240157	0.2331093	0.0923021	0.0647764	0.0408420	0.1456301	0.1482062	0.1050233	0.3140385	0.3216369	0.1988155	0.2764495	0.3730918	0.0367872	0.0661565	0.1247217	0.4899378	0.0388245	0.6878609	0.5135589	0.6233202	0.3675946	0.6522347	0.5462211	0.4446438	0.6290473	0.6343724	0.5875968	0.5492504	0.3125454	0.5542695	0.6276585	0.5916059	0.2793461	0.2841565	0.3277735	0.0811125	0.6820640	0.3861472	0.6424207	0.0165096	0.8453504	0.3164531	0.2046165	0.3366358	0.6990759	0.6153824	0.5284079	0.1750590	0.3384271	0.0099346	0.0015721	0.6414783	0.6612292	0.1591301	0.1010424	0.5011142	0.6385541	0.3024628	0.5686546	0.4572653	0.3869856
250	0.0402549	0.6375169	0.0291216	0.0012451	0.2949480	0.0032410	0.0872653	0.1931370	0.2000237	0.0029211	0.1701278	0.2937738	0.2717624	0.3282956	0.3422973	0.0003848	0.0000950	0.1186609	0.1922649	0.2104847	0.2915238	0.2891931	0.1140471	0.0299020	0.0111024	0.1633640	0.1604771	0.2764511	0.3260452	0.1833357	0.1042236	0.2597183	0.0160038	0.0080870	0.0845525	0.1316522	0.0139008	0.3081098	0.0391263	0.2889574	0.1030144	0.0590233	0.0232342	0.1273262	0.1173318	0.1309137	0.2674408	0.2963358	0.2015329	0.2389709	0.3265197	0.0263400	0.0676757	0.2080888	0.4271038	0.0275625	0.7358071	0.5512846	0.7239388	0.4875879	0.6373104	0.6941021	0.5375843	0.4901886	0.6735680	0.6657359	0.6664964	0.3275463	0.5037895	0.6853651	0.6539582	0.3045400	0.3299450	0.3197819	0.0551711	0.5343787	0.2994268	0.6954652	0.0102695	0.7801151	0.2229678	0.1475531	0.3307853	0.5987551	0.6916707	0.5128521	0.1279014	0.1977828	0.0059629	0.0061958	0.5299141	0.8122083	0.2085596	0.1876790	0.4036852	0.5662292	0.2631275	0.7512182	0.4715076	0.4516819
300	0.0155181	0.5734225	0.0087705	0.0012664	0.2706008	0.0063511	0.0580304	0.1783212	0.1763802	0.0007030	0.1442470	0.3200326	0.2583075	0.2653176	0.4318313	0.0147254	0.0003372	0.0918809	0.2694043	0.1752246	0.3294145	0.3714294	0.0991269	0.0324987	0.0011717	0.2236827	0.1305318	0.2743109	0.3069251	0.1090125	0.1103596	0.3098089	0.0510686	0.0079551	0.0842123	0.1193872	0.0032732	0.3411677	0.0565624	0.1979610	0.0722416	0.0817909	0.0376789	0.1522047	0.1208526	0.0947060	0.2195359	0.2777741	0.2426711	0.2098268	0.2922623	0.0267006	0.0312355	0.2382289	0.5487599	0.0210014	0.6183687	0.6360037	0.5996307	0.4360401	0.6165674	0.6611270	0.4045935	0.4069025	0.6600342	0.6806341	0.6856238	0.3322187	0.5803490	0.6981043	0.6051918	0.3249241	0.2439584	0.2802291	0.1035968	0.6944666	0.3526490	0.6908707	0.0021348	0.6693084	0.2432368	0.1458240	0.2830731	0.5981256	0.6279188	0.4905251	0.1854218	0.2132527	0.0081909	0.0029342	0.6660338	0.6377641	0.2217987	0.1697237	0.4110648	0.6322676	0.3627457	0.7183728	0.4909095	0.3431254
350	0.0376539	0.5274609	0.0440123	0.0091395	0.2610576	0.0049417	0.1169468	0.1842891	0.1973627	0.0041518	0.2068946	0.2873918	0.2438246	0.2828590	0.3522907	0.0011757	0.0009423	0.0858916	0.3026372	0.2396949	0.3600700	0.3552247	0.1472371	0.0287246	0.0172984	0.2635772	0.0859984	0.3145350	0.3490591	0.1302952	0.1320113	0.3590792	0.0388438	0.0124993	0.1038384	0.1649735	0.0330151	0.3117312	0.0292723	0.3064807	0.0906190	0.1375798	0.0444971	0.1605962	0.1227087	0.1354048	0.3302867	0.2409887	0.2086226	0.1740588	0.3103490	0.0287371	0.0616192	0.2484459	0.4922511	0.0183163	0.7585489	0.4870963	0.7171449	0.4322391	0.7737095	0.6482622	0.4220316	0.5106012	0.6512220	0.7577244	0.6190969	0.4362630	0.5181505	0.6819140	0.5900414	0.3681030	0.2924415	0.2561476	0.0776269	0.7051368	0.2929763	0.7102102	0.0000086	0.6566543	0.2287771	0.1707619	0.2512613	0.6398230	0.5589073	0.4498784	0.2369827	0.2610256	0.0085321	0.0000437	0.5885450	0.6632879	0.1726479	0.1130010	0.3935639	0.5560848	0.2934646	0.6686987	0.5449483	0.3477777
400	0.0329226	0.5660397	0.0324109	0.0040061	0.2814573	0.0024901	0.0765832	0.1568253	0.2151577	0.0104322	0.2092006	0.2795703	0.3004127	0.3561737	0.3695994	0.0042456	0.0001475	0.1782604	0.2271005	0.2000747	0.2584285	0.3092013	0.2216723	0.0542340	0.0041356	0.2263756	0.0720441	0.2023681	0.2934733	0.0806919	0.1678065	0.3315720	0.0335097	0.0258649	0.1244790	0.1098368	0.0071255	0.2955880	0.0480749	0.3016674	0.0837058	0.1136976	0.0576807	0.1599589	0.1801908	0.1466652	0.2841044	0.1914766	0.1759990	0.2303834	0.3310523	0.0459184	0.0485410	0.2482930	0.5355245	0.0213144	0.6776007	0.6591002	0.6148320	0.4208885	0.6216685	0.5645489	0.4987085	0.4666993	0.6380101	0.6214161	0.6276791	0.4337889	0.5544229	0.6728155	0.6778863	0.3117881	0.4187432	0.2506306	0.0923084	0.7022581	0.3309040	0.6339083	0.0024993	0.6223537	0.2607272	0.2575042	0.1972686	0.5723554	0.6891819	0.3894129	0.2180246	0.2912472	0.0077974	0.0001620	0.6367816	0.8445624	0.1774477	0.1467801	0.4056474	0.6041146	0.2840954	0.5962669	0.5732532	0.3730292
