Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.5569036	0.5048544	0.2576864	0.2890200	0.6122676	0.2936979	0.5707060	0.5853847	0.1154786	0.5692448	0.3782176	0.2870454	0.0053857	0.4431608	0.4744377	0.3339815	0.4557059	0.1723908	0.5755711	0.3328842	0.6032761	0.4698969	0.1319875	0.4207274	0.6483237	0.1135344	0.6395001	0.5824522	0.4837154	0.4498397	0.6988007	0.6278753	0.5306857	0.6408587	0.4807075	0.4224449	0.5145447	0.6732937	0.6579125	0.4439111	0.1979775	0.5943202	0.3420354	0.5597971	0.5132213	0.6966745	0.6576154	0.1359928	0.3406517	0.7057919	0.7280129	0.3747963	0.4615839	0.6089182	0.7082827	0.3458287	0.7408465	0.5684877	0.4472564	0.3709513	0.4090820	0.6367823	0.0337724	0.1423908	0.4046871	0.0074534	0.5520701	0.5067274	0.1755522	0.3395190	0.2459855	0.5702100	0.4640453	0.3115880	0.1868482	0.1708295	0.5283928	0.0496589	0.2931531	0.6607577	0.2305872	0.1744298	0.4032543	0.7077807	0.3620852	0.0552570	0.5404784	0.3062503	0.4545231	0.0815336	0.1826475	0.2182135	0.6371497	0.4669221	0.0655805	0.5988283	0.5053623	0.2665000	0.5526431	0.3958705
50	0.8262132	0.4910960	0.2249954	0.3063694	0.6893982	0.3635832	0.5051445	0.5316592	0.1226754	0.6693787	0.3088640	0.2272028	0.0005025	0.4310085	0.4639131	0.3387923	0.4104108	0.2394037	0.6313828	0.2367350	0.5626234	0.4257548	0.2015061	0.3345631	0.6301040	0.1029660	0.5613243	0.5079664	0.2755738	0.5952217	0.5478940	0.7185958	0.5149594	0.6281577	0.6331357	0.3573977	0.4629253	0.7212726	0.6873660	0.3490647	0.0270971	0.4992258	0.2543923	0.3277215	0.5259922	0.1930828	0.6429975	0.2500715	0.1750969	0.6027098	0.7183784	0.5094019	0.5472121	0.5204287	0.6702711	0.4647115	0.6644135	0.5684231	0.3690442	0.4829128	0.2830867	0.6760072	0.0133920	0.1230022	0.4395870	0.0081322	0.3333981	0.6128461	0.4849350	0.5012804	0.3602529	0.6688274	0.4337678	0.2119703	0.4461158	0.2236425	0.3800646	0.1377152	0.3446558	0.6939142	0.2953696	0.2164916	0.3937358	0.6076371	0.2851510	0.1121139	0.6271086	0.2798647	0.4116217	0.0161094	0.1183376	0.1606320	0.5465300	0.4681250	0.0366912	0.6040052	0.6905518	0.1468671	0.5937920	0.3444047
100	0.5462629	0.3574522	0.1448310	0.2599662	0.5909947	0.3108751	0.5355935	0.6537593	0.1263756	0.5565743	0.3053622	0.1885292	0.0001465	0.4236262	0.4501567	0.4347023	0.3831411	0.1059834	0.6105213	0.2440026	0.6849689	0.4593732	0.1671608	0.3052942	0.6949790	0.1130672	0.6701968	0.7588693	0.2433796	0.6481011	0.5644990	0.7012498	0.4026771	0.6635026	0.4534110	0.3402986	0.3997812	0.6584077	0.6394052	0.2141995	0.0022657	0.6041374	0.1621782	0.2778187	0.4243913	0.1316351	0.4109885	0.1372695	0.0869289	0.6012060	0.7728677	0.4415169	0.4720509	0.5166297	0.6940969	0.5317643	0.6303899	0.5688636	0.3647723	0.4024232	0.3720919	0.6192248	0.0262354	0.1753692	0.4806336	0.0052162	0.1408022	0.5306674	0.6117621	0.5240039	0.4773496	0.7281298	0.4298317	0.3573940	0.5552080	0.2230926	0.1740316	0.1133232	0.4420808	0.6011267	0.1755030	0.3075409	0.4059778	0.5621588	0.3422618	0.1559607	0.6478243	0.4226013	0.4287976	0.0048500	0.2520219	0.2164426	0.4256572	0.3668318	0.0075033	0.6334444	0.6038143	0.0775388	0.6524233	0.2434280
150	0.8264130	0.3918103	0.2204572	0.3590876	0.6046683	0.2131164	0.4700613	0.5632103	0.1882309	0.6891655	0.3404013	0.2373336	0.0003793	0.5336164	0.3834718	0.4879392	0.3431601	0.0825566	0.6467507	0.3236791	0.5966291	0.3484093	0.0869561	0.3254641	0.6227289	0.1146382	0.4671879	0.7664629	0.2923201	0.6569734	0.7094694	0.6075765	0.3876900	0.5412061	0.4561718	0.3374734	0.4578253	0.6589425	0.7490374	0.1852213	0.0000000	0.4884031	0.1455412	0.3225291	0.3608529	0.1064864	0.2521136	0.1034661	0.0217565	0.6659551	0.6589441	0.4492397	0.6523863	0.8089893	0.6790180	0.5433534	0.5989582	0.4094776	0.2052210	0.2963216	0.5238788	0.6697690	0.0268565	0.2616775	0.3266035	0.0217514	0.1223831	0.6712114	0.5130002	0.6326646	0.6124694	0.6917034	0.4060775	0.3556022	0.5374584	0.2826220	0.1749981	0.1577875	0.3753812	0.8014208	0.1764009	0.2730199	0.4737442	0.4788424	0.3763764	0.2632788	0.5882324	0.3707963	0.6048851	0.0002765	0.3135681	0.2947150	0.3819854	0.3519450	0.0008977	0.6103475	0.5014068	0.0665452	0.7038529	0.2769712
200	0.6647235	0.2230368	0.2184679	0.4437126	0.5302712	0.1341032	0.4289852	0.6238590	0.2598908	0.5109608	0.2675293	0.1443761	0.0006122	0.6338518	0.3894525	0.5776377	0.2386855	0.0533695	0.7964850	0.4136494	0.5661052	0.2324308	0.0354624	0.3291447	0.7074832	0.1568112	0.5702303	0.6094260	0.4848116	0.6803452	0.6461257	0.6389465	0.3380610	0.4194986	0.3378168	0.3584015	0.2587134	0.5514170	0.4901074	0.1801333	0.0000041	0.6203467	0.1523395	0.3292769	0.3044273	0.1139346	0.1737998	0.0533632	0.0268655	0.5739962	0.6444912	0.3929281	0.6207411	0.6955967	0.6646982	0.5597914	0.6592391	0.4186984	0.2498150	0.2276139	0.4661785	0.4098487	0.0564294	0.4444910	0.2599283	0.0308108	0.0426111	0.6296275	0.6433485	0.6768070	0.4527003	0.7101112	0.3228799	0.3394021	0.5788742	0.2916515	0.2088909	0.3156399	0.3147017	0.5597893	0.0797128	0.3560387	0.4406747	0.3979371	0.4201095	0.2855312	0.5010175	0.3729278	0.5347391	0.0000000	0.3326631	0.3257844	0.3608332	0.2571846	0.0013544	0.5293632	0.4264967	0.0643818	0.6501311	0.2498091
250	0.7318822	0.1844331	0.2617920	0.5552354	0.6059648	0.1238182	0.3827597	0.6224355	0.3545691	0.5561120	0.2145252	0.1264730	0.0000130	0.6098684	0.3611453	0.6801500	0.2637531	0.0125861	0.6748289	0.5427268	0.4767960	0.1314202	0.0074697	0.2804558	0.5449083	0.2578260	0.3109498	0.5308382	0.3595262	0.5949120	0.5914058	0.6819918	0.1766191	0.2517441	0.3006877	0.3123072	0.1695952	0.5349618	0.3927629	0.2470485	0.0034564	0.5196485	0.0968151	0.4022864	0.2817230	0.1244486	0.1146551	0.0427919	0.0181013	0.4382603	0.6380316	0.3723905	0.5753478	0.6493638	0.7006541	0.4033798	0.6725917	0.4327088	0.2546530	0.2782866	0.4637083	0.4736285	0.1714642	0.4464327	0.1458829	0.0489120	0.0238663	0.5425536	0.7303644	0.6186775	0.4644799	0.6973012	0.2848236	0.3906410	0.4528043	0.3331581	0.1533795	0.3094159	0.4410150	0.6470979	0.1025461	0.3612063	0.4289476	0.5198119	0.5100941	0.4732732	0.6489955	0.3675378	0.5845835	0.0000015	0.4733217	0.4261511	0.2888224	0.1851182	0.0098093	0.7007816	0.2172284	0.0821331	0.5824470	0.3248381
300	0.4508301	0.1882635	0.2707440	0.5868904	0.7626042	0.1073810	0.4199813	0.3605491	0.4195478	0.4291539	0.2739278	0.0836827	0.0005311	0.5069539	0.1986211	0.7586355	0.1646085	0.0233760	0.5438737	0.5520847	0.5520794	0.0892192	0.0062810	0.2043319	0.5132029	0.2715657	0.2397069	0.5321595	0.4216950	0.6389087	0.5628147	0.6231814	0.1092312	0.1696578	0.3242006	0.2688292	0.1248421	0.5539002	0.3250316	0.3080740	0.0001911	0.3931709	0.0901118	0.3121717	0.2276178	0.1107464	0.1424585	0.0514468	0.0161237	0.4372789	0.5968765	0.3123958	0.7167267	0.6774781	0.6204789	0.4845194	0.6393456	0.4367312	0.2558657	0.1447228	0.4461049	0.4619783	0.3032524	0.5918686	0.1865495	0.0657005	0.0579743	0.4552944	0.6483443	0.5860801	0.5452210	0.6780451	0.1966206	0.3596935	0.4735690	0.4387623	0.1884969	0.3513276	0.3507273	0.7506028	0.1056437	0.4995559	0.3397138	0.5335299	0.5096485	0.5284653	0.5854075	0.3638719	0.6421463	0.0006568	0.4891307	0.6680082	0.3373875	0.2246141	0.0016963	0.5384569	0.2129072	0.0944580	0.7844648	0.3968044
350	0.5064767	0.1675865	0.3113070	0.5878267	0.6224071	0.1455326	0.2449892	0.2210441	0.6692383	0.4894826	0.1458118	0.1107689	0.0001622	0.5775221	0.1795692	0.7128346	0.1775451	0.0280009	0.5501459	0.5273090	0.4736916	0.0565699	0.0028886	0.1671980	0.4783477	0.2903440	0.1865840	0.6357158	0.3878310	0.5148003	0.5117741	0.6125173	0.0634254	0.1635962	0.2269673	0.3057678	0.0904213	0.6058524	0.2767795	0.3642585	0.0000000	0.3677888	0.0612536	0.3378553	0.2161508	0.1003935	0.1726685	0.0245653	0.0309826	0.4676345	0.6191292	0.3690310	0.7982426	0.5923474	0.7777390	0.5009253	0.7561845	0.3766016	0.2127540	0.1299412	0.4262229	0.3757884	0.4921750	0.5779728	0.1898865	0.1014316	0.0653438	0.4555034	0.7554584	0.6749160	0.4034145	0.6830579	0.2336189	0.3415345	0.6416818	0.3931387	0.1229562	0.4905921	0.3605599	0.6063782	0.1127259	0.4493044	0.4997535	0.5813950	0.5962931	0.5610937	0.4501358	0.3099069	0.5985487	0.0040059	0.4694247	0.5983733	0.3035986	0.1832524	0.0013643	0.5310479	0.2216787	0.1307997	0.6682307	0.3967267
400	0.6015367	0.1189117	0.3557382	0.6474501	0.5518867	0.0810891	0.2302149	0.1772310	0.5053651	0.4618303	0.0741877	0.0798772	0.0029811	0.5793799	0.1037425	0.5552189	0.1369718	0.0025478	0.5975136	0.5304869	0.4184817	0.0560047	0.0035284	0.1814490	0.4137361	0.3642456	0.1490103	0.6832037	0.4282316	0.5094838	0.4567224	0.5992531	0.0561859	0.2234265	0.2302657	0.2338316	0.0851111	0.7054910	0.2366778	0.3454208	0.0000000	0.4794078	0.0351347	0.3450887	0.2033624	0.1352171	0.1150192	0.0862804	0.0160481	0.4308787	0.7109275	0.4088299	0.6175460	0.6103616	0.6079206	0.4823648	0.7083597	0.3762432	0.1848376	0.1408555	0.4339633	0.3706553	0.4436004	0.6134245	0.1573983	0.1318385	0.0569812	0.5182980	0.6960546	0.6291896	0.5636645	0.8200796	0.1967749	0.3915198	0.6015180	0.4542807	0.1563188	0.5409139	0.3890435	0.5536633	0.0834072	0.4856304	0.4539317	0.6639329	0.5677549	0.6508429	0.5149593	0.3515109	0.5731005	0.0004326	0.4691046	0.6165146	0.3209144	0.1769970	0.0056403	0.5154029	0.1132372	0.1077745	0.6966974	0.5445226
