G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.1660665	0.1001577	0.2924610	1.0321000	0.0900508	0.0426910	0.0281623	0.1648917	0.9676296	1.0302738
0.2426205	0.0462479	0.3488861	1.0359744	0.0714634	0.0409901	0.0529442	0.1389591	1.0678709	1.0099975
0.7697265	0.0264370	0.1166693	1.0636564	0.0677496	0.0606823	0.0447408	0.1906980	0.9909709	1.0828180
0.4510778	0.1692785	0.5188370	0.5406368	0.0659484	0.0727949	0.0497223	0.1378367	0.9671034	0.9724164
0.3344184	0.0624048	0.2771246	0.9804165	0.0304855	0.0556512	0.0426770	0.1404628	1.0459198	0.9356551
0.3321859	0.0714397	0.3074967	0.9117879	0.0463225	0.0257351	0.0592951	0.1675821	1.0186235	1.0172434
0.3300689	0.0972831	0.3264811	1.0196322	0.0563901	0.0625243	0.0118016	0.1406077	0.9816247	0.9915461
0.3656750	0.0649188	0.2771266	1.0451649	0.0448579	0.0849382	0.0396628	0.0856947	0.9502623	1.0262105
0.7783708	0.0369925	0.1165456	0.9725741	0.0433356	0.1019266	0.0753224	0.3382378	0.5078759	0.9781505
0.4160721	0.0721018	0.3261881	0.9478813	0.0708112	0.0695323	0.0409508	0.1699904	1.0317292	0.5413533
