G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0952970	0.2950190	0.2609729	0.5035520	0.5433627	1.0000000	0.7625154	0.3001918	0.2375493	0.2916098
0.0899932	0.1475097	0.2609729	0.5035520	0.5433627	1.0000000	0.7625154	0.3001918	0.2375493	0.2916098
0.4638649	0.7768420	0.1304872	0.5035520	0.5433627	1.0000000	0.7216485	0.3002094	0.2375493	0.2916098
0.4865541	0.8303964	0.1170371	0.2517760	0.5433627	1.0000000	0.7159832	0.3002121	0.2375493	0.2916098
0.0416361	0.0677721	0.5376938	0.8120265	0.2716813	1.0000000	0.8199160	0.1929029	0.6061680	0.7851725
0.0481732	0.0796645	0.4885302	0.7553372	0.3176913	0.5000000	0.7843801	0.2051918	0.5528445	0.6890699
0.1905021	0.2950190	0.2609729	0.5035520	0.5433627	1.0000000	0.3814147	0.3006754	0.2375493	0.2916098
0.1905018	0.2950189	0.2609729	0.5035520	0.5433627	1.0000000	0.7330794	0.1501219	0.2375493	0.2916098
0.1905020	0.2950190	0.2609729	0.5035520	0.5433627	1.0000000	0.7785161	0.3424822	0.1187754	0.2916098
0.1905022	0.2950190	0.2609729	0.5035520	0.5433627	1.0000000	0.7798886	0.3455610	0.1096324	0.1458116
